3008_164328_000002_000000	CHAPTER X. "We Shall Have to Eat Red Meat--Now"	CHAPTER ten "We Shall Have to Eat Red Meat-Now"
3008_164328_000003_000000	The Donjon Inn was of no imposing appearance; but I like these buildings with their rafters blackened with age and the smoke of their hearths--these inns of the coaching-days, crumbling erections that will soon exist in the memory only.	The Donjon Inn was of no imposing appearance; but I like these buildings with their rafters blackened with age and the smoke of their hearths-these inns of the coaching days, crumbling erections that will soon exist in the memory only.
3008_164328_000003_000001	They belong to the bygone days, they are linked with history.	They belong to the bygone days, they are linked with history.
3008_164328_000003_000002	They make us think of the Road, of those days when highwaymen rode.	They make us think of the Road, of those days when highwaymen rode.
3008_164328_000004_000000	I saw at once that the Donjon Inn was at least two centuries old--perhaps older.	I saw at once that the Donjon Inn was at least two centuries old-perhaps older.
3008_164328_000005_000000	When we were close to him, he deigned to see us and asked us, in a tone anything but engaging, whether we wanted anything.	When we were close to him, he deigned to see us and asked us, in a tone anything but engaging, whether we wanted anything.
3008_164328_000005_000001	He was, no doubt, the not very amiable landlord of this charming dwelling-place.	He was, no doubt, the not very amiable landlord of this charming dwelling place.
3008_164328_000005_000002	As we expressed a hope that he would be good enough to furnish us with a breakfast, he assured us that he had no provisions, regarding us, as he said this, with a look that was unmistakably suspicious.	As we expressed a hope that he would be good enough to furnish us with a breakfast, he assured us that he had no provisions, regarding us, as he said this, with a look that was unmistakably suspicious.
3008_164328_000007_000000	"I'm not afraid of the police--I'm not afraid of anyone!" replied the man.	"I'm not afraid of the police-I'm not afraid of anyone!" replied the man.
3008_164328_000008_000000	I had made my friend understand by a sign that we should do better not to insist; but, being determined to enter the inn, he slipped by the man on the doorstep and was in the common room.	I had made my friend understand by a sign that we should do better not to insist; but, being determined to enter the inn, he slipped by the man on the doorstep and was in the common room.
3008_164328_000009_000000	"Come on," he said, "it is very comfortable here."	"Come on," he said, "it is very comfortable here."
3008_164328_000010_000001	The room was a tolerably large one, furnished with two heavy tables, some stools, a counter decorated with rows of bottles of syrup and alcohol.	The room was a tolerably large one, furnished with two heavy tables, some stools, a counter decorated with rows of bottles of syrup and alcohol.
3008_164328_000010_000003	A coloured advertisement lauded the many merits of a new vermouth.	A coloured advertisement lauded the many merits of a new vermouth.
3008_164328_000010_000004	On the mantelpiece was arrayed the innkeeper's collection of figured earthenware pots and stone jugs.	On the mantelpiece was arrayed the innkeeper's collection of figured earthenware pots and stone jugs.
3008_164328_000011_000001	"We have no chicken--not even a wretched rabbit," said the landlord.	"We have no chicken-not even a wretched rabbit," said the landlord.
3008_164328_000012_000000	"I know," said my friend slowly; "I know--We shall have to eat red meat--now."	"I know," said my friend slowly; "I know-We shall have to eat red meat-now."
3008_164328_000014_000000	Meantime the man had pushed open a little side door and called to somebody to bring him half a dozen eggs and a piece of beefsteak.	Meantime the man had pushed open a little side door and called to somebody to bring him half a dozen eggs and a piece of beefsteak.
3008_164328_000015_000000	The innkeeper said to her roughly:	The innkeeper said to her roughly:
3008_164328_000017_000000	She disappeared.	She disappeared.
3008_164328_000017_000002	The landlord let us do our own cooking and set our table near one of the windows.	The landlord let us do our own cooking and set our table near one of the windows.
3008_164328_000020_000002	There was no need for me to draw Rouletabille's attention; he had already left our omelette and had joined the landlord at the window.	There was no need for me to draw Rouletabille's attention; he had already left our omelette and had joined the landlord at the window.
3008_164328_000021_000001	He carried a fowling-piece slung at his back.	He carried a fowling piece slung at his back.
3008_164328_000021_000003	He wore eye-glasses and appeared to be about five and forty years of age.	He wore eye glasses and appeared to be about five and forty years of age.
3008_164328_000023_000000	"He has done well not to come in here to-day!" he hissed.	"He has done well not to come in here to day!" he hissed.
3008_164328_000025_000001	"Don't you know him?	"Don't you know him?
3008_164328_000025_000002	Then all the better for you.	Then all the better for you.
3008_164328_000025_000003	He is not an acquaintance to make.--Well, he is Monsieur Stangerson's forest-keeper."	He is not an acquaintance to make.--Well, he is Monsieur Stangerson's forest keeper."
3008_164328_000027_000001	He's an upstart who must once have had a fortune of his own; and he forgives nobody because, in order to live, he has been compelled to become a servant.	He's an upstart who must once have had a fortune of his own; and he forgives nobody because, in order to live, he has been compelled to become a servant.
3008_164328_000027_000004	He'll not let a poor creature eat a morsel of bread on the grass his grass!"	He'll not let a poor creature eat a morsel of bread on the grass his grass!"
3008_164328_000028_000000	"Does he often come here?"	"Does he often come here?"
3008_164328_000029_000000	"Too often.	"Too often.
3008_164328_000029_000001	But I've made him understand that his face doesn't please me, and, for a month past, he hasn't been here.	But I've made him understand that his face doesn't please me, and, for a month past, he hasn't been here.
3008_164328_000029_000004	Why, the concierges of the chateau would turn their eyes away from a picture of him!"	Why, the concierges of the chateau would turn their eyes away from a picture of him!"
3008_164328_000030_000000	"The concierges of the chateau are honest people, then?"	"The concierges of the chateau are honest people, then?"
3008_164328_000031_000000	"Yes, they are, as true as my name's Mathieu, monsieur.	"Yes, they are, as true as my name's Mathieu, monsieur.
3008_164328_000032_000000	"Yet they've been arrested?"	"Yet they've been arrested?"
3008_164328_000033_000000	"What does that prove?--But I don't want to mix myself up in other people's affairs."	"What does that prove?--But I don't want to mix myself up in other people's affairs."
3008_164328_000035_000000	"Of the murder of poor Mademoiselle Stangerson?--A good girl much loved everywhere in the country.	"Of the murder of poor Mademoiselle Stangerson?--A good girl much loved everywhere in the country.
3008_164328_000037_000000	The innkeeper looked at him sideways and said gruffly:	The innkeeper looked at him sideways and said gruffly:
3008_164328_000038_000000	"Not even yours."	"Not even yours."
3008_164328_000042_000000	And she entered, followed by a cat, larger than any I had ever believed could exist.	And she entered, followed by a cat, larger than any I had ever believed could exist.
3008_164328_000042_000001	The beast looked at us and gave so hopeless a miau that I shuddered.	The beast looked at us and gave so hopeless a miau that I shuddered.
3008_164328_000045_000000	As the Green Man entered, Daddy Mathieu had started violently; but visibly mastering himself he said:	As the Green Man entered, Daddy Mathieu had started violently; but visibly mastering himself he said:
3008_164328_000046_000000	"I've no more cider; I served the last bottles to these gentlemen."	"I've no more cider; I served the last bottles to these gentlemen."
3008_164328_000050_000000	"Quite well, thank you."	"Quite well, thank you."
3008_164328_000052_000001	Mother Angenoux was still standing, leaning on her stick, the cat at her feet.	Mother Angenoux was still standing, leaning on her stick, the cat at her feet.
3008_164328_000054_000000	"Yes, Monsieur keeper.	"Yes, Monsieur keeper.
3008_164328_000054_000002	There was no one to care for me but the Bete du bon Dieu!"	There was no one to care for me but the Bete du bon Dieu!"
3008_164328_000055_000000	"Did she not leave you?"	"Did she not leave you?"
3008_164328_000057_000000	"Are you sure of that?"	"Are you sure of that?"
3008_164328_000060_000000	Mother Angenoux planted herself in front of the forest-keeper and struck the floor with her stick.	Mother Angenoux planted herself in front of the forest keeper and struck the floor with her stick.
3008_164328_000061_000000	"I don't know anything about it," she said.	"I don't know anything about it," she said.
3008_164328_000061_000001	"But shall I tell you something?	"But shall I tell you something?
3008_164328_000061_000002	There are no two cats in the world that cry like that.	There are no two cats in the world that cry like that.
3008_164328_000061_000004	I crossed myself when I heard that, as if I had heard the devil."	I crossed myself when I heard that, as if I had heard the devil."
3008_164328_000062_000000	I looked at the keeper when he put the last question, and I am much mistaken if I did not detect an evil smile on his lips.	I looked at the keeper when he put the last question, and I am much mistaken if I did not detect an evil smile on his lips.
3008_164328_000062_000003	The Green Man quickly rose and hurried to the door by the side of the fireplace; but it was opened by the landlord who appeared, and said to the keeper:	The Green Man quickly rose and hurried to the door by the side of the fireplace; but it was opened by the landlord who appeared, and said to the keeper:
3008_164328_000064_000000	He held out a packet to the old woman, who took it eagerly and went out by the door, closely followed by her cat.	He held out a packet to the old woman, who took it eagerly and went out by the door, closely followed by her cat.
3008_164328_000067_000001	Take yourself off."	Take yourself off."
3008_164328_000068_000000	The Green Man quietly refilled his pipe, lit it, bowed to us, and went out.	The Green Man quietly refilled his pipe, lit it, bowed to us, and went out.
3008_164328_000069_000000	"I don't know who you are who tell me 'We shall have to eat red meat--now'; but if it will interest you to know it--that man is the murderer!"	"I don't know who you are who tell me 'We shall have to eat red meat-now'; but if it will interest you to know it-that man is the murderer!"
3008_164328_000071_000000	"Now we'll grill our steak.	"Now we'll grill our steak.
3008_164328_000071_000001	How do you like the cider?--It's a little tart, but I like it."	How do you like the cider?--It's a little tart, but I like it."
3008_164328_000072_000000	We saw no more of Daddy Mathieu that day, and absolute silence reigned in the inn when we left it, after placing five francs on the table in payment for our feast.	We saw no more of Daddy Mathieu that day, and absolute silence reigned in the inn when we left it, after placing five francs on the table in payment for our feast.
3008_164328_000073_000000	Rouletabille at once set off on a three mile walk round Professor Stangerson's estate.	Rouletabille at once set off on a three mile walk round Professor Stangerson's estate.
3008_164328_000074_000000	"You don't think, then, that the keeper knows anything of it?" I asked.	"You don't think, then, that the keeper knows anything of it?" I asked.
3008_164328_000075_000000	"We shall see that, later," he replied.	"We shall see that, later," he replied.
3008_164328_000075_000002	The landlord hates him.	The landlord hates him.
3008_164328_000076_000001	With the skill of an acrobat, he got into the lodge by an upper window which had been left open, and returned ten minutes later.	With the skill of an acrobat, he got into the lodge by an upper window which had been left open, and returned ten minutes later.
3008_164328_000076_000002	He said only, "Ah!"--a word which, in his mouth, signified many things.	He said only, "Ah!"--a word which, in his mouth, signified many things.
3008_164328_000077_000000	We were about to take the road leading to the chateau, when a considerable stir at the park gate attracted our attention.	We were about to take the road leading to the chateau, when a considerable stir at the park gate attracted our attention.
