4098_11547_000000_000000	"What for?" asked Theo, blushing.	"What for?" asked Theo, blushing.	false	0	2.79	26.366829
4098_11547_000001_000000	"For the rose-colored satin," he returned, complacently.	"For the rose colored satin," he returned, complacently.	false	2.79	3.36	15.628355
4098_11547_000001_000001	"It is so very becoming.	"It is so very becoming.	false	3.36	4.47	18
4098_11547_000001_000002	You look like a sultana, my dear Theodora."	You look like a sultana, my dear Theodora."	false	4.47	6.66	23.467934
4098_11547_000002_000000	Theo looked up at him for a second, and then looked down.	Theo looked up at him for a second, and then looked down.	false	6.66	8.19	23.945814
4098_11547_000002_000001	Much as she admired Mr. Denis Oglethorpe, she never quite comprehended him.	Much as she admired mr Denis Oglethorpe, she never quite comprehended him.	false	8.19	8.25	0
4098_11547_000002_000002	He had such an eccentric fashion of being almost curt sometimes.	He had such an eccentric fashion of being almost curt sometimes.	false	8.25	8.28	1
4098_11547_000002_000003	She had seen him actually give a faint start when he entered, and she had not understood that, and now he had paid her a compliment, but with so much of something puzzling hidden in his quiet-sounding voice, that she did not understand that either--and he saw she did not.	She had seen him actually give a faint start when he entered, and she had not understood that, and now he had paid her a compliment, but with so much of something puzzling hidden in his quiet sounding voice, that she did not understand that either-and he saw she did not.	false	8.28	9.21	12
4098_11547_000003_000000	"I have been making a fine speech to Theodora," he said to Lady Throckmorton, when she came in.	"I have been making a fine speech to Theodora," he said to Lady Throckmorton, when she came in.	false	9.21	11.4	28.146723
4098_11547_000003_000001	"And she does not comprehend it in the least."	"And she does not comprehend it in the least."	false	11.4	15.195	26.118608
4098_11547_000004_000000	It was somewhat singular, Theo thought, that he should be so silent after this, for he was silent.	It was somewhat singular, Theo thought, that he should be so silent after this, for he was silent.	false	15.195	17.73	23.000301
4098_11547_000004_000001	He even seemed absent-minded, for some reason or other.	He even seemed absent minded, for some reason or other.	false	17.73	18.6	34.822075
4098_11547_000004_000002	He did not talk to her as much as usual, and she was quite sure he paid very little attention to Faust.	He did not talk to her as much as usual, and she was quite sure he paid very little attention to Faust.	false	18.6	22.305	25.167675
4098_11547_000005_000000	But during the final act she found that he was not looking at the stage at all; but was sitting in the shadow of the box-curtain watching herself.	But during the final act she found that he was not looking at the stage at all; but was sitting in the shadow of the box curtain watching herself.	true	22.305	30.01	23.64642
