339_132718_000000_000000	"Come on!" cried Terry, pushing forward.	"Come on!" cried Terry, pushing forward.	false	0	4.17	22.52443
339_132718_000000_000001	"Oh, come on!	"Oh, come on!	false	4.17	6.48	23.777597
339_132718_000000_000002	Here goes for Herland!"	Here goes for Herland!"	false	6.48	27.24	23.337978
339_132718_000001_000000	CHAPTER 2.	CHAPTER two.	true	27.24	28.21	24.9498
339_132718_000001_000001	Rash Advances	Rash Advances	true	28.85	30.79	21.582653
339_132718_000002_000000	Not more than ten or fifteen miles we judged it from our landing rock to that last village.	Not more than ten or fifteen miles we judged it from our landing rock to that last village.	true	32.51	38.38	20
339_132718_000002_000001	For all our eagerness we thought it wise to keep to the woods and go carefully.	For all our eagerness we thought it wise to keep to the woods and go carefully.	true	38.75	44.26	21.230106
339_132718_000003_000000	Even Terry's ardor was held in check by his firm conviction that there were men to be met, and we saw to it that each of us had a good stock of cartridges.	Even Terry's ardor was held in check by his firm conviction that there were men to be met, and we saw to it that each of us had a good stock of cartridges.	true	45.2	54.73	20.074821
339_132718_000004_000000	"They may be scarce, and they may be hidden away somewhere--some kind of a matriarchate, as Jeff tells us; for that matter, they may live up in the mountains yonder and keep the women in this part of the country--sort of a national harem!	"They may be scarce, and they may be hidden away somewhere-some kind of a matriarchate, as Jeff tells us; for that matter, they may live up in the mountains yonder and keep the women in this part of the country-sort of a national harem!	false	56.09	69.19	21.30346
339_132718_000004_000001	But there are men somewhere--didn't you see the babies?"	But there are men somewhere-didn't you see the babies?"	true	70.22	72.97	22.388863
339_132718_000005_000000	We had all seen babies, children big and little, everywhere that we had come near enough to distinguish the people.	We had all seen babies, children big and little, everywhere that we had come near enough to distinguish the people.	true	73.7	80.86	22.688643
339_132718_000005_000001	And though by dress we could not be sure of all the grown persons, still there had not been one man that we were certain of.	And though by dress we could not be sure of all the grown persons, still there had not been one man that we were certain of.	true	81.29	87.94	21.811424
339_132718_000006_000000	"I always liked that Arab saying, 'First tie your camel and then trust in the Lord,'" Jeff murmured; so we all had our weapons in hand, and stole cautiously through the forest.	"I always liked that Arab saying, 'First tie your camel and then trust in the Lord,'" Jeff murmured; so we all had our weapons in hand, and stole cautiously through the forest.	false	89.18	99.49	21.65424
339_132718_000006_000001	Terry studied it as we progressed.	Terry studied it as we progressed.	true	100.19	102.61	23.693314
339_132718_000007_000000	"Talk of civilization," he cried softly in restrained enthusiasm.	"Talk of civilization," he cried softly in restrained enthusiasm.	true	103.34	108.13	21
339_132718_000007_000001	"I never saw a forest so petted, even in Germany.	"I never saw a forest so petted, even in Germany.	false	108.56	112.09	21.584635
339_132718_000007_000002	Look, there's not a dead bough--the vines are trained--actually!	Look, there's not a dead bough-the vines are trained-actually!	false	112.22	117.96	23.498737
339_132718_000007_000003	And see here"--he stopped and looked about him, calling Jeff's attention to the kinds of trees.	And see here"--he stopped and looked about him, calling Jeff's attention to the kinds of trees.	true	117.96	123.1	19.698118
339_132718_000008_000000	They left me for a landmark and made a limited excursion on either side.	They left me for a landmark and made a limited excursion on either side.	true	124.43	128.62	21.513912
339_132718_000009_000000	"Food-bearing, practically all of them," they announced returning.	"Food bearing, practically all of them," they announced returning.	true	128.78	132.91	26.031769
339_132718_000009_000001	"The rest, splendid hardwood.	"The rest, splendid hardwood.	true	133.16	135.48	24.223125
339_132718_000009_000002	Call this a forest?	Call this a forest?	true	135.48	136.98	20.708904
339_132718_000009_000003	It's a truck farm!"	It's a truck farm!"	true	136.98	138.55	28.6162
339_132718_000010_000000	"Good thing to have a botanist on hand," I agreed.	"Good thing to have a botanist on hand," I agreed.	true	139.61	142.425	23.100489
339_132718_000010_000001	"Sure there are no medicinal ones?	"Sure there are no medicinal ones?	true	142.425	144.24	21.73878
339_132718_000010_000002	Or any for pure ornament?"	Or any for pure ornament?"	true	144.24	145.99	23.003649
339_132718_000011_000000	As a matter of fact they were quite right.	As a matter of fact they were quite right.	true	146.81	148.69	23.142187
339_132718_000011_000001	These towering trees were under as careful cultivation as so many cabbages.	These towering trees were under as careful cultivation as so many cabbages.	true	149.03	153.52	22
