7809_108638_000000_000000	A TALE OF THE RAGGED MOUNTAINS	A TALE OF THE RAGGED MOUNTAINS
7809_108638_000001_000001	This young gentleman was remarkable in every respect, and excited in me a profound interest and curiosity.	This young gentleman was remarkable in every respect, and excited in me a profound interest and curiosity.
7809_108638_000001_000003	Of his family I could obtain no satisfactory account.	Of his family I could obtain no satisfactory account.
7809_108638_000001_000004	Whence he came, I never ascertained. Even about his age--although I call him a young gentleman--there was something which perplexed me in no little degree.	Whence he came, I never ascertained. Even about his age-although I call him a young gentleman-there was something which perplexed me in no little degree.
7809_108638_000001_000005	He certainly seemed young--and he made a point of speaking about his youth--yet there were moments when I should have had little trouble in imagining him a hundred years of age.	He certainly seemed young-and he made a point of speaking about his youth-yet there were moments when I should have had little trouble in imagining him a hundred years of age.
7809_108638_000001_000006	But in no regard was he more peculiar than in his personal appearance.	But in no regard was he more peculiar than in his personal appearance.
7809_108638_000001_000007	He was singularly tall and thin.	He was singularly tall and thin.
7809_108638_000001_000008	He stooped much.	He stooped much.
7809_108638_000001_000010	His forehead was broad and low.	His forehead was broad and low.
7809_108638_000001_000011	His complexion was absolutely bloodless.	His complexion was absolutely bloodless.
7809_108638_000001_000014	It was one of profound melancholy--of a phaseless and unceasing gloom.	It was one of profound melancholy-of a phaseless and unceasing gloom.
7809_108638_000002_000001	I soon, however, grew accustomed to it, and my uneasiness wore off.	I soon, however, grew accustomed to it, and my uneasiness wore off.
7809_108638_000002_000002	It seemed to be his design rather to insinuate than directly to assert that, physically, he had not always been what he was--that a long series of neuralgic attacks had reduced him from a condition of more than usual personal beauty, to that which I saw.	It seemed to be his design rather to insinuate than directly to assert that, physically, he had not always been what he was-that a long series of neuralgic attacks had reduced him from a condition of more than usual personal beauty, to that which I saw.
