6188_73024_000000_000000	Such were the two rival claimants for the hand of Harry Clavering.	Such were the two rival claimants for the hand of Harry Clavering.	false	4.26	14.88	22.497288
6188_73024_000001_000000	Chapter XVIII	Chapter eighteen	true	14.88	16.18	22.922865
6188_73024_000002_000000	"Judge Not That Ye Be Not Judged"	"Judge Not That Ye Be Not Judged"	false	16.46	18.76	23.694418
6188_73024_000003_000000	A week had passed since the evening which Harry had spent in Bolton Street, and he had not again seen Lady Ongar.	A week had passed since the evening which Harry had spent in Bolton Street, and he had not again seen Lady Ongar.	false	19.61	26.95	21.518986
6188_73024_000003_000001	He had professed to himself that his reason for not going there was the non-performance of the commission which Lady Ongar had given him with reference to Count Pateroff.	He had professed to himself that his reason for not going there was the non performance of the commission which Lady Ongar had given him with reference to Count Pateroff.	true	27.38	37.66	21.722136
6188_73024_000003_000002	He had not yet succeeded in catching the Count, though he had twice asked for him in Mount Street and twice at the club in Pall Mall. It appeared that the Count never went to Mount Street, and was very rarely seen at the club.	He had not yet succeeded in catching the Count, though he had twice asked for him in Mount Street and twice at the club in Pall Mall. It appeared that the Count never went to Mount Street, and was very rarely seen at the club.	true	38.24	52.06	22.128231
6188_73024_000003_000003	There was some other club which he frequented, and Harry did not know what club.	There was some other club which he frequented, and Harry did not know what club.	true	52.43	57.04	22.862225
6188_73024_000003_000004	On both the occasions of Harry's calling in Mount Street, the servant had asked him to go up and see madame; but he had declined to do so, pleading that he was hurried.	On both the occasions of Harry's calling in Mount Street, the servant had asked him to go up and see madame; but he had declined to do so, pleading that he was hurried.	true	57.5	67.33	21.101496
6188_73024_000003_000005	He was, however, driven to resolve that he must go direct to Sophie, as otherwise he could find no means of doing as he had promised.	He was, however, driven to resolve that he must go direct to Sophie, as otherwise he could find no means of doing as he had promised.	true	67.94	76.33	21.11251
6188_73024_000003_000006	She probably might put him on the scent of her brother.	She probably might put him on the scent of her brother.	true	77.09	80.14	21.34976
6188_73024_000004_000000	But there had been another reason why Harry had not gone to Bolton Street, though he had not acknowledged it to himself.	But there had been another reason why Harry had not gone to Bolton Street, though he had not acknowledged it to himself.	true	81.2	87.79	23.400225
6188_73024_000004_000001	He did not dare to trust himself with Lady Ongar.	He did not dare to trust himself with Lady Ongar.	false	88.19	91.24	22.831324
6188_73024_000004_000002	He feared that he would be led on to betray himself and to betray Florence--to throw himself at Julia's feet and sacrifice his honesty, in spite of all his resolutions to the contrary.	He feared that he would be led on to betray himself and to betray Florence-to throw himself at Julia's feet and sacrifice his honesty, in spite of all his resolutions to the contrary.	true	91.82	104.47	22.145012
6188_73024_000004_000003	He felt when there as the accustomed but repentant dram-drinker might feel, when, having resolved to abstain, he is called upon to sit with the full glass offered before his lips.	He felt when there as the accustomed but repentant dram drinker might feel, when, having resolved to abstain, he is called upon to sit with the full glass offered before his lips.	true	105.05	117.49	22.077196
6188_73024_000004_000004	From such temptations as that the repentant dram-drinker knows that he must fly. But though he did not go after the fire-water of Bolton Street, neither was he able to satisfy himself with the cool fountain of Onslow Crescent.	From such temptations as that the repentant dram drinker knows that he must fly. But though he did not go after the fire water of Bolton Street, neither was he able to satisfy himself with the cool fountain of Onslow Crescent.	false	118.34	132.67	22.112368
6188_73024_000004_000005	He was wretched at this time--ill-satisfied with himself and others--and was no fitting companion for Cecilia Burton.	He was wretched at this time-ill satisfied with himself and others-and was no fitting companion for Cecilia Burton.	true	133.61	142.06	21.75256
6188_73024_000004_000006	The world, he thought, had used him ill.	The world, he thought, had used him ill.	true	142.91	145.66	23.258942
6188_73024_000004_000007	He could have been true to Julia Brabazon when she was well-nigh penniless.	He could have been true to Julia Brabazon when she was well nigh penniless.	true	146.21	150.43	18
6188_73024_000004_000008	It was not for her money that he had regarded her.	It was not for her money that he had regarded her.	true	150.77	153.73	21.829435
6188_73024_000004_000009	Had he been now a free man--free from those chains with which he had fettered himself at Stratton--he would again have asked this woman for her love, in spite of her past treachery; but it would have been for her love, and not for her money, that he would have sought her.	Had he been now a free man-free from those chains with which he had fettered himself at Stratton-he would again have asked this woman for her love, in spite of her past treachery; but it would have been for her love, and not for her money, that he would have sought her.	true	154.25	170.98	22.854786
6188_73024_000004_000010	Was it his fault that he had loved her, that she had been false to him, and that she had now come back and thrown herself before him?	Was it his fault that he had loved her, that she had been false to him, and that she had now come back and thrown herself before him?	true	171.74	179.29	23.83295
6188_73024_000004_000011	or had he been wrong because he had ventured to think that he loved another when Julia had deserted him?	or had he been wrong because he had ventured to think that he loved another when Julia had deserted him?	true	179.78	185.38	19
6188_73024_000004_000012	Or could he help himself if he now found that his love in truth belonged to her whom he had known first?	Or could he help himself if he now found that his love in truth belonged to her whom he had known first?	false	186.08	192.49	23.624004
6188_73024_000004_000013	The world had been very cruel to him, and he could not go to Onslow Crescent, and behave there prettily, hearing the praises of Florence with all the ardor of a discreet lover.	The world had been very cruel to him, and he could not go to Onslow Crescent, and behave there prettily, hearing the praises of Florence with all the ardor of a discreet lover.	true	193.37	204.13	23.107409
6188_73024_000005_000000	He knew well what would have been his right course, and yet he did not follow it.	He knew well what would have been his right course, and yet he did not follow it.	true	205.19	210.49	19.003506
6188_73024_000005_000001	Let him but once communicate to Lady Ongar the fact of his engagement, and the danger would be over, though much, perhaps, of the misery might remain.	Let him but once communicate to Lady Ongar the fact of his engagement, and the danger would be over, though much, perhaps, of the misery might remain.	true	211.01	220.6	22.02224
6188_73024_000005_000002	Let him write to her, and mention the fact, bringing it up as some little immaterial accident, and she would understand what he meant.	Let him write to her, and mention the fact, bringing it up as some little immaterial accident, and she would understand what he meant.	true	221.39	229.84	23.751219
6188_73024_000005_000003	But this he abstained from doing.	But this he abstained from doing.	true	230.45	232.63	22.201685
6188_73024_000005_000004	Though he swore to himself that he would not touch the dram, he would not dash down the full glass that was held to his lips.	Though he swore to himself that he would not touch the dram, he would not dash down the full glass that was held to his lips.	true	233.15	240.31	22.557436
