64_76974_000000_000000	CHAPTER XX	CHAPTER twenty
64_76974_000001_000000	DINNER AT THE OX BOW	DINNER AT THE OX BOW
64_76974_000002_000000	"Welcome to the Ox Bow, young gentlemen," greeted Colonel McClure.	"Welcome to the Ox Bow, young gentlemen," greeted Colonel McClure.
64_76974_000003_000000	The rancher and his wife were waiting at the lower end of the lawn as the Pony Rider Boys, accompanied by Professor Zepplin, rode up on the following afternoon.	The rancher and his wife were waiting at the lower end of the lawn as the Pony Rider Boys, accompanied by Professor Zepplin, rode up on the following afternoon.
64_76974_000004_000000	The lads wore their regulation plainsman's clothes, but for this occasion coats had been put on and hair combed, each desiring to look his best, as they were to meet the young ladies of the ranch.	The lads wore their regulation plainsman's clothes, but for this occasion coats had been put on and hair combed, each desiring to look his best, as they were to meet the young ladies of the ranch.
64_76974_000005_000000	"We owe you an apology, sir, for appearing in this condition," announced the Professor.	"We owe you an apology, sir, for appearing in this condition," announced the Professor.
64_76974_000006_000000	"Master Butler and myself have already settled that question," answered the rancher.	"Master Butler and myself have already settled that question," answered the rancher.
64_76974_000006_000001	"As Henry Ward Beecher once said, 'Clothes don't make the man, but when he is made he looks very well dressed up.' I must say, however, that these young men are about as likely a lot of lads as I have ever seen."	"As Henry Ward Beecher once said, 'Clothes don't make the man, but when he is made he looks very well dressed up.' I must say, however, that these young men are about as likely a lot of lads as I have ever seen."
64_76974_000007_000000	Clear-eyed, their faces tanned almost to a copper color, figures erect and shoulders well back, the Pony Rider Boys were indeed wholesome to look upon.	Clear eyed, their faces tanned almost to a copper color, figures erect and shoulders well back, the Pony Rider Boys were indeed wholesome to look upon.
64_76974_000007_000001	Perhaps Sadie and Margaret McClure were not blind to this, for they blushed very prettily, the boys thought, upon being presented to their guests.	Perhaps Sadie and Margaret McClure were not blind to this, for they blushed very prettily, the boys thought, upon being presented to their guests.
64_76974_000007_000002	Ruth Brayton was in a sunny mood, laughing gayly as she chatted with the boys.	ruth Brayton was in a sunny mood, laughing gayly as she chatted with the boys.
64_76974_000008_000000	Tad glanced at her inquiringly.	Tad glanced at her inquiringly.
64_76974_000008_000001	She was not the same girl that he had met the day before.	She was not the same girl that he had met the day before.
64_76974_000008_000002	There was a difference in the eyes, too.	There was a difference in the eyes, too.
64_76974_000008_000003	Tad could not understand the change.	Tad could not understand the change.
64_76974_000008_000004	It perplexed him.	It perplexed him.
64_76974_000010_000000	"I had so often wanted to take a trip through the Rockies on horseback," announced Miss Margaret.	"I had so often wanted to take a trip through the Rockies on horseback," announced Miss Margaret.
64_76974_000013_000000	"Yes; but you were driving cattle," objected Mrs. McClure.	"Yes; but you were driving cattle," objected mrs McClure.
64_76974_000013_000001	"There probably is no harder work in the world.	"There probably is no harder work in the world.
64_76974_000013_000002	We, down here, know something about that."	We, down here, know something about that."
64_76974_000014_000000	"I--I killed a bobcat up in the mountains," Stacy Brown informed them, with enthusiasm.	"I-I killed a bobcat up in the mountains," Stacy Brown informed them, with enthusiasm.
64_76974_000016_000000	"He did.	"He did.
64_76974_000016_000001	And I fell off a mountain," laughed Walter Perkins.	And I fell off a mountain," laughed Walter Perkins.
64_76974_000016_000002	"You see we have had quite a series of experiences."	"You see we have had quite a series of experiences."
64_76974_000017_000000	"Indeed you have.	"Indeed you have.
64_76974_000017_000001	How long do you expect to remain with the herd?	How long do you expect to remain with the herd?
64_76974_000017_000002	Are you going through with them?"	Are you going through with them?"
64_76974_000018_000000	"I believe not," answered Tad Butler.	"I believe not," answered Tad Butler.
64_76974_000018_000001	"I think we shall be leaving very soon now.	"I think we shall be leaving very soon now.
64_76974_000018_000002	We have a lot of traveling to do yet, as it has been planned that we shall see a good deal of the country before it is time to return to school this fall."	We have a lot of traveling to do yet, as it has been planned that we shall see a good deal of the country before it is time to return to school this fall."
64_76974_000020_000000	"Yes; I believe so."	"Yes; I believe so."
64_76974_000021_000000	"I should love it."	"I should love it."
64_76974_000022_000000	"We are getting to love it ourselves.	"We are getting to love it ourselves.
64_76974_000022_000001	It will be hard to have to sleep indoors again."	It will be hard to have to sleep indoors again."
64_76974_000023_000000	Shortly afterwards all were summoned in to supper.	Shortly afterwards all were summoned in to supper.
64_76974_000023_000001	Stacy Brown's eyes sparkled with anticipation as he surveyed the table resplendent with silver and cut glass--loaded, too, with good things to eat.	Stacy Brown's eyes sparkled with anticipation as he surveyed the table resplendent with silver and cut glass-loaded, too, with good things to eat.
64_76974_000024_000000	Ned Rector observed the look in his companion's eyes.	Ned Rector observed the look in his companion's eyes.
64_76974_000025_000000	"Now, don't forget that we are not eating off the tail board of the chuck wagon, Chunky," he whispered in passing.	"Now, don't forget that we are not eating off the tail board of the chuck wagon, Chunky," he whispered in passing.
64_76974_000025_000001	"Be as near human as you can and satisfy your appetite."	"Be as near human as you can and satisfy your appetite."
64_76974_000027_000000	"Take your advice to yourself," he muttered.	"Take your advice to yourself," he muttered.
64_76974_000028_000000	Colonel McClure proved an entertaining host, and the boys were led on to talk about themselves during most of the meal.	Colonel McClure proved an entertaining host, and the boys were led on to talk about themselves during most of the meal.
64_76974_000030_000001	"Built by the Mexicans more than a hundred years ago."	"Built by the Mexicans more than a hundred years ago."
64_76974_000031_000000	"Yes, so I understand."	"Yes, so I understand."
64_76974_000033_000003	Almost the instant he caught it it was gone.	Almost the instant he caught it it was gone.
64_76974_000034_000000	"I'm afraid you have been misinformed, Master Stacy," answered Colonel McClure.	"I'm afraid you have been misinformed, Master Stacy," answered Colonel McClure.
64_76974_000035_000000	"How about the trouble that the cattle men experience when near the place?" spoke up Ned Rector.	"How about the trouble that the cattle men experience when near the place?" spoke up Ned Rector.
64_76974_000036_000000	"Nothing at all--nothing at all.	"Nothing at all-nothing at all.
64_76974_000036_000001	Just a mere coincidence.	Just a mere coincidence.
64_76974_000036_000002	We live here and we have no more than the usual run of ill luck with our stock."	We live here and we have no more than the usual run of ill luck with our stock."
64_76974_000037_000000	"Stampedes?" asked Tad.	"Stampedes?" asked Tad.
64_76974_000038_000000	"Seldom anything of that sort.	"Seldom anything of that sort.
64_76974_000038_000001	You see our stock is held by wire fences. If they want to stampede we let them--let them run until they are tired of it."	You see our stock is held by wire fences. If they want to stampede we let them-let them run until they are tired of it."
64_76974_000039_000000	"I should like to explore the old church," said Tad, again referring to the subject uppermost in his mind.	"I should like to explore the old church," said Tad, again referring to the subject uppermost in his mind.
64_76974_000040_000000	"Nothing to hinder.	"Nothing to hinder.
64_76974_000040_000001	Ruth, why can't you and the girls take the young men over there to-morrow if the day is fine?	ruth, why can't you and the girls take the young men over there to morrow if the day is fine?
64_76974_000040_000002	You know the place and its history.	You know the place and its history.
64_76974_000041_000000	"We should be delighted," answered Ned Rector promptly.	"We should be delighted," answered Ned Rector promptly.
64_76974_000042_000000	"We might make it a picnic," suggested Margaret McClure.	"We might make it a picnic," suggested Margaret McClure.
64_76974_000043_000000	"And have things to eat?" asked Stacy, evincing a keen interest in the proposal.	"And have things to eat?" asked Stacy, evincing a keen interest in the proposal.
64_76974_000044_000000	"Of course," smiled Mrs. McClure.	"Of course," smiled mrs McClure.
64_76974_000044_000002	I will send some of the servants over to serve the picnic lunch."	I will send some of the servants over to serve the picnic lunch."
64_76974_000045_000000	"Thank you," smiled Tad gratefully.	"Thank you," smiled Tad gratefully.
64_76974_000045_000001	"It will be a happy afternoon for all of us if Miss Brayton can find the time to take us."	"It will be a happy afternoon for all of us if Miss Brayton can find the time to take us."
64_76974_000046_000000	"Of course Ruth will go," nodded Mrs. McClure.	"Of course ruth will go," nodded mrs McClure.
64_76974_000047_000000	"Yes," answered the young woman.	"Yes," answered the young woman.
64_76974_000047_000001	"What time shall we arrange to start, auntie?"	"What time shall we arrange to start, auntie?"
64_76974_000049_000000	"Perfectly," answered Tad.	"Perfectly," answered Tad.
64_76974_000050_000000	"You might first take a gallop to the Springs.	"You might first take a gallop to the Springs.
64_76974_000050_000001	That will give you all an appetite."	That will give you all an appetite."
64_76974_000052_000000	"About seven miles to the eastward of the ranch.	"About seven miles to the eastward of the ranch.
64_76974_000052_000001	A most picturesque place," answered Colonel McClure.	A most picturesque place," answered Colonel McClure.
64_76974_000052_000003	We can ride about the ranch if it would please you."	We can ride about the ranch if it would please you."
64_76974_000053_000000	"I should be delighted."	"I should be delighted."
64_76974_000054_000000	"I was going to suggest, too, that it might be a pleasant relief for all of you to accept the hospitality of the Ox Bow ranch and remain here while you are in the vicinity.	"I was going to suggest, too, that it might be a pleasant relief for all of you to accept the hospitality of the Ox Bow ranch and remain here while you are in the vicinity.
64_76974_000054_000001	We have room to spare and would be glad to have you."	We have room to spare and would be glad to have you."
64_76974_000056_000000	"Not at all--not at all.	"Not at all-not at all.
64_76974_000056_000001	I understand you perfectly.	I understand you perfectly.
64_76974_000056_000002	I shall not press the point.	I shall not press the point.
64_76974_000056_000003	But spend all the time you can with us.	But spend all the time you can with us.
64_76974_000056_000004	The place is yours. Make yourselves at home."	The place is yours. Make yourselves at home."
64_76974_000057_000000	"No; Mr. Stallings would not like it if we were to remain away over night.	"No; mr Stallings would not like it if we were to remain away over night.
64_76974_000057_000001	You see, he expects us to do our share of night guard duty," explained Tad.	You see, he expects us to do our share of night guard duty," explained Tad.
64_76974_000057_000002	"We are earning our keep as it were."	"We are earning our keep as it were."
