242_126842_000001_000000	CHAPTER XXVII.	CHAPTER twenty seven.
242_126842_000001_000001	THE ORDEAL OF BITTER APPLES	THE ORDEAL OF BITTER APPLES
242_126842_000002_000001	He had not felt very keenly over the matter of the sermons, and certainly the mere fact that Peter could eat sour apples without making faces did not cast any reflection on the honour or ability of the other competitors.	He had not felt very keenly over the matter of the sermons, and certainly the mere fact that peter could eat sour apples without making faces did not cast any reflection on the honour or ability of the other competitors.
242_126842_000002_000002	But to Felix everything suddenly became flat, stale, and unprofitable, because Peter continued to hold the championship of bitter apples.	But to Felix everything suddenly became flat, stale, and unprofitable, because peter continued to hold the championship of bitter apples.
242_126842_000002_000003	It haunted his waking hours and obsessed his nights.	It haunted his waking hours and obsessed his nights.
242_126842_000002_000005	If anything could have made him thin the way he worried over this matter would have done it.	If anything could have made him thin the way he worried over this matter would have done it.
242_126842_000003_000000	For myself, I cared not a groat.	For myself, I cared not a groat.
242_126842_000003_000002	But I had no burning desire to eat sour apples without grimacing, and I did not sympathize over and above with my brother.	But I had no burning desire to eat sour apples without grimacing, and I did not sympathize over and above with my brother.
242_126842_000003_000003	When, however, he took to praying about it, I realized how deeply he felt on the subject, and hoped he would be successful.	When, however, he took to praying about it, I realized how deeply he felt on the subject, and hoped he would be successful.
242_126842_000004_000000	Felix prayed earnestly that he might be enabled to eat a bitter apple without making a face.	Felix prayed earnestly that he might be enabled to eat a bitter apple without making a face.
242_126842_000004_000001	And when he had prayed three nights after this manner, he contrived to eat a bitter apple without a grimace until he came to the last bite, which proved too much for him.	And when he had prayed three nights after this manner, he contrived to eat a bitter apple without a grimace until he came to the last bite, which proved too much for him.
242_126842_000004_000002	But Felix was vastly encouraged.	But Felix was vastly encouraged.
242_126842_000006_000000	But this devoutly desired consummation did not come to pass.	But this devoutly desired consummation did not come to pass.
242_126842_000006_000001	In spite of prayers and heroic attempts, Felix could never get beyond that last bite.	In spite of prayers and heroic attempts, Felix could never get beyond that last bite.
242_126842_000006_000002	Not even faith and works in combination could avail.	Not even faith and works in combination could avail.
242_126842_000006_000003	For a time he could not understand this.	For a time he could not understand this.
242_126842_000006_000004	But he thought the mystery was solved when Cecily came to him one day and told him that Peter was praying against him.	But he thought the mystery was solved when Cecily came to him one day and told him that peter was praying against him.
242_126842_000007_000000	"He's praying that you'll never be able to eat a bitter apple without making a face," she said.	"He's praying that you'll never be able to eat a bitter apple without making a face," she said.
242_126842_000007_000001	"He told Felicity and Felicity told me.	"He told Felicity and Felicity told me.
242_126842_000007_000002	She said she thought it was real cute of him.	She said she thought it was real cute of him.
242_126842_000007_000003	I think that is a dreadful way to talk about praying and I told her so.	I think that is a dreadful way to talk about praying and I told her so.
242_126842_000008_000000	Felix was very indignant--and aggrieved as well.	Felix was very indignant-and aggrieved as well.
242_126842_000009_000000	"I don't see why God should answer Peter's prayers instead of mine," he said bitterly.	"I don't see why God should answer Peter's prayers instead of mine," he said bitterly.
242_126842_000009_000002	It isn't fair."	It isn't fair."
242_126842_000010_000000	"Oh, Felix, don't talk like that," said Cecily, shocked.	"Oh, Felix, don't talk like that," said Cecily, shocked.
242_126842_000010_000001	"God MUST be fair.	"God MUST be fair.
242_126842_000010_000002	I'll tell you what I believe is the reason.	I'll tell you what I believe is the reason.
242_126842_000010_000003	Peter prays three times a day regular--in the morning and at dinner time and at night--and besides that, any time through the day when he happens to think of it, he just prays, standing up.	peter prays three times a day regular-in the morning and at dinner time and at night-and besides that, any time through the day when he happens to think of it, he just prays, standing up.
242_126842_000011_000000	"Well, he's got to stop praying against me, anyhow," said Felix resolutely.	"Well, he's got to stop praying against me, anyhow," said Felix resolutely.
242_126842_000012_000000	Felix marched over to Uncle Roger's, and we trailed after, scenting a scene.	Felix marched over to Uncle Roger's, and we trailed after, scenting a scene.
242_126842_000013_000000	"Look here, Peter," said Felix ominously, "they tell me that you've been praying right along that I couldn't eat a bitter apple.	"Look here, peter," said Felix ominously, "they tell me that you've been praying right along that I couldn't eat a bitter apple.
242_126842_000013_000001	Now, I tell you--"	Now, I tell you-"
242_126842_000014_000000	"I never did!" exclaimed Peter indignantly.	"I never did!" exclaimed peter indignantly.
242_126842_000014_000002	I never prayed that you couldn't eat a bitter apple.	I never prayed that you couldn't eat a bitter apple.
242_126842_000014_000003	I just prayed that I'd be the only one that could."	I just prayed that I'd be the only one that could."
242_126842_000015_000000	"Well, that's the same thing," cried Felix.	"Well, that's the same thing," cried Felix.
242_126842_000015_000001	"You've just been praying for the opposite to me out of spite.	"You've just been praying for the opposite to me out of spite.
242_126842_000015_000002	And you've got to stop it, Peter Craig."	And you've got to stop it, peter Craig."
242_126842_000016_000002	I s'pose you think a hired boy hasn't any business to pray for particular things, but I'll show you.	I s'pose you think a hired boy hasn't any business to pray for particular things, but I'll show you.
242_126842_000019_000000	"All right.	"All right.
242_126842_000019_000001	I can fight as well as pray."	I can fight as well as pray."
242_126842_000020_000000	"Oh, don't fight," implored Cecily.	"Oh, don't fight," implored Cecily.
242_126842_000020_000001	"I think it would be dreadful. Surely you can arrange it some other way.	"I think it would be dreadful. Surely you can arrange it some other way.
242_126842_000020_000002	Let's all give up the Ordeal, anyway.	Let's all give up the Ordeal, anyway.
242_126842_000020_000003	There isn't much fun in it.	There isn't much fun in it.
