5731_50778_000000_000000	VI.	VI.	false	12.03	12.45	6
5731_50778_000001_000000	"WHEN THE PIE WAS OPENED, THE BIRDS BEGAN TO SING!"	"WHEN THE PIE WAS OPENED, THE BIRDS BEGAN TO SING!"	true	12.45	15.37	28.10971
5731_50778_000002_000000	The children went out the back door quietly, and were presently lost to sight, Sarah Maud slipping and stumbling along absent-mindedly as she recited, under her breath, "It--was--such--a--pleasant--evenin'--an--sech--a--short --walk--we--thought--we'd--leave--our--hats--to--home."	The children went out the back door quietly, and were presently lost to sight, Sarah Maud slipping and stumbling along absent mindedly as she recited, under her breath, "It-was-such-a-pleasant-evenin'--an-sech-a-short --walk-we-thought-we'd-leave-our-hats-to-home."	false	16.4	32.71	26.494555
5731_50778_000003_000000	Peter rang the door bell, and presently a servant admitted them, and, whispering something in Sarah's ear, drew her downstairs into the kitchen.	peter rang the door bell, and presently a servant admitted them, and, whispering something in Sarah's ear, drew her downstairs into the kitchen.	true	33.77	41.89	25.720854
5731_50778_000003_000001	The other Ruggleses stood in horror-stricken groups as the door closed behind their commanding officer; but there was no time for reflection, for a voice from above was heard, saying, "Come right up stairs, please!"	The other Ruggleses stood in horror stricken groups as the door closed behind their commanding officer; but there was no time for reflection, for a voice from above was heard, saying, "Come right up stairs, please!"	true	42.17	54.82	25.824806
5731_50778_000004_000000	"Theirs not to make reply, Theirs not to reason why, Theirs but to do or die."	"Theirs not to make reply, Theirs not to reason why, Theirs but to do or die."	true	55.73	62.59	24.048477
5731_50778_000005_000000	Accordingly, they walked upstairs, and Elfrida, the nurse, ushered them into a room more splendid than anything they had ever seen.	Accordingly, they walked upstairs, and Elfrida, the nurse, ushered them into a room more splendid than anything they had ever seen.	true	63.23	72.07	25.213816
5731_50778_000005_000001	But, oh woe! where was Sarah Maud! and was it Fate that Mrs. Bird should say, at once, "Did you lay your hats in the hall?" Peter felt himself elected by circumstance the head of the family, and, casting one imploring look at tongue-tied Susan, standing next him, said huskily, "It was so very pleasant--that--that" "That we hadn't good hats enough to go round," put in little Susan, bravely, to help him out, and then froze with horror that the ill-fated words had slipped off her tongue.	But, oh woe! where was Sarah Maud! and was it Fate that mrs Bird should say, at once, "Did you lay your hats in the hall?" peter felt himself elected by circumstance the head of the family, and, casting one imploring look at tongue tied Susan, standing next him, said huskily, "It was so very pleasant-that-that" "That we hadn't good hats enough to go round," put in little Susan, bravely, to help him out, and then froze with horror that the ill fated words had slipped off her tongue.	false	72.29	105.61	23.76507
5731_50778_000006_000000	However, Mrs. Bird said, pleasantly, "Of course you wouldn't wear hats such a short distance--I forgot when I asked.	However, mrs Bird said, pleasantly, "Of course you wouldn't wear hats such a short distance-I forgot when I asked.	true	106.19	114.04	27.483095
5731_50778_000006_000001	Now, will you come right in to Miss Carol's room, she is so anxious to see you?"	Now, will you come right in to Miss Carol's room, she is so anxious to see you?"	true	114.08	119.08	23.690123
5731_50778_000007_000000	Just then Sarah Maud came up the back-stairs, so radiant with joy from her secret interview with the cook, that Peter could have pinched her with a clear conscience, and Carol gave them a joyful welcome.	Just then Sarah Maud came up the back stairs, so radiant with joy from her secret interview with the cook, that peter could have pinched her with a clear conscience, and Carol gave them a joyful welcome.	true	119.63	131.29	24.542189
