5389_41911_000000_000000	'But it is absurd!' exclaimed the rest; 'how can the ogre get hold of her?'	'But it is absurd!' exclaimed the rest; 'how can the ogre get hold of her?'	false	0	3.18	19.419304
5389_41911_000001_000000	'I will not go,' said Dschemila again.	'I will not go,' said d schemila again.	false	3.18	4.59	18.690643
5389_41911_000001_000001	'You do not know that monster; I do.'	'You do not know that monster; I do.'	false	4.59	5.97	22.335215
5389_41911_000002_000000	And while they were disputing the bridegroom arrived.	And while they were disputing the bridegroom arrived.	false	5.97	7.53	15
5389_41911_000003_000000	'Let her alone.	'Let her alone.	false	7.53	8.25	25.394613
5389_41911_000003_000001	She shall stay in her father's house.	She shall stay in her father's house.	false	8.25	9.69	21.07687
5389_41911_000003_000002	After all, I can live here, and the wedding feast shall be made ready.'	After all, I can live here, and the wedding feast shall be made ready.'	false	9.69	15.03	20.44847
5389_41911_000004_000000	And so they were married at last, and died without having had a single quarrel.	And so they were married at last, and died without having had a single quarrel.	false	15.03	19.02	22.826597
5389_41911_000005_000000	[Marehen und Gedichte aus der Stadt Tripolis,]	[Marehen und Gedichte aus der Stadt Tripolis,]	false	19.02	23.7	17.906094
5389_41911_000006_000000	Janni and the Draken	Janni and the Draken	true	23.7	25.39	21.436808
5389_41911_000007_000000	Once there was a man who shunned the world, and lived in the wilderness. He owned nothing but a flock of sheep, whose milk and wool he sold, and so procured himself bread to eat; he also carried wooden spoons, and sold them.	Once there was a man who shunned the world, and lived in the wilderness. He owned nothing but a flock of sheep, whose milk and wool he sold, and so procured himself bread to eat; he also carried wooden spoons, and sold them.	true	26.69	41.83	19.867313
5389_41911_000007_000001	He had a wife and one little girl, and after a long time his wife had another child.	He had a wife and one little girl, and after a long time his wife had another child.	true	42.44	48.1	20.84231
5389_41911_000007_000002	The evening it was born the man went to the nearest village to fetch a nurse, and on the way he met a monk who begged him for a night's lodging.	The evening it was born the man went to the nearest village to fetch a nurse, and on the way he met a monk who begged him for a night's lodging.	true	48.35	56.74	18.9845
5389_41911_000007_000003	This the man willingly granted, and took him home with him.	This the man willingly granted, and took him home with him.	true	57.41	60.76	19
5389_41911_000007_000004	There being no one far nor near to baptize the child, the man asked the monk to do him this service, and the child was given the name of Janni.	There being no one far nor near to baptize the child, the man asked the monk to do him this service, and the child was given the name of Janni.	false	61.25	70.81	22.007868
5389_41911_000008_000000	In the course of time Janni's parents died, and he and his sister were left alone in the world; soon affairs went badly with them, so they determined to wander away to seek their fortune.	In the course of time Janni's parents died, and he and his sister were left alone in the world; soon affairs went badly with them, so they determined to wander away to seek their fortune.	true	72.38	84.52	21.098188
5389_41911_000008_000001	In packing up, the sister found a knife which the monk had left for his godson, and this she gave to her brother.	In packing up, the sister found a knife which the monk had left for his godson, and this she gave to her brother.	true	85.34	92.47	21.903648
5389_41911_000009_000000	Then they went on their way, taking with them the three sheep which were all that remained of their flocks.	Then they went on their way, taking with them the three sheep which were all that remained of their flocks.	true	93.56	99.16	18.449728
5389_41911_000009_000001	After wandering for three days they met a man with three dogs who proposed that they should exchange animals, he taking the sheep, and they the dogs.	After wandering for three days they met a man with three dogs who proposed that they should exchange animals, he taking the sheep, and they the dogs.	true	99.86	109.93	21.452148
5389_41911_000009_000002	The brother and sister were quite pleased at this arrangement, and after the exchange was made they separated, and went their different ways.	The brother and sister were quite pleased at this arrangement, and after the exchange was made they separated, and went their different ways.	true	110.3	118.27	20.661213
5389_41911_000010_000000	Janni and his sister in course of time came to a great castle, in which dwelt forty Draken, who, when they heard that Janni had come, fled forty fathoms underground.	Janni and his sister in course of time came to a great castle, in which dwelt forty Draken, who, when they heard that Janni had come, fled forty fathoms underground.	false	119.12	131.62	19.582071
5389_41911_000011_000000	So Janni found the castle deserted, and abode there with his sister, and every day went out to hunt with the weapons the Draken had left in the castle.	So Janni found the castle deserted, and abode there with his sister, and every day went out to hunt with the weapons the Draken had left in the castle.	true	132.68	141.25	20
5389_41911_000012_000000	One day, when he was away hunting, one of the Draken came up to get provisions, not knowing that there was anyone in the castle.	One day, when he was away hunting, one of the Draken came up to get provisions, not knowing that there was anyone in the castle.	true	142.01	150.13	21.40982
5389_41911_000012_000001	When he saw Janni's sister he was terrified, but she told him not to be afraid, and by-and-by they fell in love with each other, for every time that Janni went to hunt the sister called the Drakos up.	When he saw Janni's sister he was terrified, but she told him not to be afraid, and by and by they fell in love with each other, for every time that Janni went to hunt the sister called the Drakos up.	true	150.56	164.41	19.984205
5389_41911_000012_000002	Thus they went on making love to each other till at length, unknown to Janni, they got married. Then, when it was too late, the sister repented, and was afraid of Janni's wrath when he found it out.	Thus they went on making love to each other till at length, unknown to Janni, they got married. Then, when it was too late, the sister repented, and was afraid of Janni's wrath when he found it out.	false	165.2	179.29	20.503239
5389_41911_000013_000000	One day the Drakos came to her, and said: 'You must pretend to be ill, and when Janni asks what ails you, and what you want, you must answer: "Cherries," and when he inquires where these are to be found, you must say: "There are some in a garden a day's journey from here." Then your brother will go there, and will never come back, for there dwell three of my brothers who will look after him well.'	One day the Drakos came to her, and said: 'You must pretend to be ill, and when Janni asks what ails you, and what you want, you must answer: "Cherries," and when he inquires where these are to be found, you must say: "There are some in a garden a day's journey from here." Then your brother will go there, and will never come back, for there dwell three of my brothers who will look after him well.'	false	180.29	215.16	18.058205
5389_41911_000014_000000	Then the sister did as the Drakos advised, and next day Janni set out to fetch the cherries, taking his three dogs with him.	Then the sister did as the Drakos advised, and next day Janni set out to fetch the cherries, taking his three dogs with him.	true	215.16	223.96	18.418413
5389_41911_000014_000001	When he came to the garden where the cherries grew he jumped off his horse, drank some water from the spring, which rose there, and fell directly into a deep sleep. The Draken came round about to eat him, but the dogs flung themselves on them and tore them in pieces, and scratched a grave in the ground with their paws, and buried the Draken so that Janni might not see their dead bodies.	When he came to the garden where the cherries grew he jumped off his horse, drank some water from the spring, which rose there, and fell directly into a deep sleep. The Draken came round about to eat him, but the dogs flung themselves on them and tore them in pieces, and scratched a grave in the ground with their paws, and buried the Draken so that Janni might not see their dead bodies.	true	224.39	252.07	20.224663
5389_41911_000014_000002	When Janni awoke, and saw his dogs all covered with blood, he believed that they had caught, somewhere, a wild beast, and was angry because they had left none of it for him.	When Janni awoke, and saw his dogs all covered with blood, he believed that they had caught, somewhere, a wild beast, and was angry because they had left none of it for him.	true	252.5	262.9	18.431692
5389_41911_000014_000003	But he plucked the cherries, and took them back to his sister.	But he plucked the cherries, and took them back to his sister.	true	263.9	267.46	21.841566
5389_41911_000015_000000	When the Drakos heard that Janni had come back, he fled for fear forty fathoms underground.	When the Drakos heard that Janni had come back, he fled for fear forty fathoms underground.	true	268.49	275.26	18.97715
5389_41911_000015_000001	And the sister ate the cherries and declared herself well again.	And the sister ate the cherries and declared herself well again.	true	275.54	279.58	21.232248
5389_41911_000016_000000	The next day, when Janni was gone to hunt, the Drakos came out, and advised the sister that she should pretend to be ill again, and when her brother asked her what she would like, she should answer 'Quinces,' and when he inquired where these were to be found, she should say: 'In a garden distant about two days' journey.' Then would Janni certainly be destroyed, for there dwelt six brothers of the Drakos, each of whom had two heads.	The next day, when Janni was gone to hunt, the Drakos came out, and advised the sister that she should pretend to be ill again, and when her brother asked her what she would like, she should answer 'Quinces,' and when he inquired where these were to be found, she should say: 'In a garden distant about two days' journey.' Then would Janni certainly be destroyed, for there dwelt six brothers of the Drakos, each of whom had two heads.	true	280.58	315.13	19.938099
5389_41911_000017_000000	The sister did as she was advised, and next day Janni again set off, taking his three dogs with him.	The sister did as she was advised, and next day Janni again set off, taking his three dogs with him.	true	315.68	322.9	17.134691
5389_41911_000017_000001	When he came to the garden he dismounted, sat down to rest a little, and fell fast asleep.	When he came to the garden he dismounted, sat down to rest a little, and fell fast asleep.	true	323.54	329.59	18.380938
5389_41911_000017_000002	First there came three Draken round about to eat him, and when these three had been worried by the dogs, there came three others who were worried in like manner.	First there came three Draken round about to eat him, and when these three had been worried by the dogs, there came three others who were worried in like manner.	false	330.29	340.3	19.567234
5389_41911_000017_000003	Then the dogs again dug a grave and buried the dead Draken, that their master might not see them.	Then the dogs again dug a grave and buried the dead Draken, that their master might not see them.	true	340.58	346.99	18.02383
5389_41911_000017_000004	When Janni awoke and beheld the dogs all covered with blood, he thought, as before, that they had killed a wild beast, and was again angry with them for leaving him nothing.	When Janni awoke and beheld the dogs all covered with blood, he thought, as before, that they had killed a wild beast, and was again angry with them for leaving him nothing.	true	347.66	358.57	19.116682
