2573_186232_000000_000000	CHAPTER XIX.	CHAPTER nineteen.
2573_186232_000001_000000	DUPLICITY.	DUPLICITY.
2573_186232_000002_000000	Aunt Jane had a bad night, as might have been expected after her trials of the previous day.	Aunt Jane had a bad night, as might have been expected after her trials of the previous day.
2573_186232_000003_000000	She sent for Patricia early in the forenoon, and when the girl arrived she was almost shocked by the change in her aunt's appearance.	She sent for Patricia early in the forenoon, and when the girl arrived she was almost shocked by the change in her aunt's appearance.
2573_186232_000005_000000	"Don't ask me to do that, aunt," replied the girl, firmly.	"Don't ask me to do that, aunt," replied the girl, firmly.
2573_186232_000005_000001	"My mind is fully made up."	"My mind is fully made up."
2573_186232_000006_000000	"I have made mistakes, I know," continued the woman feebly; "but I want to do the right thing, at last."	"I have made mistakes, I know," continued the woman feebly; "but I want to do the right thing, at last."
2573_186232_000007_000000	"Then I will show you how," said Patricia, quickly.	"Then I will show you how," said Patricia, quickly.
2573_186232_000007_000001	"You mustn't think me impertinent, aunt, for I don't mean to be so at all.	"You mustn't think me impertinent, aunt, for I don't mean to be so at all.
2573_186232_000007_000002	But tell me; why did you wish to leave me your money?"	But tell me; why did you wish to leave me your money?"
2573_186232_000008_000000	"Because your nature is quite like my own, child, and I admire your independence and spirit."	"Because your nature is quite like my own, child, and I admire your independence and spirit."
2573_186232_000009_000000	"But my cousins are much more deserving," said she, thoughtfully. "Louise is very sweet and amiable, and loves you more than I do, while Beth is the most sensible and practical girl I have ever known."	"But my cousins are much more deserving," said she, thoughtfully. "Louise is very sweet and amiable, and loves you more than I do, while Beth is the most sensible and practical girl I have ever known."
2573_186232_000010_000001	I told you yesterday I should not try to be just.	I told you yesterday I should not try to be just.
2573_186232_000010_000002	I mean to leave my property according to my personal desire, and no one shall hinder me."	I mean to leave my property according to my personal desire, and no one shall hinder me."
2573_186232_000011_000000	"But that is quite wrong, aunt, and if you desire me to inherit your wealth you will be disappointed.	"But that is quite wrong, aunt, and if you desire me to inherit your wealth you will be disappointed.
2573_186232_000011_000002	Don't you know what that is?"	Don't you know what that is?"
2573_186232_000012_000000	"Perhaps you will tell me," said Aunt Jane, curiously.	"Perhaps you will tell me," said Aunt Jane, curiously.
2573_186232_000013_000000	"With pleasure," returned Patsy.	"With pleasure," returned Patsy.
2573_186232_000013_000001	"Mr. Bradley left you this property because he loved you, and love blinded him to all sense of justice. Such an estate should not have passed into the hands of aliens because of a lover's whim.	"mr Bradley left you this property because he loved you, and love blinded him to all sense of justice. Such an estate should not have passed into the hands of aliens because of a lover's whim.
2573_186232_000013_000002	He should have considered his own flesh and blood."	He should have considered his own flesh and blood."
2573_186232_000014_000002	I have done so.	I have done so.
2573_186232_000014_000003	When his mother died, I had the boy brought here, and he has lived here ever since."	When his mother died, I had the boy brought here, and he has lived here ever since."
2573_186232_000015_000001	"It would please me beyond measure to have you make your will in his favor, and you would be doing the right thing at last."	"It would please me beyond measure to have you make your will in his favor, and you would be doing the right thing at last."
2573_186232_000016_000000	"I won't," said Aunt Jane, angrily.	"I won't," said Aunt Jane, angrily.
2573_186232_000017_000000	"It would also be considerate and just to the memory of Mr. Bradley," continued the girl.	"It would also be considerate and just to the memory of mr Bradley," continued the girl.
2573_186232_000018_000000	"I have left him five thousand," said the woman.	"I have left him five thousand," said the woman.
2573_186232_000019_000000	"Not enough to educate him properly," replied Patsy, with a shake of her head.	"Not enough to educate him properly," replied Patsy, with a shake of her head.
2573_186232_000020_000000	Aunt Jane coughed, unsympathetically.	Aunt Jane coughed, unsympathetically.
2573_186232_000021_000000	"The boy is nothing to me," she said.	"The boy is nothing to me," she said.
2573_186232_000022_000000	"But he ought to have Elmhurst, at least," pleaded the girl.	"But he ought to have Elmhurst, at least," pleaded the girl.
2573_186232_000023_000000	"No."	"no"
2573_186232_000024_000001	"As a matter of justice, the place should never have been yours, and I won't accept a dollar of the money if I starve to death!"	"As a matter of justice, the place should never have been yours, and I won't accept a dollar of the money if I starve to death!"
2573_186232_000025_000000	"Think of your father," suggested Aunt Jane, cunningly.	"Think of your father," suggested Aunt Jane, cunningly.
2573_186232_000026_000001	Also I'd like to go to a girl's college, like Smith or Wellesley, and get a proper education.	Also I'd like to go to a girl's college, like Smith or Wellesley, and get a proper education.
2573_186232_000026_000002	But not with your money, Aunt Jane.	But not with your money, Aunt Jane.
2573_186232_000026_000003	It would burn my fingers.	It would burn my fingers.
