5012_31097_000000_000000	[Illustration]	[Illustration]	false	0.93	1.26	21
5012_31097_000001_000000	[Illustration: The Beast Terrible]	[Illustration: The Beast Terrible]	false	1.26	22.11	20.018997
5012_31097_000002_000000	[Illustration]	[Illustration]	false	22.11	22.425	-13
5012_31097_000003_000000	THE BEAST TERRIBLE	THE BEAST TERRIBLE	true	22.425	23.98	21.423832
5012_31097_000004_000000	The little room was resplendent one night with a fire which flamed and flickered gloriously.	The little room was resplendent one night with a fire which flamed and flickered gloriously.	true	24.83	30.31	19
5012_31097_000004_000001	It set in motion many shadows which had their home in the corners of the walls, and bade them cease their sullenness and come forth to dance in the riot of the hour.	It set in motion many shadows which had their home in the corners of the walls, and bade them cease their sullenness and come forth to dance in the riot of the hour.	true	30.65	40.39	19
5012_31097_000004_000002	And so each shadow found its partner in a ray of firelight, and there they danced.	And so each shadow found its partner in a ray of firelight, and there they danced.	true	41	46.21	22.66811
5012_31097_000004_000003	They danced about the tangled front of the big bison's head which hung upon the wall.	They danced about the tangled front of the big bison's head which hung upon the wall.	true	46.7	51.49	21
5012_31097_000004_000004	They crossed the grinning skull of the gray wolf.	They crossed the grinning skull of the gray wolf.	true	51.92	54.82	23.545038
5012_31097_000004_000005	They softened the eyes of the antelope's head, and made dark lines behind the long-tined antlers of the elk and of the deer.	They softened the eyes of the antelope's head, and made dark lines behind the long tined antlers of the elk and of the deer.	true	55.16	62.62	19
5012_31097_000004_000006	They brought forth to view in alternate eclipse and definition the great, grim bear's head which hung above the mantel.	They brought forth to view in alternate eclipse and definition the great, grim bear's head which hung above the mantel.	true	63.23	70.06	20.665264
5012_31097_000004_000007	Every trophy gathered in years of the chase, once perhaps prized, now perhaps forgotten, was brought into evidence, nor could one escape noting each one, and giving to each, for this one night more, the story which belonged to it.	Every trophy gathered in years of the chase, once perhaps prized, now perhaps forgotten, was brought into evidence, nor could one escape noting each one, and giving to each, for this one night more, the story which belonged to it.	true	70.61	86.77	21.674341
5012_31097_000004_000008	I sat and looked upon them all, and so there passed a panorama of the years.	I sat and looked upon them all, and so there passed a panorama of the years.	true	87.11	92.59	20.780348
5012_31097_000005_000000	"There," thought I, "is the stag which once fell far in the pine woods of the North.	"There," thought I, "is the stag which once fell far in the pine woods of the North.	true	93.26	98.38	24.399626
