1859_145703_000000_000000	'An old horse's hoof shall be our wineglass.'	'An old horse's hoof shall be our wineglass.'	false	0	7.17	22.988983
1859_145703_000001_000000	Then the Dragon flew away with a loud shriek, and had no more power over them.	Then the Dragon flew away with a loud shriek, and had no more power over them.	false	7.17	14.16	20
1859_145703_000001_000001	But the three soldiers took the little whip, whipped as much money as they wanted, and lived happily to their lives end.	But the three soldiers took the little whip, whipped as much money as they wanted, and lived happily to their lives end.	false	14.16	22.11	20.97167
1859_145703_000002_000000	THE DONKEY CABBAGE	THE DONKEY CABBAGE	true	22.11	23.65	23
1859_145703_000003_000000	There was once a young Hunter who went boldly into the forest.	There was once a young Hunter who went boldly into the forest.	true	25.28	28.8	16
1859_145703_000003_000001	He had a merry and light heart, and as he went whistling along there came an ugly old woman, who said to him, 'Good-day, dear hunter!	He had a merry and light heart, and as he went whistling along there came an ugly old woman, who said to him, 'Good day, dear hunter!	true	28.8	37.15	15
1859_145703_000003_000002	You are very merry and contented, but I suffer hunger and thirst, so give me a trifle.' The Hunter was sorry for the poor old woman, and he felt in his pocket and gave her all he could spare.	You are very merry and contented, but I suffer hunger and thirst, so give me a trifle.' The Hunter was sorry for the poor old woman, and he felt in his pocket and gave her all he could spare.	true	37.16	48.97	19
1859_145703_000003_000003	He was going on then, but the old woman stopped him and said, 'Listen, dear hunter, to what I say.	He was going on then, but the old woman stopped him and said, 'Listen, dear hunter, to what I say.	false	49.37	55.32	17
1859_145703_000003_000004	Because of your kind heart I will make you a present.	Because of your kind heart I will make you a present.	true	55.32	58.66	17
1859_145703_000003_000005	Go on your way, and in a short time you will come to a tree on which sit nine birds who have a cloak in their claws and are quarrelling over it.	Go on your way, and in a short time you will come to a tree on which sit nine birds who have a cloak in their claws and are quarrelling over it.	true	58.7	67.63	17
1859_145703_000003_000006	Then take aim with your gun and shoot in the middle of them; they will let the cloak fall, but one of the birds will be hit and will drop down dead.	Then take aim with your gun and shoot in the middle of them; they will let the cloak fall, but one of the birds will be hit and will drop down dead.	true	68	76.36	21
1859_145703_000003_000007	Take the cloak with you; it is a wishing-cloak, and when you throw it on your shoulders you have only to wish yourself at a certain place, and in the twinkling of an eye you are there.	Take the cloak with you; it is a wishing cloak, and when you throw it on your shoulders you have only to wish yourself at a certain place, and in the twinkling of an eye you are there.	true	77.27	86.92	16
1859_145703_000003_000008	Take the heart out of the dead bird and swallow it whole, and early every morning when you get up you will find a gold piece under your pillow.'	Take the heart out of the dead bird and swallow it whole, and early every morning when you get up you will find a gold piece under your pillow.'	true	87.14	96.73	19.988306
