7247_101864_000000_000000	"And I'm going to get married, too," said Margaret to her mother half an hour later.	"And I'm going to get married, too," said Margaret to her mother half an hour later.	false	0	5.04	23.349564
7247_101864_000001_000000	"You're going to get married!"	"You're going to get married!"	false	5.04	6.63	29.584452
7247_101864_000002_000000	"Yes; to Bobby, you know."	"Yes; to Bobby, you know."	false	6.63	8.22	15
7247_101864_000003_000000	The newly-made bride sat down suddenly, and threw a quick look at her husband.	The newly made bride sat down suddenly, and threw a quick look at her husband.	false	8.22	11.07	22.232533
7247_101864_000004_000000	"To Bobby!" she exclaimed.	"To Bobby!" she exclaimed.	false	11.07	11.43	20
7247_101864_000004_000001	"Why, when--where--Bobby wasn't here."	"Why, when-where-Bobby wasn't here."	false	11.43	11.94	6
7247_101864_000005_000000	"No," smiled Margaret.	"No," smiled Margaret.	false	11.94	12.18	17.469313
7247_101864_000005_000001	"He said he wasn't invited, but he came.	"He said he wasn't invited, but he came.	false	12.18	12.87	18.772518
7247_101864_000005_000002	We fixed it all up a little while ago.	We fixed it all up a little while ago.	false	12.87	14.52	26.733469
7247_101864_000005_000003	We're going to London and Paris and Egypt and see the Alps."	We're going to London and Paris and Egypt and see the Alps."	false	14.52	20.22	25.224745
7247_101864_000006_000000	CHAPTER XII	CHAPTER twelve	true	20.22	21.52	27.25044
7247_101864_000007_000000	The great dining-room at Hilcrest, the old Spencer homestead, was perhaps the pleasantest room in the house.	The great dining room at Hilcrest, the old Spencer homestead, was perhaps the pleasantest room in the house.	true	22.94	29.92	28.10889
7247_101864_000007_000001	The house itself crowned the highest hill that overlooked the town, and its dining-room windows and the veranda without, commanded a view of the river for miles, just where the valley was the greenest and the most beautiful.	The house itself crowned the highest hill that overlooked the town, and its dining room windows and the veranda without, commanded a view of the river for miles, just where the valley was the greenest and the most beautiful.	true	30.35	43.15	22.956013
7247_101864_000007_000002	On the other side of the veranda which ran around three sides of the house, one might see the town with its myriad roofs and tall chimneys; but although these same tall chimneys represented the wealth that made possible the great Spencer estate, yet it was the side of the veranda overlooking the green valley that was the most popular with the family.	On the other side of the veranda which ran around three sides of the house, one might see the town with its myriad roofs and tall chimneys; but although these same tall chimneys represented the wealth that made possible the great Spencer estate, yet it was the side of the veranda overlooking the green valley that was the most popular with the family.	true	43.34	63.64	23.515697
7247_101864_000007_000003	It was said, to be sure, that old Jacob Spencer, who built the house, and who laid the foundations for the Spencer millions, had preferred the side that overlooked the town; and that he spent long hours gloating over the visible results of his thrift and enterprise.	It was said, to be sure, that old Jacob Spencer, who built the house, and who laid the foundations for the Spencer millions, had preferred the side that overlooked the town; and that he spent long hours gloating over the visible results of his thrift and enterprise.	true	64.22	81.28	22.547777
7247_101864_000007_000004	But old Jacob was dead now, and his son's sons reigned instead; and his son's sons, no matter how much they might value the whiz and whir and smoke of the town, preferred, when at rest, to gaze upon green hills and far-reaching meadows.	But old Jacob was dead now, and his son's sons reigned instead; and his son's sons, no matter how much they might value the whiz and whir and smoke of the town, preferred, when at rest, to gaze upon green hills and far reaching meadows.	false	81.89	97.63	21.556753
7247_101864_000007_000005	This was, indeed, typical of the Spencer code--the farther away they could get from the oil that made the machinery of life run easily and noiselessly, the better pleased they were.	This was, indeed, typical of the Spencer code-the farther away they could get from the oil that made the machinery of life run easily and noiselessly, the better pleased they were.	true	98.06	108.61	23.86746
7247_101864_000008_000000	The dining-room looked particularly pleasant this July evening.	The dining room looked particularly pleasant this July evening.	true	109.58	113.35	25
