6877_79973_000003_000001	Pray give me an alms.'	Pray give me an alms.'
6877_79973_000004_000000	The Huntsman pitied the poor Old Woman, put his hand in his pocket, and made her a present according to his means.	The Huntsman pitied the poor Old Woman, put his hand in his pocket, and made her a present according to his means.
6877_79973_000005_000000	Then he wanted to go on.	Then he wanted to go on.
6877_79973_000005_000001	But the Old Woman held him back, and said: 'Hark ye, dear Huntsman, I will make you a present because of your good heart.	But the Old Woman held him back, and said: 'Hark ye, dear Huntsman, I will make you a present because of your good heart.
6877_79973_000005_000002	Go on your way, and you will come to a tree, on which nine birds are sitting.	Go on your way, and you will come to a tree, on which nine birds are sitting.
6877_79973_000005_000003	They will have a cloak in their claws, over which they are fighting.	They will have a cloak in their claws, over which they are fighting.
6877_79973_000005_000004	Take aim with your gun, and shoot into the middle of them.	Take aim with your gun, and shoot into the middle of them.
6877_79973_000005_000005	They will drop the cloak, and one of the birds will fall down dead.	They will drop the cloak, and one of the birds will fall down dead.
6877_79973_000005_000006	Take the cloak with you, it is a wishing-cloak.	Take the cloak with you, it is a wishing cloak.
6877_79973_000005_000008	Take the heart out of the dead bird and swallow it whole, then you will find a gold coin under your pillow every single morning when you wake.'	Take the heart out of the dead bird and swallow it whole, then you will find a gold coin under your pillow every single morning when you wake.'
6877_79973_000006_000000	The Huntsman thanked the Wise Woman, and thought: 'She promises fine things, if only they turn out as well.'	The Huntsman thanked the Wise Woman, and thought: 'She promises fine things, if only they turn out as well.'
6877_79973_000007_000000	When he had gone about a hundred paces, he heard above him, in the branches of a tree, such a chattering and screaming that he looked up.	When he had gone about a hundred paces, he heard above him, in the branches of a tree, such a chattering and screaming that he looked up.
6877_79973_000008_000000	There he saw a flock of birds tearing a garment with their beaks and claws; snatching and tearing at it as if each one wanted to have it for himself.	There he saw a flock of birds tearing a garment with their beaks and claws; snatching and tearing at it as if each one wanted to have it for himself.
6877_79973_000009_000000	'Well,' said the Huntsman, 'this is extraordinary, it is exactly what the Old Woman said.'	'Well,' said the Huntsman, 'this is extraordinary, it is exactly what the Old Woman said.'
6877_79973_000010_000000	He put his gun to his shoulder, took aim and fired right into the middle of them, making the feathers fly about.	He put his gun to his shoulder, took aim and fired right into the middle of them, making the feathers fly about.
6877_79973_000011_000000	The birds took flight with a great noise, all except one, which fell down dead, and the cloak dropped at his feet.	The birds took flight with a great noise, all except one, which fell down dead, and the cloak dropped at his feet.
6877_79973_000012_000000	He did as the Old Woman had told him, cut the heart out of the bird and swallowed it whole.	He did as the Old Woman had told him, cut the heart out of the bird and swallowed it whole.
6877_79973_000012_000001	Then he took the cloak home with him.	Then he took the cloak home with him.
6877_79973_000013_000000	When he woke in the morning, he remembered the Old Woman's promise, and looked under his pillow to see if it was true.	When he woke in the morning, he remembered the Old Woman's promise, and looked under his pillow to see if it was true.
6877_79973_000014_000000	There, sure enough, lay the golden coin shining before him, and the next morning he found another, and the same every morning when he got up.	There, sure enough, lay the golden coin shining before him, and the next morning he found another, and the same every morning when he got up.
6877_79973_000015_000000	He collected quite a heap of gold, and at last he thought: 'What is the good of all my gold if I stay at home here?	He collected quite a heap of gold, and at last he thought: 'What is the good of all my gold if I stay at home here?
6877_79973_000015_000001	I will go and look about me in the world.'	I will go and look about me in the world.'
6877_79973_000016_000000	So he took leave of his parents, shouldered his gun, and started off into the world.	So he took leave of his parents, shouldered his gun, and started off into the world.
6877_79973_000018_000000	It so happened that one day he came to a thick forest, and when he got through it, he saw a fine castle lying in the plain beyond.	It so happened that one day he came to a thick forest, and when he got through it, he saw a fine castle lying in the plain beyond.
6877_79973_000019_000000	He saw an Old Woman standing in one of the windows looking out, with a beautiful Maiden beside her.	He saw an Old Woman standing in one of the windows looking out, with a beautiful Maiden beside her.
6877_79973_000021_000000	She told the girl how he had got it, and at last said: 'If you don't get it from him, it will be the worse for you.'	She told the girl how he had got it, and at last said: 'If you don't get it from him, it will be the worse for you.'
6877_79973_000022_000001	I have plenty of money.'	I have plenty of money.'
6877_79973_000023_000000	But the real reason was that he had caught sight of the pretty picture at the window.	But the real reason was that he had caught sight of the pretty picture at the window.
6877_79973_000023_000001	He went in, and he was kindly received and hospitably treated.	He went in, and he was kindly received and hospitably treated.
6877_79973_000025_000000	The Old Woman said to the Maiden: 'Now we must get the bird's heart, he will never miss it.'	The Old Woman said to the Maiden: 'Now we must get the bird's heart, he will never miss it.'
6877_79973_000026_000000	They concocted a potion, and when it was ready they put it into a goblet.	They concocted a potion, and when it was ready they put it into a goblet.
6877_79973_000027_000000	And the Maiden took it to him, and said: 'Now, my beloved, you must drink to me.'	And the Maiden took it to him, and said: 'Now, my beloved, you must drink to me.'
6877_79973_000029_000000	The Maiden took it away secretly and swallowed it herself, for the Old Woman wanted to have it.	The Maiden took it away secretly and swallowed it herself, for the Old Woman wanted to have it.
6877_79973_000030_000000	From this time the Huntsman found no more gold under his pillow; but the coin was always under the Maiden's instead, and the Old Woman used to fetch it away every morning.	From this time the Huntsman found no more gold under his pillow; but the coin was always under the Maiden's instead, and the Old Woman used to fetch it away every morning.
6877_79973_000031_000000	But he was so much in love, that he thought of nothing but enjoying himself in the Maiden's company.	But he was so much in love, that he thought of nothing but enjoying himself in the Maiden's company.
6877_79973_000033_000000	The Maiden said: 'Let us leave him that; we have taken away his wealth.'	The Maiden said: 'Let us leave him that; we have taken away his wealth.'
6877_79973_000034_000000	The Old Woman was very angry, and said: 'A cloak like that is a very wonderful thing, and not often to be got.	The Old Woman was very angry, and said: 'A cloak like that is a very wonderful thing, and not often to be got.
6877_79973_000034_000001	Have it I must, and will!'	Have it I must, and will!'
