7868_110706_000000_000000	"Oh!" cried poor Gluck, running to look up the chimney after him; "oh dear, dear, dear me!	"Oh!" cried poor Gluck, running to look up the chimney after him; "oh dear, dear, dear me!	false	7.86	30.99	24.782907
7868_110706_000000_000001	My mug! my mug! my mug!"	My mug! my mug! my mug!"	false	30.99	33.54	25.063868
7868_110706_000001_000000	III.--HOW MR.	three.--HOW mr	true	33.54	35.16	26.657944
7868_110706_000001_000001	HANS SET OFF ON AN EXPEDITION TO THE GOLDEN RIVER, AND HOW HE PROSPERED THEREIN	HANS SET OFF ON AN EXPEDITION TO THE GOLDEN RIVER, AND HOW HE PROSPERED THEREIN	true	35.16	39.88	25
7868_110706_000002_000000	The King of the Golden River had hardly made the extraordinary exit related in the last chapter, before Hans and Schwartz came roaring into the house, very savagely drunk.	The King of the Golden River had hardly made the extraordinary exit related in the last chapter, before Hans and Schwartz came roaring into the house, very savagely drunk.	true	40.91	51.55	22.927382
7868_110706_000002_000001	The discovery of the total loss of their last piece of plate had the effect of sobering them just enough to enable them to stand over Gluck, beating him very steadily for a quarter of an hour; at the expiration of which period they dropped into a couple of chairs, and requested to know what he had to say for himself.	The discovery of the total loss of their last piece of plate had the effect of sobering them just enough to enable them to stand over Gluck, beating him very steadily for a quarter of an hour; at the expiration of which period they dropped into a couple of chairs, and requested to know what he had to say for himself.	true	51.95	71.11	23.542221
7868_110706_000002_000002	Gluck told them his story, of which, of course, they did not believe a word.	Gluck told them his story, of which, of course, they did not believe a word.	true	71.27	75.64	26.580774
7868_110706_000002_000003	They beat him again, till their arms were tired, and staggered to bed.	They beat him again, till their arms were tired, and staggered to bed.	true	75.77	80.05	26.61479
7868_110706_000002_000004	In the morning, however, the steadiness with which he adhered to his story obtained him some degree of credence; the immediate consequence of which was, that the two brothers, after wrangling a long time on the knotty question, which of them should try his fortune first, drew their swords and began fighting.	In the morning, however, the steadiness with which he adhered to his story obtained him some degree of credence; the immediate consequence of which was, that the two brothers, after wrangling a long time on the knotty question, which of them should try his fortune first, drew their swords and began fighting.	true	80.99	98.89	24.02704
7868_110706_000002_000005	The noise of the fray alarmed the neighbours who, finding they could not pacify the combatants, sent for the constable.	The noise of the fray alarmed the neighbours who, finding they could not pacify the combatants, sent for the constable.	true	99.26	106.36	21.649641
7868_110706_000003_000000	Hans, on hearing this, contrived to escape, and hid himself; but Schwartz was taken before the magistrate, fined for breaking the peace, and, having drunk out his last penny the evening before, was thrown into prison till he should pay.	Hans, on hearing this, contrived to escape, and hid himself; but Schwartz was taken before the magistrate, fined for breaking the peace, and, having drunk out his last penny the evening before, was thrown into prison till he should pay.	true	107.12	120.46	24.354618
7868_110706_000004_000000	When Hans heard this, he was much delighted, and determined to set out immediately for the Golden River.	When Hans heard this, he was much delighted, and determined to set out immediately for the Golden River.	true	121.31	126.88	23.32584
7868_110706_000004_000001	How to get the holy water was the question.	How to get the holy water was the question.	true	127.16	129.67	25.52501
7868_110706_000004_000002	He went to the priest, but the priest could not give any holy water to so abandoned a character.	He went to the priest, but the priest could not give any holy water to so abandoned a character.	false	130.07	135.97	23.69111
