8474_281188_000001_000001	He himself set them the example, and they all returned as they had come.	He himself set them the example, and they all returned as they had come.
8474_281188_000002_000000	When the troop was all got together, the captain told them the reason of their returning; and presently the conductor was declared by all worthy of death.	When the troop was all got together, the captain told them the reason of their returning; and presently the conductor was declared by all worthy of death.
8474_281188_000002_000001	He condemned himself, acknowledging that he ought to have taken better precaution, and prepared to receive the stroke from him who was appointed to cut off his head.	He condemned himself, acknowledging that he ought to have taken better precaution, and prepared to receive the stroke from him who was appointed to cut off his head.
8474_281188_000003_000000	Not long after, Morgiana, whose eyes nothing could escape, went out, and seeing the red chalk, and arguing with herself as she had done before, marked the other neighbors' houses in the same place and manner.	Not long after, Morgiana, whose eyes nothing could escape, went out, and seeing the red chalk, and arguing with herself as she had done before, marked the other neighbors' houses in the same place and manner.
8474_281188_000004_000000	The robber, at his return to his company, valued himself much on the precaution he had taken, which he looked upon as an infallible way of distinguishing Ali Baba's house from the others; and the captain and all of them thought it must succeed.	The robber, at his return to his company, valued himself much on the precaution he had taken, which he looked upon as an infallible way of distinguishing Ali Baba's house from the others; and the captain and all of them thought it must succeed.
8474_281188_000006_000000	The captain, having lost two brave fellows of his troop, was afraid of diminishing it too much by pursuing this plan to get information of the residence of their plunderer.	The captain, having lost two brave fellows of his troop, was afraid of diminishing it too much by pursuing this plan to get information of the residence of their plunderer.
8474_281188_000010_000002	He stopped his mules, addressed himself to him, and said, "I have brought some oil a great way to sell at to-morrow's market; and it is now so late that I do not know where to lodge.	He stopped his mules, addressed himself to him, and said, "I have brought some oil a great way to sell at to morrow's market; and it is now so late that I do not know where to lodge.
8474_281188_000010_000003	If I should not be troublesome to you, do me the favor to let me pass the night with you, and I shall be very much obliged by your hospitality."	If I should not be troublesome to you, do me the favor to let me pass the night with you, and I shall be very much obliged by your hospitality."
8474_281188_000011_000002	At the same time he called to a slave, and ordered him, when the mules were unloaded, to put them into the stable, and to feed them; and then went to Morgiana to bid her to get a good supper for his guest.	At the same time he called to a slave, and ordered him, when the mules were unloaded, to put them into the stable, and to feed them; and then went to Morgiana to bid her to get a good supper for his guest.
8474_281188_000011_000003	After they had finished supper, Ali Baba, charging Morgiana afresh to take care of his guest, said to her, "To-morrow morning I design to go to the bath before day; take care my bathing linen be ready, give them to Abdalla (which was the slave's name) and make me some good broth against I return." After this he went to bed.	After they had finished supper, Ali Baba, charging Morgiana afresh to take care of his guest, said to her, "To morrow morning I design to go to the bath before day; take care my bathing linen be ready, give them to Abdalla (which was the slave's name) and make me some good broth against I return." After this he went to bed.
8474_281188_000012_000000	In the meantime the captain of the robbers went into the yard, took off the lid of each jar, and gave his people orders what to do.	In the meantime the captain of the robbers went into the yard, took off the lid of each jar, and gave his people orders what to do.
8474_281188_000013_000001	What to do she did not know, for the broth must be made.	What to do she did not know, for the broth must be made.
8474_281188_000013_000002	Abdalla, seeing her very uneasy, said, "Do not fret and tease yourself, but go into the yard, and take some oil out of one of the jars."	Abdalla, seeing her very uneasy, said, "Do not fret and tease yourself, but go into the yard, and take some oil out of one of the jars."
8474_281188_000014_000000	Morgiana thanked Abdalla for his advice, took the oil-pot, and went into the yard; when, as she came nigh the first jar, the robber within said softly, "Is it time?"	Morgiana thanked Abdalla for his advice, took the oil pot, and went into the yard; when, as she came nigh the first jar, the robber within said softly, "Is it time?"
8474_281188_000016_000000	By this means Morgiana found that her master Ali Baba had admitted thirty-eight robbers into his house, and that this pretended oil merchant was their captain.	By this means Morgiana found that her master Ali Baba had admitted thirty eight robbers into his house, and that this pretended oil merchant was their captain.
8474_281188_000018_000000	She had not waited long before the captain of the robbers got up, opened the window, and finding no light, and hearing no noise, or any one stirring in the house, gave the appointed signal by throwing little stones, several of which hit the jars, as he doubted not by the sound they gave.	She had not waited long before the captain of the robbers got up, opened the window, and finding no light, and hearing no noise, or any one stirring in the house, gave the appointed signal by throwing little stones, several of which hit the jars, as he doubted not by the sound they gave.
8474_281188_000018_000001	He then listened, but not hearing or perceiving anything whereby he could judge that his companions stirred, he began to grow very uneasy, threw stones a second and also a third time, and could not comprehend the reason that none of them should answer his signal.	He then listened, but not hearing or perceiving anything whereby he could judge that his companions stirred, he began to grow very uneasy, threw stones a second and also a third time, and could not comprehend the reason that none of them should answer his signal.
8474_281188_000018_000002	Much alarmed, he went softly down into the yard, and going to the first jar, while asking the robber, whom he thought alive, if he was in readiness, smelled the hot boiled oil, which sent forth a steam out of the jar.	Much alarmed, he went softly down into the yard, and going to the first jar, while asking the robber, whom he thought alive, if he was in readiness, smelled the hot boiled oil, which sent forth a steam out of the jar.
8474_281188_000018_000003	Hence he suspected that his plot to murder Ali Baba, and plunder his house, was discovered.	Hence he suspected that his plot to murder Ali Baba, and plunder his house, was discovered.
