3274_163518_000000_000000	THE MASTER THIEF	THE MASTER THIEF	true	24.57	25.99	22.890324
3274_163518_000001_000000	Once upon a time there was a poor cottager who had three sons.	Once upon a time there was a poor cottager who had three sons.	true	26.99	30.7	21.591276
3274_163518_000001_000001	He had nothing to leave them when he died, and no money with which to put them to any trade, so that he did not know what to make of them.	He had nothing to leave them when he died, and no money with which to put them to any trade, so that he did not know what to make of them.	true	30.83	37.545	24.06267
3274_163518_000001_000002	At last he said he would give them leave to take to anything each liked best, and to go whithersoever they pleased, and he would go with them a bit of the way; and so he did.	At last he said he would give them leave to take to anything each liked best, and to go whithersoever they pleased, and he would go with them a bit of the way; and so he did.	true	37.545	46.66	20.327847
3274_163518_000001_000003	He went with them till they came to a place where three roads met, and there each of them chose a road, and their father bade them good-bye, and went back home.	He went with them till they came to a place where three roads met, and there each of them chose a road, and their father bade them good bye, and went back home.	false	46.94	54.87	22.669058
3274_163518_000001_000004	I have never heard tell what became of the two elder; but as for the youngest, he went both far and long, as you shall hear.	I have never heard tell what became of the two elder; but as for the youngest, he went both far and long, as you shall hear.	false	54.87	62.05	22.548365
3274_163518_000002_000000	So it fell out one night as he was going through a great wood that such bad weather overtook him.	So it fell out one night as he was going through a great wood that such bad weather overtook him.	true	63.32	68.115	22
3274_163518_000002_000001	It blew, and sleeted, and drove so that he could scarce keep his eyes open; and in a trice, before he knew how it was, he got bewildered, and could not find either road or path.	It blew, and sleeted, and drove so that he could scarce keep his eyes open; and in a trice, before he knew how it was, he got bewildered, and could not find either road or path.	true	68.115	78.58	22.196896
3274_163518_000002_000002	But as he went on and on, at last he saw a glimmering of light far far off in the wood.	But as he went on and on, at last he saw a glimmering of light far far off in the wood.	true	78.86	83.8	23.160845
3274_163518_000002_000003	So he thought he would try and get to the light; and after a time he did reach it.	So he thought he would try and get to the light; and after a time he did reach it.	false	84.29	88.12	23.129997
3274_163518_000002_000004	There it was in a large house, and the fire was blazing so brightly inside, that he could tell the folk had not yet gone to bed; so he went in and saw an old dame bustling about and minding the house.	There it was in a large house, and the fire was blazing so brightly inside, that he could tell the folk had not yet gone to bed; so he went in and saw an old dame bustling about and minding the house.	true	88.46	98.86	21.483076
3274_163518_000003_000000	'Good evening!' said the youth.	'Good evening!' said the youth.	true	99.32	100.87	27.236134
3274_163518_000004_000000	'Good evening!' said the old dame.	'Good evening!' said the old dame.	true	101.09	103.41	22.715326
3274_163518_000005_000000	'Hutetu! it's such foul weather out of doors to-night', said he.	'Hutetu! it's such foul weather out of doors to night', said he.	false	103.41	108.28	18.71303
3274_163518_000006_000000	'So it is', said she.	'So it is', said she.	true	108.77	111.07	20.76213
3274_163518_000007_000000	'Can I get leave to have a bed and shelter here to-night?' asked the youth.	'Can I get leave to have a bed and shelter here to night?' asked the youth.	true	111.08	114.64	23.292847
3274_163518_000008_000000	'You'll get no good by sleeping here', said the old dame; 'for if the folk come home and find you here, they'll kill both me and you.'	'You'll get no good by sleeping here', said the old dame; 'for if the folk come home and find you here, they'll kill both me and you.'	true	115.01	122.65	21.101185
3274_163518_000009_000000	'What sort of folk, then, are they who live here?' asked the youth.	'What sort of folk, then, are they who live here?' asked the youth.	false	123.68	126.675	20.283741
3274_163518_000010_000000	'Oh, robbers!	'Oh, robbers!	true	126.675	127.62	16
3274_163518_000010_000001	And a bad lot of them too', said the old dame.	And a bad lot of them too', said the old dame.	true	127.62	130.6	22.538784
3274_163518_000010_000002	'They stole me away when I was little, and have kept me as their housekeeper ever since.'	'They stole me away when I was little, and have kept me as their housekeeper ever since.'	true	130.64	135.13	20.59966
3274_163518_000011_000000	'Well, for all that, I think I'll just go to bed', said the youth. 'Come what may, I'll not stir out at night in such weather.'	'Well, for all that, I think I'll just go to bed', said the youth. 'Come what may, I'll not stir out at night in such weather.'	true	135.59	141.27	24.80321
3274_163518_000012_000000	'Very well', said the old dame; 'but if you stay, it will be the worse for you.'	'Very well', said the old dame; 'but if you stay, it will be the worse for you.'	false	141.27	146.38	20.567455
3274_163518_000013_000000	With that the youth got into a bed which stood there, but he dared not go to sleep, and very soon after in came the robbers; so the old dame told them how a stranger fellow had come in whom she had not been able to get out of the house again.	With that the youth got into a bed which stood there, but he dared not go to sleep, and very soon after in came the robbers; so the old dame told them how a stranger fellow had come in whom she had not been able to get out of the house again.	true	147.08	159.13	21.469524
3274_163518_000014_000000	'Did you see if he had any money?' said the robbers.	'Did you see if he had any money?' said the robbers.	false	159.95	162.43	23.81373
3274_163518_000015_000000	'Such a one as he money!' said the old dame, 'the tramper!	'Such a one as he money!' said the old dame, 'the tramper!	true	162.95	167.235	23.258188
3274_163518_000015_000001	Why, if he had clothes to his back, it was as much as he had.'	Why, if he had clothes to his back, it was as much as he had.'	true	167.235	170.8	23.29052
