7867_110742_000000_000000	XI	XI	false	22.62	23.01	-20
7867_110742_000001_000000	PETER RUGG, THE MISSING MAN[2]	peter RUGG, THE MISSING MAN[two]	false	23.01	28.53	21.829073
7867_110742_000002_000000	Sir--Agreeably to my promise, I now relate to you all the particulars of the lost man and child which I have been able to collect.	Sir-Agreeably to my promise, I now relate to you all the particulars of the lost man and child which I have been able to collect.	true	28.53	36.16	25.9604
7867_110742_000002_000001	It is entirely owing to the humane interest you seemed to take in the report, that I have pursued the inquiry to the following result.	It is entirely owing to the humane interest you seemed to take in the report, that I have pursued the inquiry to the following result.	true	36.32	43.18	22.62964
7867_110742_000003_000000	You may remember that business called me to Boston in the summer of 1820.	You may remember that business called me to Boston in the summer of eighteen twenty.	true	44.15	48.55	23.389872
7867_110742_000003_000001	I sailed in the packet to Providence, and when I arrived there I learned that every seat in the stage was engaged.	I sailed in the packet to Providence, and when I arrived there I learned that every seat in the stage was engaged.	true	48.68	54.69	23.95977
7867_110742_000003_000002	I was thus obliged either to wait a few hours or accept a seat with the driver, who civilly offered me that accommodation.	I was thus obliged either to wait a few hours or accept a seat with the driver, who civilly offered me that accommodation.	true	54.69	61.09	23.6905
7867_110742_000003_000003	Accordingly I took my seat by his side, and soon found him intelligent and communicative.	Accordingly I took my seat by his side, and soon found him intelligent and communicative.	true	61.19	66.16	25.17791
7867_110742_000004_000000	When we had travelled about ten miles, the horses suddenly threw their ears on their necks, as flat as a hare's.	When we had travelled about ten miles, the horses suddenly threw their ears on their necks, as flat as a hare's.	true	66.29	72.34	19.767817
7867_110742_000004_000001	Said the driver, "Have you a surtout with you?" "No," said I; "why do you ask?" "You will want one soon," said he; "do you observe the ears of all the horses?" "Yes, and was just about to ask the reason." "They see the storm-breeder, and we shall see him soon." At this moment there was not a cloud visible in the firmament.	Said the driver, "Have you a surtout with you?" "No," said I; "why do you ask?" "You will want one soon," said he; "do you observe the ears of all the horses?" "Yes, and was just about to ask the reason." "They see the storm breeder, and we shall see him soon." At this moment there was not a cloud visible in the firmament.	false	72.62	93.88	20.853073
7867_110742_000004_000002	Soon after a small speck appeared in the road.	Soon after a small speck appeared in the road.	true	94.19	97.63	22.04196
7867_110742_000004_000003	"There," said my companion, "comes the storm-breeder; he always leaves a Scotch mist behind him.	"There," said my companion, "comes the storm breeder; he always leaves a Scotch mist behind him.	true	97.97	104.77	22.18964
7867_110742_000004_000004	By many a wet jacket do I remember him.	By many a wet jacket do I remember him.	true	104.93	107.95	20
7867_110742_000004_000005	I suppose the poor fellow suffers much himself, much more than is known to the world." Presently a man with a child beside him, with a large black horse, and a weather-beaten chair, once built for a chaise body, passed in great haste, apparently at the rate of twelve miles an hour. He seemed to grasp the reins of his horse with firmness, and appeared to anticipate his speed.	I suppose the poor fellow suffers much himself, much more than is known to the world." Presently a man with a child beside him, with a large black horse, and a weather beaten chair, once built for a chaise body, passed in great haste, apparently at the rate of twelve miles an hour. He seemed to grasp the reins of his horse with firmness, and appeared to anticipate his speed.	true	108.08	130.15	21.266346
7867_110742_000004_000006	He seemed dejected, and looked anxiously at the passengers, particularly at the stage-driver and myself.	He seemed dejected, and looked anxiously at the passengers, particularly at the stage driver and myself.	true	130.19	136.87	25.42027
7867_110742_000004_000007	In a moment after he passed us, the horses' ears were up and bent themselves forward so that they nearly met.	In a moment after he passed us, the horses' ears were up and bent themselves forward so that they nearly met.	true	137.27	143.5	24.244722
7867_110742_000004_000008	"Who is that man?" said I; "he seems in great trouble." "Nobody knows who is he, but his person and the child are familiar to me.	"Who is that man?" said I; "he seems in great trouble." "Nobody knows who is he, but his person and the child are familiar to me.	false	143.75	152.71	19.0964
7867_110742_000004_000009	I have met them more than a hundred times, and have been so often asked the way to Boston by that man, even when he was travelling directly from that town, that of late I have refused any communication with him, and that is the reason he gave me such a fixed look." "But does he never stop anywhere?"	I have met them more than a hundred times, and have been so often asked the way to Boston by that man, even when he was travelling directly from that town, that of late I have refused any communication with him, and that is the reason he gave me such a fixed look." "But does he never stop anywhere?"	false	153.08	170.74	24.216064
7867_110742_000004_000010	"I have never known him to stop anywhere longer than to inquire the way to Boston; and, let him be where he may, he will tell you he cannot stay a moment, for he must reach Boston that night."	"I have never known him to stop anywhere longer than to inquire the way to Boston; and, let him be where he may, he will tell you he cannot stay a moment, for he must reach Boston that night."	true	170.81	182.23	20
7867_110742_000005_000000	We were now ascending a high hill in Walpole, and as we had a fair view of the heavens, I was rather disposed to jeer the driver for thinking of his surtout, as not a cloud as big as a marble could be discerned.	We were now ascending a high hill in Walpole, and as we had a fair view of the heavens, I was rather disposed to jeer the driver for thinking of his surtout, as not a cloud as big as a marble could be discerned.	false	183.35	194.41	19
7867_110742_000005_000001	"Do you look," said he, "in the direction whence the man came, that is the place to look; the storm never meets him, it follows him." We presently approached another hill, and when at the height, the driver pointed out in an eastern direction a little black speck as big as a hat.	"Do you look," said he, "in the direction whence the man came, that is the place to look; the storm never meets him, it follows him." We presently approached another hill, and when at the height, the driver pointed out in an eastern direction a little black speck as big as a hat.	true	195.08	212.26	25.36217
7867_110742_000005_000002	"There," said he, "is the seed storm; we may possibly reach Polley's before it reaches us, but the wanderer and his child will go to Providence through rain, thunder, and lightning." And now the horses, as though taught by instinct, hastened with increased speed.	"There," said he, "is the seed storm; we may possibly reach Polley's before it reaches us, but the wanderer and his child will go to Providence through rain, thunder, and lightning." And now the horses, as though taught by instinct, hastened with increased speed.	false	212.69	229.725	20.235722
7867_110742_000005_000003	The little black cloud came on rolling over the turnpike, and doubled and trebled itself in all directions.	The little black cloud came on rolling over the turnpike, and doubled and trebled itself in all directions.	true	229.725	235.51	19
7867_110742_000005_000004	The appearance of this cloud attracted the notice of all the passengers; for after it had spread itself to a great bulk, it suddenly became more limited in circumference, grew more compact, dark, and consolidated.	The appearance of this cloud attracted the notice of all the passengers; for after it had spread itself to a great bulk, it suddenly became more limited in circumference, grew more compact, dark, and consolidated.	true	235.88	248.08	25.02833
7867_110742_000005_000005	And now the successive flashes of chain lightning caused the whole cloud to appear like a sort of irregular network, and displayed a thousand fantastic images.	And now the successive flashes of chain lightning caused the whole cloud to appear like a sort of irregular network, and displayed a thousand fantastic images.	true	248.33	257.59	17
7867_110742_000005_000006	The driver bespoke my attention to a remarkable configuration in the cloud; he said every flash of lightning near its centre discovered to him distinctly the form of a man sitting in an open carriage drawn by a black horse.	The driver bespoke my attention to a remarkable configuration in the cloud; he said every flash of lightning near its centre discovered to him distinctly the form of a man sitting in an open carriage drawn by a black horse.	true	257.9	271.57	19.631876
7867_110742_000005_000007	But in truth I saw no such thing.	But in truth I saw no such thing.	true	272.03	274.12	20.37914
7867_110742_000005_000008	The man's fancy was doubtless at fault.	The man's fancy was doubtless at fault.	true	274.31	276.495	21.501978
7867_110742_000005_000009	It is a very common thing for the imagination to paint for the senses, both in the visible and invisible world.	It is a very common thing for the imagination to paint for the senses, both in the visible and invisible world.	true	276.495	282.43	22
7867_110742_000006_000000	In the meantime the distant thunder gave notice of a shower at hand, and just as we reached Polley's tavern the rain poured down in torrents.	In the meantime the distant thunder gave notice of a shower at hand, and just as we reached Polley's tavern the rain poured down in torrents.	true	282.62	290.02	20
7867_110742_000006_000001	It was soon over, the cloud passing in the direction of the turnpike toward Providence.	It was soon over, the cloud passing in the direction of the turnpike toward Providence.	true	290.24	294.4	23.86917
7867_110742_000006_000002	In a few moments after, a respectable-looking man in a chaise stopped at the door.	In a few moments after, a respectable looking man in a chaise stopped at the door.	true	294.56	299.11	25
7867_110742_000006_000003	The man and child in the chair having excited some little sympathy among the passengers, the gentleman was asked if he had observed them.	The man and child in the chair having excited some little sympathy among the passengers, the gentleman was asked if he had observed them.	true	299.48	306.43	19
7867_110742_000006_000004	He said he had met them; that the man seemed bewildered, and inquired the way to Boston; that he was driving at great speed, as though he expected to outstrip the tempest; that the moment he had passed him a thunderclap broke distinctly over the man's head and seemed to envelop both man and child, horse and carriage.	He said he had met them; that the man seemed bewildered, and inquired the way to Boston; that he was driving at great speed, as though he expected to outstrip the tempest; that the moment he had passed him a thunderclap broke distinctly over the man's head and seemed to envelop both man and child, horse and carriage.	true	306.71	324.4	22.099953
7867_110742_000006_000005	"I stopped," said the gentleman, "supposing the lightning had struck him, but the horse only seemed to loom up and increase his speed, and, as well as I could judge, he travelled just as fast as the thunder cloud." While this man was speaking, a peddler with a cart of tin merchandise came up, all dripping; and, on being questioned, he said he had met that man and carriage, within a fortnight, in four different States; that at each time he had inquired the way to Boston; and that a thunder shower like the present had each time deluged him, his wagon and his wares, setting his tin pots, etc., afloat, so that he had determined to get marine insurance done for the future.	"I stopped," said the gentleman, "supposing the lightning had struck him, but the horse only seemed to loom up and increase his speed, and, as well as I could judge, he travelled just as fast as the thunder cloud." While this man was speaking, a peddler with a cart of tin merchandise came up, all dripping; and, on being questioned, he said he had met that man and carriage, within a fortnight, in four different States; that at each time he had inquired the way to Boston; and that a thunder shower like the present had each time deluged him, his wagon and his wares, setting his tin pots, etc, afloat, so that he had determined to get marine insurance done for the future.	false	324.74	362.53	21.179258
7867_110742_000006_000006	But that which excited his surprise most was the strange conduct of his horse, for that, long before he could distinguish the man in the chair, his own horse stood still in the road and flung back his ears.	But that which excited his surprise most was the strange conduct of his horse, for that, long before he could distinguish the man in the chair, his own horse stood still in the road and flung back his ears.	true	362.66	374.95	25.338074
7867_110742_000006_000007	"In short," said the peddler, "I wish never to see that man and horse again; they do not look to me as if they belonged to this world."	"In short," said the peddler, "I wish never to see that man and horse again; they do not look to me as if they belonged to this world."	false	375.26	383.68	19.651146
7867_110742_000007_000000	This is all that I could learn at that time; and the occurrence soon after would have become with me like one of those things which had never happened, had I not, as I stood recently on the doorstep of Bennett's Hotel in Hartford, heard a man say, "There goes Peter Rugg and his child! he looks wet and weary, and farther from Boston than ever." I was satisfied it was the same man that I had seen more than three years before; for whoever has once seen Peter Rugg can never after be deceived as to his identity.	This is all that I could learn at that time; and the occurrence soon after would have become with me like one of those things which had never happened, had I not, as I stood recently on the doorstep of Bennett's Hotel in Hartford, heard a man say, "There goes peter Rugg and his child! he looks wet and weary, and farther from Boston than ever." I was satisfied it was the same man that I had seen more than three years before; for whoever has once seen peter Rugg can never after be deceived as to his identity.	false	384.35	413.98	21.040445
7867_110742_000007_000001	"Peter Rugg!" said I, "and who is Peter Rugg?" "That," said the stranger, "is more than anyone can tell exactly.	"peter Rugg!" said I, "and who is peter Rugg?" "That," said the stranger, "is more than anyone can tell exactly.	true	414.17	422.29	20.350462
7867_110742_000007_000002	He is a famous traveller, held in light esteem by all inn-holders, for he never stops to eat, drink, or sleep.	He is a famous traveller, held in light esteem by all inn holders, for he never stops to eat, drink, or sleep.	true	422.51	430.17	15
7867_110742_000007_000003	I wonder why the Government does not employ him to carry the mail." "Ay," said a bystander, "that is a thought bright only on one side.	I wonder why the Government does not employ him to carry the mail." "Ay," said a bystander, "that is a thought bright only on one side.	false	430.17	437.73	19.132113
7867_110742_000007_000004	How long would it take, in that case, to send a letter to Boston?	How long would it take, in that case, to send a letter to Boston?	true	437.73	440.77	21
7867_110742_000007_000005	For Peter has already, to my knowledge, been more than twenty years travelling to that place." "But," said I, "does the man never stop anywhere, does he never converse with anyone?	For peter has already, to my knowledge, been more than twenty years travelling to that place." "But," said I, "does the man never stop anywhere, does he never converse with anyone?	true	440.87	450.85	22.493004
7867_110742_000007_000006	I saw the same man more than three years since, near Providence, and I heard a strange story about him. Pray, sir, give me some account of this man." "Sir," said the stranger, "those who know the most respecting that man say the least. I have heard it asserted that heaven sometimes sets a mark on a man, either for judgment or trial.	I saw the same man more than three years since, near Providence, and I heard a strange story about him. Pray, sir, give me some account of this man." "Sir," said the stranger, "those who know the most respecting that man say the least. I have heard it asserted that heaven sometimes sets a mark on a man, either for judgment or trial.	true	451.1	473.65	21.635736
