2494_156017_000000_000000	THOUGHT AND PURPOSE	THOUGHT AND PURPOSE	true	22.575	24.1	25.975214
2494_156017_000001_000000	UNTIL thought is linked with purpose there is no intelligent accomplishment.	UNTIL thought is linked with purpose there is no intelligent accomplishment.	true	24.74	29.62	25.63428
2494_156017_000001_000001	With the majority the bark of thought is allowed to "drift" upon the ocean of life.	With the majority the bark of thought is allowed to "drift" upon the ocean of life.	true	30.23	34.99	22
2494_156017_000001_000002	Aimlessness is a vice, and such drifting must not continue for him who would steer clear of catastrophe and destruction.	Aimlessness is a vice, and such drifting must not continue for him who would steer clear of catastrophe and destruction.	true	35.63	42.97	20
2494_156017_000002_000000	They who have no central purpose in their life fall an easy prey to petty worries, fears, troubles, and self-pityings, all of which are indications of weakness, which lead, just as surely as deliberately planned sins (though by a different route), to failure, unhappiness, and loss, for weakness cannot persist in a power evolving universe.	They who have no central purpose in their life fall an easy prey to petty worries, fears, troubles, and self pityings, all of which are indications of weakness, which lead, just as surely as deliberately planned sins (though by a different route), to failure, unhappiness, and loss, for weakness cannot persist in a power evolving universe.	true	44.24	68.41	20.749353
2494_156017_000003_000000	A man should conceive of a legitimate purpose in his heart, and set out to accomplish it.	A man should conceive of a legitimate purpose in his heart, and set out to accomplish it.	true	69.8	75.34	23.308811
2494_156017_000003_000001	He should make this purpose the centralizing point of his thoughts.	He should make this purpose the centralizing point of his thoughts.	true	75.86	79.6	20
2494_156017_000003_000002	It may take the form of a spiritual ideal, or it may be a worldly object, according to his nature at the time being; but whichever it is, he should steadily focus his thought-forces upon the object, which he has set before him.	It may take the form of a spiritual ideal, or it may be a worldly object, according to his nature at the time being; but whichever it is, he should steadily focus his thought forces upon the object, which he has set before him.	true	80.18	94.45	21.669006
2494_156017_000003_000003	He should make this purpose his supreme duty, and should devote himself to its attainment, not allowing his thoughts to wander away into ephemeral fancies, longings, and imaginings.	He should make this purpose his supreme duty, and should devote himself to its attainment, not allowing his thoughts to wander away into ephemeral fancies, longings, and imaginings.	false	95.33	106.69	19.883423
2494_156017_000003_000004	This is the royal road to self-control and true concentration of thought.	This is the royal road to self control and true concentration of thought.	true	107.42	111.94	21.77209
2494_156017_000003_000005	Even if he fails again and again to accomplish his purpose (as he necessarily must until weakness is overcome), the _strength of character gained_ will be the measure of _his true_ success, and this will form a new starting-point for future power and triumph.	Even if he fails again and again to accomplish his purpose (as he necessarily must until weakness is overcome), the underscore strength of character gained underscore will be the measure of underscore his true underscore success, and this will form a new starting point for future power and triumph.	false	112.46	129.43	20.696909
2494_156017_000004_000000	Those who are not prepared for the apprehension of a _great_ purpose should fix the thoughts upon the faultless performance of their duty, no matter how insignificant their task may appear.	Those who are not prepared for the apprehension of a underscore great underscore purpose should fix the thoughts upon the faultless performance of their duty, no matter how insignificant their task may appear.	false	130.46	141.64	22
2494_156017_000004_000001	Only in this way can the thoughts be gathered and focussed, and resolution and energy be developed, which being done, there is nothing which may not be accomplished.	Only in this way can the thoughts be gathered and focussed, and resolution and energy be developed, which being done, there is nothing which may not be accomplished.	true	142.43	152.32	22.030087
