6904_262291_000002_000000	CHAPTER XXVI.	CHAPTER twenty six.
6904_262291_000003_000000	CHECKMATED.	CHECKMATED.
6904_262291_000004_000000	Constance Channing proceeded to her duties as usual at Lady Augusta Yorke's.	Constance Channing proceeded to her duties as usual at Lady Augusta Yorke's.
6904_262291_000004_000001	She drew her veil over her face, only to traverse the very short way that conveyed her thither, for the sense of shame was strong upon her; not shame for Arthur, but for Hamish.	She drew her veil over her face, only to traverse the very short way that conveyed her thither, for the sense of shame was strong upon her; not shame for Arthur, but for Hamish.
6904_262291_000004_000002	It had half broken Constance's heart.	It had half broken Constance's heart.
6904_262291_000005_000000	There are times in our every-day lives when all things seem to wear a depressing aspect, turn which way we will.	There are times in our every day lives when all things seem to wear a depressing aspect, turn which way we will.
6904_262291_000005_000001	They were wearing it that day to Constance.	They were wearing it that day to Constance.
6904_262291_000005_000002	Apart from home troubles, she felt particularly discouraged in the educational task she had undertaken.	Apart from home troubles, she felt particularly discouraged in the educational task she had undertaken.
6904_262291_000005_000003	You heard the promise made to her by Caroline Yorke, to be up and ready for her every morning at seven.	You heard the promise made to her by Caroline Yorke, to be up and ready for her every morning at seven.
6904_262291_000005_000004	Caroline kept it for two mornings and then failed. This morning and the previous morning Constance had been there at seven, and returned home without seeing either of the children.	Caroline kept it for two mornings and then failed. This morning and the previous morning Constance had been there at seven, and returned home without seeing either of the children.
6904_262291_000005_000005	Both were ready for her when she entered now.	Both were ready for her when she entered now.
6904_262291_000006_000000	"How am I to deal with you?" she said to Caroline, in a sad but affectionate tone.	"How am I to deal with you?" she said to Caroline, in a sad but affectionate tone.
6904_262291_000006_000001	"I do not wish to force you to obey me; I would prefer that you should do it cheerfully."	"I do not wish to force you to obey me; I would prefer that you should do it cheerfully."
6904_262291_000007_000000	"It is tiresome to get up early," responded Caroline.	"It is tiresome to get up early," responded Caroline.
6904_262291_000007_000001	"I can't wake when Martha comes."	"I can't wake when Martha comes."
6904_262291_000008_000000	"Whether Martha goes to you at seven, or at eight, or at nine, she has the same trouble to get you up."	"Whether Martha goes to you at seven, or at eight, or at nine, she has the same trouble to get you up."
6904_262291_000009_000000	"I don't see any good in getting up early," cried Caroline.	"I don't see any good in getting up early," cried Caroline.
6904_262291_000010_000000	"Do you see any good in acquiring good habits, instead of bad ones?" asked Constance.	"Do you see any good in acquiring good habits, instead of bad ones?" asked Constance.
6904_262291_000011_000001	We are ladies. It's only the poor who need get up at unreasonable hours--those who have their living to earn."	We are ladies. It's only the poor who need get up at unreasonable hours-those who have their living to earn."
6904_262291_000012_000000	"Is it only the poor who are accountable to God for waste of time, Caroline?"	"Is it only the poor who are accountable to God for waste of time, Caroline?"
6904_262291_000013_000000	Caroline paused.	Caroline paused.
6904_262291_000013_000001	She did not like to give up her argument.	She did not like to give up her argument.
6904_262291_000013_000003	I don't think real ladies ever do it."	I don't think real ladies ever do it."
6904_262291_000014_000000	"You think 'real ladies' wait until the sun has been up a few hours and warmed the earth for them?"	"You think 'real ladies' wait until the sun has been up a few hours and warmed the earth for them?"
6904_262291_000015_000001	But it was not spoken very readily, for she had a suspicion that Miss Channing was laughing at her.	But it was not spoken very readily, for she had a suspicion that Miss Channing was laughing at her.
6904_262291_000017_000000	Caroline pouted.	Caroline pouted.
6904_262291_000017_000001	"Don't you call Colonel Jolliffe's daughters ladies, Miss Channing?"	"Don't you call Colonel Jolliffe's daughters ladies, Miss Channing?"
6904_262291_000018_000000	"Yes--in position."	"Yes-in position."
6904_262291_000019_000000	"That's where we went yesterday, you know.	"That's where we went yesterday, you know.
6904_262291_000019_000001	Mary Jolliffe says she never gets up until half-past eight, and that it is not lady-like to get up earlier.	Mary Jolliffe says she never gets up until half past eight, and that it is not lady like to get up earlier.
6904_262291_000019_000002	Real ladies don't, Miss Channing."	Real ladies don't, Miss Channing."
6904_262291_000020_000000	"My dear, shall I relate to you an anecdote that I have heard?"	"My dear, shall I relate to you an anecdote that I have heard?"
6904_262291_000021_000000	"Oh, yes!" replied Caroline, her listless mood changing to animation; anecdotes, or anything of that desultory kind, being far more acceptable to the young lady than lessons.	"Oh, yes!" replied Caroline, her listless mood changing to animation; anecdotes, or anything of that desultory kind, being far more acceptable to the young lady than lessons.
6904_262291_000022_000000	"Before I begin, will you tell me whether you condescend to admit that our good Queen is a 'real lady'?"	"Before I begin, will you tell me whether you condescend to admit that our good Queen is a 'real lady'?"
6904_262291_000023_000000	"Oh, Miss Channing, now you are laughing at me!	"Oh, Miss Channing, now you are laughing at me!
6904_262291_000023_000001	As if any one, in all England, could be so great a lady as the Queen."	As if any one, in all England, could be so great a lady as the Queen."
6904_262291_000024_000000	"Very good.	"Very good.
6904_262291_000024_000001	When she was a little girl, a child of her own age, the daughter of one of the nobility, was brought to Kensington Palace to spend the day with her.	When she was a little girl, a child of her own age, the daughter of one of the nobility, was brought to Kensington Palace to spend the day with her.
6904_262291_000024_000002	In talking together, the Princess Victoria mentioned something she had seen when out of doors that morning at seven o'clock.	In talking together, the Princess Victoria mentioned something she had seen when out of doors that morning at seven o'clock.
6904_262291_000024_000003	'At seven o'clock!' exclaimed the young visitor; 'how early that is to be abroad!	'At seven o'clock!' exclaimed the young visitor; 'how early that is to be abroad!
6904_262291_000024_000004	I never get out of bed until eight.	I never get out of bed until eight.
6904_262291_000024_000006	We may be thankful to her admirable mother for making her in that, as in many other things, a pattern to us."	We may be thankful to her admirable mother for making her in that, as in many other things, a pattern to us."
6904_262291_000025_000000	"Is it a true anecdote, Miss Channing?"	"Is it a true anecdote, Miss Channing?"
6904_262291_000026_000000	"It was related to my mother, many years ago, by a lady who was, at that time, very much at Kensington Palace.	"It was related to my mother, many years ago, by a lady who was, at that time, very much at Kensington Palace.
6904_262291_000026_000001	I think there is little doubt of its truth.	I think there is little doubt of its truth.
6904_262291_000026_000002	One fact we all know, Caroline: the Queen retains her early habits, and implants them in her children.	One fact we all know, Caroline: the Queen retains her early habits, and implants them in her children.
6904_262291_000026_000003	What do you suppose would be her Majesty's surprise, were one of her daughters--say, the Princess Helena, or the Princess Louise--to decline to rise early for their morning studies with their governess, Miss Hildyard, on the plea that it was not 'lady-like'?"	What do you suppose would be her Majesty's surprise, were one of her daughters-say, the Princess Helena, or the Princess Louise-to decline to rise early for their morning studies with their governess, Miss Hildyard, on the plea that it was not 'lady like'?"
6904_262291_000027_000000	Caroline's objection appeared to be melting away under her.	Caroline's objection appeared to be melting away under her.
6904_262291_000027_000001	"But it is a dreadful plague," she grumbled, "to be obliged to get up from one's nice warm bed, for the sake of some horrid old lessons!"	"But it is a dreadful plague," she grumbled, "to be obliged to get up from one's nice warm bed, for the sake of some horrid old lessons!"
6904_262291_000028_000001	"Put that notion away from you at once and for ever, Caroline; there cannot be a more false one.	"Put that notion away from you at once and for ever, Caroline; there cannot be a more false one.
6904_262291_000028_000002	The higher we go in the scale of life, the more onerous become our duties in this world, and the greater is our responsibility to God.	The higher we go in the scale of life, the more onerous become our duties in this world, and the greater is our responsibility to God.
6904_262291_000028_000003	He to whom five talents were intrusted, did not make them other five by wasting his days in idleness.	He to whom five talents were intrusted, did not make them other five by wasting his days in idleness.
6904_262291_000029_000001	"I wish mamma had trained me to it when I was a child, as the Duchess of Kent trained the princess!	"I wish mamma had trained me to it when I was a child, as the Duchess of Kent trained the princess!
6904_262291_000029_000002	I might have learned to like it by this time."	I might have learned to like it by this time."
6904_262291_000030_000000	"Long before this," said Constance.	"Long before this," said Constance.
6904_262291_000030_000001	"Do you remember the good old saying, 'Do what you ought, that you may do what you like'?	"Do you remember the good old saying, 'Do what you ought, that you may do what you like'?
6904_262291_000030_000002	Habit is second nature.	Habit is second nature.
6904_262291_000030_000003	Were I told that I might lie in bed every morning until nine or ten o'clock, as a great favour, I should consider it a great punishment."	Were I told that I might lie in bed every morning until nine or ten o'clock, as a great favour, I should consider it a great punishment."
6904_262291_000031_000000	"But I have not been trained to get up, Miss Channing; and it is nothing short of punishment to me to do so."	"But I have not been trained to get up, Miss Channing; and it is nothing short of punishment to me to do so."
6904_262291_000032_000000	"The punishment of self-denial we all have to bear, Caroline.	"The punishment of self denial we all have to bear, Caroline.
6904_262291_000032_000001	But I can tell you what will take away half its sting."	But I can tell you what will take away half its sting."
6904_262291_000033_000000	"What?" asked Caroline, eagerly.	"What?" asked Caroline, eagerly.
6904_262291_000034_000000	Constance bent towards her.	Constance bent towards her.
6904_262291_000034_000001	"Jesus Christ said, 'If any will come after me, let him deny himself, and take up his cross daily, and follow me.' When once we learn HOW to take it up cheerfully, bravely, for His sake, looking to Him to be helped, the sting is gone.	"Jesus Christ said, 'If any will come after me, let him deny himself, and take up his cross daily, and follow me.' When once we learn HOW to take it up cheerfully, bravely, for His sake, looking to Him to be helped, the sting is gone.
6904_262291_000034_000002	'No cross, no crown,' you know, my children."	'No cross, no crown,' you know, my children."
6904_262291_000035_000000	"No cross, no crown!" Constance had sufficient cross to carry just then.	"No cross, no crown!" Constance had sufficient cross to carry just then.
6904_262291_000035_000001	In the course of the morning Lady Augusta came into the room boisterously, her manner indicative of great surprise.	In the course of the morning Lady Augusta came into the room boisterously, her manner indicative of great surprise.
6904_262291_000036_000001	Some visitors have just called in upon me, and they say the town is ringing with the news."	Some visitors have just called in upon me, and they say the town is ringing with the news."
6904_262291_000037_000000	It was one of the first of Constance Channing's bitter pills; they were to be her portion for many a day.	It was one of the first of Constance Channing's bitter pills; they were to be her portion for many a day.
6904_262291_000037_000001	Her heart fluttered, her cheek varied, and her answer to Lady Augusta Yorke was low and timid.	Her heart fluttered, her cheek varied, and her answer to Lady Augusta Yorke was low and timid.
6904_262291_000038_000000	"It is true that he was arrested yesterday on suspicion."	"It is true that he was arrested yesterday on suspicion."
6904_262291_000039_000000	"What a shocking thing!	"What a shocking thing!
6904_262291_000039_000001	Is he in prison?"	Is he in prison?"
6904_262291_000040_000000	"Oh no."	"Oh no"
6904_262291_000041_000000	"Did he take the note?"	"Did he take the note?"
6904_262291_000042_000000	The question pained Constance worse than all.	The question pained Constance worse than all.
6904_262291_000042_000001	"He did not take it," she replied, in a clear, soft tone.	"He did not take it," she replied, in a clear, soft tone.
6904_262291_000042_000002	"To those who know Arthur well, it would be impossible to think so."	"To those who know Arthur well, it would be impossible to think so."
6904_262291_000043_000000	"But he was before the magistrates yesterday, I hear, and is going up again to-day."	"But he was before the magistrates yesterday, I hear, and is going up again to day."
6904_262291_000044_000000	"Yes, that is so."	"Yes, that is so."
6904_262291_000045_000000	"And Roland could not open his lips to tell me of this when I came home last night!" grumbled my lady.	"And Roland could not open his lips to tell me of this when I came home last night!" grumbled my lady.
6904_262291_000045_000001	"We were late, and he was the only one up; Gerald and Tod were in bed.	"We were late, and he was the only one up; Gerald and Tod were in bed.
6904_262291_000045_000002	I shall ask him why he did not.	I shall ask him why he did not.
6904_262291_000045_000003	But, Miss Channing, this must be a dreadful blow for you all?"	But, Miss Channing, this must be a dreadful blow for you all?"
6904_262291_000046_000000	"It would be far worse, Lady Augusta, if we believed him guilty," she replied from her aching heart.	"It would be far worse, Lady Augusta, if we believed him guilty," she replied from her aching heart.
