70_121127_000000_000000	Chapter 107.	Chapter one hundred seven.	true	17.145	18.7	24.083824
70_121127_000000_000001	The Lions' Den.	The Lions' Den.	true	18.74	19.96	21.225624
70_121127_000001_000000	One division of La Force, in which the most dangerous and desperate prisoners are confined, is called the court of Saint-Bernard.	One division of La Force, in which the most dangerous and desperate prisoners are confined, is called the court of Saint Bernard.	true	22.91	29.26	22.367807
70_121127_000001_000001	The prisoners, in their expressive language, have named it the "Lions' Den," probably because the captives possess teeth which frequently gnaw the bars, and sometimes the keepers also.	The prisoners, in their expressive language, have named it the "Lions' Den," probably because the captives possess teeth which frequently gnaw the bars, and sometimes the keepers also.	true	29.42	38.98	21.239773
70_121127_000001_000002	It is a prison within a prison; the walls are double the thickness of the rest.	It is a prison within a prison; the walls are double the thickness of the rest.	true	39.23	43.15	22.683538
70_121127_000001_000003	The gratings are every day carefully examined by jailers, whose herculean proportions and cold pitiless expression prove them to have been chosen to reign over their subjects for their superior activity and intelligence.	The gratings are every day carefully examined by jailers, whose herculean proportions and cold pitiless expression prove them to have been chosen to reign over their subjects for their superior activity and intelligence.	true	43.31	55.17	21.053858
70_121127_000001_000004	The court-yard of this quarter is enclosed by enormous walls, over which the sun glances obliquely, when it deigns to penetrate into this gulf of moral and physical deformity.	The court yard of this quarter is enclosed by enormous walls, over which the sun glances obliquely, when it deigns to penetrate into this gulf of moral and physical deformity.	true	55.17	63.97	17
70_121127_000001_000005	On this paved yard are to be seen,--pacing to and fro from morning till night, pale, careworn, and haggard, like so many shadows,--the men whom justice holds beneath the steel she is sharpening.	On this paved yard are to be seen,--pacing to and fro from morning till night, pale, careworn, and haggard, like so many shadows,--the men whom justice holds beneath the steel she is sharpening.	true	64.73	76.3	21.201593
70_121127_000001_000006	There, crouched against the side of the wall which attracts and retains the most heat, they may be seen sometimes talking to one another, but more frequently alone, watching the door, which sometimes opens to call forth one from the gloomy assemblage, or to throw in another outcast from society.	There, crouched against the side of the wall which attracts and retains the most heat, they may be seen sometimes talking to one another, but more frequently alone, watching the door, which sometimes opens to call forth one from the gloomy assemblage, or to throw in another outcast from society.	true	76.94	93.28	22.033346
70_121127_000002_000000	The court of Saint-Bernard has its own particular apartment for the reception of guests; it is a long rectangle, divided by two upright gratings placed at a distance of three feet from one another to prevent a visitor from shaking hands with or passing anything to the prisoners. It is a wretched, damp, nay, even horrible spot, more especially when we consider the agonizing conferences which have taken place between those iron bars.	The court of Saint Bernard has its own particular apartment for the reception of guests; it is a long rectangle, divided by two upright gratings placed at a distance of three feet from one another to prevent a visitor from shaking hands with or passing anything to the prisoners. It is a wretched, damp, nay, even horrible spot, more especially when we consider the agonizing conferences which have taken place between those iron bars.	true	95.93	120.31	21.828201
70_121127_000002_000001	And yet, frightful though this spot may be, it is looked upon as a kind of paradise by the men whose days are numbered; it is so rare for them to leave the Lions' Den for any other place than the barrier Saint-Jacques or the galleys!	And yet, frightful though this spot may be, it is looked upon as a kind of paradise by the men whose days are numbered; it is so rare for them to leave the Lions' Den for any other place than the barrier Saint Jacques or the galleys!	true	120.77	134.05	21.560503
70_121127_000003_000000	In the court which we have attempted to describe, and from which a damp vapor was rising, a young man with his hands in his pockets, who had excited much curiosity among the inhabitants of the "Den," might be seen walking.	In the court which we have attempted to describe, and from which a damp vapor was rising, a young man with his hands in his pockets, who had excited much curiosity among the inhabitants of the "Den," might be seen walking.	true	134.21	146.35	22.687101
70_121127_000003_000001	The cut of his clothes would have made him pass for an elegant man, if those clothes had not been torn to shreds; still they did not show signs of wear, and the fine cloth, beneath the careful hands of the prisoner, soon recovered its gloss in the parts which were still perfect, for the wearer tried his best to make it assume the appearance of a new coat.	The cut of his clothes would have made him pass for an elegant man, if those clothes had not been torn to shreds; still they did not show signs of wear, and the fine cloth, beneath the careful hands of the prisoner, soon recovered its gloss in the parts which were still perfect, for the wearer tried his best to make it assume the appearance of a new coat.	true	147.29	166.15	23.09496
70_121127_000003_000002	He bestowed the same attention upon the cambric front of a shirt, which had considerably changed in color since his entrance into the prison, and he polished his varnished boots with the corner of a handkerchief embroidered with initials surmounted by a coronet.	He bestowed the same attention upon the cambric front of a shirt, which had considerably changed in color since his entrance into the prison, and he polished his varnished boots with the corner of a handkerchief embroidered with initials surmounted by a coronet.	true	167.33	179.71	22.12647
70_121127_000003_000003	Some of the inmates of the "Lions' Den" were watching the operations of the prisoner's toilet with considerable interest.	Some of the inmates of the "Lions' Den" were watching the operations of the prisoner's toilet with considerable interest.	true	181.4	187.18	22
70_121127_000003_000004	"See, the prince is pluming himself," said one of the thieves.	"See, the prince is pluming himself," said one of the thieves.	true	187.61	190.87	21.74438
