1603_139324_000000_000000	CHAPTER XXIII	CHAPTER twenty three
1603_139324_000002_000002	Each of these facts seemed struggling for complete possession of his thoughts.	Each of these facts seemed struggling for complete possession of his thoughts.
1603_139324_000002_000004	The men in yellow, and men whom he fancied were called Ward Leaders, were either propelling him forward or following him obediently; it was hard to tell.	The men in yellow, and men whom he fancied were called Ward Leaders, were either propelling him forward or following him obediently; it was hard to tell.
1603_139324_000002_000006	Perhaps some power unseen and unsuspected propelled them all.	Perhaps some power unseen and unsuspected propelled them all.
1603_139324_000002_000008	Many little things happened, and then he found himself with the man in yellow entering a little room where this proclamation of his was to be made.	Many little things happened, and then he found himself with the man in yellow entering a little room where this proclamation of his was to be made.
1603_139324_000003_000001	In the centre was a bright oval lit by shaded electric lights from above.	In the centre was a bright oval lit by shaded electric lights from above.
1603_139324_000003_000004	The huge ears of a phonographic mechanism gaped in a battery for his words, the black eyes of great photographic cameras awaited his beginning, beyond metal rods and coils glittered dimly, and something whirled about with a droning hum.	The huge ears of a phonographic mechanism gaped in a battery for his words, the black eyes of great photographic cameras awaited his beginning, beyond metal rods and coils glittered dimly, and something whirled about with a droning hum.
1603_139324_000003_000005	He walked into the centre of the light, and his shadow drew together black and sharp to a little blot at his feet.	He walked into the centre of the light, and his shadow drew together black and sharp to a little blot at his feet.
1603_139324_000004_000005	"For a moment," he said, "I must wait.	"For a moment," he said, "I must wait.
1603_139324_000005_000000	While he was still hesitating there came an agitated messenger with news that the foremost aeroplanes were passing over Madrid.	While he was still hesitating there came an agitated messenger with news that the foremost aeroplanes were passing over Madrid.
1603_139324_000008_000000	"Ready!"	"Ready!"
1603_139324_000010_000002	Aeroplanes at Madrid!	Aeroplanes at Madrid!
1603_139324_000011_000000	"Oh! what can it matter whether I speak well or ill?" he said, and felt the light grow brighter.	"Oh! what can it matter whether I speak well or ill?" he said, and felt the light grow brighter.
1603_139324_000012_000003	Abruptly it was perfectly clear to him that this revolt against Ostrog was premature, foredoomed to failure, the impulse of passionate inadequacy against inevitable things.	Abruptly it was perfectly clear to him that this revolt against Ostrog was premature, foredoomed to failure, the impulse of passionate inadequacy against inevitable things.
1603_139324_000012_000008	Even as he stood, awkward, hesitating, with an indiscreet apology for his inability trembling on his lips, came the noise of many people crying out, the running to and fro of feet.	Even as he stood, awkward, hesitating, with an indiscreet apology for his inability trembling on his lips, came the noise of many people crying out, the running to and fro of feet.
1603_139324_000012_000009	"Wait," cried someone, and a door opened.	"Wait," cried someone, and a door opened.
1603_139324_000012_000010	Graham turned, and the watching lights waned.	Graham turned, and the watching lights waned.
1603_139324_000013_000000	Through the open doorway he saw a slight girlish figure approaching.	Through the open doorway he saw a slight girlish figure approaching.
1603_139324_000013_000001	His heart leapt.	His heart leapt.
1603_139324_000013_000002	It was Helen Wotton.	It was Helen Wotton.
1603_139324_000014_000000	"This is the girl who told us what Ostrog had done," he said.	"This is the girl who told us what Ostrog had done," he said.
1603_139324_000015_000000	She came in very quietly, and stood still, as if she did not want to interrupt Graham's eloquence....	She came in very quietly, and stood still, as if she did not want to interrupt Graham's eloquence....
1603_139324_000015_000001	But his doubts and questionings fled before her presence.	But his doubts and questionings fled before her presence.
1603_139324_000015_000003	He turned back to her.	He turned back to her.
1603_139324_000016_000000	"You have helped me," he said lamely--"helped me very much....	"You have helped me," he said lamely-"helped me very much....
1603_139324_000017_000001	He addressed himself to the unseen multitudes who stared upon him through those grotesque black eyes.	He addressed himself to the unseen multitudes who stared upon him through those grotesque black eyes.
1603_139324_000017_000002	At first he spoke slowly.	At first he spoke slowly.
1603_139324_000019_000000	He stopped to gather words.	He stopped to gather words.
1603_139324_000020_000002	All your lives, it may be, you must fight.	All your lives, it may be, you must fight.
1603_139324_000020_000003	Take no thought though I am beaten, though I am utterly overthrown.	Take no thought though I am beaten, though I am utterly overthrown.
1603_139324_000021_000001	He paused momentarily, and broke into vague exhortations, and then a rush of speech came upon him.	He paused momentarily, and broke into vague exhortations, and then a rush of speech came upon him.
1603_139324_000022_000002	So we hoped in the days that are past.	So we hoped in the days that are past.
1603_139324_000022_000004	How is it with man after two hundred years?	How is it with man after two hundred years?
1603_139324_000023_000000	"Great cities, vast powers, a collective greatness beyond our dreams.	"Great cities, vast powers, a collective greatness beyond our dreams.
1603_139324_000023_000001	For that we did not work, and that has come.	For that we did not work, and that has come.
1603_139324_000023_000003	How is it with the common lives?	How is it with the common lives?
1603_139324_000023_000004	As it has ever been--sorrow and labour, lives cramped and unfulfilled, lives tempted by power, tempted by wealth, and gone to waste and folly.	As it has ever been-sorrow and labour, lives cramped and unfulfilled, lives tempted by power, tempted by wealth, and gone to waste and folly.
1603_139324_000024_000002	It does not matter if you understand. It does not matter if you seem to fail.	It does not matter if you understand. It does not matter if you seem to fail.
1603_139324_000024_000004	There is no promise, there is no security--nothing to go upon but Faith.	There is no promise, there is no security-nothing to go upon but Faith.
1603_139324_000024_000005	There is no faith but faith--faith which is courage...."	There is no faith but faith-faith which is courage...."
1603_139324_000025_000001	He spoke gustily, in broken incomplete sentences, but with all his heart and strength, of this new faith within him.	He spoke gustily, in broken incomplete sentences, but with all his heart and strength, of this new faith within him.
1603_139324_000026_000001	His eloquence limped no longer.	His eloquence limped no longer.
1603_139324_000026_000002	And at last he made an end to speaking.	And at last he made an end to speaking.
1603_139324_000026_000006	To all of you.	To all of you.
1603_139324_000026_000007	I give it to you, and myself I give to you.	I give it to you, and myself I give to you.
1603_139324_000027_000001	He found the light of his present exaltation reflected in the face of the girl.	He found the light of his present exaltation reflected in the face of the girl.
1603_139324_000028_000002	I knew you would say these things...."	I knew you would say these things...."
