6115_58433_000000_000000	"Fare you well, sir parson," he said.	"Fare you well, sir parson," he said.	false	0	1.5	18.668676
6115_58433_000000_000001	"Forgive me the discomfort I have been forced to put upon you, and pray for the success of our escape. Commend me to Oliver of the ruby nose.	"Forgive me the discomfort I have been forced to put upon you, and pray for the success of our escape. Commend me to Oliver of the ruby nose.	false	1.5	7.35	20.228228
6115_58433_000000_000002	Fare you well, sir.	Fare you well, sir.	false	7.35	7.83	9
6115_58433_000000_000003	Come, Kenneth."	Come, Kenneth."	false	7.83	8.07	14
6115_58433_000001_000000	He held the door for the lad to pass out.	He held the door for the lad to pass out.	false	8.07	8.82	93
6115_58433_000001_000001	As they stood in the dimly lighted passage he closed it softly after them, and turned the key in the lock.	As they stood in the dimly lighted passage he closed it softly after them, and turned the key in the lock.	false	8.82	13.74	21.030788
6115_58433_000002_000000	"Come," he said again, and led the way to the stairs, Kenneth tiptoeing after him with wildly beating heart.	"Come," he said again, and led the way to the stairs, Kenneth tiptoeing after him with wildly beating heart.	false	13.74	18.645	21.510717
6115_58433_000003_000000	CHAPTER X. THE ESCAPE	CHAPTER ten THE ESCAPE	true	18.645	21.04	20.501999
6115_58433_000004_000000	Treading softly, and with ears straining for the slightest sound, the two men descended to the first floor of the house.	Treading softly, and with ears straining for the slightest sound, the two men descended to the first floor of the house.	true	21.26	27.88	19
6115_58433_000004_000001	They heard nothing to alarm them as they crept down, and not until they paused on the first landing to reconnoitre did they even catch the murmur of voices issuing from the guardroom below.	They heard nothing to alarm them as they crept down, and not until they paused on the first landing to reconnoitre did they even catch the murmur of voices issuing from the guardroom below.	true	28.34	37.93	17
6115_58433_000004_000002	So muffled was the sound that Crispin guessed how matters stood even before he had looked over the balusters into the hall beneath.	So muffled was the sound that Crispin guessed how matters stood even before he had looked over the balusters into the hall beneath.	true	38.6	45.61	19
6115_58433_000004_000003	The faint grey of the dawn was the only light that penetrated the gloom of that pit.	The faint grey of the dawn was the only light that penetrated the gloom of that pit.	true	46.1	50.26	20
6115_58433_000005_000000	"The Fates are kind, Kenneth," he whispered.	"The Fates are kind, Kenneth," he whispered.	true	50.87	53.62	21.702414
6115_58433_000005_000001	"Those fools sit with closed doors.	"Those fools sit with closed doors.	true	53.63	55.815	15
6115_58433_000005_000002	Come."	Come."	true	55.815	56.56	18.03056
6115_58433_000006_000000	But Kenneth laid his hand upon Galliard's sleeve.	But Kenneth laid his hand upon Galliard's sleeve.	true	57.29	59.89	22.045773
6115_58433_000006_000001	"What if the door should open as we pass?"	"What if the door should open as we pass?"	true	60.11	62.38	19
6115_58433_000007_000000	"Someone will die," muttered Crispin back.	"Someone will die," muttered Crispin back.	true	62.87	65.44	20
6115_58433_000007_000001	"But pray God that it may not.	"But pray God that it may not.	true	65.6	67.48	20.74303
6115_58433_000007_000002	We must run the risk."	We must run the risk."	true	67.49	69.13	21.663551
6115_58433_000008_000000	"Is there no other way?"	"Is there no other way?"	true	69.44	70.78	17.990576
6115_58433_000009_000000	"Why, yes," returned Galliard sardonically, "we can linger here until we are taken.	"Why, yes," returned Galliard sardonically, "we can linger here until we are taken.	true	71.15	76.15	20.007124
6115_58433_000009_000001	But, oddslife, I'm not so minded.	But, oddslife, I'm not so minded.	true	76.31	78.85	23.035645
6115_58433_000009_000002	Come."	Come."	true	78.86	79.66	18.636719
6115_58433_000010_000000	And as he spoke he drew the lad along.	And as he spoke he drew the lad along.	true	80	82.6	21.895792
6115_58433_000011_000000	His foot was upon the topmost stair of the flight, when of a sudden the stillness of the house was broken by a loud knock upon the street door. Instantly--as though they had been awaiting it there was a stir of feet below and the bang of an overturned chair; then a shaft of yellow light fell athwart the darkness of the hall as the guardroom door was opened.	His foot was upon the topmost stair of the flight, when of a sudden the stillness of the house was broken by a loud knock upon the street door. Instantly-as though they had been awaiting it there was a stir of feet below and the bang of an overturned chair; then a shaft of yellow light fell athwart the darkness of the hall as the guardroom door was opened.	true	83.03	102.37	21.397844
6115_58433_000012_000000	"Back!" growled Galliard.	"Back!" growled Galliard.	true	102.65	104.25	27.06077
6115_58433_000012_000001	"Back, man!"	"Back, man!"	true	104.25	105.69	25.373781
6115_58433_000013_000000	They were but in time.	They were but in time.	false	105.69	108.28	15.656788
6115_58433_000013_000001	Peering over the balusters they saw two troopers pass out of the guardroom, and cross the hall to the door.	Peering over the balusters they saw two troopers pass out of the guardroom, and cross the hall to the door.	true	108.56	113.8	16
6115_58433_000013_000002	A bolt was drawn and a chain rattled, then followed the creak of hinges, and on the stone flags rang the footsteps and the jingling of spurs of those that entered.	A bolt was drawn and a chain rattled, then followed the creak of hinges, and on the stone flags rang the footsteps and the jingling of spurs of those that entered.	true	114.41	123.7	21.479652
6115_58433_000014_000000	"Is all well?" came a voice, which Crispin recognized as Colonel Pride's, followed by an affirmative reply from one of the soldiers.	"Is all well?" came a voice, which Crispin recognized as Colonel Pride's, followed by an affirmative reply from one of the soldiers.	true	124.55	132.12	21.409214
6115_58433_000015_000000	"Hath a minister visited the malignants?"	"Hath a minister visited the malignants?"	false	132.12	134.95	17.347382
6115_58433_000016_000000	"Master Toneleigh is with them even now."	"Master Toneleigh is with them even now."	true	135.47	137.53	17
6115_58433_000017_000000	In the hall Crispin could now make out the figures of Colonel Pride and of three men who came with him.	In the hall Crispin could now make out the figures of Colonel Pride and of three men who came with him.	true	138.05	144.03	21.621983
6115_58433_000017_000001	But he had scant leisure to survey them, for the colonel was in haste.	But he had scant leisure to survey them, for the colonel was in haste.	true	144.03	147.46	18
6115_58433_000018_000000	"Come, sirs," he heard him say, "light me to their garret.	"Come, sirs," he heard him say, "light me to their garret.	true	148.43	151.9	21.530487
6115_58433_000018_000001	I would see them--leastways, one of them, before he dies.	I would see them-leastways, one of them, before he dies.	true	152.09	155.41	20
6115_58433_000018_000002	They are to hang where the Moabites hanged Gives yesterday.	They are to hang where the Moabites hanged Gives yesterday.	true	155.9	158.71	18
6115_58433_000018_000003	Had I my way...	Had I my way...	true	159.05	160.33	18.987568
6115_58433_000018_000004	But, there lead on, fellow."	But, there lead on, fellow."	true	160.61	162.34	21.09427
6115_58433_000019_000000	"Oh, God!" gasped Kenneth, as the soldier set foot upon the stairs. Under his breath Crispin swore a terrific oath.	"Oh, God!" gasped Kenneth, as the soldier set foot upon the stairs. Under his breath Crispin swore a terrific oath.	true	162.83	170.32	23.601389
6115_58433_000019_000001	For an instant it seemed to him there was naught left but to stand there and await recapture. Through his mind it flashed that they were five, and he but one; for his companion was unarmed.	For an instant it seemed to him there was naught left but to stand there and await recapture. Through his mind it flashed that they were five, and he but one; for his companion was unarmed.	false	170.63	181.33	20.430792
6115_58433_000020_000000	With that swiftness which thought alone can compass did he weigh the odds, and judge his chances.	With that swiftness which thought alone can compass did he weigh the odds, and judge his chances.	true	182.24	186.97	18
6115_58433_000020_000001	He realized how desperate they were did he remain, and even as he thought he glanced sharply round.	He realized how desperate they were did he remain, and even as he thought he glanced sharply round.	true	187.61	192.97	17
