2787_157400_000002_000000	CHAPTER X.	CHAPTER ten
2787_157400_000003_000001	There was of course the usual amount of gossip concerning him, but as he refrained from eccentricities of dress when asked to dinner, and did not bet that he would ride his horse into the smoking-room of the Somerset Club, the gossip soon lost ground against the list of his good qualities.	There was of course the usual amount of gossip concerning him, but as he refrained from eccentricities of dress when asked to dinner, and did not bet that he would ride his horse into the smoking room of the Somerset Club, the gossip soon lost ground against the list of his good qualities.
2787_157400_000004_000001	But the scenes about him were too new, and very many of the faces he saw were too attractive, to allow of his brooding for long over his misfortune.	But the scenes about him were too new, and very many of the faces he saw were too attractive, to allow of his brooding for long over his misfortune.
2787_157400_000004_000003	He had gone to see Joe, arriving during luncheon, in the expectation of seeing her alone again.	He had gone to see Joe, arriving during luncheon, in the expectation of seeing her alone again.
2787_157400_000004_000004	There would be a scene of solemn farewell, in which he would bid her be happy in her own way, in a tone of semi-paternal benevolence, after which he would give her his blessing, and bid farewell to the pomps and vanities of society.	There would be a scene of solemn farewell, in which he would bid her be happy in her own way, in a tone of semi paternal benevolence, after which he would give her his blessing, and bid farewell to the pomps and vanities of society.
2787_157400_000004_000005	He would naturally retire gloomily from the gay world, and end his miserable existence in the approved Guy Livingstone fashion of life, between cavendish tobacco, deep drinking, and high play.	He would naturally retire gloomily from the gay world, and end his miserable existence in the approved Guy Livingstone fashion of life, between cavendish tobacco, deep drinking, and high play.
2787_157400_000004_000006	Joe would then repent of the ruin she had caused, and that would be a great satisfaction.	Joe would then repent of the ruin she had caused, and that would be a great satisfaction.
2787_157400_000004_000009	It serves my father right for not buying me my gloves." That was Ronald's state of mind.	It serves my father right for not buying me my gloves." That was Ronald's state of mind.
2787_157400_000004_000011	But surely, for a disappointed lover there could be no course so proper as a speedy death by dissipation--which would serve Joe right.	But surely, for a disappointed lover there could be no course so proper as a speedy death by dissipation-which would serve Joe right.
2787_157400_000004_000012	Therefore, on his return to his hotel, he ordered whiskey, in a sepulchral tone of voice.	Therefore, on his return to his hotel, he ordered whiskey, in a sepulchral tone of voice.
2787_157400_000004_000013	He tasted it, and thought it detestable.	He tasted it, and thought it detestable.
2787_157400_000005_000000	On reflection, he would put off the commencement of his wild career until the evening after he had seen Joe again.	On reflection, he would put off the commencement of his wild career until the evening after he had seen Joe again.
2787_157400_000005_000002	He changed his tie for one of a darker hue, ate sparingly of a beefsteak, and went back to bid Joe a last farewell.	He changed his tie for one of a darker hue, ate sparingly of a beefsteak, and went back to bid Joe a last farewell.
2787_157400_000006_000000	Sybil Brandon and Miss Schenectady were elements in the solemn leave-taking which Ronald had not anticipated.	Sybil Brandon and Miss Schenectady were elements in the solemn leave taking which Ronald had not anticipated.
2787_157400_000006_000001	Sybil, moreover, made a great effort, for she was anxious to help Joe as much as possible in her difficulties.	Sybil, moreover, made a great effort, for she was anxious to help Joe as much as possible in her difficulties.
2787_157400_000006_000002	She talked to Ronald with a vivacity that was unusual, and Joe herself was astonished at the brilliance of her conversation.	She talked to Ronald with a vivacity that was unusual, and Joe herself was astonished at the brilliance of her conversation.
2787_157400_000006_000003	She had always thought Sybil very reserved, if not somewhat shy.	She had always thought Sybil very reserved, if not somewhat shy.
2787_157400_000007_000000	Perhaps Sybil pitied Ronald a little.	Perhaps Sybil pitied Ronald a little.
2787_157400_000007_000002	He was grateful after a time, and he was also flattered.	He was grateful after a time, and he was also flattered.
2787_157400_000007_000003	Besides, he could not help noticing that his new acquaintance was extremely beautiful.	Besides, he could not help noticing that his new acquaintance was extremely beautiful.
2787_157400_000007_000004	His conscience smote him as he realized that he was thinking of her appearance, and he immediately quieted the qualm by saying that it was but natural admiration for an artistic object.	His conscience smote him as he realized that he was thinking of her appearance, and he immediately quieted the qualm by saying that it was but natural admiration for an artistic object.
2787_157400_000007_000005	Ronald did not know much about artists and that sort of people, but the expression formed itself conveniently in his mind.	Ronald did not know much about artists and that sort of people, but the expression formed itself conveniently in his mind.
2787_157400_000008_000000	The consequence was that he accepted an invitation to drive with the two girls after luncheon, and when they left him at his hotel, a proceeding against which he vehemently protested on the score of propriety, he reluctantly acknowledged to himself that he had enjoyed the afternoon very much.	The consequence was that he accepted an invitation to drive with the two girls after luncheon, and when they left him at his hotel, a proceeding against which he vehemently protested on the score of propriety, he reluctantly acknowledged to himself that he had enjoyed the afternoon very much.
2787_157400_000009_000000	"Come and see us after five o'clock," said Sybil.	"Come and see us after five o'clock," said Sybil.
2787_157400_000009_000002	Nine hundred and thirty-six, Beacon Street," she added, laughing.	Nine hundred and thirty six, Beacon Street," she added, laughing.
2787_157400_000010_000000	"With great pleasure--thanks," said Ronald.	"With great pleasure-thanks," said Ronald.
2787_157400_000011_000000	"Good-by, Ronald dear," said Joe pleasantly.	"Good by, Ronald dear," said Joe pleasantly.
2787_157400_000012_000000	"Good-by," he answered in a doubtful tone of voice, as he raised his hat; and the two girls drove away.	"Good by," he answered in a doubtful tone of voice, as he raised his hat; and the two girls drove away.
2787_157400_000014_000000	"Do not be frightened, Joe dearest," she said.	"Do not be frightened, Joe dearest," she said.
2787_157400_000015_000000	"Really, I do not believe he is--so very much, you know," Joe answered. But she was thoughtful, and did not speak again for some time.	"Really, I do not believe he is-so very much, you know," Joe answered. But she was thoughtful, and did not speak again for some time.
2787_157400_000016_000000	It was on the morning after this that Joe read the article on John's speech, and met him by the Common.	It was on the morning after this that Joe read the article on John's speech, and met him by the Common.
2787_157400_000016_000002	Sybil did not go to parties, and John probably had too much to do.	Sybil did not go to parties, and john probably had too much to do.
2787_157400_000016_000003	But at supper Joe chanced to be standing near Mrs. Sam Wyndham.	But at supper Joe chanced to be standing near mrs Sam Wyndham.
2787_157400_000017_000000	"Oh, I so much wanted to see you, Miss Thorn," said the latter.	"Oh, I so much wanted to see you, Miss Thorn," said the latter.
2787_157400_000017_000002	He came today, and I have asked him to dinner to-morrow."	He came today, and I have asked him to dinner to morrow."
2787_157400_000018_000000	"Yes?" said Joe, turning a shade paler.	"Yes?" said Joe, turning a shade paler.
2787_157400_000018_000002	He is a very nice boy."	He is a very nice boy."
2787_157400_000019_000000	"He is perfectly lovely," said Mrs. Sam, enthusiastically.	"He is perfectly lovely," said mrs Sam, enthusiastically.
