7932_278228_000000_000000	And this was all that came of Laura Jocelyn's search for her father's portrait.	And this was all that came of Laura Jocelyn's search for her father's portrait.	false	3.48	16.125	22.42035
7932_278228_000001_000000	CHAPTER XXXVII.	CHAPTER thirty seven.	true	16.125	17.475	21.771414
7932_278228_000002_000000	MARGARET'S LETTER.	MARGARET'S LETTER.	true	17.475	18.67	23.448536
7932_278228_000003_000000	Life seemed very blank to Clement Austin when he returned to London a day or two after Margaret Wilmot's departure from the Reindeer.	Life seemed very blank to Clement Austin when he returned to London a day or two after Margaret Wilmot's departure from the Reindeer.	true	19.49	26.14	18
7932_278228_000003_000001	He told his mother that he and his betrothed had parted; but he would tell no more.	He told his mother that he and his betrothed had parted; but he would tell no more.	true	26.54	31	21.017168
7932_278228_000004_000000	"I have been cruelly disappointed, mother, and the subject is very bitter to me," he said; and Mrs. Austin had not the courage to ask any further questions.	"I have been cruelly disappointed, mother, and the subject is very bitter to me," he said; and mrs Austin had not the courage to ask any further questions.	true	31.52	39.91	22.311731
7932_278228_000005_000000	"I suppose I _must_ be satisfied, Clement," she said.	"I suppose I underscore must underscore be satisfied, Clement," she said.	false	40.52	44.11	23.07456
7932_278228_000005_000001	"It seems to me as if we had been living lately in an atmosphere of enigmas.	"It seems to me as if we had been living lately in an atmosphere of enigmas.	false	44.3	48.34	16
7932_278228_000005_000002	But I can afford to be contented, Clement, so long as I have you with me."	But I can afford to be contented, Clement, so long as I have you with me."	true	48.5	53.05	22.933853
7932_278228_000006_000000	Clement went back to London.	Clement went back to London.	true	53.84	55.6	22.532492
7932_278228_000006_000001	His life seemed to have altogether slipped away from him, and he felt like an old man who has lost all the bright chances of existence; the hope of domestic happiness and a pleasant home; the opportunity of a useful career and an honoured name; and who has nothing more to do but to wait patiently till the slow current of his empty life drops into the sea of death.	His life seemed to have altogether slipped away from him, and he felt like an old man who has lost all the bright chances of existence; the hope of domestic happiness and a pleasant home; the opportunity of a useful career and an honoured name; and who has nothing more to do but to wait patiently till the slow current of his empty life drops into the sea of death.	true	55.73	77.02	23.098272
7932_278228_000007_000000	"I feel so old, mother," he said, sometimes; "I feel so old."	"I feel so old, mother," he said, sometimes; "I feel so old."	true	77.45	83.53	21.702791
7932_278228_000008_000000	To a man who has been accustomed to be busy there is no affliction so intolerable as idleness.	To a man who has been accustomed to be busy there is no affliction so intolerable as idleness.	true	84.5	89.74	16
7932_278228_000009_000000	Clement Austin felt this, and yet he had no heart to begin life again, though tempting offers came to him from great commercial houses, whose chiefs were eager to secure the well-known cashier of Messrs.	Clement Austin felt this, and yet he had no heart to begin life again, though tempting offers came to him from great commercial houses, whose chiefs were eager to secure the well-known cashier of Messrs.	true	90.05	101.1	22
7932_278228_000009_000001	Dunbar, Dunbar, and Balderby's establishment.	Dunbar, Dunbar, and Balderby's establishment.	true	101.1	103.69	24.391922
7932_278228_000010_000000	Poor Clement could not go into the world yet.	Poor Clement could not go into the world yet.	true	103.88	106.45	21.99134
7932_278228_000010_000001	His disappointment had been too bitter, and he had no heart to go out amongst hard men of business, and begin life again.	His disappointment had been too bitter, and he had no heart to go out amongst hard men of business, and begin life again.	true	106.52	113.98	19
7932_278228_000010_000002	He wasted hour after hour, and day after day, in gloomy thoughts about the past.	He wasted hour after hour, and day after day, in gloomy thoughts about the past.	true	114.11	120.24	23.48751
7932_278228_000010_000003	What a dupe he had been! what a shallow, miserable fool! for he had believed as firmly in Margaret Wilmot's truth, as he had believed in the blue sky above his head.	What a dupe he had been! what a shallow, miserable fool! for he had believed as firmly in Margaret Wilmot's truth, as he had believed in the blue sky above his head.	true	120.24	130.69	18.996674
7932_278228_000011_000000	One day a new idea flashed into Clement Austin's mind; an idea which placed Margaret Wilmot's character even in a worse light than that in which she had revealed herself in her own confession.	One day a new idea flashed into Clement Austin's mind; an idea which placed Margaret Wilmot's character even in a worse light than that in which she had revealed herself in her own confession.	true	131.6	142.3	18
