6927_86045_000001_000000	The Knights of the Fish	The Knights of the Fish
6927_86045_000002_000000	Once upon a time there lived an old cobbler who worked hard at his trade from morning till night, and scarcely gave himself a moment to eat.	Once upon a time there lived an old cobbler who worked hard at his trade from morning till night, and scarcely gave himself a moment to eat.
6927_86045_000002_000001	But, industrious as he was, he could hardly buy bread and cheese for himself and his wife, and they grew thinner and thinner daily.	But, industrious as he was, he could hardly buy bread and cheese for himself and his wife, and they grew thinner and thinner daily.
6927_86045_000003_000000	For a long while whey pretended to each other that they had no appetite, and that a few blackberries from the hedges were a great deal nicer than a good strong bowl of soup.	For a long while whey pretended to each other that they had no appetite, and that a few blackberries from the hedges were a great deal nicer than a good strong bowl of soup.
6927_86045_000003_000001	But at length there came a day when the cobbler could bear it no longer, and he threw away his last, and borrowing a rod from a neighbour he went out to fish.	But at length there came a day when the cobbler could bear it no longer, and he threw away his last, and borrowing a rod from a neighbour he went out to fish.
6927_86045_000004_000000	Now the cobbler was as patient about fishing as he had been about cobbling.	Now the cobbler was as patient about fishing as he had been about cobbling.
6927_86045_000004_000001	From dawn to dark he stood on the banks of the little stream, without hooking anything better than an eel, or a few old shoes, that even he, clever though he was, felt were not worth mending.	From dawn to dark he stood on the banks of the little stream, without hooking anything better than an eel, or a few old shoes, that even he, clever though he was, felt were not worth mending.
6927_86045_000005_000000	He had not cast his line for ten minutes the next morning before he drew from the river the most beautiful fish he had ever seen in his life. But he nearly fell into the water from surprise, when the fish began to speak to him, in a small, squeaky voice:	He had not cast his line for ten minutes the next morning before he drew from the river the most beautiful fish he had ever seen in his life. But he nearly fell into the water from surprise, when the fish began to speak to him, in a small, squeaky voice:
6927_86045_000006_000000	'Take me back to your hut and cook me; then cut me up, and sprinkle me over with pepper and salt.	'Take me back to your hut and cook me; then cut me up, and sprinkle me over with pepper and salt.
6927_86045_000006_000001	Give two of the pieces to your wife, and bury two more in the garden.'	Give two of the pieces to your wife, and bury two more in the garden.'
6927_86045_000007_000000	The cobbler did not know what to make of these strange words; but he was wiser than many people, and when he did not understand, he thought it was well to obey.	The cobbler did not know what to make of these strange words; but he was wiser than many people, and when he did not understand, he thought it was well to obey.
6927_86045_000007_000001	His children wanted to eat all the fish themselves, and begged their father to tell them what to do with the pieces he had put aside; but the cobbler only laughed, and told them it was no business of theirs.	His children wanted to eat all the fish themselves, and begged their father to tell them what to do with the pieces he had put aside; but the cobbler only laughed, and told them it was no business of theirs.
6927_86045_000007_000002	And when they were safe in bed he stole out and buried the two pieces in the garden.	And when they were safe in bed he stole out and buried the two pieces in the garden.
6927_86045_000008_000000	By and by two babies, exactly alike, lay in a cradle, and in the garden were two tall plants, with two brilliant shields on the top.	By and by two babies, exactly alike, lay in a cradle, and in the garden were two tall plants, with two brilliant shields on the top.
6927_86045_000009_000000	Years passed away, and the babies were almost men.	Years passed away, and the babies were almost men.
6927_86045_000009_000001	They were tired of living quietly at home, being mistaken for each other by everybody they saw, and determined to set off in different directions, to seek adventures.	They were tired of living quietly at home, being mistaken for each other by everybody they saw, and determined to set off in different directions, to seek adventures.
6927_86045_000010_000000	So, one fine morning, the two brothers left the hut, and walked together to the place where the great road divided.	So, one fine morning, the two brothers left the hut, and walked together to the place where the great road divided.
6927_86045_000010_000001	There they embraced and parted, promising that if anything remarkable had happened to either, he would return to the cross roads and wait till his brother came.	There they embraced and parted, promising that if anything remarkable had happened to either, he would return to the cross roads and wait till his brother came.
6927_86045_000011_000000	The youth who took the path that ran eastwards arrived presently at a large city, where he found everybody standing at the doors, wringing their hands and weeping bitterly.	The youth who took the path that ran eastwards arrived presently at a large city, where he found everybody standing at the doors, wringing their hands and weeping bitterly.
6927_86045_000012_000000	'What is the matter?' asked he, pausing and looking round.	'What is the matter?' asked he, pausing and looking round.
6927_86045_000012_000001	And a man replied, in a faltering voice, that each year a beautiful girl was chosen by lot to be offered up to a dreadful fiery dragon, who had a mother even worse than himself, and this year the lot had fallen on their peerless princess.	And a man replied, in a faltering voice, that each year a beautiful girl was chosen by lot to be offered up to a dreadful fiery dragon, who had a mother even worse than himself, and this year the lot had fallen on their peerless princess.
6927_86045_000014_000000	This time the Knight of the Fish did not stop to hear more, but ran off as fast as he could, and found the princess bathed in tears, and trembling from head to foot.	This time the Knight of the Fish did not stop to hear more, but ran off as fast as he could, and found the princess bathed in tears, and trembling from head to foot.
6927_86045_000015_000000	She turned as she heard the sound of his sword, and removed her handkerchief from his eyes.	She turned as she heard the sound of his sword, and removed her handkerchief from his eyes.
6927_86045_000016_000000	'Fly,' she cried; 'fly while you have yet time, before that monster sees you.'	'Fly,' she cried; 'fly while you have yet time, before that monster sees you.'
6927_86045_000017_000000	She said it, and she mean it; yet, when he had turned his back, she felt more forsaken than before.	She said it, and she mean it; yet, when he had turned his back, she felt more forsaken than before.
6927_86045_000017_000001	But in reality it was not more than a few minutes before he came back, galloping furiously on a horse he had borrowed, and carrying a huge mirror across its neck.	But in reality it was not more than a few minutes before he came back, galloping furiously on a horse he had borrowed, and carrying a huge mirror across its neck.
6927_86045_000018_000000	'I am in time, then,' he cried, dismounting very carefully, and placing the mirror against the trunk of a tree.	'I am in time, then,' he cried, dismounting very carefully, and placing the mirror against the trunk of a tree.
6927_86045_000019_000000	'Give me your veil,' he said hastily to the princess.	'Give me your veil,' he said hastily to the princess.
6927_86045_000019_000001	And when she had unwound it from her head he covered the mirror with it.	And when she had unwound it from her head he covered the mirror with it.
6927_86045_000020_000000	'The moment the dragon comes near you, you must tear off the veil,' cried he; 'and be sure you hide behind the mirror.	'The moment the dragon comes near you, you must tear off the veil,' cried he; 'and be sure you hide behind the mirror.
6927_86045_000020_000001	Have no fear; I shall be at hand.'	Have no fear; I shall be at hand.'
6927_86045_000021_000000	He and his horse had scarcely found shelter amongst some rocks, when the flap of the dragon's wings could be plainly heard.	He and his horse had scarcely found shelter amongst some rocks, when the flap of the dragon's wings could be plainly heard.
6927_86045_000021_000001	He tossed his head with delight at the sight of her, and approached slowly to the place where she stood, a little in front of the mirror.	He tossed his head with delight at the sight of her, and approached slowly to the place where she stood, a little in front of the mirror.
6927_86045_000022_000000	The princess had not known, when she obeyed the orders of the Knight of the Fish, what she expected to happen.	The princess had not known, when she obeyed the orders of the Knight of the Fish, what she expected to happen.
6927_86045_000022_000002	Neither of these things occurred, but, instead, the dragon stopped short with surprise and rage when he saw a monster before him as big and strong as himself.	Neither of these things occurred, but, instead, the dragon stopped short with surprise and rage when he saw a monster before him as big and strong as himself.
6927_86045_000022_000003	He shook his mane with rage and fury; the enemy in front did exactly the same.	He shook his mane with rage and fury; the enemy in front did exactly the same.
6927_86045_000022_000004	He lashed his tail, and rolled his red eyes, and the dragon opposite was no whit behind him.	He lashed his tail, and rolled his red eyes, and the dragon opposite was no whit behind him.
6927_86045_000022_000005	Opening his mouth to its very widest, he gave an awful roar; but the other dragon only roared back.	Opening his mouth to its very widest, he gave an awful roar; but the other dragon only roared back.
6927_86045_000022_000006	This was too much, and with another roar which made the princess shake in her shoes, he flung himself upon his foe.	This was too much, and with another roar which made the princess shake in her shoes, he flung himself upon his foe.
6927_86045_000022_000007	In an instant the mirror lay at his feet broken into a thousand pieces, but as every piece reflected part of himself, the dragon thought that he too had been smashed into atoms.	In an instant the mirror lay at his feet broken into a thousand pieces, but as every piece reflected part of himself, the dragon thought that he too had been smashed into atoms.
6927_86045_000024_000000	Oh! what shouts of joy rang through the great city, when the youth came riding back with the princess sitting behind him, and dragging the horrible monster by a cord.	Oh! what shouts of joy rang through the great city, when the youth came riding back with the princess sitting behind him, and dragging the horrible monster by a cord.
6927_86045_000024_000001	Everybody cried out that the king must give the victor the hand of the princess; and so he did, and no one had ever seen such balls and feasts and sports before.	Everybody cried out that the king must give the victor the hand of the princess; and so he did, and no one had ever seen such balls and feasts and sports before.
6927_86045_000024_000002	And when they were all over the young couple went to the palace prepared for them, which was so large that it was three miles round.	And when they were all over the young couple went to the palace prepared for them, which was so large that it was three miles round.
6927_86045_000025_000000	The first wet day after their marriage the bridegroom begged the bride to show him all the rooms in the palace, and it was so big and took so long that the sun was shining brightly again before they stepped on to the roof to see the view.	The first wet day after their marriage the bridegroom begged the bride to show him all the rooms in the palace, and it was so big and took so long that the sun was shining brightly again before they stepped on to the roof to see the view.
6927_86045_000026_000000	'What castle is that out there,' asked the knight; 'it seems to be made of black marble?'	'What castle is that out there,' asked the knight; 'it seems to be made of black marble?'
6927_86045_000027_000000	'It is called the castle of Albatroz,' answered the princess.	'It is called the castle of Albatroz,' answered the princess.
6927_86045_000027_000001	'It is enchanted, and no one that has tried to enter it has ever come back.'	'It is enchanted, and no one that has tried to enter it has ever come back.'
6927_86045_000029_000001	But the Knight of the Fish knew no fear, and had never turned his back on an enemy; so he drew out his horn, and blew a blast.	But the Knight of the Fish knew no fear, and had never turned his back on an enemy; so he drew out his horn, and blew a blast.
6927_86045_000030_000000	The sound awoke all the sleeping echoes in the castle, and was repeated now loudly, now softly; now near, and now far.	The sound awoke all the sleeping echoes in the castle, and was repeated now loudly, now softly; now near, and now far.
6927_86045_000030_000001	But nobody stirred for all that.	But nobody stirred for all that.
6927_86045_000031_000000	'Is there anyone inside?' cried the young man in his loudest voice; 'anyone who will give a knight hospitality?	'Is there anyone inside?' cried the young man in his loudest voice; 'anyone who will give a knight hospitality?
6927_86045_000031_000001	Neither governor, nor squire, not even a page?'	Neither governor, nor squire, not even a page?'
