3380_6175_000000_000000	Perhaps her words were not just like these, but her thoughts were.	Perhaps her words were not just like these, but her thoughts were.	false	0	6.78	20.94185
3380_6175_000000_000001	She took up the child, and carried her home.	She took up the child, and carried her home.	false	6.78	9.48	24.29236
3380_6175_000000_000002	And this is how Rosamond came to occupy the place of the little girl whom she had envied in the picture.	And this is how Rosamond came to occupy the place of the little girl whom she had envied in the picture.	false	9.48	23.79	23.061796
3380_6175_000001_000000	VII.	seven.	true	23.79	24.43	23.335194
3380_6175_000002_000000	Notwithstanding the differences between the two girls, which were, indeed, so many that most people would have said they were not in the least alike, they were the same in this, that each cared more for her own fancies and desires than for any thing else in the world.	Notwithstanding the differences between the two girls, which were, indeed, so many that most people would have said they were not in the least alike, they were the same in this, that each cared more for her own fancies and desires than for any thing else in the world.	false	26.96	43.84	23.016174
3380_6175_000002_000001	But I will tell you another difference: the princess was like several children in one--such was the variety of her moods; and in one mood she had no recollection or care about any thing whatever belonging to a previous mood--not even if it had left her but a moment before, and had been so violent as to make her ready to put her hand in the fire to get what she wanted.	But I will tell you another difference: the princess was like several children in one-such was the variety of her moods; and in one mood she had no recollection or care about any thing whatever belonging to a previous mood-not even if it had left her but a moment before, and had been so violent as to make her ready to put her hand in the fire to get what she wanted.	true	44.99	68.74	22.545721
3380_6175_000002_000002	Plainly she was the mere puppet of her moods, and more than that, any cunning nurse who knew her well enough could call or send away those moods almost as she pleased, like a showman pulling strings behind a show.	Plainly she was the mere puppet of her moods, and more than that, any cunning nurse who knew her well enough could call or send away those moods almost as she pleased, like a showman pulling strings behind a show.	true	69.74	83.47	21.676704
3380_6175_000002_000003	Agnes, on the contrary, seldom changed her mood, but kept that of calm assured self-satisfaction.	Agnes, on the contrary, seldom changed her mood, but kept that of calm assured self satisfaction.	true	84.53	91.78	26.131367
3380_6175_000002_000004	Father nor mother had ever by wise punishment helped her to gain a victory over herself, and do what she did not like or choose; and their folly in reasoning with one unreasonable had fixed her in her conceit.	Father nor mother had ever by wise punishment helped her to gain a victory over herself, and do what she did not like or choose; and their folly in reasoning with one unreasonable had fixed her in her conceit.	true	93.53	108.04	23.133543
3380_6175_000002_000005	She would actually nod her head to herself in complacent pride that she had stood out against them.	She would actually nod her head to herself in complacent pride that she had stood out against them.	true	109.85	115.57	23.028326
3380_6175_000002_000006	This, however, was not so difficult as to justify even the pride of having conquered, seeing she loved them so little, and paid so little attention to the arguments and persuasions they used.	This, however, was not so difficult as to justify even the pride of having conquered, seeing she loved them so little, and paid so little attention to the arguments and persuasions they used.	false	116.6	128.65	22.297104
