3549_9203_000000_000000	VILLIERS DE L'ISLE ADAM	VILLIERS DE L'ISLE ADAM	false	26.22	29.16	22.320421
3549_9203_000001_000000	_The Torture by Hope_	underscore The Torture by Hope underscore	false	29.16	35.295	17.610863
3549_9203_000002_000000	Many years ago, as evening was closing in, the venerable Pedro Arbuez d'Espila, sixth prior of the Dominicans of Segovia, and third Grand Inquisitor of Spain, followed by a _fra redemptor_, and preceded by two familiars of the Holy Office, the latter carrying lanterns, made their way to a subterranean dungeon.	Many years ago, as evening was closing in, the venerable Pedro Arbuez d'Espila, sixth prior of the Dominicans of Segovia, and third Grand Inquisitor of Spain, followed by a underscore fra redemptor underscore, and preceded by two familiars of the Holy Office, the latter carrying lanterns, made their way to a subterranean dungeon.	false	35.295	57.46	20.727022
3549_9203_000002_000001	The bolt of a massive door creaked, and they entered a mephitic _in-pace_, where the dim light revealed between rings fastened to the wall a bloodstained rack, a brazier, and a jug. On a pile of straw, loaded with fetters and his neck encircled by an iron carcan, sat a haggard man, of uncertain age, clothed in rags.	The bolt of a massive door creaked, and they entered a mephitic underscore in pace underscore, where the dim light revealed between rings fastened to the wall a bloodstained rack, a brazier, and a jug. On a pile of straw, loaded with fetters and his neck encircled by an iron carcan, sat a haggard man, of uncertain age, clothed in rags.	false	58.22	81.85	22.276909
3549_9203_000003_000000	This prisoner was no other than Rabbi Aser Abarbanel, a Jew of Arragon, who--accused of usury and pitiless scorn for the poor--had been daily subjected to torture for more than a year.	This prisoner was no other than Rabbi Aser Abarbanel, a Jew of Arragon, who-accused of usury and pitiless scorn for the poor-had been daily subjected to torture for more than a year.	true	82.91	96.52	20.81591
3549_9203_000003_000001	Yet "his blindness was as dense as his hide," and he had refused to abjure his faith.	Yet "his blindness was as dense as his hide," and he had refused to abjure his faith.	true	97.13	103.12	20.81923
3549_9203_000004_000000	Proud of a filiation dating back thousands of years, proud of his ancestors--for all Jews worthy of the name are vain of their blood--he descended Talmudically from Othoniel and consequently from Ipsiboa, the wife of the last judge of Israel, a circumstance which had sustained his courage amid incessant torture.	Proud of a filiation dating back thousands of years, proud of his ancestors-for all Jews worthy of the name are vain of their blood-he descended Talmudically from Othoniel and consequently from Ipsiboa, the wife of the last judge of Israel, a circumstance which had sustained his courage amid incessant torture.	true	105.47	127.87	20.711954
3549_9203_000004_000001	With tears in his eyes at the thought of this resolute soul rejecting salvation, the venerable Pedro Arbuez d'Espila, approaching the shuddering rabbi, addressed him as follows:	With tears in his eyes at the thought of this resolute soul rejecting salvation, the venerable Pedro Arbuez d'Espila, approaching the shuddering rabbi, addressed him as follows:	true	128.69	141.49	20.438683
3549_9203_000005_000000	"My son, rejoice: your trials here below are about to end.	"My son, rejoice: your trials here below are about to end.	true	142.1	147.16	22.415684
3549_9203_000005_000001	If in the presence of such obstinacy I was forced to permit, with deep regret, the use of great severity, my task of fraternal correction has its limits.	If in the presence of such obstinacy I was forced to permit, with deep regret, the use of great severity, my task of fraternal correction has its limits.	true	147.56	159.19	23.051245
3549_9203_000005_000002	You are the fig tree which, having failed so many times to bear fruit, at last withered, but God alone can judge your soul.	You are the fig tree which, having failed so many times to bear fruit, at last withered, but God alone can judge your soul.	true	159.86	169.18	20.954464
3549_9203_000005_000003	Perhaps Infinite Mercy will shine upon you at the last moment!	Perhaps Infinite Mercy will shine upon you at the last moment!	true	169.76	174.04	23
3549_9203_000005_000004	We must hope so. There are examples.	We must hope so. There are examples.	true	174.38	178.03	23.880667
3549_9203_000005_000005	So sleep in peace to-night.	So sleep in peace to night.	true	178.55	180.73	26
3549_9203_000005_000006	Tomorrow you will be included in the _auto da fe_: that is, you will be exposed to the _quemadero_, the symbolical flames of the Everlasting Fire: it burns, as you know, only at a distance, my son; and Death is at least two hours (often three) in coming, on account of the wet, iced bandages, with which we protect the heads and hearts of the condemned.	Tomorrow you will be included in the underscore auto da fe underscore: that is, you will be exposed to the underscore quemadero underscore, the symbolical flames of the Everlasting Fire: it burns, as you know, only at a distance, my son; and Death is at least two hours (often three) in coming, on account of the wet, iced bandages, with which we protect the heads and hearts of the condemned.	false	181.37	208.15	20.82507
3549_9203_000005_000007	There will be forty-three of you.	There will be forty three of you.	true	209.12	211.18	15.330832
3549_9203_000005_000008	Placed in the last row, you will have time to invoke God and offer to Him this baptism of fire, which is of the Holy Spirit.	Placed in the last row, you will have time to invoke God and offer to Him this baptism of fire, which is of the Holy Spirit.	true	211.31	219.97	21.108349
3549_9203_000005_000009	Hope in the Light, and rest."	Hope in the Light, and rest."	true	220.37	222.76	23.65827
3549_9203_000006_000000	With these words, having signed to his companions to unchain the prisoner, the prior tenderly embraced him.	With these words, having signed to his companions to unchain the prisoner, the prior tenderly embraced him.	true	224.81	231.82	21.774443
3549_9203_000006_000001	Then came the turn of the _fra redemptor_, who, in a low tone, entreated the Jew's forgiveness for what he had made him suffer for the purpose of redeeming him; then the two familiars silently kissed him.	Then came the turn of the underscore fra redemptor underscore, who, in a low tone, entreated the Jew's forgiveness for what he had made him suffer for the purpose of redeeming him; then the two familiars silently kissed him.	false	232.13	246.49	20.125477
