5570_73848_000003_000001	He heard voices in the dining-room.	He heard voices in the dining room.
5570_73848_000003_000002	A light shone faintly between the blinds of his bedroom.	A light shone faintly between the blinds of his bedroom.
5570_73848_000003_000003	He very gently let himself in, and unheard, unseen, mounted the stairs.	He very gently let himself in, and unheard, unseen, mounted the stairs.
5570_73848_000003_000004	He sat down in front of the fire, tired out and bitterly cold in spite of his long walk home.	He sat down in front of the fire, tired out and bitterly cold in spite of his long walk home.
5570_73848_000003_000005	But his mind was wearier even than his body.	But his mind was wearier even than his body.
5570_73848_000003_000006	He tried in vain to catch up the thread of his thoughts.	He tried in vain to catch up the thread of his thoughts.
5570_73848_000003_000007	He only knew for certain that so far as his first hope and motives had gone his errand had proved entirely futile.	He only knew for certain that so far as his first hope and motives had gone his errand had proved entirely futile.
5570_73848_000003_000008	'How could I possibly fall asleep with that fellow talking there?' he had said to himself angrily; yet knew in his heart that their talk had driven every other idea out of his mind.	'How could I possibly fall asleep with that fellow talking there?' he had said to himself angrily; yet knew in his heart that their talk had driven every other idea out of his mind.
5570_73848_000003_000009	He had not yet even glanced into the glass.	He had not yet even glanced into the glass.
5570_73848_000003_000010	His every thought was vainly wandering round and round the one curious hint that had drifted in, but which he had not yet been able to put into words.	His every thought was vainly wandering round and round the one curious hint that had drifted in, but which he had not yet been able to put into words.
5570_73848_000004_000000	Supposing, though, that he had really fallen into a deep sleep, with none to watch or spy--what then?	Supposing, though, that he had really fallen into a deep sleep, with none to watch or spy-what then?
5570_73848_000004_000001	However ridiculous that idea, it was not more ridiculous, more incredible than the actual fact.	However ridiculous that idea, it was not more ridiculous, more incredible than the actual fact.
5570_73848_000004_000002	If he had remained there, he might, it was just possible that he would by now, have actually awakened just his own familiar every-day self again.	If he had remained there, he might, it was just possible that he would by now, have actually awakened just his own familiar every day self again.
5570_73848_000004_000003	And the thought of that--though he hardly realised its full import--actually did send him on tip-toe for a glance that more or less effectually set the question at rest.	And the thought of that-though he hardly realised its full import-actually did send him on tip toe for a glance that more or less effectually set the question at rest.
5570_73848_000004_000004	And there looked out at him, it seemed, the same dark sallow face that had so much appalled him only two nights ago--expressionless, cadaverous, with shadowy hollows beneath the glittering eyes.	And there looked out at him, it seemed, the same dark sallow face that had so much appalled him only two nights ago-expressionless, cadaverous, with shadowy hollows beneath the glittering eyes.
5570_73848_000004_000005	And even as he watched it, its lips, of their own volition, drew together and questioned him--'Whose?'	And even as he watched it, its lips, of their own volition, drew together and questioned him-'Whose?'
5570_73848_000005_000000	He was not to be given much leisure, however, for fantastic reveries like this.	He was not to be given much leisure, however, for fantastic reveries like this.
5570_73848_000005_000001	As he leaned his head on his hands, gladly conscious that he could not possibly bear this incessant strain for long, Sheila opened the door.	As he leaned his head on his hands, gladly conscious that he could not possibly bear this incessant strain for long, Sheila opened the door.
5570_73848_000005_000002	He started up.	He started up.
5570_73848_000006_000001	I refuse to be watched and guarded and peeped on like this.' He knew that his hands were trembling, that he could not keep his eyes fixed, that his voice was nearly inarticulate.	I refuse to be watched and guarded and peeped on like this.' He knew that his hands were trembling, that he could not keep his eyes fixed, that his voice was nearly inarticulate.
5570_73848_000007_000000	Sheila drew in her lips.	Sheila drew in her lips.
5570_73848_000007_000001	'I have merely come to tell you, Arthur, that Mr Bethany has brought Mr Danton in to supper.	'I have merely come to tell you, Arthur, that Mr Bethany has brought Mr Danton in to supper.
5570_73848_000007_000002	He agrees with me it really would be advisable to take such a very old and prudent and practical friend into our confidence.	He agrees with me it really would be advisable to take such a very old and prudent and practical friend into our confidence.
5570_73848_000007_000003	You do nothing I ask of you.	You do nothing I ask of you.
5570_73848_000007_000004	I simply cannot bear the burden of this incessant anxiety.	I simply cannot bear the burden of this incessant anxiety.
5570_73848_000007_000005	Look, now, what your night walk has done for you!	Look, now, what your night walk has done for you!
5570_73848_000007_000006	You look positively at death's door.'	You look positively at death's door.'
5570_73848_000008_000000	'What--what an instinct you have for the right word,' said Lawford softly.	'What-what an instinct you have for the right word,' said Lawford softly.
5570_73848_000008_000001	'And Danton, of all people in the world!	'And Danton, of all people in the world!
5570_73848_000008_000002	It was surely rather a curious, a thoughtless choice.	It was surely rather a curious, a thoughtless choice.
5570_73848_000008_000003	Has he had supper?'	Has he had supper?'
5570_73848_000009_000000	'Why do you ask?'	'Why do you ask?'
5570_73848_000010_000000	'He won't believe: too--bloated.'	'He won't believe: too-bloated.'
5570_73848_000011_000001	Besides, Arthur, as for believing--without in the least desiring to hurt your feelings--I must candidly warn you, some people won't.'	Besides, Arthur, as for believing-without in the least desiring to hurt your feelings-I must candidly warn you, some people won't.'
5570_73848_000012_000000	'Come along,' said Lawford, with a faint gust of laughter; 'let's see.'	'Come along,' said Lawford, with a faint gust of laughter; 'let's see.'
5570_73848_000013_000000	They went quickly downstairs, Sheila with less dignity, perhaps, than she had been surprised into since she had left a slimmer girlhood behind.	They went quickly downstairs, Sheila with less dignity, perhaps, than she had been surprised into since she had left a slimmer girlhood behind.
5570_73848_000014_000000	Mr Danton composed his chin in his collar, and deliberately turned himself towards his companion.	Mr Danton composed his chin in his collar, and deliberately turned himself towards his companion.
5570_73848_000014_000001	His small eyes wandered, and instantaneously met and rested on those of Mrs Lawford.	His small eyes wandered, and instantaneously met and rested on those of Mrs Lawford.
5570_73848_000015_000000	'Arthur thought he would prefer to come down and see you himself.'	'Arthur thought he would prefer to come down and see you himself.'
5570_73848_000016_000000	'You take such formidable risks, Lawford,' said Mr Bethany in a dry, difficult voice.	'You take such formidable risks, Lawford,' said Mr Bethany in a dry, difficult voice.
5570_73848_000017_000000	'Am I really to believe,' Danton began huskily.	'Am I really to believe,' Danton began huskily.
5570_73848_000017_000001	'I am sure, Bethany, you will--My dear Mrs Lawford!' said he, stirring vaguely, glancing restlessly.	'I am sure, Bethany, you will-My dear Mrs Lawford!' said he, stirring vaguely, glancing restlessly.
5570_73848_000018_000000	'It was not my wish, Vicar, to come at all,' said a voice from the doorway.	'It was not my wish, Vicar, to come at all,' said a voice from the doorway.
5570_73848_000018_000001	'To tell you the truth, I am too tired to care a jot either way.	'To tell you the truth, I am too tired to care a jot either way.
5570_73848_000018_000002	And'--he lifted a long arm--'I must positively refuse to produce the least, the remotest proof that I am not, so far as I am personally aware, even the Man in the Moon.	And'--he lifted a long arm-'I must positively refuse to produce the least, the remotest proof that I am not, so far as I am personally aware, even the Man in the Moon.
5570_73848_000018_000003	Danton at heart was always an incorrigible sceptic.	Danton at heart was always an incorrigible sceptic.
5570_73848_000018_000004	Aren't you, T. D.?	Aren't you, t d?
5570_73848_000018_000005	You pride your dear old brawn on it in secret?'	You pride your dear old brawn on it in secret?'
5570_73848_000020_000000	'Oh, but you know you are,' drawled on the slightly hesitating long-drawn syllables; 'it's your parochial metier.	'Oh, but you know you are,' drawled on the slightly hesitating long drawn syllables; 'it's your parochial metier.
5570_73848_000020_000002	You were born fat; you became fat; and fat, my dear Danton, has been deliberately thrust on you--in layers!	You were born fat; you became fat; and fat, my dear Danton, has been deliberately thrust on you-in layers!
5570_73848_000020_000003	Lampreys!	Lampreys!
5570_73848_000020_000004	You'll perish of surfeit some day, of sheer Dantonism.	You'll perish of surfeit some day, of sheer Dantonism.
5570_73848_000020_000005	And fat, postmortem, Danton.	And fat, postmortem, Danton.
5570_73848_000020_000006	Oh, what a basting's there!'	Oh, what a basting's there!'
5570_73848_000021_000000	Mr Bethany, with a convulsive effort, woke.	Mr Bethany, with a convulsive effort, woke.
5570_73848_000021_000001	He turned swiftly on Mrs Lawford. 'Why, why, could you not have seen?' he cried.	He turned swiftly on Mrs Lawford. 'Why, why, could you not have seen?' he cried.
5570_73848_000022_000000	'It's no good, Vicar.	'It's no good, Vicar.
5570_73848_000022_000002	Blow hot, blow cold. North, south, east, west--to have a weathercock for a wife is to marry the wind.	Blow hot, blow cold. North, south, east, west-to have a weathercock for a wife is to marry the wind.
5570_73848_000022_000003	There's nothing to be got from poor Sheila but....	There's nothing to be got from poor Sheila but....
5570_73848_000023_000000	'Lawford!' the little man's voice was as sharp as the crack of a whip; 'I forbid it.	'Lawford!' the little man's voice was as sharp as the crack of a whip; 'I forbid it.
5570_73848_000023_000001	Do you hear me?	Do you hear me?
5570_73848_000023_000002	I forbid it.	I forbid it.
5570_73848_000024_000000	Lawford peered as if out of a gathering dusk, that thickened and flickered with shadows before his eyes.	Lawford peered as if out of a gathering dusk, that thickened and flickered with shadows before his eyes.
5570_73848_000024_000001	'What's he mean, then,' he muttered huskily, 'coming here with his black, still carcase--peeping, peeping--what's he mean, I say?' There was a moment's silence.	'What's he mean, then,' he muttered huskily, 'coming here with his black, still carcase-peeping, peeping-what's he mean, I say?' There was a moment's silence.
5570_73848_000024_000002	Then with lifted brows and wide eyes that to every one of his three witnesses left an indelible memory of clear and wolfish light within their glassy pupils, he turned heavily, and climbed back to his solitude.	Then with lifted brows and wide eyes that to every one of his three witnesses left an indelible memory of clear and wolfish light within their glassy pupils, he turned heavily, and climbed back to his solitude.
5570_73848_000025_000000	'I suppose,' began Danton, with an obvious effort to disentangle himself from the humiliation of the moment, 'I suppose he was--wandering?'	'I suppose,' began Danton, with an obvious effort to disentangle himself from the humiliation of the moment, 'I suppose he was-wandering?'
5570_73848_000026_000000	'Bless me, yes,' said Mr Bethany cordially--'fever.	'Bless me, yes,' said Mr Bethany cordially-'fever.
5570_73848_000026_000001	We all know what that MEANS.'	We all know what that MEANS.'
5570_73848_000027_000000	'Yes,' said Danton, taking refuge in Mrs Lawford's white and intent gaze.	'Yes,' said Danton, taking refuge in Mrs Lawford's white and intent gaze.
5570_73848_000029_000000	Danton inserted a plump, white finger between collar and chin.	Danton inserted a plump, white finger between collar and chin.
5570_73848_000029_000001	'Oh yes. But--eh?--needlessly abusive?	'Oh yes. But-eh?--needlessly abusive?
5570_73848_000029_000002	I never SAID I disbelieved him.'	I never SAID I disbelieved him.'
5570_73848_000031_000000	He poised himself, as if it were, on the monolithic stability of his legs.	He poised himself, as if it were, on the monolithic stability of his legs.
5570_73848_000032_000000	Mr Bethany sat down at the table.	Mr Bethany sat down at the table.
5570_73848_000032_000001	'I rather feared some such temporary breakdown as this, Danton.	'I rather feared some such temporary breakdown as this, Danton.
5570_73848_000032_000002	I think I foresaw it.	I think I foresaw it.
5570_73848_000032_000003	And now, just while we are all three alone here together in friendly conclave, wouldn't it be as well, don't you think, to confront ourselves with the difficulties? I know--we all know, that that poor half-demented creature IS Arthur Lawford.	And now, just while we are all three alone here together in friendly conclave, wouldn't it be as well, don't you think, to confront ourselves with the difficulties? I know-we all know, that that poor half demented creature IS Arthur Lawford.
5570_73848_000032_000004	This morning he was as sane, as lucid as I hope I am now.	This morning he was as sane, as lucid as I hope I am now.
5570_73848_000032_000005	An awful calamity has suddenly fallen upon him--this change.	An awful calamity has suddenly fallen upon him-this change.
5570_73848_000032_000006	I own frankly at the first sheer shock it staggered me as I think for the moment it has staggered you.	I own frankly at the first sheer shock it staggered me as I think for the moment it has staggered you.
5570_73848_000032_000007	But when I had seen the poor fellow face to face, heard him talk, and watched him there upstairs in the silence stir and awake and come up again to his trouble out of his sleep.	But when I had seen the poor fellow face to face, heard him talk, and watched him there upstairs in the silence stir and awake and come up again to his trouble out of his sleep.
5570_73848_000032_000008	I had no more doubt in my own mind and heart that he was he than I have in my mind that I--am I. We do in some mysterious way, you'll own at once, grow so accustomed, so inured, if you like, to each other's faces (masks though they be) that we hardly realise we see them when we are speaking together.	I had no more doubt in my own mind and heart that he was he than I have in my mind that I-am i We do in some mysterious way, you'll own at once, grow so accustomed, so inured, if you like, to each other's faces (masks though they be) that we hardly realise we see them when we are speaking together.
5570_73848_000032_000009	And yet the slightest, the most infinitesimal change is instantly apparent.'	And yet the slightest, the most infinitesimal change is instantly apparent.'
5570_73848_000033_000000	'Oh yes, Vicar; but you see--'	'Oh yes, Vicar; but you see-'
5570_73848_000034_000000	Mr Bethany raised a small lean hand: 'One moment, please.	Mr Bethany raised a small lean hand: 'One moment, please.
5570_73848_000034_000001	I have heard Lawford's own account.	I have heard Lawford's own account.
5570_73848_000034_000003	What more likely, more inevitable than that such a thing should leave its scar, its cloud, its masking shadow?--call it what you will.	What more likely, more inevitable than that such a thing should leave its scar, its cloud, its masking shadow?--call it what you will.
5570_73848_000034_000004	A smile can turn a face we dread into a face we'd die for.	A smile can turn a face we dread into a face we'd die for.
5570_73848_000034_000005	Some experience, which would be nothing but a hideous cruelty and outrage to ask too closely about--one, perhaps, which he could, even if he would, poor fellow, give no account of--has put him temporarily at the world's mercy.	Some experience, which would be nothing but a hideous cruelty and outrage to ask too closely about-one, perhaps, which he could, even if he would, poor fellow, give no account of-has put him temporarily at the world's mercy.
5570_73848_000034_000007	And that, my dear Danton, is just where we come in. We know the man himself; and it is to be our privilege to act as a buffer-state, to be intermediaries between him and the rest of this deadly, craving, sheepish world--for the time being; oh yes, just for the time being.	And that, my dear Danton, is just where we come in. We know the man himself; and it is to be our privilege to act as a buffer state, to be intermediaries between him and the rest of this deadly, craving, sheepish world-for the time being; oh yes, just for the time being.
5570_73848_000034_000008	Other and keener and more knowledgeable minds than mine or yours will some day bring him back to us again.	Other and keener and more knowledgeable minds than mine or yours will some day bring him back to us again.
5570_73848_000034_000009	We don't attempt to explain; we can't.	We don't attempt to explain; we can't.
5570_73848_000034_000010	We simply believe.'	We simply believe.'
5570_73848_000035_000000	But Danton merely continued to stare, as if into the quiet of an aquarium.	But Danton merely continued to stare, as if into the quiet of an aquarium.
5570_73848_000036_000000	'My dear good Danton,' persisted Mr Bethany with cherubic patience, 'how old are you?'	'My dear good Danton,' persisted Mr Bethany with cherubic patience, 'how old are you?'
5570_73848_000037_000000	'I don't see quite...' smiled Danton with recovered ease, and rapidly mobilising forces.	'I don't see quite...' smiled Danton with recovered ease, and rapidly mobilising forces.
5570_73848_000037_000001	'Excuse the confidence, Mrs Lawford, I'm forty-three.'	'Excuse the confidence, Mrs Lawford, I'm forty three.'
5570_73848_000038_000000	'Good,' said Mr Bethany; 'and I'm seventy-one, and this child here'--he pointed an accusing finger at Sheila--is youth perpetual.	'Good,' said Mr Bethany; 'and I'm seventy one, and this child here'--he pointed an accusing finger at Sheila-is youth perpetual.
5570_73848_000038_000001	So,' he briskly brightened, 'say, between us we're six score all told.	So,' he briskly brightened, 'say, between us we're six score all told.
5570_73848_000038_000002	Are we--can we, deliberately, with this mere pinch of years at our command out of the wheeling millions that have gone--can we say, "This is impossible," to any single phenomenon?	Are we-can we, deliberately, with this mere pinch of years at our command out of the wheeling millions that have gone-can we say, "This is impossible," to any single phenomenon?
5570_73848_000038_000003	CAN we?'	CAN we?'
5570_73848_000039_000001	'Not finally.	'Not finally.
5570_73848_000039_000002	That's all very well, but'--he paused, and nodded, nodding his round head upward as if towards the inaudible overhead, 'I suppose he can't HEAR?'	That's all very well, but'--he paused, and nodded, nodding his round head upward as if towards the inaudible overhead, 'I suppose he can't HEAR?'
5570_73848_000040_000000	Mr Bethany rose cheerfully.	Mr Bethany rose cheerfully.
5570_73848_000040_000001	'All right, Danton; I am afraid you are exactly what the poor fellow in his delirium solemnly asseverated. And, jesting apart, it is in delirium that we tell our sheer, plain, unadulterated truth: you're a nicely covered sceptic.	'All right, Danton; I am afraid you are exactly what the poor fellow in his delirium solemnly asseverated. And, jesting apart, it is in delirium that we tell our sheer, plain, unadulterated truth: you're a nicely covered sceptic.
5570_73848_000040_000002	Personally, I refuse to discuss the matter.	Personally, I refuse to discuss the matter.
5570_73848_000040_000003	Mere dull, stubborn prejudice; bigotry, if you like.	Mere dull, stubborn prejudice; bigotry, if you like.
5570_73848_000040_000004	I will only remark just this--that Mrs Lawford and I, in our inmost hearts, know.	I will only remark just this-that Mrs Lawford and I, in our inmost hearts, know.
5570_73848_000040_000005	You, my dear Danton, forgive the freedom, merely incredulously grope.	You, my dear Danton, forgive the freedom, merely incredulously grope.
5570_73848_000040_000006	Faith versus Reason--that prehistoric Armageddon. Some day, and a day not far distant either, Lawford will come back to us.	Faith versus Reason-that prehistoric Armageddon. Some day, and a day not far distant either, Lawford will come back to us.
5570_73848_000040_000007	This--this shutter will be taken down as abruptly as by some inconceivably drowsy heedlessness of common Nature it has been put up.	This-this shutter will be taken down as abruptly as by some inconceivably drowsy heedlessness of common Nature it has been put up.
5570_73848_000040_000008	He'll win through; and of his own sheer will and courage.	He'll win through; and of his own sheer will and courage.
5570_73848_000040_000009	But now, because I ask it, and this poor child here entreats it, you will say nothing to a living soul about the matter, say, till Friday?	But now, because I ask it, and this poor child here entreats it, you will say nothing to a living soul about the matter, say, till Friday?
5570_73848_000040_000010	What step-by-step creatures we are, to be sure!	What step by step creatures we are, to be sure!
5570_73848_000040_000011	I say Friday because it will be exactly a week then.	I say Friday because it will be exactly a week then.
5570_73848_000040_000012	And what's a week?--to Nature scarcely the unfolding of a rose.	And what's a week?--to Nature scarcely the unfolding of a rose.
5570_73848_000040_000013	But still, Friday be it.	But still, Friday be it.
5570_73848_000040_000014	Then, if nothing has occurred, we will, we shall HAVE to call a friendly gathering, we shall be compelled to have a friendly consultation.'	Then, if nothing has occurred, we will, we shall HAVE to call a friendly gathering, we shall be compelled to have a friendly consultation.'
5570_73848_000041_000002	But then, I am a sceptic; I own it.	But then, I am a sceptic; I own it.
5570_73848_000041_000003	And 'pon my word, Mrs Lawford, there's plenty of room for sceptics in a world like this.'	And 'pon my word, Mrs Lawford, there's plenty of room for sceptics in a world like this.'
5570_73848_000042_000000	'Very well,' said Mr Bethany crisply, 'that's settled, then.	'Very well,' said Mr Bethany crisply, 'that's settled, then.
5570_73848_000042_000001	With your permission, my dear,' he added, turning untarnishably clear childlike eyes on Sheila, 'I will take all risks--even to the foot of the gibbet: accessory, Danton, AFTER the fact.' And so direct and cloudless was his gaze that Sheila tried in vain to evade it and to catch a glimpse of Danton's small agate-like eyes, now completely under mastery, and awaiting confidently the meeting with her own.	With your permission, my dear,' he added, turning untarnishably clear childlike eyes on Sheila, 'I will take all risks-even to the foot of the gibbet: accessory, Danton, AFTER the fact.' And so direct and cloudless was his gaze that Sheila tried in vain to evade it and to catch a glimpse of Danton's small agate like eyes, now completely under mastery, and awaiting confidently the meeting with her own.
