6120_56179_000000_000000	XXIV	twenty four
6120_56179_000001_000000	AN EVENING'S FUN	AN EVENING'S FUN
6120_56179_000002_000000	Mrs. Blair had said that all the preparations for the Bazaar must be completed on Tuesday, the day before it was to open.	mrs Blair had said that all the preparations for the Bazaar must be completed on Tuesday, the day before it was to open.
6120_56179_000002_000001	She knew the ways of girls too well to think that it would be safe to have anything left for Wednesday morning.	She knew the ways of girls too well to think that it would be safe to have anything left for Wednesday morning.
6120_56179_000002_000002	The flower table, of course had to be arranged on that day, and some things for the refreshment table.	The flower table, of course had to be arranged on that day, and some things for the refreshment table.
6120_56179_000002_000003	But so definite had she been in expressing her wishes, that the girls felt that it was due her for lending her house to pay all deference to what she said.	But so definite had she been in expressing her wishes, that the girls felt that it was due her for lending her house to pay all deference to what she said.
6120_56179_000002_000004	On the Monday therefore after Easter they went to work with a will to gather in the promised contributions.	On the Monday therefore after Easter they went to work with a will to gather in the promised contributions.
6120_56179_000002_000006	Tuesday was rainy, and at dusk gave little promise of a bright sky for the following day.	Tuesday was rainy, and at dusk gave little promise of a bright sky for the following day.
6120_56179_000002_000007	Brenda was in a tremor of excitement.	Brenda was in a tremor of excitement.
6120_56179_000003_000001	I know that a lot of people will come even if it rains, and perhaps they'll be good and buy three times as much as they would in fine weather."	I know that a lot of people will come even if it rains, and perhaps they'll be good and buy three times as much as they would in fine weather."
6120_56179_000004_000000	Just then Julia came in with the evening paper in her hand.	Just then Julia came in with the evening paper in her hand.
6120_56179_000004_000001	"See, or rather hear the news.	"See, or rather hear the news.
6120_56179_000004_000003	There was a large patch of blue in the west when the sun went down----"	There was a large patch of blue in the west when the sun went down----"
6120_56179_000005_000000	"The sun!" exclaimed the others derisively.	"The sun!" exclaimed the others derisively.
6120_56179_000006_000000	"In the place where the sun should have gone down," she responded with a smile.	"In the place where the sun should have gone down," she responded with a smile.
6120_56179_000006_000001	"Why, how well the rooms look!	"Why, how well the rooms look!
6120_56179_000006_000002	there won't be a thing for the boys to do this evening."	there won't be a thing for the boys to do this evening."
6120_56179_000009_000000	"Boys are not so fond of spending money at fairs, I can tell you that," said Nora, rather decidedly, "and besides most of them are so much in debt that they haven't anything to spend."	"Boys are not so fond of spending money at fairs, I can tell you that," said Nora, rather decidedly, "and besides most of them are so much in debt that they haven't anything to spend."
6120_56179_000010_000001	"I know several who have more money than they know what to do with.	"I know several who have more money than they know what to do with.
6120_56179_000010_000002	Some juniors that I know--New York fellows, are coming to-morrow and they will spend a lot of money."	Some juniors that I know-New York fellows, are coming to morrow and they will spend a lot of money."
6120_56179_000011_000000	"Gracious!" exclaimed Brenda, "I hope that we have things that will suit them.	"Gracious!" exclaimed Brenda, "I hope that we have things that will suit them.
6120_56179_000011_000001	It seems to me that most of these things are for girls to use."	It seems to me that most of these things are for girls to use."
6120_56179_000012_000000	"Oh, they can buy things for their sisters and cousins; besides, boys like pincushions and picture frames and sofa pillows.	"Oh, they can buy things for their sisters and cousins; besides, boys like pincushions and picture frames and sofa pillows.
6120_56179_000012_000001	Oh, I am sure that we shall have no trouble getting them to buy all that they can afford," replied Belle positively.	Oh, I am sure that we shall have no trouble getting them to buy all that they can afford," replied Belle positively.
6120_56179_000013_000000	As a matter of fact when the boys after dinner were ushered into the pretty little ballroom, where the tables laden with fancy goods stood, they expressed great interest in all that they saw, and began to make bids for the things which seemed to them best worth having.	As a matter of fact when the boys after dinner were ushered into the pretty little ballroom, where the tables laden with fancy goods stood, they expressed great interest in all that they saw, and began to make bids for the things which seemed to them best worth having.
6120_56179_000014_000000	"Look out," cried Nora, "or we may take you at your word, Will Hardon, and make you pay one hundred dollars for that crimson pillow that you admire so."	"Look out," cried Nora, "or we may take you at your word, Will Hardon, and make you pay one hundred dollars for that crimson pillow that you admire so."
6120_56179_000015_000000	"Well, why not?" he enquired, "as long as it is to be in a good cause."	"Well, why not?" he enquired, "as long as it is to be in a good cause."
6120_56179_000016_000000	"Oh, no," interrupted the practical Edith, "that would not really be fair.	"Oh, no," interrupted the practical Edith, "that would not really be fair.
6120_56179_000017_000000	"Oh, how silly you are, Edith," broke in Brenda; "as if all the people who come to the Bazaar could be here at the same minute.	"Oh, how silly you are, Edith," broke in Brenda; "as if all the people who come to the Bazaar could be here at the same minute.
6120_56179_000017_000001	If any one wants to bid on anything to-night I say that it is perfectly fair." After much discussion, it was at last decided that any one who had a great preference for any special thing might write his name on a piece of paper and have it pinned to the object with the limit of price that he was willing to pay.	If any one wants to bid on anything to night I say that it is perfectly fair." After much discussion, it was at last decided that any one who had a great preference for any special thing might write his name on a piece of paper and have it pinned to the object with the limit of price that he was willing to pay.
6120_56179_000018_000000	"Then you must be willing," said Brenda, "to let us sell the things you have chosen, if some fussy old person comes along and wishes any of these reserved things, and refuses to be contented with anything else."	"Then you must be willing," said Brenda, "to let us sell the things you have chosen, if some fussy old person comes along and wishes any of these reserved things, and refuses to be contented with anything else."
6120_56179_000020_000000	"Oh, there will be plenty of things that will suit you just as well, if you only make up your minds to it."	"Oh, there will be plenty of things that will suit you just as well, if you only make up your minds to it."
6120_56179_000021_000000	"Perhaps you'll want me to buy a blue sofa pillow or some other Yale thing," sighed Will Hardon.	"Perhaps you'll want me to buy a blue sofa pillow or some other Yale thing," sighed Will Hardon.
6120_56179_000023_000000	All the girls laughed except Edith, who seldom saw the funny side of things as quickly as the others.	All the girls laughed except Edith, who seldom saw the funny side of things as quickly as the others.
6120_56179_000024_000000	"Well, you can see yourselves, boys," she said, in a determined tone, "that you ought to be glad to buy whatever is left over,--for you probably won't get in until toward evening.	"Well, you can see yourselves, boys," she said, in a determined tone, "that you ought to be glad to buy whatever is left over,--for you probably won't get in until toward evening.
6120_56179_000024_000001	You can always find some one to give the things to that you buy."	You can always find some one to give the things to that you buy."
6120_56179_000025_000000	"This doll?" asked Philip, holding it rather clumsily on his arm.	"This doll?" asked Philip, holding it rather clumsily on his arm.
6120_56179_000026_000000	"Why, of course," said Edith, "we know several children who would be delighted with it at Christmas."	"Why, of course," said Edith, "we know several children who would be delighted with it at Christmas."
