3994_149798_000000_000000	"What next?"	"What next?"	false	16.68	22.89	22.802103
3994_149798_000001_000000	Chapter Seventeen	Chapter Seventeen	true	22.89	24.31	23.514156
3994_149798_000002_000000	Under the Great Dome	Under the Great Dome	true	24.41	26.65	24.913902
3994_149798_000003_000000	When Glinda the Good and her followers of the Rescue Expedition came in sight of the Enchanted Mountain of the Flatheads, it was away to the left of them, for the route they had taken through the Great Forest was some distance from that followed by Ozma and Dorothy.	When Glinda the Good and her followers of the Rescue Expedition came in sight of the Enchanted Mountain of the Flatheads, it was away to the left of them, for the route they had taken through the Great Forest was some distance from that followed by Ozma and Dorothy.	false	27.05	40.54	24.037905
3994_149798_000004_000000	They halted awhile to decide whether they should call upon the Supreme Dictator first, or go on to the Lake of the Skeezers.	They halted awhile to decide whether they should call upon the Supreme Dictator first, or go on to the Lake of the Skeezers.	false	41.63	48.25	26.732498
3994_149798_000005_000000	"If we go to the mountain," said the Wizard, "we may get into trouble with that wicked Su-dic, and then we would be delayed in rescuing Ozma and Dorothy.	"If we go to the mountain," said the Wizard, "we may get into trouble with that wicked Su dic, and then we would be delayed in rescuing Ozma and Dorothy.	false	49.88	58.66	25.198885
3994_149798_000005_000001	So I think our best plan will be to go to the Skeezer Country, raise the sunken island and save our friends and the imprisoned Skeezers.	So I think our best plan will be to go to the Skeezer Country, raise the sunken island and save our friends and the imprisoned Skeezers.	true	58.7	65.56	26.118608
3994_149798_000005_000002	Afterward we can visit the mountain and punish the cruel magician of the Flatheads."	Afterward we can visit the mountain and punish the cruel magician of the Flatheads."	true	65.96	70.09	25.862572
3994_149798_000006_000000	"That is sensible," approved the Shaggy Man.	"That is sensible," approved the Shaggy Man.	true	72.11	75.61	23.062506
3994_149798_000006_000001	"I quite agree with you."	"I quite agree with you."	true	75.68	77.53	26.998728
3994_149798_000007_000000	The others, too, seemed to think the Wizard's plan the best, and Glinda herself commended it, so on they marched toward the line of palm trees that hid the Skeezers' lake from view.	The others, too, seemed to think the Wizard's plan the best, and Glinda herself commended it, so on they marched toward the line of palm trees that hid the Skeezers' lake from view.	true	79.1	88.84	24.003784
3994_149798_000008_000000	Pretty soon they came to the palms.	Pretty soon they came to the palms.	true	89.96	92.08	25.16272
3994_149798_000008_000001	These were set closely together, the branches, which came quite to the ground, being so tightly interlaced that even the Glass Cat could scarcely find a place to squeeze through.	These were set closely together, the branches, which came quite to the ground, being so tightly interlaced that even the Glass Cat could scarcely find a place to squeeze through.	true	93.02	102.37	25.262749
3994_149798_000008_000002	The path which the Flatheads used was some distance away.	The path which the Flatheads used was some distance away.	true	103.28	106.9	22.65391
3994_149798_000009_000000	"Here's a job for the Tin Woodman," said the Scarecrow.	"Here's a job for the Tin Woodman," said the Scarecrow.	true	107.81	111.97	24.097565
3994_149798_000010_000000	So the Tin Woodman, who was always glad to be of use, set to work with his sharp, gleaming axe, which he always carried, and in a surprisingly short time had chopped away enough branches to permit them all to pass easily through the trees.	So the Tin Woodman, who was always glad to be of use, set to work with his sharp, gleaming axe, which he always carried, and in a surprisingly short time had chopped away enough branches to permit them all to pass easily through the trees.	false	112.67	126.19	25.355892
3994_149798_000011_000000	Now the clear waters of the beautiful lake were before them and by looking closely they could see the outlines of the Great Dome of the sunken island, far from shore and directly in the center of the lake.	Now the clear waters of the beautiful lake were before them and by looking closely they could see the outlines of the Great Dome of the sunken island, far from shore and directly in the center of the lake.	false	127.04	138.19	24.406742
3994_149798_000012_000000	Of course every eye was at first fixed upon this dome, where Ozma and Dorothy and the Skeezers were still fast prisoners.	Of course every eye was at first fixed upon this dome, where Ozma and Dorothy and the Skeezers were still fast prisoners.	true	138.53	146.08	21.976648
3994_149798_000012_000001	But soon their attention was caught by a more brilliant sight, for here was the Diamond Swan swimming just before them, its long neck arched proudly, the amethyst eyes gleaming and all the diamond-sprinkled feathers glistening splendidly under the rays of the sun.	But soon their attention was caught by a more brilliant sight, for here was the Diamond Swan swimming just before them, its long neck arched proudly, the amethyst eyes gleaming and all the diamond sprinkled feathers glistening splendidly under the rays of the sun	true	146.33	162.07	23.745405
3994_149798_000013_000000	"That," said Glinda, "is the transformation of Queen Coo-ce-oh, the haughty and wicked witch who betrayed the three Adepts at Magic and treated her people like slaves."	"That," said Glinda, "is the transformation of Queen Coo c e oh, the haughty and wicked witch who betrayed the three Adepts at Magic and treated her people like slaves."	false	162.29	175.69	23.893549
3994_149798_000014_000000	"She's wonderfully beautiful now," remarked the Frogman.	"She's wonderfully beautiful now," remarked the Frogman.	true	176.12	180.52	23.628925
3994_149798_000015_000000	"It doesn't seem like much of a punishment," said Trot.	"It doesn't seem like much of a punishment," said Trot.	true	182.3	186.91	26.786472
3994_149798_000015_000001	"The Flathead Su-dic ought to have made her a toad."	"The Flathead Su dic ought to have made her a toad."	false	187.55	190.84	20.50689
3994_149798_000016_000000	"I am sure Coo-ee-oh is punished," said Glinda, "for she has lost all her magic power and her grand palace and can no longer misrule the poor Skeezers."	"I am sure Coo ee oh is punished," said Glinda, "for she has lost all her magic power and her grand palace and can no longer misrule the poor Skeezers."	true	192.32	204.55	20.36212
3994_149798_000017_000000	"Let us call to her, and hear what she has to say," proposed the Wizard.	"Let us call to her, and hear what she has to say," proposed the Wizard.	false	205.7	209.89	24.512125
3994_149798_000018_000000	So Glinda beckoned the Diamond Swan, which swam gracefully to a position near them.	So Glinda beckoned the Diamond Swan, which swam gracefully to a position near them.	false	211.88	216.94	24.273195
3994_149798_000018_000001	Before anyone could speak Coo-ee-oh called to them in a rasping voice--for the voice of a swan is always harsh and unpleasant--and said with much pride:	Before anyone could speak Coo ee oh called to them in a rasping voice-for the voice of a swan is always harsh and unpleasant-and said with much pride:	true	218.27	228.57	21.74183
3994_149798_000019_000000	"Admire me, Strangers!	"Admire me, Strangers!	true	228.57	230.865	21.214657
3994_149798_000019_000001	Admire the lovely Coo-ee-oh, the handsomest creature in all Oz.	Admire the lovely Coo ee oh, the handsomest creature in all Oz.	false	230.865	235.11	17
3994_149798_000019_000002	Admire me!"	Admire me!"	true	235.11	236.86	24.028566
3994_149798_000020_000000	"Handsome is as handsome does," replied the Scarecrow.	"Handsome is as handsome does," replied the Scarecrow.	true	238.94	243.04	21.357794
3994_149798_000020_000001	"Are your deeds lovely, Coo-ce-oh?"	"Are your deeds lovely, Coo c e oh?"	false	243.26	245.85	25.59121
3994_149798_000021_000000	"Deeds?	"Deeds?	false	245.85	247.89	15.91828
3994_149798_000021_000001	What deeds can a swan do but swim around and give pleasure to all beholders?" said the sparkling bird.	What deeds can a swan do but swim around and give pleasure to all beholders?" said the sparkling bird.	true	247.89	255.37	25.35745
3994_149798_000022_000000	"Have you forgotten your former life?	"Have you forgotten your former life?	true	256.31	258.54	26.977495
3994_149798_000022_000001	Have you forgotten your magic and witchcraft?" inquired the Wizard.	Have you forgotten your magic and witchcraft?" inquired the Wizard.	true	258.54	265.33	24.864939
3994_149798_000023_000000	"Magic--witchcraft?	"Magic-witchcraft?	true	265.49	268.02	25.936136
3994_149798_000023_000001	Pshaw, who cares for such silly things?" retorted Coo-ee-oh.	p shaw, who cares for such silly things?" retorted Coo ee oh.	false	268.02	272.83	22.478079
3994_149798_000023_000002	"As for my past life, it seems like an unpleasant dream.	"As for my past life, it seems like an unpleasant dream.	false	273.2	276.855	24.915678
3994_149798_000023_000003	I wouldn't go back to it if I could.	I wouldn't go back to it if I could.	true	276.855	278.835	27.076574
3994_149798_000023_000004	Don't you admire my beauty, Strangers?"	Don't you admire my beauty, Strangers?"	true	278.835	282.13	23.437752
3994_149798_000024_000000	"Tell us, Coo-ee-oh," said Glinda earnestly, "if you can recall enough of your witchcraft to enable us to raise the sunken island to the surface of the lake.	"Tell us, Coo ee oh," said Glinda earnestly, "if you can recall enough of your witchcraft to enable us to raise the sunken island to the surface of the lake.	true	285.08	294.67	21.010668
3994_149798_000024_000001	Tell us that and I'll give you a string of pearls to wear around your neck and add to your beauty."	Tell us that and I'll give you a string of pearls to wear around your neck and add to your beauty."	true	294.77	300.34	24.539772
3994_149798_000025_000000	"Nothing can add to my beauty, for I'm the most beautiful creature anywhere in the whole world."	"Nothing can add to my beauty, for I'm the most beautiful creature anywhere in the whole world."	true	300.74	306.52	22.911057
3994_149798_000026_000000	"But how can we raise the island?"	"But how can we raise the island?"	true	307.34	309.82	25.918503
3994_149798_000027_000000	"I don't know and I don't care.	"I don't know and I don't care.	false	310.4	312.96	27.77887
3994_149798_000027_000001	If ever I knew I've forgotten, and I'm glad of it," was the response.	If ever I knew I've forgotten, and I'm glad of it," was the response.	true	312.96	317.56	24.264397
3994_149798_000027_000002	"Just watch me circle around and see me glitter!	"Just watch me circle around and see me glitter!	true	317.9	322.06	22.528576
3994_149798_000028_000000	"It's no use," said Button Bright; "the old Swan is too much in love with herself to think of anything else."	"It's no use," said Button Bright; "the old Swan is too much in love with herself to think of anything else."	true	325.04	336.1	23.799719
3994_149798_000029_000000	"That's a fact," agreed Betsy with a sigh; "but we've got to get Ozma and Dorothy out of that lake, somehow or other."	"That's a fact," agreed Betsy with a sigh; "but we've got to get Ozma and Dorothy out of that lake, somehow or other."	false	337.97	347.49	24.403831
3994_149798_000030_000000	"And we must do it in our own way," added the Scarecrow.	"And we must do it in our own way," added the Scarecrow.	false	347.49	352.39	20.595707
3994_149798_000031_000000	"But how?" asked Uncle Henry in a grave voice, for he could not bear to think of his dear niece Dorothy being out there under water; "how shall we do it?"	"But how?" asked Uncle Henry in a grave voice, for he could not bear to think of his dear niece Dorothy being out there under water; "how shall we do it?"	true	353.51	363.97	22.137812
3994_149798_000032_000000	"Leave that to Glinda," advised the Wizard, realizing he was helpless to do it himself.	"Leave that to Glinda," advised the Wizard, realizing he was helpless to do it himself.	false	365.84	371.62	23.381132
3994_149798_000033_000000	"If it were just an ordinary sunken island," said the powerful sorceress, "there would be several ways by which I might bring it to the surface again.	"If it were just an ordinary sunken island," said the powerful sorceress, "there would be several ways by which I might bring it to the surface again.	true	371.9	381.16	22.685804
3994_149798_000033_000001	But this is a Magic Isle, and by some curious art of witchcraft, unknown to any but Queen Coo-ce-oh, it obeys certain commands of magic and will not respond to any other.	But this is a Magic Isle, and by some curious art of witchcraft, unknown to any but Queen Coo c e oh, it obeys certain commands of magic and will not respond to any other.	false	381.29	391.78	23.506353
3994_149798_000033_000002	I do not despair in the least, but it will require some deep study to solve this difficult problem.	I do not despair in the least, but it will require some deep study to solve this difficult problem.	true	392.6	399.31	21.911612
3994_149798_000033_000003	If the Swan could only remember the witchcraft that she invented and knew as a woman, I could force her to tell me the secret, but all her former knowledge is now forgotten."	If the Swan could only remember the witchcraft that she invented and knew as a woman, I could force her to tell me the secret, but all her former knowledge is now forgotten."	false	399.71	408.67	23.335852
3994_149798_000034_000000	"It seems to me," said the Wizard after a brief silence had followed Glinda's speech, "that there are three fishes in this lake that used to be Adepts at Magic and from whom Coo-ee-oh stole much of her knowledge. If we could find those fishes and return them to their former shapes, they could doubtless tell us what to do to bring the sunken island to the surface."	"It seems to me," said the Wizard after a brief silence had followed Glinda's speech, "that there are three fishes in this lake that used to be Adepts at Magic and from whom Coo ee oh stole much of her knowledge. If we could find those fishes and return them to their former shapes, they could doubtless tell us what to do to bring the sunken island to the surface."	true	410.9	431.41	23.766748
3994_149798_000035_000000	"I have thought of those fishes," replied Glinda, "but among so many fishes as this lake contains how are we to single them out?"	"I have thought of those fishes," replied Glinda, "but among so many fishes as this lake contains how are we to single them out?"	false	433.1	443.08	21.23334
3994_149798_000036_000000	You will understand, of course, that had Glinda been at home in her castle, where the Great Book of Records was, she would have known that Ervic the Skeezer already had taken the gold and silver and bronze fishes from the lake.	You will understand, of course, that had Glinda been at home in her castle, where the Great Book of Records was, she would have known that Ervic the Skeezer already had taken the gold and silver and bronze fishes from the lake.	true	444.35	455.98	23.755215
3994_149798_000036_000001	But that act had been recorded in the Book after Glinda had set out on this journey, so it was all unknown to her.	But that act had been recorded in the Book after Glinda had set out on this journey, so it was all unknown to her.	false	456.08	462.73	25.8623
3994_149798_000037_000000	"I think I see a boat yonder on the shore," said Ojo the Munchkin boy, pointing to a place around the edge of the lake.	"I think I see a boat yonder on the shore," said Ojo the Munchkin boy, pointing to a place around the edge of the lake.	true	464.27	471.19	23.956926
3994_149798_000037_000001	"If we could get that boat and row all over the lake, calling to the magic fishes, we might be able to find them."	"If we could get that boat and row all over the lake, calling to the magic fishes, we might be able to find them."	true	471.65	477.28	24.774717
3994_149798_000038_000000	"Let us go to the boat," said the Wizard.	"Let us go to the boat," said the Wizard.	true	477.98	480.64	26.24396
3994_149798_000039_000000	They walked around the lake to where the boat was stranded upon the beach, but found it empty.	They walked around the lake to where the boat was stranded upon the beach, but found it empty.	true	481.61	486.55	24.252758
3994_149798_000039_000001	It was a mere shell of blackened steel, with a collapsible roof that, when in position, made the submarine watertight, but at present the roof rested in slots on either side of the magic craft.	It was a mere shell of blackened steel, with a collapsible roof that, when in position, made the submarine watertight, but at present the roof rested in slots on either side of the magic craft.	true	487.61	498.64	24.99641
3994_149798_000039_000002	There were no oars or sails, no machinery to make the boat go, and although Glinda promptly realized it was meant to be operated by witchcraft, she was not acquainted with that sort of magic.	There were no oars or sails, no machinery to make the boat go, and although Glinda promptly realized it was meant to be operated by witchcraft, she was not acquainted with that sort of magic.	true	499.31	509.98	21.656776
3994_149798_000040_000000	"However," said she, "the boat is merely a boat, and I believe I can make it obey a command of sorcery, as well as it did the command of witchcraft.	"However," said she, "the boat is merely a boat, and I believe I can make it obey a command of sorcery, as well as it did the command of witchcraft.	true	512.54	523.09	24.736689
3994_149798_000040_000001	After I have given a little thought to the matter, the boat will take us wherever we desire to go."	After I have given a little thought to the matter, the boat will take us wherever we desire to go."	true	523.67	528.85	27.276506
3994_149798_000041_000000	"Not all of us," returned the Wizard, "for it won't hold so many.	"Not all of us," returned the Wizard, "for it won't hold so many.	true	529.73	534.1	24.62827
3994_149798_000041_000001	But, most noble Sorceress, provided you can make the boat go, of what use will it be to us?"	But, most noble Sorceress, provided you can make the boat go, of what use will it be to us?"	true	534.62	540.01	28.432753
3994_149798_000042_000000	"Can't we use it to catch the three fishes?" asked Button Bright.	"Can't we use it to catch the three fishes?" asked Button Bright.	true	541.34	548.17	23.231825
