5062_294697_000001_000000	CHAPTER XI.	CHAPTER eleven.
5062_294697_000001_000001	THE LETTER OF INTRODUCTION.	THE LETTER OF INTRODUCTION.
5062_294697_000002_000000	I LOOKED at the house.	I LOOKED at the house.
5062_294697_000002_000001	It was an inn, of no great size, but of respectable appearance.	It was an inn, of no great size, but of respectable appearance.
5062_294697_000002_000002	If I was to be of any use to her that night, the time had come to speak of other subjects than the subject of dreams.	If I was to be of any use to her that night, the time had come to speak of other subjects than the subject of dreams.
5062_294697_000003_000002	What are your plans?	What are your plans?
5062_294697_000004_000000	She thanked me warmly, and hesitated, looking up the street and down the street in evident embarrassment what to say next.	She thanked me warmly, and hesitated, looking up the street and down the street in evident embarrassment what to say next.
5062_294697_000005_000000	"Do you propose staying in Edinburgh?" I asked.	"Do you propose staying in Edinburgh?" I asked.
5062_294697_000006_000001	I want to go much further away.	I want to go much further away.
5062_294697_000006_000002	I think I should do better in London; at some respectable milliner's, if I could be properly recommended.	I think I should do better in London; at some respectable milliner's, if I could be properly recommended.
5062_294697_000006_000003	I am quick at my needle, and I understand cutting out.	I am quick at my needle, and I understand cutting out.
5062_294697_000006_000004	Or I could keep accounts, if--if anybody would trust me."	Or I could keep accounts, if-if anybody would trust me."
5062_294697_000007_000000	She stopped, and looked at me doubtingly, as if she felt far from sure, poor soul, of winning my confidence to begin with.	She stopped, and looked at me doubtingly, as if she felt far from sure, poor soul, of winning my confidence to begin with.
5062_294697_000008_000000	"I can give you exactly the recommendation you want," I said, "whenever you like.	"I can give you exactly the recommendation you want," I said, "whenever you like.
5062_294697_000008_000001	Now, if you would prefer it."	Now, if you would prefer it."
5062_294697_000009_000000	Her charming features brightened with pleasure.	Her charming features brightened with pleasure.
5062_294697_000009_000002	Her face clouded again--she saw my proposal in a new light.	Her face clouded again-she saw my proposal in a new light.
5062_294697_000009_000003	"Have I any right," she asked, sadly, "to accept what you offer me?"	"Have I any right," she asked, sadly, "to accept what you offer me?"
5062_294697_000012_000000	She shrunk back in alarm.	She shrunk back in alarm.
5062_294697_000012_000001	What would the landlady think if she saw her lodger enter the house at night in company with a stranger, and that stranger a gentleman?	What would the landlady think if she saw her lodger enter the house at night in company with a stranger, and that stranger a gentleman?
5062_294697_000012_000003	She led the way into a sort of parlor behind the "bar," placed writing materials on the table, looked at my companion as only one woman can look at another under certain circumstances, and left us by ourselves.	She led the way into a sort of parlor behind the "bar," placed writing materials on the table, looked at my companion as only one woman can look at another under certain circumstances, and left us by ourselves.
5062_294697_000013_000001	She stood, leaning one hand on the table, confused and irresolute, her firm and supple figure falling into an attitude of unsought grace which it was literally a luxury to look at.	She stood, leaning one hand on the table, confused and irresolute, her firm and supple figure falling into an attitude of unsought grace which it was literally a luxury to look at.
5062_294697_000013_000002	I said nothing; my eyes confessed my admiration; the writing materials lay untouched before me on the table.	I said nothing; my eyes confessed my admiration; the writing materials lay untouched before me on the table.
5062_294697_000013_000004	She abruptly broke it.	She abruptly broke it.
5062_294697_000014_000000	"Why not?"	"Why not?"
5062_294697_000015_000000	"You know nothing of me.	"You know nothing of me.
5062_294697_000015_000003	I am a miserable wretch who has tried to commit a great sin--I have tried to destroy myself.	I am a miserable wretch who has tried to commit a great sin-I have tried to destroy myself.
5062_294697_000015_000005	You ought to know it.	You ought to know it.
