4744_4158_000000_000000	CHAPTER XXIII	CHAPTER twenty three	false	0.96	17.08	20.592459
4744_4158_000001_000000	TRUTH STRANGER THAN FICTION	TRUTH STRANGER THAN FICTION	true	17.42	19.3	21.24518
4744_4158_000002_000000	"Is the poor privilege to turn the key Upon the captive, freedom?	"Is the poor privilege to turn the key Upon the captive, freedom?	true	19.91	23.685	20.581224
4744_4158_000002_000001	He's as far From the enjoyment of the earth and air Who watches o'er the chains, as they who wear."	He's as far From the enjoyment of the earth and air Who watches o'er the chains, as they who wear."	true	23.685	30.01	21.668102
4744_4158_000003_000000	DURING certain seasons of the year, all tropical climates are subject to epidemics of a most destructive nature.	DURING certain seasons of the year, all tropical climates are subject to epidemics of a most destructive nature.	false	30.89	37.24	19.50118
4744_4158_000003_000001	The inhabitants of New Orleans look with as much certainty for the appearance of the yellow-fever, small-pox, or cholera, in the hot season, as the Londoner does for fog in the month of November.	The inhabitants of New Orleans look with as much certainty for the appearance of the yellow fever, small pox, or cholera, in the hot season, as the Londoner does for fog in the month of November.	true	37.7	48.82	20.598045
4744_4158_000003_000002	In the summer of 1831, the people of New Orleans were visited with one of these epidemics.	In the summer of eighteen thirty one, the people of New Orleans were visited with one of these epidemics.	true	49.28	54.67	20.750275
4744_4158_000003_000003	It appeared in a form unusually repulsive and deadly.	It appeared in a form unusually repulsive and deadly.	true	55.31	58.36	21.366339
4744_4158_000003_000004	It seized persons who were in health, without any premonition.	It seized persons who were in health, without any premonition.	true	58.58	62.11	20.68348
4744_4158_000003_000005	Sometimes death was the immediate consequence.	Sometimes death was the immediate consequence.	true	62.45	65.02	21.446346
4744_4158_000003_000006	The disorder began in the brain, by an oppressive pain accompanied or followed by fever.	The disorder began in the brain, by an oppressive pain accompanied or followed by fever.	true	65.18	70.12	21.91446
4744_4158_000003_000007	The patient was devoured with burning thirst. The stomach, distracted by pains, in vain sought relief in efforts to disburden itself.	The patient was devoured with burning thirst. The stomach, distracted by pains, in vain sought relief in efforts to disburden itself.	true	70.58	78.73	20.451878
4744_4158_000003_000008	Fiery veins streaked the eye; the face was inflamed, and dyed of a dark dull red colour; the ears from time to time rang painfully.	Fiery veins streaked the eye; the face was inflamed, and dyed of a dark dull red colour; the ears from time to time rang painfully.	true	79.16	88.57	20.994253
4744_4158_000003_000009	Now mucous secretions surcharged the tongue, and took away the power of speech; now the sick one spoke, but in speaking had a foresight of death.	Now mucous secretions surcharged the tongue, and took away the power of speech; now the sick one spoke, but in speaking had a foresight of death.	true	88.97	98.56	21.278397
4744_4158_000003_000010	When the violence of the disease approached the heart, the gums were blackened.	When the violence of the disease approached the heart, the gums were blackened.	true	98.93	103.06	19.695948
4744_4158_000003_000011	The sleep, broken, troubled by convulsions, or by frightful visions, was worse than the waking hours; and when the reason sank under a delirium which had its seat in the brain, repose utterly forsook the patient's couch.	The sleep, broken, troubled by convulsions, or by frightful visions, was worse than the waking hours; and when the reason sank under a delirium which had its seat in the brain, repose utterly forsook the patient's couch.	false	103.34	116.82	20.438702
4744_4158_000003_000012	The progress of the heat within was marked by yellowish spots, which spread over the surface of the body.	The progress of the heat within was marked by yellowish spots, which spread over the surface of the body.	true	116.82	122.83	20.434992
4744_4158_000003_000013	If, then, a happy crisis came not, all hope was gone.	If, then, a happy crisis came not, all hope was gone.	true	123.08	126.73	20.975948
4744_4158_000003_000014	Soon the breath infected the air with a fetid odour, the lips were glazed, despair painted itself in the eyes, and sobs, with long intervals of silence, formed the only language.	Soon the breath infected the air with a fetid odour, the lips were glazed, despair painted itself in the eyes, and sobs, with long intervals of silence, formed the only language.	true	127.04	138.19	20.842463
4744_4158_000003_000015	From each side of the mouth spread foam, tinged with black and burnt blood.	From each side of the mouth spread foam, tinged with black and burnt blood.	true	138.68	143.5	20.589792
4744_4158_000003_000016	Blue streaks mingled with the yellow all over the frame. All remedies were useless.	Blue streaks mingled with the yellow all over the frame. All remedies were useless.	true	144.02	148.81	17.825943
4744_4158_000003_000017	This was the Yellow Fever.	This was the Yellow Fever.	true	149.09	150.79	20.51054
4744_4158_000003_000018	The disorder spread alarm and confusion throughout the city.	The disorder spread alarm and confusion throughout the city.	true	151.22	154.27	19.135057
4744_4158_000003_000019	On an average, more than 400 died daily.	On an average, more than four hundred died daily.	true	155.24	157.87	22.064249
4744_4158_000003_000020	In the midst of disorder and confusion, death heaped victims on victims.	In the midst of disorder and confusion, death heaped victims on victims.	true	158.12	162.79	21.93599
4744_4158_000003_000021	Friend followed friend in quick succession.	Friend followed friend in quick succession.	true	163.19	165.64	20.081963
4744_4158_000003_000022	The sick were avoided from the fear of contagion, and for the same reason the dead were left unburied.	The sick were avoided from the fear of contagion, and for the same reason the dead were left unburied.	true	165.83	171.22	20.52596
4744_4158_000003_000023	Nearly 2000 dead bodies lay uncovered in the burial-ground, with only here and there a little lime thrown over them, to prevent the air becoming infected.	Nearly two thousand dead bodies lay uncovered in the burial ground, with only here and there a little lime thrown over them, to prevent the air becoming infected.	true	171.53	181.06	20.942526
4744_4158_000004_000000	The Negro, whose home is in a hot climate, was not proof against the disease.	The Negro, whose home is in a hot climate, was not proof against the disease.	true	181.76	186.7	19.151093
4744_4158_000004_000001	Many plantations had to suspend their work for want of slaves to take the places of those carried off by the fever. Henry Morton and wife were among the thirteen thousand swept away by the raging disorder that year.	Many plantations had to suspend their work for want of slaves to take the places of those carried off by the fever. Henry Morton and wife were among the thirteen thousand swept away by the raging disorder that year.	false	187.04	200.02	21.315851
4744_4158_000004_000002	Like too many, Morton had been dealing extensively in lands and stocks; and though apparently in good circumstances was, in reality, deeply involved in debt. Althesa, although as white as most white women in a southern clime, was, as we already know, born a slave.	Like too many, Morton had been dealing extensively in lands and stocks; and though apparently in good circumstances was, in reality, deeply involved in debt. Althesa, although as white as most white women in a southern clime, was, as we already know, born a slave.	true	200.6	218.44	20.923122
4744_4158_000004_000003	By the laws of all the Southern States the children follow the condition of the mother.	By the laws of all the Southern States the children follow the condition of the mother.	true	218.75	223.24	19.999025
4744_4158_000004_000004	If the mother is free the children are free; if a slave, they are slaves.	If the mother is free the children are free; if a slave, they are slaves.	false	223.34	227.71	22.546352
4744_4158_000004_000005	Morton was unacquainted with the laws of the land; and although he had married Althesa, it was a marriage which the law did not recognise; and therefore she whom he thought to be his wife was, in fact, nothing more than his slave.	Morton was unacquainted with the laws of the land; and although he had married Althesa, it was a marriage which the law did not recognise; and therefore she whom he thought to be his wife was, in fact, nothing more than his slave.	false	228.17	241.87	20.349127
