1460_138289_000000_000000	"Go at once then, in Heaven's name!" said she, her eyes flashing at his, though never meeting them.	"Go at once then, in Heaven's name!" said she, her eyes flashing at his, though never meeting them.	false	0	6.3	21.532059
1460_138289_000000_000001	"Don't let me see your face any more."	"Don't let me see your face any more."	false	6.3	10.08	22.494232
1460_138289_000001_000000	"Very well, Miss Everdene--so it shall be."	"Very well, Miss Everdene-so it shall be."	false	10.08	12.42	11
1460_138289_000002_000000	And he took his shears and went away from her in placid dignity, as Moses left the presence of Pharaoh.	And he took his shears and went away from her in placid dignity, as Moses left the presence of Pharaoh.	false	12.42	19.56	20.76348
1460_138289_000003_000000	CHAPTER XXI	CHAPTER twenty one	true	19.56	20.8	19
1460_138289_000004_000000	TROUBLES IN THE FOLD--A MESSAGE	TROUBLES IN THE FOLD-A MESSAGE	true	20.93	23.26	21.606123
1460_138289_000005_000000	Gabriel Oak had ceased to feed the Weatherbury flock for about four-and-twenty hours, when on Sunday afternoon the elderly gentlemen Joseph Poorgrass, Matthew Moon, Fray, and half-a-dozen others, came running up to the house of the mistress of the Upper Farm.	Gabriel Oak had ceased to feed the Weatherbury flock for about four and twenty hours, when on Sunday afternoon the elderly gentlemen Joseph Poorgrass, matthew Moon, Fray, and half a dozen others, came running up to the house of the mistress of the Upper Farm.	true	24.62	39.82	18
1460_138289_000006_000000	"Whatever IS the matter, men?" she said, meeting them at the door just as she was coming out on her way to church, and ceasing in a moment from the close compression of her two red lips, with which she had accompanied the exertion of pulling on a tight glove.	"Whatever IS the matter, men?" she said, meeting them at the door just as she was coming out on her way to church, and ceasing in a moment from the close compression of her two red lips, with which she had accompanied the exertion of pulling on a tight glove.	false	40.04	52.72	16
1460_138289_000007_000000	"Sixty!" said Joseph Poorgrass.	"Sixty!" said Joseph Poorgrass.	true	52.85	55.185	28.810516
1460_138289_000008_000000	"Seventy!" said Moon.	"Seventy!" said Moon.	true	55.185	56.92	21.163527
1460_138289_000009_000000	"Fifty-nine!" said Susan Tall's husband.	"Fifty nine!" said Susan Tall's husband.	true	56.93	59.62	18
1460_138289_000010_000000	"--Sheep have broke fence," said Fray.	"--Sheep have broke fence," said Fray.	false	59.84	62.38	24.70238
1460_138289_000011_000000	"--And got into a field of young clover," said Tall.	"--And got into a field of young clover," said Tall.	true	62.39	65.19	20.841875
1460_138289_000012_000000	"--Young clover!" said Moon.	"--Young clover!" said Moon.	true	65.19	66.645	21.767723
1460_138289_000013_000000	"--Clover!" said Joseph Poorgrass.	"--Clover!" said Joseph Poorgrass.	true	66.645	68.65	23.322788
1460_138289_000014_000000	"And they be getting blasted," said Henery Fray.	"And they be getting blasted," said Henery Fray.	true	68.93	71.41	19
1460_138289_000015_000000	"That they be," said Joseph.	"That they be," said Joseph.	true	71.63	73.42	23
1460_138289_000016_000000	"And will all die as dead as nits, if they bain't got out and cured!" said Tall.	"And will all die as dead as nits, if they bain't got out and cured!" said Tall.	false	73.61	78.31	23
1460_138289_000017_000000	Joseph's countenance was drawn into lines and puckers by his concern. Fray's forehead was wrinkled both perpendicularly and crosswise, after the pattern of a portcullis, expressive of a double despair. Laban Tall's lips were thin, and his face was rigid.	Joseph's countenance was drawn into lines and puckers by his concern. Fray's forehead was wrinkled both perpendicularly and crosswise, after the pattern of a portcullis, expressive of a double despair. Laban Tall's lips were thin, and his face was rigid.	true	78.68	93.76	19
1460_138289_000017_000001	Matthew's jaws sank, and his eyes turned whichever way the strongest muscle happened to pull them.	Matthew's jaws sank, and his eyes turned whichever way the strongest muscle happened to pull them.	true	94.04	98.98	17
