2589_22574_000009_000000	BY GEORGE MACDONALD	BY GEORGE MACDONALD
2589_22574_000015_000000	CHAPTER I. DOROTHY AND RICHARD.	CHAPTER one DOROTHY AND RICHARD.
2589_22574_000034_000000	It was the middle of autumn, and had rained all day.	It was the middle of autumn, and had rained all day.
2589_22574_000035_000000	The room to which the window having this prospect belonged was large and low, with a dark floor of uncarpeted oak.	The room to which the window having this prospect belonged was large and low, with a dark floor of uncarpeted oak.
2589_22574_000035_000002	At the opposite corner of the great low-arched chimney sat a lady past the prime of life, but still beautiful, though the beauty was all but merged in the loveliness that rises from the heart to the face of such as have taken the greatest step in life--that is, as the old proverb says, the step out of doors.	At the opposite corner of the great low arched chimney sat a lady past the prime of life, but still beautiful, though the beauty was all but merged in the loveliness that rises from the heart to the face of such as have taken the greatest step in life-that is, as the old proverb says, the step out of doors.
2589_22574_000035_000003	She was plainly yet rather richly dressed, in garments of an old-fashioned and well-preserved look.	She was plainly yet rather richly dressed, in garments of an old-fashioned and well preserved look.
2589_22574_000035_000004	Her hair was cut short above her forehead, and frizzed out in bunches of little curls on each side.	Her hair was cut short above her forehead, and frizzed out in bunches of little curls on each side.
2589_22574_000035_000006	Close round her neck was a string of amber beads, that gave a soft harmonious light to her complexion.	Close round her neck was a string of amber beads, that gave a soft harmonious light to her complexion.
2589_22574_000036_000001	The execution of lord Strafford was news that had not yet begun to 'hiss the speaker.'	The execution of lord Strafford was news that had not yet begun to 'hiss the speaker.'
2589_22574_000037_000001	'The world has seldom seen its like.'	'The world has seldom seen its like.'
2589_22574_000038_000000	'But tell me, master Herbert,' said the lady, 'why comes it in this our day?	'But tell me, master Herbert,' said the lady, 'why comes it in this our day?
2589_22574_000039_000000	'Be it far from me to presume to set forth the ways of Providence!' returned her guest.	'Be it far from me to presume to set forth the ways of Providence!' returned her guest.
2589_22574_000039_000003	Alas!' he went on, with a new suggestion from the image he had been using, 'if the beginning of strife be as the letting out of water, what shall be the end of that strife whose beginning is the letting out of blood?'	Alas!' he went on, with a new suggestion from the image he had been using, 'if the beginning of strife be as the letting out of water, what shall be the end of that strife whose beginning is the letting out of blood?'
2589_22574_000040_000001	that such times of fierce ungodly tempest must ever follow upon seasons of peace and comfort?--even as your cousin of holy memory, in his verses concerning the church militant, writes:	that such times of fierce ungodly tempest must ever follow upon seasons of peace and comfort?--even as your cousin of holy memory, in his verses concerning the church militant, writes:
2589_22574_000041_000000	"Thus also sin and darkness follow still The church and sun, with all their power and skill."'	"Thus also sin and darkness follow still The church and sun, with all their power and skill."'
2589_22574_000042_000002	To judge by the tokens the wise man gives us, the mourners are already going about my streets.	To judge by the tokens the wise man gives us, the mourners are already going about my streets.
2589_22574_000042_000003	The almond-tree flourisheth at least.'	The almond tree flourisheth at least.'
