781_127518_000000_000000	"Livesey," returned the squire, "you are always in the right of it.	"Livesey," returned the squire, "you are always in the right of it.	false	4.23	9.36	20
781_127518_000000_000001	I'll be as silent as the grave."	I'll be as silent as the grave."	false	9.36	34.695	20.705051
781_127518_000001_000000	PART TWO--The Sea-cook	PART TWO-The Sea cook	false	34.695	37.5	23.86417
781_127518_000002_000000	7	seven	true	37.5	38.055	19
781_127518_000003_000000	I Go to Bristol	I Go to Bristol	true	38.055	39.21	20.747374
781_127518_000004_000000	IT was longer than the squire imagined ere we were ready for the sea, and none of our first plans--not even Dr. Livesey's, of keeping me beside him--could be carried out as we intended.	i t was longer than the squire imagined ere we were ready for the sea, and none of our first plans-not even dr Livesey's, of keeping me beside him-could be carried out as we intended.	false	39.21	52.33	21.400068
781_127518_000004_000001	The doctor had to go to London for a physician to take charge of his practice; the squire was hard at work at Bristol; and I lived on at the hall under the charge of old Redruth, the gamekeeper, almost a prisoner, but full of sea-dreams and the most charming anticipations of strange islands and adventures. I brooded by the hour together over the map, all the details of which I well remembered.	The doctor had to go to London for a physician to take charge of his practice; the squire was hard at work at Bristol; and I lived on at the hall under the charge of old Redruth, the gamekeeper, almost a prisoner, but full of sea dreams and the most charming anticipations of strange islands and adventures. I brooded by the hour together over the map, all the details of which I well remembered.	false	52.79	81.67	20.344296
781_127518_000004_000002	Sitting by the fire in the housekeeper's room, I approached that island in my fancy from every possible direction; I explored every acre of its surface; I climbed a thousand times to that tall hill they call the Spy-glass, and from the top enjoyed the most wonderful and changing prospects.	Sitting by the fire in the housekeeper's room, I approached that island in my fancy from every possible direction; I explored every acre of its surface; I climbed a thousand times to that tall hill they call the Spy glass, and from the top enjoyed the most wonderful and changing prospects.	true	81.92	102.52	22.192364
781_127518_000004_000003	Sometimes the isle was thick with savages, with whom we fought, sometimes full of dangerous animals that hunted us, but in all my fancies nothing occurred to me so strange and tragic as our actual adventures.	Sometimes the isle was thick with savages, with whom we fought, sometimes full of dangerous animals that hunted us, but in all my fancies nothing occurred to me so strange and tragic as our actual adventures.	true	102.68	117.91	21.851372
781_127518_000005_000000	So the weeks passed on, till one fine day there came a letter addressed to Dr. Livesey, with this addition, "To be opened, in the case of his absence, by Tom Redruth or young Hawkins." Obeying this order, we found, or rather I found--for the gamekeeper was a poor hand at reading anything but print--the following important news:	So the weeks passed on, till one fine day there came a letter addressed to dr Livesey, with this addition, "To be opened, in the case of his absence, by Tom Redruth or young Hawkins." Obeying this order, we found, or rather I found-for the gamekeeper was a poor hand at reading anything but print-the following important news:	false	118.64	141.85	20.545767
781_127518_000006_000000	Old Anchor Inn, Bristol, March 1, 17--	Old Anchor Inn, Bristol, march first seventeen--	false	142.64	147.54	22.218235
