2060_150843_000006_000000	He did not stop for the funeral.	He did not stop for the funeral.
2060_150843_000006_000001	Mr. Pembroke thought that he had a bad effect on Agnes, and prevented her from acquiescing in the tragedy as rapidly as she might have done.	mr Pembroke thought that he had a bad effect on Agnes, and prevented her from acquiescing in the tragedy as rapidly as she might have done.
2060_150843_000006_000002	As he expressed it, "one must not court sorrow," and he hinted to the young man that they desired to be alone.	As he expressed it, "one must not court sorrow," and he hinted to the young man that they desired to be alone.
2060_150843_000007_000000	Rickie went back to the Silts.	Rickie went back to the Silts.
2060_150843_000008_000000	He was only there a few days.	He was only there a few days.
2060_150843_000008_000003	The fair valley of Tewin Water, the cutting into Hitchin where the train traverses the chalk, Baldock Church, Royston with its promise of downs, were nothing in themselves, but dear as stages in the pilgrimage towards the abode of peace.	The fair valley of Tewin Water, the cutting into Hitchin where the train traverses the chalk, Baldock Church, Royston with its promise of downs, were nothing in themselves, but dear as stages in the pilgrimage towards the abode of peace.
2060_150843_000008_000004	On the platform he met friends.	On the platform he met friends.
2060_150843_000008_000005	They had all had pleasant vacations: it was a happy world.	They had all had pleasant vacations: it was a happy world.
2060_150843_000008_000006	The atmosphere alters.	The atmosphere alters.
2060_150843_000009_000000	Cambridge, according to her custom, welcomed her sons with open drains. Pettycury was up, so was Trinity Street, and navvies peeped out of King's Parade.	Cambridge, according to her custom, welcomed her sons with open drains. Pettycury was up, so was Trinity Street, and navvies peeped out of King's Parade.
2060_150843_000009_000001	Here it was gas, there electric light, but everywhere something, and always a smell.	Here it was gas, there electric light, but everywhere something, and always a smell.
2060_150843_000010_000000	Tilliard fled into a hansom, cursing himself for having tried to do the thing cheaply.	Tilliard fled into a hansom, cursing himself for having tried to do the thing cheaply.
2060_150843_000010_000003	But Rickie was succouring a distressed female--Mrs.	But Rickie was succouring a distressed female-mrs
2060_150843_000010_000004	Aberdeen.	Aberdeen.
2060_150843_000011_000000	"Oh, Mrs. Aberdeen, I never saw you: I am so glad to see you--I am so very glad." Mrs. Aberdeen was cold.	"Oh, mrs Aberdeen, I never saw you: I am so glad to see you-I am so very glad." mrs Aberdeen was cold.
2060_150843_000011_000001	She did not like being spoken to outside the college, and was also distrait about her basket.	She did not like being spoken to outside the college, and was also distrait about her basket.
2060_150843_000011_000003	The basket was empty, and never would hold anything illegal.	The basket was empty, and never would hold anything illegal.
2060_150843_000012_000005	She never will talk about him.	She never will talk about him.
2060_150843_000012_000008	What's the other half?	What's the other half?
2060_150843_000012_000012	I know she'd dislike it, but she oughtn't to dislike.	I know she'd dislike it, but she oughtn't to dislike.
2060_150843_000012_000013	After all, bedders are to blame for the present lamentable state of things, just as much as gentlefolk.	After all, bedders are to blame for the present lamentable state of things, just as much as gentlefolk.
2060_150843_000012_000014	She ought to want me to come.	She ought to want me to come.
2060_150843_000012_000015	She ought to introduce me to her husband."	She ought to introduce me to her husband."
2060_150843_000013_000000	They had reached the corner of Hills Road.	They had reached the corner of Hills Road.
2060_150843_000016_000000	Rickie laughed.	Rickie laughed.
2060_150843_000017_000000	"I expected it from your letter."	"I expected it from your letter."
2060_150843_000019_000002	You can go to the bad.	You can go to the bad.
2060_150843_000019_000003	But I refuse to accompany you.	But I refuse to accompany you.
2060_150843_000020_000000	Rickie was silent.	Rickie was silent.
2060_150843_000020_000006	They dealt with so much and they had experienced so little.	They dealt with so much and they had experienced so little.
2060_150843_000020_000007	Was it possible he would ever come to think Cambridge narrow? In his short life Rickie had known two sudden deaths, and that is enough to disarrange any placid outlook on the world.	Was it possible he would ever come to think Cambridge narrow? In his short life Rickie had known two sudden deaths, and that is enough to disarrange any placid outlook on the world.
2060_150843_000021_000000	They waited for the other tram by the Roman Catholic Church, whose florid bulk was already receding into twilight.	They waited for the other tram by the Roman Catholic Church, whose florid bulk was already receding into twilight.
2060_150843_000021_000003	"Built out of doll's eyes to contain idols"--that, at all events, is the legend and the joke.	"Built out of doll's eyes to contain idols"--that, at all events, is the legend and the joke.
2060_150843_000021_000004	It watches over the apostate city, taller by many a yard than anything within, and asserting, however wildly, that here is eternity, stability, and bubbles unbreakable upon a windless sea.	It watches over the apostate city, taller by many a yard than anything within, and asserting, however wildly, that here is eternity, stability, and bubbles unbreakable upon a windless sea.
2060_150843_000022_000000	A costly hymn tune announced five o'clock, and in the distance the more lovable note of St. Mary's could be heard, speaking from the heart of the town.	A costly hymn tune announced five o'clock, and in the distance the more lovable note of saint Mary's could be heard, speaking from the heart of the town.
2060_150843_000022_000001	Then the tram arrived--the slow stuffy tram that plies every twenty minutes between the unknown and the marketplace--and took them past the desecrated grounds of Downing, past Addenbrookes Hospital, girt like a Venetian palace with a mantling canal, past the Fitz William, towering upon immense substructions like any Roman temple, right up to the gates of one's own college, which looked like nothing else in the world.	Then the tram arrived-the slow stuffy tram that plies every twenty minutes between the unknown and the marketplace-and took them past the desecrated grounds of Downing, past Addenbrookes Hospital, girt like a Venetian palace with a mantling canal, past the Fitz William, towering upon immense substructions like any Roman temple, right up to the gates of one's own college, which looked like nothing else in the world.
2060_150843_000022_000003	"Our luggage," explained Rickie, "comes in the hotel omnibus, if you would kindly pay a shilling for mine." Ansell turned aside to some large lighted windows, the abode of a hospitable don, and from other windows there floated familiar voices and the familiar mistakes in a Beethoven sonata.	"Our luggage," explained Rickie, "comes in the hotel omnibus, if you would kindly pay a shilling for mine." Ansell turned aside to some large lighted windows, the abode of a hospitable don, and from other windows there floated familiar voices and the familiar mistakes in a Beethoven sonata.
2060_150843_000022_000005	It was not sufficient glory to be a Blue there, nor an additional glory to get drunk.	It was not sufficient glory to be a Blue there, nor an additional glory to get drunk.
2060_150843_000022_000006	Many a maiden lady who had read that Cambridge men were sad dogs, was surprised and perhaps a little disappointed at the reasonable life which greeted her.	Many a maiden lady who had read that Cambridge men were sad dogs, was surprised and perhaps a little disappointed at the reasonable life which greeted her.
2060_150843_000022_000007	Miss Appleblossom in particular had had a tremendous shock.	Miss Appleblossom in particular had had a tremendous shock.
2060_150843_000022_000011	They taught the perky boy that he was not everything, and the limp boy that he might be something.	They taught the perky boy that he was not everything, and the limp boy that he might be something.
2060_150843_000022_000012	They even welcomed those boys who were neither limp nor perky, but odd--those boys who had never been at a public school at all, and such do not find a welcome everywhere.	They even welcomed those boys who were neither limp nor perky, but odd-those boys who had never been at a public school at all, and such do not find a welcome everywhere.
2060_150843_000022_000013	And they did everything with ease--one might almost say with nonchalance, so that the boys noticed nothing, and received education, often for the first time in their lives.	And they did everything with ease-one might almost say with nonchalance, so that the boys noticed nothing, and received education, often for the first time in their lives.
2060_150843_000023_000001	They were all he really possessed in the world, the only place he could call his own.	They were all he really possessed in the world, the only place he could call his own.
2060_150843_000023_000002	Over the door was his name, and through the paint, like a grey ghost, he could still read the name of his predecessor.	Over the door was his name, and through the paint, like a grey ghost, he could still read the name of his predecessor.
2060_150843_000023_000004	There was a beautiful fire, and the kettle boiled at once.	There was a beautiful fire, and the kettle boiled at once.
2060_150843_000023_000005	He made tea on the hearth-rug and ate the biscuits which Mrs. Aberdeen had brought for him up from Anderson's. "Gentlemen," she said, "must learn to give and take." He sighed again and again, like one who had escaped from danger.	He made tea on the hearth rug and ate the biscuits which mrs Aberdeen had brought for him up from Anderson's. "Gentlemen," she said, "must learn to give and take." He sighed again and again, like one who had escaped from danger.
2060_150843_000023_000007	There was no ghost now; he was frightened at reality; he was frightened at the splendours and horrors of the world.	There was no ghost now; he was frightened at reality; he was frightened at the splendours and horrors of the world.
2060_150843_000024_000000	A letter from Miss Pembroke was on the table.	A letter from Miss Pembroke was on the table.
2060_150843_000024_000002	She wrote like the Sibyl; her sorrowful face moved over the stars and shattered their harmonies; last night he saw her with the eyes of Blake, a virgin widow, tall, veiled, consecrated, with her hands stretched out against an everlasting wind.	She wrote like the Sibyl; her sorrowful face moved over the stars and shattered their harmonies; last night he saw her with the eyes of Blake, a virgin widow, tall, veiled, consecrated, with her hands stretched out against an everlasting wind.
2060_150843_000024_000003	Why should she write?	Why should she write?
2060_150843_000024_000004	Her letters were not for the likes of him, nor to be read in rooms like his.	Her letters were not for the likes of him, nor to be read in rooms like his.
2060_150843_000025_000000	"We are not leaving Sawston," she wrote.	"We are not leaving Sawston," she wrote.
2060_150843_000026_000000	Rickie burnt this letter, which he ought not to have done, for it was one of the few tributes Miss Pembroke ever paid to imagination.	Rickie burnt this letter, which he ought not to have done, for it was one of the few tributes Miss Pembroke ever paid to imagination.
2060_150843_000026_000001	But he felt that it did not belong to him: words so sincere should be for Gerald alone.	But he felt that it did not belong to him: words so sincere should be for Gerald alone.
2060_150843_000026_000003	He saw it reach the outer air and beat against the low ceiling of clouds.	He saw it reach the outer air and beat against the low ceiling of clouds.
2060_150843_000026_000004	The clouds were too strong for it; but in them was one chink, revealing one star, and through this the smoke escaped into the light of stars innumerable.	The clouds were too strong for it; but in them was one chink, revealing one star, and through this the smoke escaped into the light of stars innumerable.
2060_150843_000027_000000	"I am jolly unpractical," he mused.	"I am jolly unpractical," he mused.
2060_150843_000027_000002	Who wants visions in a world that has Agnes and Gerald?" He turned on the electric light and pulled open the table-drawer.	Who wants visions in a world that has Agnes and Gerald?" He turned on the electric light and pulled open the table drawer.
2060_150843_000027_000004	It was called "The Bay of the Fifteen Islets," and the action took place on St. John's Eve off the coast of Sicily.	It was called "The Bay of the Fifteen Islets," and the action took place on saint John's Eve off the coast of Sicily.
2060_150843_000027_000008	"Pooh, volcanic!" says the leading tourist, and the ladies say how interesting.	"Pooh, volcanic!" says the leading tourist, and the ladies say how interesting.
2060_150843_000027_000010	They start and quarrel and jabber.	They start and quarrel and jabber.
2060_150843_000027_000011	Fingers burst up through the sand-black fingers of sea devils.	Fingers burst up through the sand black fingers of sea devils.
2060_150843_000027_000013	But just before the catastrophe one man, integer vitae scelerisque purus, sees the truth.	But just before the catastrophe one man, integer vitae scelerisque purus, sees the truth.
2060_150843_000027_000014	Here are no devils.	Here are no devils.
2060_150843_000028_000000	And so Rickie deflected his enthusiasms.	And so Rickie deflected his enthusiasms.
2060_150843_000028_000001	Hitherto they had played on gods and heroes, on the infinite and the impossible, on virtue and beauty and strength.	Hitherto they had played on gods and heroes, on the infinite and the impossible, on virtue and beauty and strength.
