559_126296_000000_000000	HANSEL AND GRETEL	HANSEL AND GRETEL	true	26.76	28.27	17.852098
559_126296_000001_000000	Hard by a great forest dwelt a poor wood-cutter with his wife and his two children.	Hard by a great forest dwelt a poor wood cutter with his wife and his two children.	false	30.86	37.18	16.465452
559_126296_000001_000001	The boy was called Hansel and the girl Gretel.	The boy was called Hansel and the girl Gretel.	true	37.82	41.41	17.608616
559_126296_000001_000002	He had little to bite and to break, and once when great dearth fell on the land, he could no longer procure even daily bread.	He had little to bite and to break, and once when great dearth fell on the land, he could no longer procure even daily bread.	true	42.41	51.97	17.152874
559_126296_000001_000003	Now when he thought over this by night in his bed, and tossed about in his anxiety, he groaned and said to his wife: 'What is to become of us?	Now when he thought over this by night in his bed, and tossed about in his anxiety, he groaned and said to his wife: 'What is to become of us?	false	52.91	64.24	17.523857
559_126296_000001_000004	How are we to feed our poor children, when we no longer have anything even for ourselves?' 'I'll tell you what, husband,' answered the woman, 'early tomorrow morning we will take the children out into the forest to where it is the thickest; there we will light a fire for them, and give each of them one more piece of bread, and then we will go to our work and leave them alone.	How are we to feed our poor children, when we no longer have anything even for ourselves?' 'I'll tell you what, husband,' answered the woman, 'early tomorrow morning we will take the children out into the forest to where it is the thickest; there we will light a fire for them, and give each of them one more piece of bread, and then we will go to our work and leave them alone.	true	64.64	92.83	18.090826
559_126296_000001_000005	They will not find the way home again, and we shall be rid of them.' 'No, wife,' said the man, 'I will not do that; how can I bear to leave my children alone in the forest?--the wild animals would soon come and tear them to pieces.' 'O, you fool!' said she, 'then we must all four die of hunger, you may as well plane the planks for our coffins,' and she left him no peace until he consented.	They will not find the way home again, and we shall be rid of them.' 'No, wife,' said the man, 'I will not do that; how can I bear to leave my children alone in the forest?--the wild animals would soon come and tear them to pieces.' 'O, you fool!' said she, 'then we must all four die of hunger, you may as well plane the planks for our coffins,' and she left him no peace until he consented.	true	93.26	126.85	18.078655
559_126296_000001_000006	'But I feel very sorry for the poor children, all the same,' said the man.	'But I feel very sorry for the poor children, all the same,' said the man.	true	128.09	133.27	14
559_126296_000002_000000	The two children had also not been able to sleep for hunger, and had heard what their stepmother had said to their father.	The two children had also not been able to sleep for hunger, and had heard what their stepmother had said to their father.	true	135.2	144.01	19.047117
559_126296_000002_000001	Gretel wept bitter tears, and said to Hansel: 'Now all is over with us.' 'Be quiet, Gretel,' said Hansel, 'do not distress yourself, I will soon find a way to help us.' And when the old folks had fallen asleep, he got up, put on his little coat, opened the door below, and crept outside.	Gretel wept bitter tears, and said to Hansel: 'Now all is over with us.' 'Be quiet, Gretel,' said Hansel, 'do not distress yourself, I will soon find a way to help us.' And when the old folks had fallen asleep, he got up, put on his little coat, opened the door below, and crept outside.	true	144.32	169.6	18.556486
559_126296_000002_000002	The moon shone brightly, and the white pebbles which lay in front of the house glittered like real silver pennies.	The moon shone brightly, and the white pebbles which lay in front of the house glittered like real silver pennies.	true	170.42	178.42	16.822262
559_126296_000002_000003	Hansel stooped and stuffed the little pocket of his coat with as many as he could get in.	Hansel stooped and stuffed the little pocket of his coat with as many as he could get in.	true	179.24	184.81	19.969746
559_126296_000002_000004	Then he went back and said to Gretel: 'Be comforted, dear little sister, and sleep in peace, God will not forsake us,' and he lay down again in his bed.	Then he went back and said to Gretel: 'Be comforted, dear little sister, and sleep in peace, God will not forsake us,' and he lay down again in his bed.	true	185.24	197.41	15.919073
559_126296_000002_000005	When day dawned, but before the sun had risen, the woman came and awoke the two children, saying: 'Get up, you sluggards! we are going into the forest to fetch wood.' She gave each a little piece of bread, and said: 'There is something for your dinner, but do not eat it up before then, for you will get nothing else.' Gretel took the bread under her apron, as Hansel had the pebbles in his pocket.	When day dawned, but before the sun had risen, the woman came and awoke the two children, saying: 'Get up, you sluggards! we are going into the forest to fetch wood.' She gave each a little piece of bread, and said: 'There is something for your dinner, but do not eat it up before then, for you will get nothing else.' Gretel took the bread under her apron, as Hansel had the pebbles in his pocket.	true	198.2	226.03	18.909311
559_126296_000002_000006	Then they all set out together on the way to the forest.	Then they all set out together on the way to the forest.	false	227.27	231.91	16.895496
559_126296_000002_000007	When they had walked a short time, Hansel stood still and peeped back at the house, and did so again and again. His father said: 'Hansel, what are you looking at there and staying behind for?	When they had walked a short time, Hansel stood still and peeped back at the house, and did so again and again. His father said: 'Hansel, what are you looking at there and staying behind for?	false	233.87	248.68	18.91759
559_126296_000002_000008	Pay attention, and do not forget how to use your legs.' 'Ah, father,' said Hansel, 'I am looking at my little white cat, which is sitting up on the roof, and wants to say goodbye to me.' The wife said: 'Fool, that is not your little cat, that is the morning sun which is shining on the chimneys.' Hansel, however, had not been looking back at the cat, but had been constantly throwing one of the white pebble-stones out of his pocket on the road.	Pay attention, and do not forget how to use your legs.' 'Ah, father,' said Hansel, 'I am looking at my little white cat, which is sitting up on the roof, and wants to say goodbye to me.' The wife said: 'Fool, that is not your little cat, that is the morning sun which is shining on the chimneys.' Hansel, however, had not been looking back at the cat, but had been constantly throwing one of the white pebble stones out of his pocket on the road.	true	248.99	280.96	17.317877
559_126296_000003_000000	When they had reached the middle of the forest, the father said: 'Now, children, pile up some wood, and I will light a fire that you may not be cold.' Hansel and Gretel gathered brushwood together, as high as a little hill.	When they had reached the middle of the forest, the father said: 'Now, children, pile up some wood, and I will light a fire that you may not be cold.' Hansel and Gretel gathered brushwood together, as high as a little hill.	true	282.47	298.63	18.212936
559_126296_000003_000001	The brushwood was lighted, and when the flames were burning very high, the woman said: 'Now, children, lay yourselves down by the fire and rest, we will go into the forest and cut some wood.	The brushwood was lighted, and when the flames were burning very high, the woman said: 'Now, children, lay yourselves down by the fire and rest, we will go into the forest and cut some wood.	true	299	312.31	15.219999
559_126296_000003_000002	When we have done, we will come back and fetch you away.'	When we have done, we will come back and fetch you away.'	true	312.5	316.33	17.10453
559_126296_000004_000000	Hansel and Gretel sat by the fire, and when noon came, each ate a little piece of bread, and as they heard the strokes of the wood-axe they believed that their father was near.	Hansel and Gretel sat by the fire, and when noon came, each ate a little piece of bread, and as they heard the strokes of the wood axe they believed that their father was near.	true	319.07	331.09	16.20364
559_126296_000004_000001	It was not the axe, however, but a branch which he had fastened to a withered tree which the wind was blowing backwards and forwards.	It was not the axe, however, but a branch which he had fastened to a withered tree which the wind was blowing backwards and forwards.	true	332.21	341.83	17.532955
