3717_21498_000000_000000	The Sprig of Rosemary	The Sprig of Rosemary	false	2.4	15.55	23.696781
3717_21498_000001_000000	Cuentos Populars Catalans, per lo Dr. D. Francisco de S. Maspons y Labros (Barcelona: Libreria de Don Alvar Verdaguer 1885).	Cuentos Populars Catalans, per lo dr d Francisco de s Maspons y Labros (Barcelona: Libreria de Don Alvar Verdaguer eighteen eighty five).	false	16.07	27.88	24.793856
3717_21498_000002_000000	Once upon a time there lived a man with one daughter and he made her work hard all the day.	Once upon a time there lived a man with one daughter and he made her work hard all the day.	true	29.93	35.74	22.284744
3717_21498_000002_000001	One morning when she had finished everything he had set her to do, he told her to go out into the woods and get some dry leaves and sticks to kindle a fire.	One morning when she had finished everything he had set her to do, he told her to go out into the woods and get some dry leaves and sticks to kindle a fire.	false	36.41	44.89	23.602583
3717_21498_000003_000000	The girl went out, and soon collected a large bundle, and then she plucked at a sprig of sweet-smelling rosemary for herself.	The girl went out, and soon collected a large bundle, and then she plucked at a sprig of sweet smelling rosemary for herself.	true	46.25	53.74	25.386915
3717_21498_000003_000001	But the harder she pulled the firmer seemed the plant, and at last, determined not to be beaten, she gave one great tug, and the rosemary remained in her hands.	But the harder she pulled the firmer seemed the plant, and at last, determined not to be beaten, she gave one great tug, and the rosemary remained in her hands.	true	54.83	66.79	27.39891
3717_21498_000004_000000	Then she heard a voice close to her saying, 'Well?' and turning she saw before her a handsome young man, who asked why she had come to steal his firewood.	Then she heard a voice close to her saying, 'Well?' and turning she saw before her a handsome young man, who asked why she had come to steal his firewood.	true	67.19	77.26	22.350609
3717_21498_000005_000000	The girl, who felt much confused, only managed to stammer out as an excuse that her father had sent her.	The girl, who felt much confused, only managed to stammer out as an excuse that her father had sent her.	true	77.9	84.61	26.148962
3717_21498_000006_000000	'Very well,' replied the young man; 'then come with me.'	'Very well,' replied the young man; 'then come with me.'	true	85.49	89.68	24.740751
3717_21498_000007_000000	So he took her through the opening made by the torn-up root, and they travelled till they reached a beautiful palace, splendidly furnished, but only lighted from the top.	So he took her through the opening made by the torn up root, and they travelled till they reached a beautiful palace, splendidly furnished, but only lighted from the top.	true	90.71	100.81	27.189037
3717_21498_000007_000001	And when they had entered he told her that he was a great lord, and that never had he seen a maiden so beautiful as she, and that if she would give him her heart they would be married and live happy for ever after.	And when they had entered he told her that he was a great lord, and that never had he seen a maiden so beautiful as she, and that if she would give him her heart they would be married and live happy for ever after.	true	101.03	114.01	22.797483
3717_21498_000008_000000	And the maiden said 'yes, she would,' and so they were married.	And the maiden said 'yes, she would,' and so they were married.	true	114.74	118.87	23.507782
3717_21498_000009_000000	The next day the old dame who looked after the house handed her all the keys, but pointed her out one that she would do well never to use, for if she did the whole palace would fall to the ground, and the grass would grow over it, and the damsel herself would be remembered no more.	The next day the old dame who looked after the house handed her all the keys, but pointed her out one that she would do well never to use, for if she did the whole palace would fall to the ground, and the grass would grow over it, and the damsel herself would be remembered no more.	true	119.42	136.15	24.912867
3717_21498_000010_000000	The bride promised to be careful, but in a little while, when there was nothing left for her to do, she began to wonder what could be in the chest, which was opened by the key.	The bride promised to be careful, but in a little while, when there was nothing left for her to do, she began to wonder what could be in the chest, which was opened by the key.	true	137.24	147.37	28.1408
3717_21498_000010_000001	As everybody knows, if we once begin to think we soon begin to do, and it was not very long before the key was no longer in the maiden's hand but in the lock of the chest.	As everybody knows, if we once begin to think we soon begin to do, and it was not very long before the key was no longer in the maiden's hand but in the lock of the chest.	false	148.01	158.08	22.131937
3717_21498_000010_000002	But the lock was stiff and resisted all her efforts, and in the end she had to break it.	But the lock was stiff and resisted all her efforts, and in the end she had to break it.	true	158.63	165.73	27.132975
3717_21498_000010_000003	And what was inside after all?	And what was inside after all?	true	166.46	168.34	24.324543
3717_21498_000010_000004	Why, nothing but a serpent's skin, which her husband, who was, unknown to her, a magician, put on when he was at work; and at the sight of it the girl was turning away in disgust, when the earth shook violently under her feet, the palace vanished as if it had never been, and the bride found herself in the middle of a field, not knowing where she was or whither to go.	Why, nothing but a serpent's skin, which her husband, who was, unknown to her, a magician, put on when he was at work; and at the sight of it the girl was turning away in disgust, when the earth shook violently under her feet, the palace vanished as if it had never been, and the bride found herself in the middle of a field, not knowing where she was or whither to go.	true	168.47	191.41	20.769756
3717_21498_000010_000005	She burst into a flood of bitter tears, partly at her own folly, but more for the loss of her husband, whom she dearly loved.	She burst into a flood of bitter tears, partly at her own folly, but more for the loss of her husband, whom she dearly loved.	true	191.6	199.87	24.424555
3717_21498_000010_000006	Then, breaking a sprig of rosemary off a bush hard by, she resolved, cost what it might, to seek him through the world till she found him.	Then, breaking a sprig of rosemary off a bush hard by, she resolved, cost what it might, to seek him through the world till she found him.	true	200.27	208.69	28.830627
3717_21498_000010_000007	So she walked and she walked and she walked, till she arrived at a house built of straw.	So she walked and she walked and she walked, till she arrived at a house built of straw.	true	209.03	214.39	25.460567
3717_21498_000010_000008	And she knocked at the door, and asked if they wanted a servant.	And she knocked at the door, and asked if they wanted a servant.	true	214.94	218.62	26.044647
3717_21498_000010_000009	The mistress said she did, and if the girl was willing she might stay.	The mistress said she did, and if the girl was willing she might stay.	true	219.14	222.85	25.36316
