14_208_000000_000000	CHAPTER 11	CHAPTER eleven	true	25.305	30.85	17.046907
14_208_000001_000000	The morrow brought a very sober-looking morning, the sun making only a few efforts to appear, and Catherine augured from it everything most favourable to her wishes.	The morrow brought a very sober looking morning, the sun making only a few efforts to appear, and Catherine augured from it everything most favourable to her wishes.	true	31.04	40.18	21.205563
14_208_000001_000001	A bright morning so early in the year, she allowed, would generally turn to rain, but a cloudy one foretold improvement as the day advanced.	A bright morning so early in the year, she allowed, would generally turn to rain, but a cloudy one foretold improvement as the day advanced.	true	40.91	49.3	18.536087
14_208_000001_000002	She applied to Mr. Allen for confirmation of her hopes, but Mr. Allen, not having his own skies and barometer about him, declined giving any absolute promise of sunshine. She applied to Mrs. Allen, and Mrs. Allen's opinion was more positive. "She had no doubt in the world of its being a very fine day, if the clouds would only go off, and the sun keep out."	She applied to mr Allen for confirmation of her hopes, but mr Allen, not having his own skies and barometer about him, declined giving any absolute promise of sunshine. She applied to mrs Allen, and mrs Allen's opinion was more positive. "She had no doubt in the world of its being a very fine day, if the clouds would only go off, and the sun keep out."	true	50.03	71.83	20.81753
14_208_000002_000000	At about eleven o'clock, however, a few specks of small rain upon the windows caught Catherine's watchful eye, and "Oh!	At about eleven o'clock, however, a few specks of small rain upon the windows caught Catherine's watchful eye, and "Oh!	false	75.65	83.475	22.17626
14_208_000002_000001	dear, I do believe it will be wet," broke from her in a most desponding tone.	dear, I do believe it will be wet," broke from her in a most desponding tone.	true	83.475	87.73	20
14_208_000003_000000	"I thought how it would be," said Mrs. Allen.	"I thought how it would be," said mrs Allen.	true	89.39	91.99	19
14_208_000004_000000	"No walk for me today," sighed Catherine; "but perhaps it may come to nothing, or it may hold up before twelve."	"No walk for me today," sighed Catherine; "but perhaps it may come to nothing, or it may hold up before twelve."	true	92.78	99.46	21.62331
14_208_000005_000000	"Perhaps it may, but then, my dear, it will be so dirty."	"Perhaps it may, but then, my dear, it will be so dirty."	true	100.43	104.5	22.369265
14_208_000006_000000	"Oh!	"Oh!	true	105.86	106.395	27.67949
14_208_000006_000001	That will not signify; I never mind dirt."	That will not signify; I never mind dirt."	true	106.395	108.85	23.418036
14_208_000007_000000	"No," replied her friend very placidly, "I know you never mind dirt."	"No," replied her friend very placidly, "I know you never mind dirt."	true	110.09	114.31	22.135948
14_208_000008_000000	After a short pause, "It comes on faster and faster!" said Catherine, as she stood watching at a window.	After a short pause, "It comes on faster and faster!" said Catherine, as she stood watching at a window.	false	116.03	123.07	21.495146
14_208_000009_000000	"So it does indeed.	"So it does indeed.	true	124.34	125.715	22.735968
14_208_000009_000001	If it keeps raining, the streets will be very wet."	If it keeps raining, the streets will be very wet."	true	125.715	128.14	21
14_208_000010_000000	"There are four umbrellas up already.	"There are four umbrellas up already.	true	129.86	131.74	20.616722
14_208_000010_000001	How I hate the sight of an umbrella!"	How I hate the sight of an umbrella!"	true	131.99	133.86	19.430143
14_208_000011_000000	"They are disagreeable things to carry.	"They are disagreeable things to carry.	false	133.86	138.07	18.319426
14_208_000011_000001	I would much rather take a chair at any time."	I would much rather take a chair at any time."	true	138.17	140.5	20.471605
14_208_000012_000000	"It was such a nice-looking morning!	"It was such a nice looking morning!	true	142.61	144.82	20.029987
14_208_000012_000001	I felt so convinced it would be dry!"	I felt so convinced it would be dry!"	false	144.86	150.04	18.84703
14_208_000013_000000	"Anybody would have thought so indeed.	"Anybody would have thought so indeed.	true	150.35	152.43	20.616346
14_208_000013_000001	There will be very few people in the pump-room, if it rains all the morning.	There will be very few people in the pump room, if it rains all the morning.	true	152.43	155.95	19
14_208_000013_000002	I hope Mr. Allen will put on his greatcoat when he goes, but I dare say he will not, for he had rather do anything in the world than walk out in a greatcoat; I wonder he should dislike it, it must be so comfortable."	I hope mr Allen will put on his greatcoat when he goes, but I dare say he will not, for he had rather do anything in the world than walk out in a greatcoat; I wonder he should dislike it, it must be so comfortable."	true	156.17	167.83	20.396482
14_208_000014_000000	The rain continued--fast, though not heavy.	The rain continued-fast, though not heavy.	true	169.22	171.88	19.335125
14_208_000014_000001	Catherine went every five minutes to the clock, threatening on each return that, if it still kept on raining another five minutes, she would give up the matter as hopeless.	Catherine went every five minutes to the clock, threatening on each return that, if it still kept on raining another five minutes, she would give up the matter as hopeless.	true	172.58	180.85	22.886868
14_208_000014_000002	The clock struck twelve, and it still rained.	The clock struck twelve, and it still rained.	true	181.94	184.45	21
14_208_000014_000003	"You will not be able to go, my dear."	"You will not be able to go, my dear."	true	185.45	187.24	23
14_208_000015_000000	"I do not quite despair yet.	"I do not quite despair yet.	true	188.54	190.54	24.733446
14_208_000015_000001	I shall not give it up till a quarter after twelve.	I shall not give it up till a quarter after twelve.	true	190.73	193.54	22.527147
