4945_29092_000000_000000	She lapsed into thought.	She lapsed into thought.	false	0	1.02	14.5227785
4945_29092_000000_000001	Presently she said:	Presently she said:	false	1.02	1.77	11.755106
4945_29092_000001_000000	"If the time ever comes, and I get a chance, Oh, I'll----"	"If the time ever comes, and I get a chance, Oh, I'll----"	false	1.77	5.16	21.17709
4945_29092_000002_000000	She could not find a word that was strong enough, perhaps.	She could not find a word that was strong enough, perhaps.	false	5.16	9.06	23.026695
4945_29092_000002_000001	By and by she said:	By and by she said:	false	9.06	10.86	9
4945_29092_000003_000000	"Well, I am glad of it--I'm glad of it.	"Well, I am glad of it-I'm glad of it.	false	10.86	14.4	20.627533
4945_29092_000003_000001	I never cared anything for him anyway!"	I never cared anything for him anyway!"	false	14.4	16.89	25.948723
4945_29092_000004_000000	And then, with small consistency, she cried a little, and patted her foot more indignantly than ever.	And then, with small consistency, she cried a little, and patted her foot more indignantly than ever.	false	16.89	22.29	20.553377
4945_29092_000005_000000	CHAPTER XI.	CHAPTER eleven.	true	22.29	23.44	21.6894
4945_29092_000006_000000	Two months had gone by and the Hawkins family were domiciled in Hawkeye. Washington was at work in the real estate office again, and was alternately in paradise or the other place just as it happened that Louise was gracious to him or seemingly indifferent--because indifference or preoccupation could mean nothing else than that she was thinking of some other young person.	Two months had gone by and the Hawkins family were domiciled in Hawkeye. Washington was at work in the real estate office again, and was alternately in paradise or the other place just as it happened that Louise was gracious to him or seemingly indifferent-because indifference or preoccupation could mean nothing else than that she was thinking of some other young person.	false	26.24	48.39	22.103039
4945_29092_000006_000001	Col. Sellers had asked him several times, to dine with him, when he first returned to Hawkeye, but Washington, for no particular reason, had not accepted.	col Sellers had asked him several times, to dine with him, when he first returned to Hawkeye, but Washington, for no particular reason, had not accepted.	false	48.39	58.87	21.549303
4945_29092_000006_000002	No particular reason except one which he preferred to keep to himself--viz. that he could not bear to be away from Louise.	No particular reason except one which he preferred to keep to himself-viz. that he could not bear to be away from Louise.	true	59.96	67.24	22.03997
4945_29092_000006_000003	It occurred to him, now, that the Colonel had not invited him lately--could he be offended?	It occurred to him, now, that the Colonel had not invited him lately-could he be offended?	true	68.81	74.86	23.583252
4945_29092_000006_000004	He resolved to go that very day, and give the Colonel a pleasant surprise.	He resolved to go that very day, and give the Colonel a pleasant surprise.	false	76.43	80.53	20.191544
4945_29092_000006_000005	It was a good idea; especially as Louise had absented herself from breakfast that morning, and torn his heart; he would tear hers, now, and let her see how it felt.	It was a good idea; especially as Louise had absented herself from breakfast that morning, and torn his heart; he would tear hers, now, and let her see how it felt.	true	81.26	94.305	21.788849
4945_29092_000007_000000	The Sellers family were just starting to dinner when Washington burst upon them with his surprise.	The Sellers family were just starting to dinner when Washington burst upon them with his surprise.	false	94.305	99.55	22.130398
4945_29092_000007_000001	For an instant the Colonel looked nonplussed, and just a bit uncomfortable; and Mrs. Sellers looked actually distressed; but the next moment the head of the house was himself again, and exclaimed:	For an instant the Colonel looked nonplussed, and just a bit uncomfortable; and mrs Sellers looked actually distressed; but the next moment the head of the house was himself again, and exclaimed:	true	102.08	113.5	24.263382
4945_29092_000008_000000	"All right, my boy, all right--always glad to see you--always glad to hear your voice and take you by the hand.	"All right, my boy, all right-always glad to see you-always glad to hear your voice and take you by the hand.	true	114.05	119.89	21
4945_29092_000008_000001	Don't wait for special invitations--that's all nonsense among friends.	Don't wait for special invitations-that's all nonsense among friends.	true	120.11	124.03	19
4945_29092_000008_000002	Just come whenever you can, and come as often as you can--the oftener the better.	Just come whenever you can, and come as often as you can-the oftener the better.	false	124.13	128.5	22
4945_29092_000008_000003	You can't please us any better than that, Washington; the little woman will tell you so herself.	You can't please us any better than that, Washington; the little woman will tell you so herself.	true	128.99	133.57	21.91034
4945_29092_000008_000004	We don't pretend to style.	We don't pretend to style.	true	134.72	136.39	25.127716
4945_29092_000008_000005	Plain folks, you know--plain folks.	Plain folks, you know-plain folks.	true	136.61	138.64	24.459936
4945_29092_000008_000006	Just a plain family dinner, but such as it is, our friends are always welcome, I reckon you know that yourself, Washington.	Just a plain family dinner, but such as it is, our friends are always welcome, I reckon you know that yourself, Washington.	true	138.95	146.62	21.951817
4945_29092_000008_000007	Run along, children, run along; Lafayette,--[**In those old days the average man called his children after his most revered literary and historical idols; consequently there was hardly a family, at least in the West, but had a Washington in it--and also a Lafayette, a Franklin, and six or eight sounding names from Byron, Scott, and the Bible, if the offspring held out.	Run along, children, run along; Lafayette,--[asterisk asterisk In those old days the average man called his children after his most revered literary and historical idols; consequently there was hardly a family, at least in the West, but had a Washington in it-and also a Lafayette, a Franklin, and six or eight sounding names from Byron, Scott, and the Bible, if the offspring held out.	false	147.17	171.67	21.053991
