6215_62347_000001_000000	MRS. PRIME READS HER RECANTATION.	mrs PRIME READS HER RECANTATION.
6215_62347_000002_000000	Above an hour had passed after the interruption mentioned at the end of the last chapter before Mrs. Ray and Rachel crossed back from the farm-house to the cottage, and when they went they went alone.	Above an hour had passed after the interruption mentioned at the end of the last chapter before mrs Ray and Rachel crossed back from the farm house to the cottage, and when they went they went alone.
6215_62347_000002_000002	The farmer had come in and had joked his joke, and Mrs. Sturt had clacked over them as though they were a brood of chickens of her own hatching; and Mrs. Ray had smiled and cried, and sobbed and laughed till she had become almost hysterical. Then she had jumped up from her seat, saying, "Oh, dear, what will Dorothea think has become of us?"	The farmer had come in and had joked his joke, and mrs Sturt had clacked over them as though they were a brood of chickens of her own hatching; and mrs Ray had smiled and cried, and sobbed and laughed till she had become almost hysterical. Then she had jumped up from her seat, saying, "Oh, dear, what will Dorothea think has become of us?"
6215_62347_000002_000003	After that Rachel insisted upon going, and the mother and daughter returned across the green, leaving Luke at the farm-house, ready to take his departure as soon as Mrs. Ray and Rachel should have safely reached their home.	After that Rachel insisted upon going, and the mother and daughter returned across the green, leaving luke at the farm house, ready to take his departure as soon as mrs Ray and Rachel should have safely reached their home.
6215_62347_000004_000000	In answer to this Luke protested that he had not thought of Rachel when he was making that speech, and tried to explain that all that was "soft sawder" as he called it, for the election.	In answer to this luke protested that he had not thought of Rachel when he was making that speech, and tried to explain that all that was "soft sawder" as he called it, for the election.
6215_62347_000004_000001	But the words were too apposite to the event, and the sentiment too much in accordance with Mrs. Sturt's chivalric views to allow of her admitting the truth of any such assurance as this.	But the words were too apposite to the event, and the sentiment too much in accordance with mrs Sturt's chivalric views to allow of her admitting the truth of any such assurance as this.
6215_62347_000005_000000	"I know," she said; "I know.	"I know," she said; "I know.
6215_62347_000007_000000	Rachel, as she followed her mother out from the farmyard gate, had not a word to say.	Rachel, as she followed her mother out from the farmyard gate, had not a word to say.
6215_62347_000007_000004	The whole affair had now been managed so suddenly, and the action had been so quick, that she had hardly found a moment for thought.	The whole affair had now been managed so suddenly, and the action had been so quick, that she had hardly found a moment for thought.
6215_62347_000007_000005	Could it be that things were so fixed that there was no room for further disappointment?	Could it be that things were so fixed that there was no room for further disappointment?
6215_62347_000007_000006	She had been scalded so cruelly that she still feared the hot water.	She had been scalded so cruelly that she still feared the hot water.
6215_62347_000007_000008	She longed for hours of absolute quiet, in which she might make herself sure that her malady had also passed away, and that the soreness which remained came only from the memory of former pain.	She longed for hours of absolute quiet, in which she might make herself sure that her malady had also passed away, and that the soreness which remained came only from the memory of former pain.
6215_62347_000008_000000	"Will you tell her or shall I?" said Mrs. Ray, pausing for a moment at the cottage gate.	"Will you tell her or shall I?" said mrs Ray, pausing for a moment at the cottage gate.
6215_62347_000009_000000	"You had better tell her, mamma."	"You had better tell her, mamma."
6215_62347_000010_000000	"I suppose she won't set herself against it; will she?"	"I suppose she won't set herself against it; will she?"
6215_62347_000011_000000	"I hope not, mamma.	"I hope not, mamma.
6215_62347_000011_000001	I shall think her very ill-natured if she does. But it can't make any real difference now, you know."	I shall think her very ill natured if she does. But it can't make any real difference now, you know."
6215_62347_000012_000000	"No; it can't make any difference.	"No; it can't make any difference.
6215_62347_000012_000001	Only it will be so uncomfortable."	Only it will be so uncomfortable."
6215_62347_000013_000000	Then with half-frightened, muffled steps they entered their own house, and joined Mrs. Prime in the sitting-room.	Then with half frightened, muffled steps they entered their own house, and joined mrs Prime in the sitting room.
