337_126286_000000_000000	THE TWELVE DANCING PRINCESSES	THE TWELVE DANCING PRINCESSES	true	17.79	20.38	19
337_126286_000001_000000	There was a king who had twelve beautiful daughters.	There was a king who had twelve beautiful daughters.	true	21.23	24.24	23.298796
337_126286_000001_000001	They slept in twelve beds all in one room; and when they went to bed, the doors were shut and locked up; but every morning their shoes were found to be quite worn through as if they had been danced in all night; and yet nobody could find out how it happened, or where they had been.	They slept in twelve beds all in one room; and when they went to bed, the doors were shut and locked up; but every morning their shoes were found to be quite worn through as if they had been danced in all night; and yet nobody could find out how it happened, or where they had been.	true	24.24	42.64	21
337_126286_000002_000000	Then the king made it known to all the land, that if any person could discover the secret, and find out where it was that the princesses danced in the night, he should have the one he liked best for his wife, and should be king after his death; but whoever tried and did not succeed, after three days and nights, should be put to death.	Then the king made it known to all the land, that if any person could discover the secret, and find out where it was that the princesses danced in the night, he should have the one he liked best for his wife, and should be king after his death; but whoever tried and did not succeed, after three days and nights, should be put to death.	true	42.74	64.665	22
337_126286_000003_000000	A king's son soon came.	A king's son soon came.	true	64.665	66.79	20
337_126286_000003_000001	He was well entertained, and in the evening was taken to the chamber next to the one where the princesses lay in their twelve beds.	He was well entertained, and in the evening was taken to the chamber next to the one where the princesses lay in their twelve beds.	false	66.8	75.19	19
337_126286_000003_000002	There he was to sit and watch where they went to dance; and, in order that nothing might pass without his hearing it, the door of his chamber was left open.	There he was to sit and watch where they went to dance; and, in order that nothing might pass without his hearing it, the door of his chamber was left open.	true	75.53	84.52	20
337_126286_000003_000003	But the king's son soon fell asleep; and when he awoke in the morning he found that the princesses had all been dancing, for the soles of their shoes were full of holes.	But the king's son soon fell asleep; and when he awoke in the morning he found that the princesses had all been dancing, for the soles of their shoes were full of holes.	true	84.68	95.68	21
337_126286_000003_000004	The same thing happened the second and third night: so the king ordered his head to be cut off.	The same thing happened the second and third night: so the king ordered his head to be cut off.	true	95.84	102.105	21
337_126286_000003_000005	After him came several others; but they had all the same luck, and all lost their lives in the same manner.	After him came several others; but they had all the same luck, and all lost their lives in the same manner.	false	102.105	109.96	19
337_126286_000004_000000	Now it chanced that an old soldier, who had been wounded in battle and could fight no longer, passed through the country where this king reigned: and as he was travelling through a wood, he met an old woman, who asked him where he was going.	Now it chanced that an old soldier, who had been wounded in battle and could fight no longer, passed through the country where this king reigned: and as he was travelling through a wood, he met an old woman, who asked him where he was going.	true	110.15	126.25	23.181377
337_126286_000004_000001	'I hardly know where I am going, or what I had better do,' said the soldier; 'but I think I should like very well to find out where it is that the princesses dance, and then in time I might be a king.' 'Well,' said the old dame, 'that is no very hard task: only take care not to drink any of the wine which one of the princesses will bring to you in the evening; and as soon as she leaves you pretend to be fast asleep.'	'I hardly know where I am going, or what I had better do,' said the soldier; 'but I think I should like very well to find out where it is that the princesses dance, and then in time I might be a king.' 'Well,' said the old dame, 'that is no very hard task: only take care not to drink any of the wine which one of the princesses will bring to you in the evening; and as soon as she leaves you pretend to be fast asleep.'	true	126.38	154.81	22.659258
337_126286_000005_000000	Then she gave him a cloak, and said, 'As soon as you put that on you will become invisible, and you will then be able to follow the princesses wherever they go.' When the soldier heard all this good counsel, he determined to try his luck: so he went to the king, and said he was willing to undertake the task.	Then she gave him a cloak, and said, 'As soon as you put that on you will become invisible, and you will then be able to follow the princesses wherever they go.' When the soldier heard all this good counsel, he determined to try his luck: so he went to the king, and said he was willing to undertake the task.	false	155.42	176.38	22.743294
337_126286_000006_000000	He was as well received as the others had been, and the king ordered fine royal robes to be given him; and when the evening came he was led to the outer chamber.	He was as well received as the others had been, and the king ordered fine royal robes to be given him; and when the evening came he was led to the outer chamber.	true	176.48	187.24	20
337_126286_000006_000001	Just as he was going to lie down, the eldest of the princesses brought him a cup of wine; but the soldier threw it all away secretly, taking care not to drink a drop.	Just as he was going to lie down, the eldest of the princesses brought him a cup of wine; but the soldier threw it all away secretly, taking care not to drink a drop.	true	187.49	198.97	21.604046
337_126286_000006_000002	Then he laid himself down on his bed, and in a little while began to snore very loud as if he was fast asleep.	Then he laid himself down on his bed, and in a little while began to snore very loud as if he was fast asleep.	false	199.37	208.63	18.636143
337_126286_000006_000003	When the twelve princesses heard this they laughed heartily; and the eldest said, 'This fellow too might have done a wiser thing than lose his life in this way!' Then they rose up and opened their drawers and boxes, and took out all their fine clothes, and dressed themselves at the glass, and skipped about as if they were eager to begin dancing.	When the twelve princesses heard this they laughed heartily; and the eldest said, 'This fellow too might have done a wiser thing than lose his life in this way!' Then they rose up and opened their drawers and boxes, and took out all their fine clothes, and dressed themselves at the glass, and skipped about as if they were eager to begin dancing.	true	209.36	232.81	22.66312
337_126286_000006_000004	But the youngest said, 'I don't know how it is, while you are so happy I feel very uneasy; I am sure some mischance will befall us.' 'You simpleton,' said the eldest, 'you are always afraid; have you forgotten how many kings' sons have already watched in vain? And as for this soldier, even if I had not given him his sleeping draught, he would have slept soundly enough.'	But the youngest said, 'I don't know how it is, while you are so happy I feel very uneasy; I am sure some mischance will befall us.' 'You simpleton,' said the eldest, 'you are always afraid; have you forgotten how many kings' sons have already watched in vain? And as for this soldier, even if I had not given him his sleeping draught, he would have slept soundly enough.'	true	233.57	260.74	20.868992
337_126286_000007_000000	When they were all ready, they went and looked at the soldier; but he snored on, and did not stir hand or foot: so they thought they were quite safe; and the eldest went up to her own bed and clapped her hands, and the bed sank into the floor and a trap-door flew open.	When they were all ready, they went and looked at the soldier; but he snored on, and did not stir hand or foot: so they thought they were quite safe; and the eldest went up to her own bed and clapped her hands, and the bed sank into the floor and a trap door flew open.	false	261.02	278.02	23.510378
337_126286_000007_000001	The soldier saw them going down through the trap-door one after another, the eldest leading the way; and thinking he had no time to lose, he jumped up, put on the cloak which the old woman had given him, and followed them; but in the middle of the stairs he trod on the gown of the youngest princess, and she cried out to her sisters, 'All is not right; someone took hold of my gown.' 'You silly creature!' said the eldest, 'it is nothing but a nail in the wall.' Then down they all went, and at the bottom they found themselves in a most delightful grove of trees; and the leaves were all of silver, and glittered and sparkled beautifully. The soldier wished to take away some token of the place; so he broke off a little branch, and there came a loud noise from the tree.	The soldier saw them going down through the trap door one after another, the eldest leading the way; and thinking he had no time to lose, he jumped up, put on the cloak which the old woman had given him, and followed them; but in the middle of the stairs he trod on the gown of the youngest princess, and she cried out to her sisters, 'All is not right; someone took hold of my gown.' 'You silly creature!' said the eldest, 'it is nothing but a nail in the wall.' Then down they all went, and at the bottom they found themselves in a most delightful grove of trees; and the leaves were all of silver, and glittered and sparkled beautifully. The soldier wished to take away some token of the place; so he broke off a little branch, and there came a loud noise from the tree.	false	278.27	331.59	22.319014
337_126286_000007_000002	Then the youngest daughter said again, 'I am sure all is not right--did not you hear that noise?	Then the youngest daughter said again, 'I am sure all is not right-did not you hear that noise?	false	331.59	337.66	19
337_126286_000007_000003	That never happened before.' But the eldest said, 'It is only our princes, who are shouting for joy at our approach.'	That never happened before.' But the eldest said, 'It is only our princes, who are shouting for joy at our approach.'	true	337.82	346.06	23.086393
337_126286_000008_000000	Then they came to another grove of trees, where all the leaves were of gold; and afterwards to a third, where the leaves were all glittering diamonds.	Then they came to another grove of trees, where all the leaves were of gold; and afterwards to a third, where the leaves were all glittering diamonds.	true	346.19	356.59	22.416744
