4138_11079_000000_000000	CHAPTER IV.	CHAPTER four.
4138_11079_000001_000000	ON THE "SPARTACUS."	ON THE "SPARTACUS."
4138_11079_000002_000000	The ulster and the felt hat soon came off again, for a head wind lay waiting in the offing, and the "Spartacus" began to pitch and toss in a manner which made all her unseasoned passengers glad to betake themselves to their berths.	The ulster and the felt hat soon came off again, for a head wind lay waiting in the offing, and the "Spartacus" began to pitch and toss in a manner which made all her unseasoned passengers glad to betake themselves to their berths.
4138_11079_000002_000001	Mrs. Ashe and Amy were among the earliest victims of sea-sickness; and Katy, after helping them to settle in their staterooms, found herself too dizzy and ill to sit up a moment longer, and thankfully resorted to her own.	mrs Ashe and Amy were among the earliest victims of sea sickness; and Katy, after helping them to settle in their staterooms, found herself too dizzy and ill to sit up a moment longer, and thankfully resorted to her own.
4138_11079_000003_000001	The "Spartacus" had the reputation of being a dreadful "roller," and seemed bound to justify it on this particular voyage.	The "Spartacus" had the reputation of being a dreadful "roller," and seemed bound to justify it on this particular voyage.
4138_11079_000003_000002	Down, down, down the great hull would slide till Katy would hold her breath with fear lest it might never right itself again; then slowly, slowly the turn would be made, and up, up, up it would go, till the cant on the other side was equally alarming.	Down, down, down the great hull would slide till Katy would hold her breath with fear lest it might never right itself again; then slowly, slowly the turn would be made, and up, up, up it would go, till the cant on the other side was equally alarming.
4138_11079_000003_000003	On the whole, Katy preferred to have her own side of the ship, the downward one; for it was less difficult to keep herself in the berth, from which she was in continual danger of being thrown.	On the whole, Katy preferred to have her own side of the ship, the downward one; for it was less difficult to keep herself in the berth, from which she was in continual danger of being thrown.
4138_11079_000003_000004	The night seemed endless, for she was too frightened to sleep except in broken snatches; and when day dawned, and she looked through the little round pane of glass in the port-hole, only gray sky and gray weltering waves and flying spray and rain met her view.	The night seemed endless, for she was too frightened to sleep except in broken snatches; and when day dawned, and she looked through the little round pane of glass in the port hole, only gray sky and gray weltering waves and flying spray and rain met her view.
4138_11079_000004_000000	"Oh, dear, why do people ever go to sea, unless they must?" she thought feebly to herself.	"Oh, dear, why do people ever go to sea, unless they must?" she thought feebly to herself.
4138_11079_000004_000001	She wanted to get up and see how Mrs. Ashe had lived through the night, but the attempt to move made her so miserably ill that she was glad to sink again on her pillows.	She wanted to get up and see how mrs Ashe had lived through the night, but the attempt to move made her so miserably ill that she was glad to sink again on her pillows.
4138_11079_000005_000000	The stewardess looked in with offers of tea and toast, the very idea of which was simply dreadful, and pronounced the other lady "'orridly ill, worse than you are, Miss," and the little girl "takin' on dreadful in the h'upper berth." Of this fact Katy soon had audible proof; for as her dizzy senses rallied a little, she could hear Amy in the opposite stateroom crying and sobbing pitifully.	The stewardess looked in with offers of tea and toast, the very idea of which was simply dreadful, and pronounced the other lady "'orridly ill, worse than you are, Miss," and the little girl "takin' on dreadful in the h'upper berth." Of this fact Katy soon had audible proof; for as her dizzy senses rallied a little, she could hear Amy in the opposite stateroom crying and sobbing pitifully.
4138_11079_000005_000001	She seemed to be angry as well as sick, for she was scolding her poor mother in the most vehement fashion.	She seemed to be angry as well as sick, for she was scolding her poor mother in the most vehement fashion.
4138_11079_000006_000000	"I hate being at sea," Katy heard her say.	"I hate being at sea," Katy heard her say.
4138_11079_000006_000001	"I won't stay in this nasty old ship.	"I won't stay in this nasty old ship.
4138_11079_000006_000002	Mamma!	Mamma!
4138_11079_000006_000003	Mamma! do you hear me?	Mamma! do you hear me?
4138_11079_000006_000004	I won't stay in this ship!	I won't stay in this ship!
4138_11079_000006_000005	It wasn't a bit kind of you to bring me to such a horrid place.	It wasn't a bit kind of you to bring me to such a horrid place.
4138_11079_000006_000007	I want to go back, mamma.	I want to go back, mamma.
4138_11079_000006_000008	Tell the captain to take me back to the land.	Tell the captain to take me back to the land.
4138_11079_000006_000009	Mamma, why don't you speak to me?	Mamma, why don't you speak to me?
4138_11079_000006_000011	Don't you wish you were dead?	Don't you wish you were dead?
4138_11079_000006_000012	I do!"	I do!"
4138_11079_000007_000000	And then came another storm of sobs, but never a sound from Mrs. Ashe, who, Katy suspected, was too ill to speak.	And then came another storm of sobs, but never a sound from mrs Ashe, who, Katy suspected, was too ill to speak.
4138_11079_000007_000001	She felt very sorry for poor little Amy, raging there in her high berth like some imprisoned creature, but she was powerless to help her.	She felt very sorry for poor little Amy, raging there in her high berth like some imprisoned creature, but she was powerless to help her.
4138_11079_000007_000002	She could only resign herself to her own discomforts, and try to believe that somehow, sometime, this state of things must mend,--either they should all get to land or all go to the bottom and be drowned, and at that moment she didn't care very much which it turned out to be.	She could only resign herself to her own discomforts, and try to believe that somehow, sometime, this state of things must mend,--either they should all get to land or all go to the bottom and be drowned, and at that moment she didn't care very much which it turned out to be.
4138_11079_000008_000000	The gale increased as the day wore on, and the vessel pitched dreadfully.	The gale increased as the day wore on, and the vessel pitched dreadfully.
4138_11079_000008_000001	Twice Katy was thrown out of her berth on the floor; then the stewardess came and fixed a sort of movable side to the berth, which held her in, but made her feel like a child fastened into a railed crib. At intervals she could still hear Amy crying and scolding her mother, and conjectured that they were having a dreadful time of it in the other stateroom.	Twice Katy was thrown out of her berth on the floor; then the stewardess came and fixed a sort of movable side to the berth, which held her in, but made her feel like a child fastened into a railed crib. At intervals she could still hear Amy crying and scolding her mother, and conjectured that they were having a dreadful time of it in the other stateroom.
4138_11079_000008_000002	It was all like a bad dream.	It was all like a bad dream.
4138_11079_000008_000003	"And they call this travelling for pleasure!" thought poor Katy.	"And they call this travelling for pleasure!" thought poor Katy.
4138_11079_000009_000000	One droll thing happened in the course of the second night,--at least it seemed droll afterward; at the time Katy was too uncomfortable to enjoy it.	One droll thing happened in the course of the second night,--at least it seemed droll afterward; at the time Katy was too uncomfortable to enjoy it.
4138_11079_000009_000001	Amid the rush of the wind, the creaking of the ship's timbers, and the shrill buzz of the screw, she heard a sound of queer little footsteps in the entry outside of her open door, hopping and leaping together in an odd irregular way, like a regiment of mice or toy soldiers.	Amid the rush of the wind, the creaking of the ship's timbers, and the shrill buzz of the screw, she heard a sound of queer little footsteps in the entry outside of her open door, hopping and leaping together in an odd irregular way, like a regiment of mice or toy soldiers.
4138_11079_000009_000002	Nearer and nearer they came; and Katy opening her eyes saw a procession of boots and shoes of all sizes and shapes, which had evidently been left on the floors or at the doors of various staterooms, and which in obedience to the lurchings of the vessel had collected in the cabin.	Nearer and nearer they came; and Katy opening her eyes saw a procession of boots and shoes of all sizes and shapes, which had evidently been left on the floors or at the doors of various staterooms, and which in obedience to the lurchings of the vessel had collected in the cabin.
4138_11079_000009_000003	They now seemed to be acting in concert with one another, and really looked alive as they bumped and trotted side by side, and two by two, in at the door and up close to her bedside.	They now seemed to be acting in concert with one another, and really looked alive as they bumped and trotted side by side, and two by two, in at the door and up close to her bedside.
4138_11079_000009_000004	There they remained for several moments executing what looked like a dance; then the leading shoe turned on its heel as if giving a signal to the others, and they all hopped slowly again into the passage-way and disappeared.	There they remained for several moments executing what looked like a dance; then the leading shoe turned on its heel as if giving a signal to the others, and they all hopped slowly again into the passage way and disappeared.
4138_11079_000009_000005	It was exactly like one of Hans Christian Andersen's fairy-tales, Katy wrote to Clover afterward.	It was exactly like one of Hans Christian Andersen's fairy tales, Katy wrote to Clover afterward.
4138_11079_000009_000006	She heard them going down the cabin; but how it ended, or whether the owners of the boots and shoes ever got their own particular pairs again, she never knew.	She heard them going down the cabin; but how it ended, or whether the owners of the boots and shoes ever got their own particular pairs again, she never knew.
4138_11079_000010_000000	Toward morning the gale abated, the sea became smoother, and she dropped asleep.	Toward morning the gale abated, the sea became smoother, and she dropped asleep.
4138_11079_000010_000001	When she woke the sun was struggling through the clouds, and she felt better.	When she woke the sun was struggling through the clouds, and she felt better.
4138_11079_000012_000000	"And 'ere's a letter, ma'am, which has come for you by post this morning," said the nice old stewardess, producing an envelope from her pocket, and eying her patient with great satisfaction.	"And 'ere's a letter, ma'am, which has come for you by post this morning," said the nice old stewardess, producing an envelope from her pocket, and eying her patient with great satisfaction.
