7868_246932_000001_000000	THE SHEATH.	THE SHEATH.
7868_246932_000003_000000	He led the way to his room, and the curate followed.	He led the way to his room, and the curate followed.
7868_246932_000003_000001	Seated there, in the shadowy old attic, through the very walls of which the ivy grew, and into which, by the open window in the gable, from the infinite west, blew the evening air, carrying with it the precious scent of honeysuckle, to mingle with that of old books, Polwarth recounted and Wingfold listened to a strange adventure.	Seated there, in the shadowy old attic, through the very walls of which the ivy grew, and into which, by the open window in the gable, from the infinite west, blew the evening air, carrying with it the precious scent of honeysuckle, to mingle with that of old books, Polwarth recounted and Wingfold listened to a strange adventure.
7868_246932_000003_000002	The trees hid the sky, and the little human nest was dark around them.	The trees hid the sky, and the little human nest was dark around them.
7868_246932_000004_000000	"I am going to make a confidant of you, Mr. Wingfold," said the dwarf, with troubled face, and almost whispered word.	"I am going to make a confidant of you, mr Wingfold," said the dwarf, with troubled face, and almost whispered word.
7868_246932_000004_000001	"You will know how much I have already learned to trust you when I say that what I am about to confide to you plainly involves the secret of another."	"You will know how much I have already learned to trust you when I say that what I am about to confide to you plainly involves the secret of another."
7868_246932_000005_000000	His large face grew paler as he spoke, and something almost like fear grew in his eyes, but they looked straight into those of the curate, and his voice did not tremble.	His large face grew paler as he spoke, and something almost like fear grew in his eyes, but they looked straight into those of the curate, and his voice did not tremble.
7868_246932_000006_000000	"One night, some weeks ago--I can, if necessary, make myself certain of the date,--I was--no uncommon thing with me--unable to sleep.	"One night, some weeks ago-I can, if necessary, make myself certain of the date,--I was-no uncommon thing with me-unable to sleep.
7868_246932_000006_000002	I rose, dressed, and went out.	I rose, dressed, and went out.
7868_246932_000007_000000	"It was a still, warm night, no moon, but plenty of star-light, the wind blowing as now, gentle and sweet and cool--just the wind my lungs sighed for.	"It was a still, warm night, no moon, but plenty of star light, the wind blowing as now, gentle and sweet and cool-just the wind my lungs sighed for.
7868_246932_000007_000001	I got into the open park, avoiding the trees, and wandered on and on, without thinking where I was going.	I got into the open park, avoiding the trees, and wandered on and on, without thinking where I was going.
7868_246932_000007_000002	The turf was soft under my feet, the dusk soft to my eyes, and the wind to my soul; I had breath and room and leisure and silence and loneliness, and everything to make me more than usually happy; and so I wandered on and on, neither caring nor looking whither I went: so long as the stars remained unclouded, I could find my way back when I pleased.	The turf was soft under my feet, the dusk soft to my eyes, and the wind to my soul; I had breath and room and leisure and silence and loneliness, and everything to make me more than usually happy; and so I wandered on and on, neither caring nor looking whither I went: so long as the stars remained unclouded, I could find my way back when I pleased.
7868_246932_000008_000000	"I had been out perhaps an hour, when through the soft air came a cry, apparently from far off.	"I had been out perhaps an hour, when through the soft air came a cry, apparently from far off.
7868_246932_000008_000001	There was something in the tone that seemed to me unusually frightful.	There was something in the tone that seemed to me unusually frightful.
7868_246932_000008_000002	The bare sound made me shudder before I had time to say to myself it was a cry.	The bare sound made me shudder before I had time to say to myself it was a cry.
7868_246932_000008_000003	I turned my face in the direction of it, so far as I could judge, and went on.	I turned my face in the direction of it, so far as I could judge, and went on.
