303_123500_000000_000000	CHAPTER II	CHAPTER two	true	19.23	20.325	24.915728
303_123500_000001_000000	THE ESCAPE OF THE DEAD	THE ESCAPE OF THE DEAD	true	20.325	22.06	29.139118
303_123500_000002_000000	A sense of delicious dreaminess overcame me, my muscles relaxed, and I was on the point of giving way to my desire to sleep when the sound of approaching horses reached my ears.	A sense of delicious dreaminess overcame me, my muscles relaxed, and I was on the point of giving way to my desire to sleep when the sound of approaching horses reached my ears.	true	24.74	35.05	19
303_123500_000002_000001	I attempted to spring to my feet but was horrified to discover that my muscles refused to respond to my will.	I attempted to spring to my feet but was horrified to discover that my muscles refused to respond to my will.	true	35.78	41.89	21
303_123500_000002_000002	I was now thoroughly awake, but as unable to move a muscle as though turned to stone.	I was now thoroughly awake, but as unable to move a muscle as though turned to stone.	true	42.5	47.23	22.462706
303_123500_000002_000003	It was then, for the first time, that I noticed a slight vapor filling the cave.	It was then, for the first time, that I noticed a slight vapor filling the cave.	true	47.9	52.96	22.28819
303_123500_000002_000004	It was extremely tenuous and only noticeable against the opening which led to daylight.	It was extremely tenuous and only noticeable against the opening which led to daylight.	true	53.66	58.06	19
303_123500_000002_000005	There also came to my nostrils a faintly pungent odor, and I could only assume that I had been overcome by some poisonous gas, but why I should retain my mental faculties and yet be unable to move I could not fathom.	There also came to my nostrils a faintly pungent odor, and I could only assume that I had been overcome by some poisonous gas, but why I should retain my mental faculties and yet be unable to move I could not fathom.	true	59.03	70.84	20
303_123500_000003_000000	I lay facing the opening of the cave and where I could see the short stretch of trail which lay between the cave and the turn of the cliff around which the trail led.	I lay facing the opening of the cave and where I could see the short stretch of trail which lay between the cave and the turn of the cliff around which the trail led.	true	72.2	79.81	20
303_123500_000003_000001	The noise of the approaching horses had ceased, and I judged the Indians were creeping stealthily upon me along the little ledge which led to my living tomb.	The noise of the approaching horses had ceased, and I judged the Indians were creeping stealthily upon me along the little ledge which led to my living tomb.	true	80.51	88.48	19
303_123500_000003_000002	I remember that I hoped they would make short work of me as I did not particularly relish the thought of the innumerable things they might do to me if the spirit prompted them.	I remember that I hoped they would make short work of me as I did not particularly relish the thought of the innumerable things they might do to me if the spirit prompted them.	true	89.18	97.33	20
303_123500_000004_000000	I had not long to wait before a stealthy sound apprised me of their nearness, and then a war-bonneted, paint-streaked face was thrust cautiously around the shoulder of the cliff, and savage eyes looked into mine.	I had not long to wait before a stealthy sound apprised me of their nearness, and then a war bonneted, paint streaked face was thrust cautiously around the shoulder of the cliff, and savage eyes looked into mine.	true	98.99	109.63	16
