3546_175390_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.	true	4.26	6.31	15
3546_175390_000000_000001	All LibriVox recordings are in the public domain.	All LibriVox recordings are in the public domain.	true	6.62	10	17
3546_175390_000000_000002	For more information, or to volunteer, please visit librivox.org.	For more information, or to volunteer, please visit librivox dot org.	true	10.28	15.96	19
3546_175390_000001_000000	ALICE ADAMS ***	ALICE ADAMS asterisk asterisk asterisk	false	15.96	16.77	50
3546_175390_000002_000000	Produced by Charles Keller	Produced by Charles Keller	false	16.77	18.51	19.44396
3546_175390_000003_000000	ALICE ADAMS	ALICE ADAMS	true	18.51	19.71	18
3546_175390_000004_000000	By Booth Tarkington	By Booth Tarkington	true	19.71	21.28	21
3546_175390_000005_000000	CHAPTER I	CHAPTER one	true	21.59	22.6	18.7231
3546_175390_000006_000000	The patient, an old-fashioned man, thought the nurse made a mistake in keeping both of the windows open, and her sprightly disregard of his protests added something to his hatred of her.	The patient, an old-fashioned man, thought the nurse made a mistake in keeping both of the windows open, and her sprightly disregard of his protests added something to his hatred of her.	true	23.57	34.6	19
3546_175390_000006_000001	Every evening he told her that anybody with ordinary gumption ought to realize that night air was bad for the human frame.	Every evening he told her that anybody with ordinary gumption ought to realize that night air was bad for the human frame.	true	35.06	41.77	16
3546_175390_000006_000002	"The human frame won't stand everything, Miss Perry," he warned her, resentfully.	"The human frame won't stand everything, Miss Perry," he warned her, resentfully.	true	42.38	46.63	19
3546_175390_000006_000003	"Even a child, if it had just ordinary gumption, ought to know enough not to let the night air blow on sick people yes, nor well people, either!	"Even a child, if it had just ordinary gumption, ought to know enough not to let the night air blow on sick people yes, nor well people, either!	true	47	54.76	18
3546_175390_000006_000004	'Keep out of the night air, no matter how well you feel.' That's what my mother used to tell me when I was a boy.	'Keep out of the night air, no matter how well you feel.' That's what my mother used to tell me when I was a boy.	true	54.98	60.48	19
3546_175390_000006_000005	'Keep out of the night air, Virgil,' she'd say.	'Keep out of the night air, Virgil,' she'd say.	true	60.48	62.95	18
3546_175390_000006_000006	'Keep out of the night air.'"	'Keep out of the night air.'"	true	62.96	64.42	21.316242
3546_175390_000007_000000	"I expect probably her mother told her the same thing," the nurse suggested.	"I expect probably her mother told her the same thing," the nurse suggested.	true	65.39	69.82	19
3546_175390_000008_000000	"Of course she did.	"Of course she did.	true	70.25	71.355	18.804855
3546_175390_000008_000001	My grandmother----"	My grandmother----"	true	71.355	72.49	21
3546_175390_000009_000000	"Oh, I guess your GRANDmother thought so, Mr. Adams!	"Oh, I guess your GRANDmother thought so, mr Adams!	true	72.56	75.76	20
3546_175390_000009_000001	That was when all this flat central country was swampish and hadn't been drained off yet. I guess the truth must been the swamp mosquitoes bit people and gave 'em malaria, especially before they began to put screens in their windows. Well, we got screens in these windows, and no mosquitoes are goin' to bite us; so just you be a good boy and rest your mind and go to sleep like you need to."	That was when all this flat central country was swampish and hadn't been drained off yet. I guess the truth must been the swamp mosquitoes bit people and gave 'em malaria, especially before they began to put screens in their windows. Well, we got screens in these windows, and no mosquitoes are goin' to bite us; so just you be a good boy and rest your mind and go to sleep like you need to."	false	75.95	96.25	18
3546_175390_000010_000000	"Sleep?" he said.	"Sleep?" he said.	true	96.95	98.38	26.259083
3546_175390_000010_000001	"Likely!"	"Likely!"	true	98.42	99.31	28.026129
3546_175390_000011_000000	He thought the night air worst of all in April; he hadn't a doubt it would kill him, he declared.	He thought the night air worst of all in April; he hadn't a doubt it would kill him, he declared.	true	100.4	105.55	18.117193
3546_175390_000011_000001	"It's miraculous what the human frame WILL survive," he admitted on the last evening of that month.	"It's miraculous what the human frame WILL survive," he admitted on the last evening of that month.	true	105.83	111.1	22
3546_175390_000011_000002	"But you and the doctor ought to both be taught it won't stand too dang much!	"But you and the doctor ought to both be taught it won't stand too dang much!	true	111.17	115.245	18
3546_175390_000011_000003	You poison a man and poison and poison him with this April night air----"	You poison a man and poison and poison him with this April night air----"	false	115.245	119.05	15
