534_123059_000000_000001	They were in a wretched state, worn out and worn down.	They were in a wretched state, worn out and worn down.
534_123059_000001_000000	They were all terribly footsore.	They were all terribly footsore.
534_123059_000001_000002	There was nothing the matter with them except that they were dead tired.	There was nothing the matter with them except that they were dead tired.
534_123059_000001_000008	In less than five months they had travelled twenty-five hundred miles, during the last eighteen hundred of which they had had but five days' rest. When they arrived at Skaguay they were apparently on their last legs. They could barely keep the traces taut, and on the down grades just managed to keep out of the way of the sled.	In less than five months they had travelled twenty five hundred miles, during the last eighteen hundred of which they had had but five days' rest. When they arrived at Skaguay they were apparently on their last legs. They could barely keep the traces taut, and on the down grades just managed to keep out of the way of the sled.
534_123059_000002_000000	"Mush on, poor sore feets," the driver encouraged them as they tottered down the main street of Skaguay.	"Mush on, poor sore feets," the driver encouraged them as they tottered down the main street of Skaguay.
534_123059_000003_000002	But so many were the men who had rushed into the Klondike, and so many were the sweethearts, wives, and kin that had not rushed in, that the congested mail was taking on Alpine proportions; also, there were official orders. Fresh batches of Hudson Bay dogs were to take the places of those worthless for the trail.	But so many were the men who had rushed into the Klondike, and so many were the sweethearts, wives, and kin that had not rushed in, that the congested mail was taking on Alpine proportions; also, there were official orders. Fresh batches of Hudson Bay dogs were to take the places of those worthless for the trail.
534_123059_000003_000003	The worthless ones were to be got rid of, and, since dogs count for little against dollars, they were to be sold.	The worthless ones were to be got rid of, and, since dogs count for little against dollars, they were to be sold.
534_123059_000004_000004	This belt was the most salient thing about him.	This belt was the most salient thing about him.
534_123059_000005_000002	"Mercedes" the men called her.	"Mercedes" the men called her.
534_123059_000006_000005	When they put a clothes-sack on the front of the sled, she suggested it should go on the back; and when they had put it on the back, and covered it over with a couple of other bundles, she discovered overlooked articles which could abide nowhere else but in that very sack, and they unloaded again.	When they put a clothes sack on the front of the sled, she suggested it should go on the back; and when they had put it on the back, and covered it over with a couple of other bundles, she discovered overlooked articles which could abide nowhere else but in that very sack, and they unloaded again.
534_123059_000010_000000	"It's springtime, and you won't get any more cold weather," the man replied.	"It's springtime, and you won't get any more cold weather," the man replied.
534_123059_000012_000000	"Think it'll ride?" one of the men asked.	"Think it'll ride?" one of the men asked.
534_123059_000013_000000	"Why shouldn't it?" Charles demanded rather shortly.	"Why shouldn't it?" Charles demanded rather shortly.
534_123059_000014_000000	"Oh, that's all right, that's all right," the man hastened meekly to say.	"Oh, that's all right, that's all right," the man hastened meekly to say.
534_123059_000018_000000	The dogs sprang against the breast-bands, strained hard for a few moments, then relaxed.	The dogs sprang against the breast bands, strained hard for a few moments, then relaxed.
534_123059_000023_000002	They need a rest."	They need a rest."
534_123059_000025_000000	But she was a clannish creature, and rushed at once to the defence of her brother.	But she was a clannish creature, and rushed at once to the defence of her brother.
534_123059_000025_000001	"Never mind that man," she said pointedly.	"Never mind that man," she said pointedly.
534_123059_000026_000001	They threw themselves against the breast-bands, dug their feet into the packed snow, got down low to it, and put forth all their strength.	They threw themselves against the breast bands, dug their feet into the packed snow, got down low to it, and put forth all their strength.
534_123059_000026_000003	After two efforts, they stood still, panting.	After two efforts, they stood still, panting.
534_123059_000027_000000	"You poor, poor dears," she cried sympathetically, "why don't you pull hard?--then you wouldn't be whipped." Buck did not like her, but he was feeling too miserable to resist her, taking it as part of the day's miserable work.	"You poor, poor dears," she cried sympathetically, "why don't you pull hard?--then you wouldn't be whipped." Buck did not like her, but he was feeling too miserable to resist her, taking it as part of the day's miserable work.
534_123059_000029_000001	The runners are froze fast.	The runners are froze fast.
534_123059_000029_000002	Throw your weight against the gee-pole, right and left, and break it out."	Throw your weight against the gee pole, right and left, and break it out."
534_123059_000030_000005	The dogs never stopped.	The dogs never stopped.
534_123059_000030_000006	The lightened sled bounded on its side behind them.	The lightened sled bounded on its side behind them.
534_123059_000030_000008	Buck was raging.	Buck was raging.
534_123059_000030_000011	He tripped and was pulled off his feet.	He tripped and was pulled off his feet.
534_123059_000031_000000	Kind-hearted citizens caught the dogs and gathered up the scattered belongings.	Kind hearted citizens caught the dogs and gathered up the scattered belongings.
534_123059_000031_000006	"Half as many is too much; get rid of them.	"Half as many is too much; get rid of them.
534_123059_000031_000007	Throw away that tent, and all those dishes,--who's going to wash them, anyway?	Throw away that tent, and all those dishes,--who's going to wash them, anyway?
534_123059_000031_000008	Good Lord, do you think you're travelling on a Pullman?"	Good Lord, do you think you're travelling on a Pullman?"
534_123059_000032_000003	She clasped hands about knees, rocking back and forth broken-heartedly.	She clasped hands about knees, rocking back and forth broken heartedly.
534_123059_000033_000000	This accomplished, the outfit, though cut in half, was still a formidable bulk.	This accomplished, the outfit, though cut in half, was still a formidable bulk.
534_123059_000033_000002	These, added to the six of the original team, and Teek and Koona, the huskies obtained at the Rink Rapids on the record trip, brought the team up to fourteen.	These, added to the six of the original team, and Teek and Koona, the huskies obtained at the Rink Rapids on the record trip, brought the team up to fourteen.
534_123059_000033_000006	Buck and his comrades looked upon them with disgust, and though he speedily taught them their places and what not to do, he could not teach them what to do.	Buck and his comrades looked upon them with disgust, and though he speedily taught them their places and what not to do, he could not teach them what to do.
534_123059_000034_000001	The two men, however, were quite cheerful.	The two men, however, were quite cheerful.
534_123059_000034_000002	And they were proud, too.	And they were proud, too.
534_123059_000034_000005	In the nature of Arctic travel there was a reason why fourteen dogs should not drag one sled, and that was that one sled could not carry the food for fourteen dogs.	In the nature of Arctic travel there was a reason why fourteen dogs should not drag one sled, and that was that one sled could not carry the food for fourteen dogs.
534_123059_000034_000007	They had worked the trip out with a pencil, so much to a dog, so many dogs, so many days, Q.E.D.	They had worked the trip out with a pencil, so much to a dog, so many dogs, so many days, q e d
534_123059_000035_000000	Late next morning Buck led the long team up the street.	Late next morning Buck led the long team up the street.
534_123059_000035_000002	They were starting dead weary.	They were starting dead weary.
534_123059_000035_000003	Four times he had covered the distance between Salt Water and Dawson, and the knowledge that, jaded and tired, he was facing the same trail once more, made him bitter.	Four times he had covered the distance between Salt Water and Dawson, and the knowledge that, jaded and tired, he was facing the same trail once more, made him bitter.
534_123059_000035_000004	His heart was not in the work, nor was the heart of any dog.	His heart was not in the work, nor was the heart of any dog.
534_123059_000036_000001	They did not know how to do anything, and as the days went by it became apparent that they could not learn.	They did not know how to do anything, and as the days went by it became apparent that they could not learn.
534_123059_000036_000002	They were slack in all things, without order or discipline.	They were slack in all things, without order or discipline.
534_123059_000036_000003	It took them half the night to pitch a slovenly camp, and half the morning to break that camp and get the sled loaded in fashion so slovenly that for the rest of the day they were occupied in stopping and rearranging the load.	It took them half the night to pitch a slovenly camp, and half the morning to break that camp and get the sled loaded in fashion so slovenly that for the rest of the day they were occupied in stopping and rearranging the load.
534_123059_000036_000004	Some days they did not make ten miles.	Some days they did not make ten miles.
534_123059_000037_000002	The Outside dogs, whose digestions had not been trained by chronic famine to make the most of little, had voracious appetites. And when, in addition to this, the worn-out huskies pulled weakly, Hal decided that the orthodox ration was too small.	The Outside dogs, whose digestions had not been trained by chronic famine to make the most of little, had voracious appetites. And when, in addition to this, the worn out huskies pulled weakly, Hal decided that the orthodox ration was too small.
534_123059_000037_000005	But it was not food that Buck and the huskies needed, but rest.	But it was not food that Buck and the huskies needed, but rest.
534_123059_000038_000000	Then came the underfeeding.	Then came the underfeeding.
534_123059_000038_000002	So he cut down even the orthodox ration and tried to increase the day's travel.	So he cut down even the orthodox ration and tried to increase the day's travel.
534_123059_000038_000003	His sister and brother-in-law seconded him; but they were frustrated by their heavy outfit and their own incompetence.	His sister and brother in law seconded him; but they were frustrated by their heavy outfit and their own incompetence.
534_123059_000041_000001	It was the cherished belief of each that he did more than his share of the work, and neither forbore to speak this belief at every opportunity. Sometimes Mercedes sided with her husband, sometimes with her brother. The result was a beautiful and unending family quarrel.	It was the cherished belief of each that he did more than his share of the work, and neither forbore to speak this belief at every opportunity. Sometimes Mercedes sided with her husband, sometimes with her brother. The result was a beautiful and unending family quarrel.
534_123059_000041_000005	In the meantime the fire remained unbuilt, the camp half pitched, and the dogs unfed.	In the meantime the fire remained unbuilt, the camp half pitched, and the dogs unfed.
534_123059_000042_000000	Mercedes nursed a special grievance--the grievance of sex.	Mercedes nursed a special grievance-the grievance of sex.
534_123059_000042_000005	Upon which impeachment of what to her was her most essential sex-prerogative, she made their lives unendurable.	Upon which impeachment of what to her was her most essential sex prerogative, she made their lives unendurable.
