1121_176698_000000_000000	CHAPTER XIII	CHAPTER thirteen	false	0.45	10.02	23.480455
1121_176698_000001_000000	_How Anthea came home_	underscore How Anthea came home underscore	false	10.02	14.91	24.718632
1121_176698_000002_000000	"Lord!" said Adam, pausing with a chair under either arm, "Lord, Mr. Belloo sir,--I wonder what Miss Anthea will say?" with which remark he strode off with the two chairs to set them in their accustomed places.	"Lord!" said Adam, pausing with a chair under either arm, "Lord, mr Belloo sir,--I wonder what Miss Anthea will say?" with which remark he strode off with the two chairs to set them in their accustomed places.	true	14.91	29.02	23.000872
1121_176698_000003_000000	Seldom indeed had the old hall despite its many years, seen such a running to and fro, heard such a patter of flying feet, such merry voices, such gay, and heart-felt laughter.	Seldom indeed had the old hall despite its many years, seen such a running to and fro, heard such a patter of flying feet, such merry voices, such gay, and heart felt laughter.	true	29.6	41.5	21.934057
1121_176698_000003_000001	For here was Miss Priscilla, looking smaller than ever, in a great arm chair whence she directed the disposal and arrangement of all things, with quick little motions of her crutch-stick.	For here was Miss Priscilla, looking smaller than ever, in a great arm chair whence she directed the disposal and arrangement of all things, with quick little motions of her crutch stick.	true	41.81	52.93	22.450506
1121_176698_000003_000002	And here were the two rosy-cheeked maids, brighter and rosier than ever, and here was comely Prudence hither come from her kitchen to bear a hand, and here, as has been said, was Adam, and here also was Bellew, his pipe laid aside with his coat, pushing, and tugging in his efforts to get the great side-board back into its customary position; and all, as has also been said, was laughter, and bustle, and an eager haste to have all things as they were,--and should be henceforth,--before Anthea's return.	And here were the two rosy cheeked maids, brighter and rosier than ever, and here was comely Prudence hither come from her kitchen to bear a hand, and here, as has been said, was Adam, and here also was Bellew, his pipe laid aside with his coat, pushing, and tugging in his efforts to get the great side board back into its customary position; and all, as has also been said, was laughter, and bustle, and an eager haste to have all things as they were,--and should be henceforth,--before Anthea's return.	false	53.03	88.72	22.133995
1121_176698_000004_000000	"Lord!" exclaimed Adam again, balanced now upon a ladder, and pausing to wipe his brow with one hand and with a picture swinging in the other, "Lord! what ever will Miss Anthea say, Mr. Belloo sir!"	"Lord!" exclaimed Adam again, balanced now upon a ladder, and pausing to wipe his brow with one hand and with a picture swinging in the other, "Lord! what ever will Miss Anthea say, mr Belloo sir!"	true	88.85	103.27	22.779957
1121_176698_000005_000000	"Ah!" nodded Bellew thoughtfully, "I wonder!"	"Ah!" nodded Bellew thoughtfully, "I wonder!"	true	103.61	107.23	25.219002
1121_176698_000006_000000	"What do you suppose she'll say, Miss Priscilla, mam?"	"What do you suppose she'll say, Miss Priscilla, mam?"	false	107.6	110.82	21.242804
1121_176698_000007_000000	"I think you'd better be careful of that picture, Adam!"	"I think you'd better be careful of that picture, Adam!"	true	110.82	114.49	19.134724
1121_176698_000008_000000	"Which means," said Bellew, smiling down into Miss Priscilla's young, bright eyes, "that you don't know."	"Which means," said Bellew, smiling down into Miss Priscilla's young, bright eyes, "that you don't know."	true	115.13	121.69	22.708883
1121_176698_000009_000000	"Well, Mr. Bellew, she'll be very--glad, of course,--happier I think, than you or I can guess, because I know she loves every stick, and stave of that old furniture,--but--"	"Well, mr Bellew, she'll be very-glad, of course,--happier I think, than you or I can guess, because I know she loves every stick, and stave of that old furniture,--but-"	true	122.03	136.15	19.505903
1121_176698_000010_000000	"But!" nodded Bellew, "yes, I understand."	"But!" nodded Bellew, "yes, I understand."	true	136.94	141.13	26.24533
1121_176698_000011_000000	"Mr. Bellew, if Anthea,--God bless her dear heart!--but if she has a fault--it is pride, Mr. Bellew, Pride!	"mr Bellew, if Anthea,--God bless her dear heart!--but if she has a fault-it is pride, mr Bellew, Pride!	false	141.44	150.585	21.324146
1121_176698_000011_000001	Pride!	Pride!	true	150.585	151.47	18.878645
1121_176698_000011_000002	Pride!--with a capital P!"	Pride!--with a capital P!"	true	151.47	154.36	20.892906
1121_176698_000012_000000	"Yes, she is very proud."	"Yes, she is very proud."	true	154.37	156.75	21.3462
