5400_34478_000000_000000	"I don't know the riddle," answered Levin wearily.	"I don't know the riddle," answered Levin wearily.	false	8.49	27.33	25.00924
5400_34478_000001_000000	Chapter 3	Chapter three	true	27.33	28.39	28.754688
5400_34478_000002_000000	"Do you know, I've been thinking about you," said Sergey Ivanovitch. "It's beyond everything what's being done in the district, according to what this doctor tells me.	"Do you know, I've been thinking about you," said Sergey Ivanovitch. "It's beyond everything what's being done in the district, according to what this doctor tells me.	false	29.06	38.52	24.481224
5400_34478_000002_000001	He's a very intelligent fellow.	He's a very intelligent fellow.	false	38.52	40.51	22.722015
5400_34478_000002_000002	And as I've told you before, I tell you again: it's not right for you not to go to the meetings, and altogether to keep out of the district business.	And as I've told you before, I tell you again: it's not right for you not to go to the meetings, and altogether to keep out of the district business.	true	40.67	47.89	24.584276
5400_34478_000002_000003	If decent people won't go into it, of course it's bound to go all wrong.	If decent people won't go into it, of course it's bound to go all wrong.	true	48.32	52.15	22.080194
5400_34478_000002_000004	We pay the money, and it all goes in salaries, and there are no schools, nor district nurses, nor midwives, nor drugstores--nothing."	We pay the money, and it all goes in salaries, and there are no schools, nor district nurses, nor midwives, nor drugstores-nothing."	true	52.31	60.46	24.424845
5400_34478_000003_000000	"Well, I did try, you know," Levin said slowly and unwillingly.	"Well, I did try, you know," Levin said slowly and unwillingly.	false	60.92	64.75	24.494404
5400_34478_000003_000001	"I can't! and so there's no help for it."	"I can't! and so there's no help for it."	true	65.12	67.69	22.311197
5400_34478_000004_000000	"But why can't you?	"But why can't you?	true	67.91	69.1	27.31422
5400_34478_000004_000001	I must own I can't make it out.	I must own I can't make it out.	true	69.38	71.355	24.6338
5400_34478_000004_000002	Indifference, incapacity--I won't admit; surely it's not simply laziness?"	Indifference, incapacity-I won't admit; surely it's not simply laziness?"	true	71.355	76.9	25.720377
5400_34478_000005_000000	"None of those things.	"None of those things.	true	77.27	78.525	19.79415
5400_34478_000005_000001	I've tried, and I see I can do nothing," said Levin.	I've tried, and I see I can do nothing," said Levin.	false	78.525	82.14	23.520613
5400_34478_000006_000000	He had hardly grasped what his brother was saying.	He had hardly grasped what his brother was saying.	true	82.14	84.4	25
5400_34478_000006_000001	Looking towards the plough land across the river, he made out something black, but he could not distinguish whether it was a horse or the bailiff on horseback.	Looking towards the plough land across the river, he made out something black, but he could not distinguish whether it was a horse or the bailiff on horseback.	true	84.59	92.14	25.722782
5400_34478_000007_000000	"Why is it you can do nothing?	"Why is it you can do nothing?	true	92.42	93.93	24.602083
5400_34478_000007_000001	You made an attempt and didn't succeed, as you think, and you give in.	You made an attempt and didn't succeed, as you think, and you give in.	true	93.93	97.3	22.57796
5400_34478_000007_000002	How can you have so little self-respect?"	How can you have so little self respect?"	true	97.67	100.21	26.288008
5400_34478_000008_000000	"Self-respect!" said Levin, stung to the quick by his brother's words; "I don't understand.	"Self respect!" said Levin, stung to the quick by his brother's words; "I don't understand.	true	100.46	105.55	24.006325
5400_34478_000008_000001	If they'd told me at college that other people understood the integral calculus, and I didn't, then pride would have come in.	If they'd told me at college that other people understood the integral calculus, and I didn't, then pride would have come in.	true	105.71	111.82	26.029222
5400_34478_000008_000002	But in this case one wants first to be convinced that one has certain qualifications for this sort of business, and especially that all this business is of great importance."	But in this case one wants first to be convinced that one has certain qualifications for this sort of business, and especially that all this business is of great importance."	true	112.04	120.61	24.838825
