5918_46890_000000_000000	CHAPTER TEN.	CHAPTER TEN.
5918_46890_000001_000000	CHASED BY PIRATES.	CHASED BY PIRATES.
5918_46890_000002_000000	The weather now rapidly became finer, and the ocean, no longer lashed into fury by the breath of the tempest, subsided once more into long regular undulations.	The weather now rapidly became finer, and the ocean, no longer lashed into fury by the breath of the tempest, subsided once more into long regular undulations.
5918_46890_000002_000001	The wind hauled gradually more round from the northward too, and blew warm and balmy; a most welcome change after the raw and chilly weather we had lately experienced.	The wind hauled gradually more round from the northward too, and blew warm and balmy; a most welcome change after the raw and chilly weather we had lately experienced.
5918_46890_000004_000000	Nothing of importance occurred for more than a week.	Nothing of importance occurred for more than a week.
5918_46890_000005_000001	We were fairly in the Pacific, the region of fine weather; and our little barkie had behaved so well in the gale that our confidence in her seaworthiness was thoroughly established; so that all fear of future danger from bad weather was completely taken off our minds.	We were fairly in the Pacific, the region of fine weather; and our little barkie had behaved so well in the gale that our confidence in her seaworthiness was thoroughly established; so that all fear of future danger from bad weather was completely taken off our minds.
5918_46890_000006_000000	One morning, the wind having fallen considerably lighter during the preceding night, as soon as breakfast was over I roused up our square- headed topsail, with the intention of setting it in the room of the small one.	One morning, the wind having fallen considerably lighter during the preceding night, as soon as breakfast was over I roused up our square headed topsail, with the intention of setting it in the room of the small one.
5918_46890_000007_000000	But when I proceeded to take the latter in, I found that the halliards were somehow jammed aloft, and I shinned up to clear them.	But when I proceeded to take the latter in, I found that the halliards were somehow jammed aloft, and I shinned up to clear them.
5918_46890_000010_000000	"Broad on our lee-bow," I answered, still clinging to the thin wire topmast shrouds.	"Broad on our lee bow," I answered, still clinging to the thin wire topmast shrouds.
5918_46890_000011_000000	"What d'ye make her out to be, Harry, my lad?" was the next question.	"What d'ye make her out to be, Harry, my lad?" was the next question.
5918_46890_000012_000000	"Either a barque or a brig," answered I; "the latter I am inclined to believe, though he is still too far away for his mizzen-mast to show, if he has one."	"Either a barque or a brig," answered I; "the latter I am inclined to believe, though he is still too far away for his mizzen mast to show, if he has one."
5918_46890_000013_000000	"Why d'ye think it's a brig, Harry?" queried Bob.	"Why d'ye think it's a brig, Harry?" queried Bob.
5918_46890_000016_000000	I was inclined to take the same view of the matter that Bob did.	I was inclined to take the same view of the matter that Bob did.
5918_46890_000017_000001	Had she been bound to the eastward, the weather was not so bad at that time as to have prevented her scudding before it, which she undoubtedly would have done under such circumstances, making a fair wind of it.	Had she been bound to the eastward, the weather was not so bad at that time as to have prevented her scudding before it, which she undoubtedly would have done under such circumstances, making a fair wind of it.
5918_46890_000018_000000	At the same time there was of course a possibility of our being mistaken as to the craft in sight being the pirate-brig, it being by no means an unusual thing for vessels as small as she was, or even smaller, to venture round the Cape.	At the same time there was of course a possibility of our being mistaken as to the craft in sight being the pirate brig, it being by no means an unusual thing for vessels as small as she was, or even smaller, to venture round the Cape.
5918_46890_000019_000001	What, under such circumstances, is your advice?"	What, under such circumstances, is your advice?"
5918_46890_000020_000000	"Which of us has the weather-gauge, d'ye think?" queried Bob.	"Which of us has the weather gauge, d'ye think?" queried Bob.
5918_46890_000021_000002	If we are both going at about the same speed, I should say we shall pass extremely close to her."	If we are both going at about the same speed, I should say we shall pass extremely close to her."
5918_46890_000022_000000	"How is she heading, Harry?" was the next question.	"How is she heading, Harry?" was the next question.
5918_46890_000023_000000	"To the northward, rather edging down towards us, if anything, I thought."	"To the northward, rather edging down towards us, if anything, I thought."
5918_46890_000025_000001	Having reached the cross- trees, he stood upon them, with one hand grasping the peak-halliards to steady himself, whilst with the other he shaded his eyes.	Having reached the cross trees, he stood upon them, with one hand grasping the peak halliards to steady himself, whilst with the other he shaded his eyes.
5918_46890_000026_000001	Having satisfied himself, he descended deliberately to the deck, evidently ruminating deeply.	Having satisfied himself, he descended deliberately to the deck, evidently ruminating deeply.
5918_46890_000029_000000	The wind, however, was dropping fast; and by the time that the sun was on the meridian we were not going more than five knots.	The wind, however, was dropping fast; and by the time that the sun was on the meridian we were not going more than five knots.
5918_46890_000030_000000	Bob, on the other hand, was delighted beyond measure, stoutly avowing that the falling breeze was little, if anything, short of a divine manifestation in our favour.	Bob, on the other hand, was delighted beyond measure, stoutly avowing that the falling breeze was little, if anything, short of a divine manifestation in our favour.
5918_46890_000032_000000	We were very busy with the viands, keeping one eye always on the brig however, when we noticed something fluttering over her taffrail; and the next moment a flag of some sort floated up to her peak.	We were very busy with the viands, keeping one eye always on the brig however, when we noticed something fluttering over her taffrail; and the next moment a flag of some sort floated up to her peak.
5918_46890_000033_000000	I was at the tiller; so Bob took the glass, and levelling it at the brig, gave her a more thorough scrutiny than we had bestowed upon her at all hitherto.	I was at the tiller; so Bob took the glass, and levelling it at the brig, gave her a more thorough scrutiny than we had bestowed upon her at all hitherto.
5918_46890_000034_000000	"The stars and stripes, and a pennant!" exclaimed he, with his eye still at the tube.	"The stars and stripes, and a pennant!" exclaimed he, with his eye still at the tube.
5918_46890_000034_000001	"Lord bless us for the two pretty innocents he takes us for, Harry; but there, of course he don't know as we've got his character and all about him at our fingers' ends.	"Lord bless us for the two pretty innocents he takes us for, Harry; but there, of course he don't know as we've got his character and all about him at our fingers' ends.
5918_46890_000034_000002	Well, anyhow, we won't be behindhand with him in the matter of politeness;" and therewith Master Bob dived below, returning in a moment with our ensign and club burgee in his hand, which he bent to their respective halliards and ran them up--the one to our gaff-end, and the other to our mast-head.	Well, anyhow, we won't be behindhand with him in the matter of politeness;" and therewith Master Bob dived below, returning in a moment with our ensign and club burgee in his hand, which he bent to their respective halliards and ran them up-the one to our gaff end, and the other to our mast head.
5918_46890_000035_000000	As we had by this time finished our meal, Bob cleared the things away, muttering something about having "plenty to do afore long besides eating and drinking."	As we had by this time finished our meal, Bob cleared the things away, muttering something about having "plenty to do afore long besides eating and drinking."
5918_46890_000037_000000	Bob at once assumed the duties of signal-officer, by once more taking a peep through the glass.	Bob at once assumed the duties of signal officer, by once more taking a peep through the glass.
5918_46890_000038_000000	"Commercial code pennant," said he; and then he read out the flags beneath it.	"Commercial code pennant," said he; and then he read out the flags beneath it.
5918_46890_000039_000000	"Run down and fetch up the signal-book," said I.	"Run down and fetch up the signal book," said i
5918_46890_000041_000000	"Thank 'ee!" ejaculated Bob, "not if we can help it, Mister Johnson.	"Thank 'ee!" ejaculated Bob, "not if we can help it, Mister Johnson.
5918_46890_000041_000001	I reckon 'twould be about the most onprofitable conwersation as ever the crew of this here cutter took a part in.	I reckon 'twould be about the most onprofitable conwersation as ever the crew of this here cutter took a part in.
5918_46890_000042_000000	"You are right, Bob," I replied, glancing at the compass; "he is more than a point farther aft than he was a quarter of an hour ago; but is it not possible that we are giving ourselves needless uneasiness?	"You are right, Bob," I replied, glancing at the compass; "he is more than a point farther aft than he was a quarter of an hour ago; but is it not possible that we are giving ourselves needless uneasiness?
5918_46890_000044_000000	It was but too evident that Bob was right.	It was but too evident that Bob was right.
5918_46890_000047_000000	It was by this time perfectly manifest that whatever he might be able to do in a breeze, he had no chance with us in a light air like the present; and I entertained strong hopes of being able to slip past him unscathed, when I felt sanguine of our ability to get fairly away from him in a chase dead to windward.	It was by this time perfectly manifest that whatever he might be able to do in a breeze, he had no chance with us in a light air like the present; and I entertained strong hopes of being able to slip past him unscathed, when I felt sanguine of our ability to get fairly away from him in a chase dead to windward.
5918_46890_000048_000001	He had aimed apparently so as to throw the shot across our fore-foot; but it fell short by about fifty feet.	He had aimed apparently so as to throw the shot across our fore foot; but it fell short by about fifty feet.
5918_46890_000049_000000	"Do that again, you lubber!" exclaimed Bob, contemptuously apostrophising the brig.	"Do that again, you lubber!" exclaimed Bob, contemptuously apostrophising the brig.
5918_46890_000049_000001	"Three more such fool's tricks as that, and we'll say good-bye t'ye without ever having been within range.	"Three more such fool's tricks as that, and we'll say good bye t'ye without ever having been within range.
5918_46890_000051_000000	"Here it comes straight for us this time, and no mistake," exclaimed Bob, as the water-jets again marked the course of the shot.	"Here it comes straight for us this time, and no mistake," exclaimed Bob, as the water jets again marked the course of the shot.
5918_46890_000051_000001	"Scaldings! out of the road all of us that's got thin skulls," continued he, as the shot came skipping across the water in such long bounds as showed we were within range.	"Scaldings! out of the road all of us that's got thin skulls," continued he, as the shot came skipping across the water in such long bounds as showed we were within range.
5918_46890_000051_000002	"Well missed!" added he, as the shot struck the water close to us, and bounded fairly over the boat, passing close beneath the main-boom and the foot of the mainsail, without injuring so much as a ropeyarn.	"Well missed!" added he, as the shot struck the water close to us, and bounded fairly over the boat, passing close beneath the main boom and the foot of the mainsail, without injuring so much as a ropeyarn.
5918_46890_000052_000000	"That's his long gun, Bob," said I; "his broadside guns would never reach so far as this, and though we're just now in rather warm quarters, we shall be out of range again very soon; and then, I think, we need give ourselves no further trouble concerning him.	"That's his long gun, Bob," said I; "his broadside guns would never reach so far as this, and though we're just now in rather warm quarters, we shall be out of range again very soon; and then, I think, we need give ourselves no further trouble concerning him.
5918_46890_000052_000001	Any way, you've got something very like the fulfilment of the wish you expressed the other day."	Any way, you've got something very like the fulfilment of the wish you expressed the other day."
5918_46890_000055_000000	The shot shaved us pretty close to windward nevertheless, striking the water for the last time just short of our taffrail, and scurrying along and ploughing up the surface close enough to give us a pretty copious shower-bath of spray ere it finally sank just ahead of us.	The shot shaved us pretty close to windward nevertheless, striking the water for the last time just short of our taffrail, and scurrying along and ploughing up the surface close enough to give us a pretty copious shower bath of spray ere it finally sank just ahead of us.
5918_46890_000057_000000	After this he fired no more.	After this he fired no more.
