583_139009_000000_000000	All the other stories were serialized.	All the other stories were serialized.	false	0	0.51	-1
583_139009_000000_000001	The "Typhoon" appeared in the early numbers of the Pall Mall Magazine, then under the direction of the late Mr. Halkett.	The "Typhoon" appeared in the early numbers of the Pall Mall Magazine, then under the direction of the late mr Halkett.	false	0.51	7.47	17.00427
583_139009_000000_000002	It was on that occasion, too, that I saw for the first time my conceptions rendered by an artist in another medium.	It was on that occasion, too, that I saw for the first time my conceptions rendered by an artist in another medium.	false	7.47	8.34	8
583_139009_000000_000003	Mr. Maurice Grieffenhagen knew how to combine in his illustrations the effect of his own most distinguished personal vision with an absolute fidelity to the inspiration of the writer.	mr Maurice Grieffenhagen knew how to combine in his illustrations the effect of his own most distinguished personal vision with an absolute fidelity to the inspiration of the writer.	false	8.34	8.43	4
583_139009_000000_000004	"Amy Foster" was published in The Illustrated London News with a fine drawing of Amy on her day out giving tea to the children at her home, in a hat with a big feather.	"Amy Foster" was published in The Illustrated London News with a fine drawing of Amy on her day out giving tea to the children at her home, in a hat with a big feather.	false	8.43	11.4	13
583_139009_000000_000005	"To-morrow" appeared first in the Pall Mall Magazine.	"To morrow" appeared first in the Pall Mall Magazine.	false	11.4	13.62	17
583_139009_000000_000006	Of that story I will only say that it struck many people by its adaptability to the stage and that I was induced to dramatize it under the title of "One Day More"; up to the present my only effort in that direction.	Of that story I will only say that it struck many people by its adaptability to the stage and that I was induced to dramatize it under the title of "One Day More"; up to the present my only effort in that direction.	false	13.62	18.57	18.383762
583_139009_000000_000007	I may also add that each of the four stories on their appearance in book form was picked out on various grounds as the "best of the lot" by different critics, who reviewed the volume with a warmth of appreciation and understanding, a sympathetic insight and a friendliness of expression for which I cannot be sufficiently grateful.	I may also add that each of the four stories on their appearance in book form was picked out on various grounds as the "best of the lot" by different critics, who reviewed the volume with a warmth of appreciation and understanding, a sympathetic insight and a friendliness of expression for which I cannot be sufficiently grateful.	false	18.57	24.69	16.431236
583_139009_000001_000000	1919.	nineteen nineteen.	false	24.69	24.99	-20
583_139009_000001_000001	J. C.	j c	false	24.99	25.32	-20
583_139009_000002_000000	TYPHOON	TYPHOON	false	25.32	25.47	2
