5389_41911_000006_000000	Janni and the Draken	Janni and the Draken
5389_41911_000007_000001	He had a wife and one little girl, and after a long time his wife had another child.	He had a wife and one little girl, and after a long time his wife had another child.
5389_41911_000008_000000	In the course of time Janni's parents died, and he and his sister were left alone in the world; soon affairs went badly with them, so they determined to wander away to seek their fortune.	In the course of time Janni's parents died, and he and his sister were left alone in the world; soon affairs went badly with them, so they determined to wander away to seek their fortune.
5389_41911_000008_000001	In packing up, the sister found a knife which the monk had left for his godson, and this she gave to her brother.	In packing up, the sister found a knife which the monk had left for his godson, and this she gave to her brother.
5389_41911_000009_000001	After wandering for three days they met a man with three dogs who proposed that they should exchange animals, he taking the sheep, and they the dogs.	After wandering for three days they met a man with three dogs who proposed that they should exchange animals, he taking the sheep, and they the dogs.
5389_41911_000009_000002	The brother and sister were quite pleased at this arrangement, and after the exchange was made they separated, and went their different ways.	The brother and sister were quite pleased at this arrangement, and after the exchange was made they separated, and went their different ways.
5389_41911_000011_000000	So Janni found the castle deserted, and abode there with his sister, and every day went out to hunt with the weapons the Draken had left in the castle.	So Janni found the castle deserted, and abode there with his sister, and every day went out to hunt with the weapons the Draken had left in the castle.
5389_41911_000012_000000	One day, when he was away hunting, one of the Draken came up to get provisions, not knowing that there was anyone in the castle.	One day, when he was away hunting, one of the Draken came up to get provisions, not knowing that there was anyone in the castle.
5389_41911_000014_000003	But he plucked the cherries, and took them back to his sister.	But he plucked the cherries, and took them back to his sister.
5389_41911_000015_000001	And the sister ate the cherries and declared herself well again.	And the sister ate the cherries and declared herself well again.
5389_41911_000017_000005	But he took the quinces and brought them back to his sister, who, when she had eaten them, declared herself better.	But he took the quinces and brought them back to his sister, who, when she had eaten them, declared herself better.
5389_41911_000019_000000	The sister did as she was told, and next day Janni, taking his three dogs with him, went to get the pears.	The sister did as she was told, and next day Janni, taking his three dogs with him, went to get the pears.
5389_41911_000022_000000	So Janni plucked the pears and took them to his sister, who, when she had eaten them, declared she felt better.	So Janni plucked the pears and took them to his sister, who, when she had eaten them, declared she felt better.
5389_41911_000027_000000	The travellers let a rope down and drew him up to daylight.	The travellers let a rope down and drew him up to daylight.
5389_41911_000030_000000	When she learnt what had befallen him she called together all the sorceresses in the country in order that they should tell her where the eyes were.	When she learnt what had befallen him she called together all the sorceresses in the country in order that they should tell her where the eyes were.
