7816_108620_000001_000000	CHAPTER 10	CHAPTER ten
7816_108620_000002_000000	SHORTLY afterward an incident occurred which I am induced to look upon as more intensely productive of emotion, as far more replete with the extremes first of delight and then of horror, than even any of the thousand chances which afterward befell me in nine long years, crowded with events of the most startling and, in many cases, of the most unconceived and unconceivable character.	SHORTLY afterward an incident occurred which I am induced to look upon as more intensely productive of emotion, as far more replete with the extremes first of delight and then of horror, than even any of the thousand chances which afterward befell me in nine long years, crowded with events of the most startling and, in many cases, of the most unconceived and unconceivable character.
7816_108620_000002_000002	I turned my head, and shall never forget the ecstatic joy which thrilled through every particle of my frame, when I perceived a large brig bearing down upon us, and not more than a couple of miles off.	I turned my head, and shall never forget the ecstatic joy which thrilled through every particle of my frame, when I perceived a large brig bearing down upon us, and not more than a couple of miles off.
7816_108620_000002_000004	Peters and Parker were equally affected, although in different ways.	Peters and Parker were equally affected, although in different ways.
7816_108620_000002_000005	The former danced about the deck like a madman, uttering the most extravagant rhodomontades, intermingled with howls and imprecations, while the latter burst into tears, and continued for many minutes weeping like a child.	The former danced about the deck like a madman, uttering the most extravagant rhodomontades, intermingled with howls and imprecations, while the latter burst into tears, and continued for many minutes weeping like a child.
7816_108620_000003_000000	The vessel in sight was a large hermaphrodite brig, of a Dutch build, and painted black, with a tawdry gilt figure-head.	The vessel in sight was a large hermaphrodite brig, of a Dutch build, and painted black, with a tawdry gilt figure head.
7816_108620_000003_000002	When we first saw her, she was, as I have already said, about two miles off and to windward, bearing down upon us.	When we first saw her, she was, as I have already said, about two miles off and to windward, bearing down upon us.
7816_108620_000003_000003	The breeze was very gentle, and what astonished us chiefly was, that she had no other sails set than her foremast and mainsail, with a flying jib--of course she came down but slowly, and our impatience amounted nearly to phrensy.	The breeze was very gentle, and what astonished us chiefly was, that she had no other sails set than her foremast and mainsail, with a flying jib-of course she came down but slowly, and our impatience amounted nearly to phrensy.
7816_108620_000003_000004	The awkward manner in which she steered, too, was remarked by all of us, even excited as we were.	The awkward manner in which she steered, too, was remarked by all of us, even excited as we were.
7816_108620_000003_000005	She yawed about so considerably, that once or twice we thought it impossible she could see us, or imagined that, having seen us, and discovered no person on board, she was about to tack and make off in another direction.	She yawed about so considerably, that once or twice we thought it impossible she could see us, or imagined that, having seen us, and discovered no person on board, she was about to tack and make off in another direction.
7816_108620_000004_000000	No person was seen upon her decks until she arrived within about a quarter of a mile of us.	No person was seen upon her decks until she arrived within about a quarter of a mile of us.
7816_108620_000004_000003	He seemed by his manner to be encouraging us to have patience, nodding to us in a cheerful although rather odd way, and smiling constantly, so as to display a set of the most brilliantly white teeth.	He seemed by his manner to be encouraging us to have patience, nodding to us in a cheerful although rather odd way, and smiling constantly, so as to display a set of the most brilliantly white teeth.
7816_108620_000004_000004	As his vessel drew nearer, we saw a red flannel cap which he had on fall from his head into the water; but of this he took little or no notice, continuing his odd smiles and gesticulations.	As his vessel drew nearer, we saw a red flannel cap which he had on fall from his head into the water; but of this he took little or no notice, continuing his odd smiles and gesticulations.
7816_108620_000005_000000	The brig came on slowly, and now more steadily than before, and--I cannot speak calmly of this event--our hearts leaped up wildly within us, and we poured out our whole souls in shouts and thanksgiving to God for the complete, unexpected, and glorious deliverance that was so palpably at hand.	The brig came on slowly, and now more steadily than before, and-I cannot speak calmly of this event-our hearts leaped up wildly within us, and we poured out our whole souls in shouts and thanksgiving to God for the complete, unexpected, and glorious deliverance that was so palpably at hand.
7816_108620_000005_000001	Of a sudden, and all at once, there came wafted over the ocean from the strange vessel (which was now close upon us) a smell, a stench, such as the whole world has no name for--no conception of--hellish--utterly suffocating--insufferable, inconceivable.	Of a sudden, and all at once, there came wafted over the ocean from the strange vessel (which was now close upon us) a smell, a stench, such as the whole world has no name for-no conception of-hellish-utterly suffocating-insufferable, inconceivable.
7816_108620_000005_000003	But we had now no time left for question or surmise--the brig was within fifty feet of us, and it seemed to be her intention to run under our counter, that we might board her without putting out a boat.	But we had now no time left for question or surmise-the brig was within fifty feet of us, and it seemed to be her intention to run under our counter, that we might board her without putting out a boat.
7816_108620_000005_000005	Shall I ever forget the triple horror of that spectacle? Twenty-five or thirty human bodies, among whom were several females, lay scattered about between the counter and the galley in the last and most loathsome state of putrefaction.	Shall I ever forget the triple horror of that spectacle? Twenty five or thirty human bodies, among whom were several females, lay scattered about between the counter and the galley in the last and most loathsome state of putrefaction.
