1859_145700_000005_000001	Schmidt.	Schmidt.
1859_145700_000006_000001	Every morning he used to go out fishing, and whatever fish he caught he sold to the King.	Every morning he used to go out fishing, and whatever fish he caught he sold to the King.
1859_145700_000006_000003	When he came home he put all the fishes together into a great dish, but he kept the Crab separate because it shone so beautifully, and placed it upon a high shelf in the cupboard.	When he came home he put all the fishes together into a great dish, but he kept the Crab separate because it shone so beautifully, and placed it upon a high shelf in the cupboard.
1859_145700_000007_000000	'Let down, let down thy petticoat That lets thy feet be seen.'	'Let down, let down thy petticoat That lets thy feet be seen.'
1859_145700_000008_000000	She turned round in surprise, and then she saw the little creature, the Golden Crab.	She turned round in surprise, and then she saw the little creature, the Golden Crab.
1859_145700_000009_000000	'What!	'What!
1859_145700_000009_000001	You can speak, can you, you ridiculous crab?' she said, for she was not quite pleased at the Crab's remarks.	You can speak, can you, you ridiculous crab?' she said, for she was not quite pleased at the Crab's remarks.
1859_145700_000010_000000	When her husband came home and they sat down to dinner, they presently heard the Crab's little voice saying, 'Give me some too.' They were all very much surprised, but they gave him something to eat.	When her husband came home and they sat down to dinner, they presently heard the Crab's little voice saying, 'Give me some too.' They were all very much surprised, but they gave him something to eat.
1859_145700_000010_000001	When the old man came to take away the plate which had contained the Crab's dinner, he found it full of gold, and as the same thing happened every day he soon became very fond of the Crab.	When the old man came to take away the plate which had contained the Crab's dinner, he found it full of gold, and as the same thing happened every day he soon became very fond of the Crab.
1859_145700_000012_000001	He said, therefore, to the fisherman's wife, 'Go, old woman, and tell the Crab I will give him my daughter if by to-morrow morning he can build a wall in front of my castle much higher than my tower, upon which all the flowers of the world must grow and bloom.'	He said, therefore, to the fisherman's wife, 'Go, old woman, and tell the Crab I will give him my daughter if by to morrow morning he can build a wall in front of my castle much higher than my tower, upon which all the flowers of the world must grow and bloom.'
1859_145700_000014_000000	Then the Crab gave her a golden rod, and said, 'Go and strike with this rod three times upon the ground on the place which the King showed you, and to-morrow morning the wall will be there.'	Then the Crab gave her a golden rod, and said, 'Go and strike with this rod three times upon the ground on the place which the King showed you, and to morrow morning the wall will be there.'
1859_145700_000015_000000	The old woman did so and went away again.	The old woman did so and went away again.
1859_145700_000016_000000	The next morning, when the King awoke, what do you think he saw?	The next morning, when the King awoke, what do you think he saw?
1859_145700_000016_000001	The wall stood there before his eyes, exactly as he had bespoken it!	The wall stood there before his eyes, exactly as he had bespoken it!
1859_145700_000017_000000	Then the old woman went back to the King and said to him, 'Your Majesty's orders have been fulfilled.'	Then the old woman went back to the King and said to him, 'Your Majesty's orders have been fulfilled.'
1859_145700_000018_000000	'That is all very well,' said the King, 'but I cannot give away my daughter until there stands in front of my palace a garden in which there are three fountains, of which the first must play gold, the second diamonds, and the third brilliants.'	'That is all very well,' said the King, 'but I cannot give away my daughter until there stands in front of my palace a garden in which there are three fountains, of which the first must play gold, the second diamonds, and the third brilliants.'
1859_145700_000020_000001	Answer him thus: ''Your master, the King, has sent me to tell you that you must send him his golden garment that is like the sun.'' Make him give you, besides, the queenly robes of gold and precious stones which are like the flowery meadows, and bring them both to me.	Answer him thus: ''Your master, the King, has sent me to tell you that you must send him his golden garment that is like the sun'' Make him give you, besides, the queenly robes of gold and precious stones which are like the flowery meadows, and bring them both to me.
1859_145700_000022_000003	No sooner had he said this than he shook himself, and immediately became a handsome youth, but the next morning he was forced to creep back again into his crab-shell.	No sooner had he said this than he shook himself, and immediately became a handsome youth, but the next morning he was forced to creep back again into his crab shell.
1859_145700_000022_000006	They suspected some secret, but though they spied and spied, they could not discover it.	They suspected some secret, but though they spied and spied, they could not discover it.
1859_145700_000022_000007	Thus a year passed away, and the Princess had a son, whom she called Benjamin.	Thus a year passed away, and the Princess had a son, whom she called Benjamin.
1859_145700_000026_000000	The Princess did so, and brought him what he desired.	The Princess did so, and brought him what he desired.
1859_145700_000027_000001	For if you do this evil will come of it. Place yourself at the window with your sisters; I will ride by and throw you the silver apple.	For if you do this evil will come of it. Place yourself at the window with your sisters; I will ride by and throw you the silver apple.
1859_145700_000027_000002	Take it in your hand, but if they ask you who I am, say that you do not know.' So saying, he kissed her, repeated his warning once more, and went away.	Take it in your hand, but if they ask you who I am, say that you do not know.' So saying, he kissed her, repeated his warning once more, and went away.
1859_145700_000028_000000	The Princess went with her sisters to the window and looked on at the tournament.	The Princess went with her sisters to the window and looked on at the tournament.
1859_145700_000028_000002	But her father was much surprised that she did not seem to care about any of the Princes; he therefore appointed a second tournament.	But her father was much surprised that she did not seem to care about any of the Princes; he therefore appointed a second tournament.
1859_145700_000030_000001	He then repeated his warning and went away.	He then repeated his warning and went away.
1859_145700_000032_000000	Then her mother flew into a passion, gave her a box on the ear, and cried out, 'Does not even that prince please you, you fool?'	Then her mother flew into a passion, gave her a box on the ear, and cried out, 'Does not even that prince please you, you fool?'
1859_145700_000033_000000	The Princess in her fright exclaimed, 'That is the Crab himself!'	The Princess in her fright exclaimed, 'That is the Crab himself!'
1859_145700_000034_000001	Then the poor Princess cried bitterly, but it was of no use; her husband did not come back.	Then the poor Princess cried bitterly, but it was of no use; her husband did not come back.
1859_145700_000035_000002	The old man ran after him, but the dog reached a door, pushed it open, and ran in, the old man following him.	The old man ran after him, but the dog reached a door, pushed it open, and ran in, the old man following him.
1859_145700_000035_000003	He did not overtake the dog, but found himself above a staircase, which he descended.	He did not overtake the dog, but found himself above a staircase, which he descended.
1859_145700_000035_000007	At this sight his fear became still greater.	At this sight his fear became still greater.
1859_145700_000036_000000	'A health to my dearest lady, Long may she live and well! But a curse on the cruel mother That burnt my golden shell!'	'A health to my dearest lady, Long may she live and well! But a curse on the cruel mother That burnt my golden shell!'
1859_145700_000037_000000	And so saying he wept bitterly.	And so saying he wept bitterly.
1859_145700_000038_000003	No sooner had he finished than the Princess asked him whether he could find the way to that palace.	No sooner had he finished than the Princess asked him whether he could find the way to that palace.
1859_145700_000039_000000	'Yes,' he answered, 'certainly.'	'Yes,' he answered, 'certainly.'
