1182_133396_000000_000000	IX.	IX.	false	18.75	19.065	-20
1182_133396_000000_000001	How One-eyed Hans came to Trutz-Drachen.	How One eyed Hans came to Trutz Drachen.	false	19.065	22.17	17.703344
1182_133396_000001_000000	Fritz, the swineherd, sat eating his late supper of porridge out of a great, coarse, wooden bowl; wife Katherine sat at the other end of the table, and the half-naked little children played upon the earthen floor. A shaggy dog lay curled up in front of the fire, and a grunting pig scratched against a leg of the rude table close beside where the woman sat.	Fritz, the swineherd, sat eating his late supper of porridge out of a great, coarse, wooden bowl; wife Katherine sat at the other end of the table, and the half naked little children played upon the earthen floor. A shaggy dog lay curled up in front of the fire, and a grunting pig scratched against a leg of the rude table close beside where the woman sat	false	22.17	40.69	20.129278
1182_133396_000002_000000	"Yes, yes," said Katherine, speaking of the matter of which they had already been talking.	"Yes, yes," said Katherine, speaking of the matter of which they had already been talking.	true	41.51	45.4	15
1182_133396_000002_000001	"It is all very true that the Drachenhausens are a bad lot, and I for one am of no mind to say no to that; all the same it is a sad thing that a simple-witted little child like the young Baron should be so treated as the boy has been; and now that our Lord Baron has served him so that he, at least, will never be able to do us 'harm, I for one say that he should not be left there to die alone in that black cell."	"It is all very true that the Drachenhausens are a bad lot, and I for one am of no mind to say no to that; all the same it is a sad thing that a simple witted little child like the young Baron should be so treated as the boy has been; and now that our Lord Baron has served him so that he, at least, will never be able to do us 'harm, I for one say that he should not be left there to die alone in that black cell."	false	45.53	71.29	17
1182_133396_000003_000000	Fritz, the swineherd, gave a grunt at this without raising his eyes from the bowl.	Fritz, the swineherd, gave a grunt at this without raising his eyes from the bowl.	false	72.35	76.84	16
1182_133396_000004_000000	"Yes, good," said Katherine, "I know what thou meanest, Fritz, and that it is none of my business to be thrusting my finger into the Baron's dish.	"Yes, good," said Katherine, "I know what thou meanest, Fritz, and that it is none of my business to be thrusting my finger into the Baron's dish.	false	77.03	85.57	18
1182_133396_000004_000001	But to hear the way that dear little child spoke when she was here this morn--it would have moved a heart of stone to hear her tell of all his pretty talk.	But to hear the way that dear little child spoke when she was here this morn-it would have moved a heart of stone to hear her tell of all his pretty talk.	false	85.79	95.32	19
1182_133396_000004_000002	Thou wilt try to let the red-beard know that that poor boy, his son, is sick to death in the black cell; wilt thou not, Fritz?"	Thou wilt try to let the red beard know that that poor boy, his son, is sick to death in the black cell; wilt thou not, Fritz?"	true	95.57	103	19
1182_133396_000005_000000	The swineherd dropped his wooden spoon into the bowl with a clatter. "Potstausand!" he cried; "art thou gone out of thy head to let thy wits run upon such things as this of which thou talkest to me?	The swineherd dropped his wooden spoon into the bowl with a clatter. "Potstausand!" he cried; "art thou gone out of thy head to let thy wits run upon such things as this of which thou talkest to me?	false	104.15	117.49	20.126057
1182_133396_000005_000001	If it should come to our Lord Baron's ears he would cut the tongue from out thy head and my head from off my shoulders for it.	If it should come to our Lord Baron's ears he would cut the tongue from out thy head and my head from off my shoulders for it.	false	117.92	124.93	20.7129
