6828_64738_000000_000000	CHAPTER XXIV	CHAPTER twenty four	false	10.77	26.385	23.211355
6828_64738_000001_000000	BEAUTY AND THE BEAST	BEAUTY AND THE BEAST	false	26.385	32.16	22.98459
6828_64738_000002_000000	There was once a very rich merchant, who had six children, three boys and three girls.	There was once a very rich merchant, who had six children, three boys and three girls.	true	32.16	37.72	22.5057
6828_64738_000002_000001	As he was himself a man of great sense, he spared no expense for their education, but provided them with all sorts of masters for their improvement.	As he was himself a man of great sense, he spared no expense for their education, but provided them with all sorts of masters for their improvement.	true	37.76	47.02	21.829098
6828_64738_000002_000002	The three daughters were all handsome, but particularly the youngest: indeed she was so very beautiful that in her childhood every one called her the Little Beauty, and being still the same when she was grown up, nobody called her by any other name, which made her sisters very jealous of her.	The three daughters were all handsome, but particularly the youngest: indeed she was so very beautiful that in her childhood every one called her the Little Beauty, and being still the same when she was grown up, nobody called her by any other name, which made her sisters very jealous of her.	true	47.24	66.1	20.551466
6828_64738_000002_000003	This youngest daughter was not only more handsome than her sisters, but was also better tempered.	This youngest daughter was not only more handsome than her sisters, but was also better tempered.	true	66.35	72.01	20.417557
6828_64738_000002_000004	The two eldest were vain of being rich, and spoke with pride to those they thought below them.	The two eldest were vain of being rich, and spoke with pride to those they thought below them.	true	72.14	77.56	24.1155
6828_64738_000002_000005	They gave themselves a thousand airs, and would not visit other merchants' daughters; nor would they indeed be seen with any but persons of quality.	They gave themselves a thousand airs, and would not visit other merchants' daughters; nor would they indeed be seen with any but persons of quality.	false	77.66	86.92	20.923183
6828_64738_000002_000006	They went every day to balls, plays, and public walks, and always made game of their youngest sister for spending her time in reading, or other useful employments.	They went every day to balls, plays, and public walks, and always made game of their youngest sister for spending her time in reading, or other useful employments.	true	87.11	97.69	20
6828_64738_000002_000007	As it was well known that these young ladies would have large fortunes, many great merchants wished to get them for wives; but the two eldest always answered that, for their parts, they had no thoughts of marrying any one below a duke, or an earl at least.	As it was well known that these young ladies would have large fortunes, many great merchants wished to get them for wives; but the two eldest always answered that, for their parts, they had no thoughts of marrying any one below a duke, or an earl at least.	false	97.91	114.61	22.502008
6828_64738_000002_000008	Beauty had quite as many offers as her sisters, but she always answered with the greatest civility, that she was much obliged to her lovers, but would rather live some years longer with her father, as she thought herself too young to marry.	Beauty had quite as many offers as her sisters, but she always answered with the greatest civility, that she was much obliged to her lovers, but would rather live some years longer with her father, as she thought herself too young to marry.	true	114.83	128.59	20.789927
