7705_101579_000001_000000	CHAPTER XII.	CHAPTER twelve.
7705_101579_000001_000001	HIGH WATER	HIGH WATER
7705_101579_000002_000000	It was nearing the middle of June, and it was getting to be a very hot June at that.	It was nearing the middle of June, and it was getting to be a very hot June at that.
7705_101579_000002_000002	Then the sky threatened for a day, and after that they plodded in the rain.	Then the sky threatened for a day, and after that they plodded in the rain.
7705_101579_000003_000000	"Thank the Lord that's done with," sighed Park when he saw the last of the herd climb, all dripping, up the north bank of the Milk River. "To-morrow we can turn 'em loose.	"Thank the Lord that's done with," sighed Park when he saw the last of the herd climb, all dripping, up the north bank of the Milk River. "To morrow we can turn 'em loose.
7705_101579_000003_000001	And I tell yuh, Bud, we didn't get across none too soon.	And I tell yuh, Bud, we didn't get across none too soon.
7705_101579_000003_000002	Yuh notice how the river's coming up?	Yuh notice how the river's coming up?
7705_101579_000003_000003	A day later and we'd have had to hold the herd on the other side, no telling how long."	A day later and we'd have had to hold the herd on the other side, no telling how long."
7705_101579_000004_000000	"It is higher than usual; I noticed that," Thurston agreed absently.	"It is higher than usual; I noticed that," Thurston agreed absently.
7705_101579_000004_000003	He could easily ride down there and find out. It wasn't far; not a quarter of a mile, but he assured himself that he wasn't going, and that he was not quite a fool, he hoped Even if she were at home, what good could that possibly do him?	He could easily ride down there and find out. It wasn't far; not a quarter of a mile, but he assured himself that he wasn't going, and that he was not quite a fool, he hoped Even if she were at home, what good could that possibly do him?
7705_101579_000004_000005	Such nights were not pleasant, nor were the thoughts that caused them.	Such nights were not pleasant, nor were the thoughts that caused them.
7705_101579_000005_000000	From where they were camped upon a ridge which bounded a broad coulee on the east, he could look down upon the Stevens ranch nestling in the bottomland, the house half hidden among the cottonwoods.	From where they were camped upon a ridge which bounded a broad coulee on the east, he could look down upon the Stevens ranch nestling in the bottomland, the house half hidden among the cottonwoods.
7705_101579_000005_000001	Through the last hours of the afternoon he watched it hungrily.	Through the last hours of the afternoon he watched it hungrily.
7705_101579_000005_000002	The big corral ran down to the water's edge, and he noted idly that three panels of the fence extended out into the river, and that the muddy water was creeping steadily up until at sundown the posts of the first panel barely showed above the water.	The big corral ran down to the water's edge, and he noted idly that three panels of the fence extended out into the river, and that the muddy water was creeping steadily up until at sundown the posts of the first panel barely showed above the water.
7705_101579_000006_000000	Park came up to him and looked down upon the little valley.	Park came up to him and looked down upon the little valley.
7705_101579_000007_000000	"There must be danger of it this year if ever," Thurston observed uneasily.	"There must be danger of it this year if ever," Thurston observed uneasily.
7705_101579_000007_000001	"The river is coming up pretty fast, it seems to me.	"The river is coming up pretty fast, it seems to me.
7705_101579_000008_000002	Where yuh going, Bud?"	Where yuh going, Bud?"
7705_101579_000009_000000	"I'm going to ride down there," Thurston answered constrainedly.	"I'm going to ride down there," Thurston answered constrainedly.
7705_101579_000010_000000	"Well, I'll go along, if you'll hold on a minute.	"Well, I'll go along, if you'll hold on a minute.
7705_101579_000010_000001	Jack ain't got a lick uh sense.	Jack ain't got a lick uh sense.
7705_101579_000010_000002	I don't care if he is Mona's brother."	I don't care if he is Mona's brother."
7705_101579_000011_000000	"Half brother," corrected Thurston, as he swung up into the saddle.	"Half brother," corrected Thurston, as he swung up into the saddle.
7705_101579_000011_000001	He had a poor opinion of Jack and resented even that slight relation to Mona.	He had a poor opinion of Jack and resented even that slight relation to Mona.
7705_101579_000012_000001	When they galloped into the yard which sloped from the house gently down to the river fifty yards away, Mona's face appeared for a moment in the window.	When they galloped into the yard which sloped from the house gently down to the river fifty yards away, Mona's face appeared for a moment in the window.
7705_101579_000012_000002	Evidently she had been watching for some one, and Thurston's heart flopped in his chest as he wondered, fleetingly, if it could be himself.	Evidently she had been watching for some one, and Thurston's heart flopped in his chest as he wondered, fleetingly, if it could be himself.
7705_101579_000012_000003	When she opened the door her eyes greeted him with a certain wistful expression that he had never seen in them before.	When she opened the door her eyes greeted him with a certain wistful expression that he had never seen in them before.
