16_122828_000000_000001	She turned her head at Davy's question and answered dreamily,	She turned her head at Davy's question and answered dreamily,
16_122828_000001_000000	"'Over the mountains of the moon, Down the valley of the shadow.'"	"'Over the mountains of the moon, Down the valley of the shadow.'"
16_122828_000002_000000	Paul Irving would have known the meaning of this, or made a meaning out of it for himself, if he didn't; but practical Davy, who, as Anne often despairingly remarked, hadn't a particle of imagination, was only puzzled and disgusted.	Paul Irving would have known the meaning of this, or made a meaning out of it for himself, if he didn't; but practical Davy, who, as Anne often despairingly remarked, hadn't a particle of imagination, was only puzzled and disgusted.
16_122828_000004_000000	"Of course, I was, dear boy.	"Of course, I was, dear boy.
16_122828_000004_000001	Don't you know that it is only very foolish folk who talk sense all the time?"	Don't you know that it is only very foolish folk who talk sense all the time?"
16_122828_000006_000000	"Oh, you are too little to understand," said Anne.	"Oh, you are too little to understand," said Anne.
16_122828_000006_000001	But she felt rather ashamed of saying it; for had she not, in keen remembrance of many similar snubs administered in her own early years, solemnly vowed that she would never tell any child it was too little to understand?	But she felt rather ashamed of saying it; for had she not, in keen remembrance of many similar snubs administered in her own early years, solemnly vowed that she would never tell any child it was too little to understand?
16_122828_000006_000002	Yet here she was doing it . . . so wide sometimes is the gulf between theory and practice.	Yet here she was doing it . . . so wide sometimes is the gulf between theory and practice.
16_122828_000007_000000	"Well, I'm doing my best to grow," said Davy, "but it's a thing you can't hurry much.	"Well, I'm doing my best to grow," said Davy, "but it's a thing you can't hurry much.
16_122828_000007_000001	If Marilla wasn't so stingy with her jam I believe I'd grow a lot faster."	If Marilla wasn't so stingy with her jam I believe I'd grow a lot faster."
16_122828_000008_000000	"Marilla is not stingy, Davy," said Anne severely.	"Marilla is not stingy, Davy," said Anne severely.
16_122828_000008_000001	"It is very ungrateful of you to say such a thing."	"It is very ungrateful of you to say such a thing."
16_122828_000009_000001	"I heard Marilla say she was it, herself, the other day."	"I heard Marilla say she was it, herself, the other day."
16_122828_000010_000000	"If you mean ECONOMICAL, it's a VERY different thing from being stingy. It is an excellent trait in a person if she is economical.	"If you mean ECONOMICAL, it's a VERY different thing from being stingy. It is an excellent trait in a person if she is economical.
16_122828_000010_000001	If Marilla had been stingy she wouldn't have taken you and Dora when your mother died.	If Marilla had been stingy she wouldn't have taken you and Dora when your mother died.
16_122828_000010_000002	Would you have liked to live with Mrs. Wiggins?"	Would you have liked to live with mrs Wiggins?"
16_122828_000011_000000	"You just bet I wouldn't!" Davy was emphatic on that point.	"You just bet I wouldn't!" Davy was emphatic on that point.
16_122828_000011_000001	"Nor I don't want to go out to Uncle Richard neither.	"Nor I don't want to go out to Uncle Richard neither.
16_122828_000011_000004	I don't want a fairy story.	I don't want a fairy story.
16_122828_000012_000000	Fortunately for Anne, Marilla called out at this moment from her room.	Fortunately for Anne, Marilla called out at this moment from her room.
16_122828_000013_000001	You'd better see what she wants."	You'd better see what she wants."
16_122828_000015_000000	"I've good news for you, Anne," said Diana.	"I've good news for you, Anne," said Diana.
16_122828_000015_000001	"Mother and I have just got home from Carmody, and I saw Mary Sentner from Spencer vale in Mr. Blair's store.	"Mother and I have just got home from Carmody, and I saw Mary Sentner from Spencer vale in mr Blair's store.
16_122828_000015_000002	She says the old Copp girls on the Tory Road have a willow-ware platter and she thinks it's exactly like the one we had at the supper.	She says the old Copp girls on the Tory Road have a willow ware platter and she thinks it's exactly like the one we had at the supper.
16_122828_000016_000000	"I'll go right over to Spencervale after it tomorrow," said Anne resolutely, "and you must come with me.	"I'll go right over to Spencervale after it tomorrow," said Anne resolutely, "and you must come with me.
16_122828_000016_000001	It will be such a weight off my mind, for I have to go to town day after tomorrow and how can I face your Aunt Josephine without a willow-ware platter?	It will be such a weight off my mind, for I have to go to town day after tomorrow and how can I face your Aunt Josephine without a willow ware platter?
16_122828_000016_000002	It would be even worse than the time I had to confess about jumping on the spare room bed."	It would be even worse than the time I had to confess about jumping on the spare room bed."
16_122828_000017_000000	Both girls laughed over the old memory . . . concerning which, if any of my readers are ignorant and curious, I must refer them to Anne's earlier history.	Both girls laughed over the old memory . . . concerning which, if any of my readers are ignorant and curious, I must refer them to Anne's earlier history.
16_122828_000018_000000	The next afternoon the girls fared forth on their platter hunting expedition.	The next afternoon the girls fared forth on their platter hunting expedition.
16_122828_000018_000001	It was ten miles to Spencervale and the day was not especially pleasant for traveling.	It was ten miles to Spencervale and the day was not especially pleasant for traveling.
16_122828_000018_000002	It was very warm and windless, and the dust on the road was such as might have been expected after six weeks of dry weather.	It was very warm and windless, and the dust on the road was such as might have been expected after six weeks of dry weather.
16_122828_000019_000001	"Everything is so parched up.	"Everything is so parched up.
16_122828_000019_000003	As for my garden, it hurts me every time I go into it.	As for my garden, it hurts me every time I go into it.
16_122828_000019_000004	I suppose I shouldn't complain about a garden when the farmers' crops are suffering so.	I suppose I shouldn't complain about a garden when the farmers' crops are suffering so.
16_122828_000019_000005	Mr. Harrison says his pastures are so scorched up that his poor cows can hardly get a bite to eat and he feels guilty of cruelty to animals every time he meets their eyes."	mr Harrison says his pastures are so scorched up that his poor cows can hardly get a bite to eat and he feels guilty of cruelty to animals every time he meets their eyes."
16_122828_000020_000000	After a wearisome drive the girls reached Spencervale and turned down the "Tory" Road . . . a green, solitary highway where the strips of grass between the wheel tracks bore evidence to lack of travel.	After a wearisome drive the girls reached Spencervale and turned down the "Tory" Road . . . a green, solitary highway where the strips of grass between the wheel tracks bore evidence to lack of travel.
16_122828_000020_000001	Along most of its extent it was lined with thick-set young spruces crowding down to the roadway, with here and there a break where the back field of a Spencervale farm came out to the fence or an expanse of stumps was aflame with fireweed and goldenrod.	Along most of its extent it was lined with thick set young spruces crowding down to the roadway, with here and there a break where the back field of a Spencervale farm came out to the fence or an expanse of stumps was aflame with fireweed and goldenrod.
16_122828_000022_000000	"Mr.	"mr
16_122828_000022_000001	Allan says it is on the principle of calling a place a grove because there are no trees in it," said Diana, "for nobody lives along the road except the Copp girls and old Martin Bovyer at the further end, who is a Liberal.	Allan says it is on the principle of calling a place a grove because there are no trees in it," said Diana, "for nobody lives along the road except the Copp girls and old Martin Bovyer at the further end, who is a Liberal.
16_122828_000022_000002	The Tory government ran the road through when they were in power just to show they were doing something."	The Tory government ran the road through when they were in power just to show they were doing something."
16_122828_000023_000000	Diana's father was a Liberal, for which reason she and Anne never discussed politics.	Diana's father was a Liberal, for which reason she and Anne never discussed politics.
16_122828_000023_000001	Green Gables folk had always been Conservatives.	Green Gables folk had always been Conservatives.
16_122828_000024_000000	Finally the girls came to the old Copp homestead . . . a place of such exceeding external neatness that even Green Gables would have suffered by contrast.	Finally the girls came to the old Copp homestead . . . a place of such exceeding external neatness that even Green Gables would have suffered by contrast.
16_122828_000024_000001	The house was a very old-fashioned one, situated on a slope, which fact had necessitated the building of a stone basement under one end.	The house was a very old-fashioned one, situated on a slope, which fact had necessitated the building of a stone basement under one end.
16_122828_000024_000002	The house and out-buildings were all whitewashed to a condition of blinding perfection and not a weed was visible in the prim kitchen garden surrounded by its white paling.	The house and out buildings were all whitewashed to a condition of blinding perfection and not a weed was visible in the prim kitchen garden surrounded by its white paling.
16_122828_000025_000000	"The shades are all down," said Diana ruefully.	"The shades are all down," said Diana ruefully.
16_122828_000025_000001	"I believe that nobody is home."	"I believe that nobody is home."
16_122828_000026_000000	This proved to be the case.	This proved to be the case.
16_122828_000026_000001	The girls looked at each other in perplexity.	The girls looked at each other in perplexity.
16_122828_000027_000000	"I don't know what to do," said Anne.	"I don't know what to do," said Anne.
16_122828_000027_000001	"If I were sure the platter was the right kind I would not mind waiting until they came home.	"If I were sure the platter was the right kind I would not mind waiting until they came home.
