7297_92812_000000_000000	"Three months on the Island," said the Magistrate in the Police Court the next morning.	"Three months on the Island," said the Magistrate in the Police Court the next morning.	false	0	20.61	22.307398
7297_92812_000001_000000	AN ADJUSTMENT OF NATURE	AN ADJUSTMENT OF NATURE	true	20.61	22.3	24.159
7297_92812_000002_000000	In an art exhibition the other day I saw a painting that had been sold for $5,000.	In an art exhibition the other day I saw a painting that had been sold for five thousand dollars.	true	23.06	28.54	16
7297_92812_000002_000001	The painter was a young scrub out of the West named Kraft, who had a favourite food and a pet theory.	The painter was a young scrub out of the West named Kraft, who had a favourite food and a pet theory.	true	28.64	34.12	23.057404
7297_92812_000002_000002	His pabulum was an unquenchable belief in the Unerring Artistic Adjustment of Nature.	His pabulum was an unquenchable belief in the Unerring Artistic Adjustment of Nature.	true	34.22	39.37	19
7297_92812_000002_000003	His theory was fixed around corned-beef hash with poached egg.	His theory was fixed around corned beef hash with poached egg.	true	39.44	43.06	23.820486
7297_92812_000002_000004	There was a story behind the picture, so I went home and let it drip out of a fountain-pen.	There was a story behind the picture, so I went home and let it drip out of a fountain pen.	true	43.13	47.62	20
7297_92812_000002_000005	The idea of Kraft--but that is not the beginning of the story.	The idea of Kraft-but that is not the beginning of the story.	true	47.75	51.4	21.908144
7297_92812_000003_000000	Three years ago Kraft, Bill Judkins (a poet), and I took our meals at Cypher's, on Eighth Avenue.	Three years ago Kraft, Bill Judkins (a poet), and I took our meals at Cypher's, on Eighth Avenue.	true	52.04	58.38	22.54633
7297_92812_000003_000001	I say "took." When we had money, Cypher got it "off of" us, as he expressed it.	I say "took." When we had money, Cypher got it "off of" us, as he expressed it.	true	58.38	63.25	20.326975
7297_92812_000003_000002	We had no credit; we went in, called for food and ate it.	We had no credit; we went in, called for food and ate it.	true	63.32	67.54	21.726482
7297_92812_000003_000003	We paid or we did not pay.	We paid or we did not pay.	true	67.55	69.37	22.70062
7297_92812_000003_000004	We had confidence in Cypher's sullenness and smouldering ferocity.	We had confidence in Cypher's sullenness and smouldering ferocity.	true	69.44	73.33	20
7297_92812_000003_000005	Deep down in his sunless soul he was either a prince, a fool or an artist.	Deep down in his sunless soul he was either a prince, a fool or an artist.	false	73.46	78.25	21
7297_92812_000003_000006	He sat at a worm-eaten desk, covered with files of waiters' checks so old that I was sure the bottomest one was for clams that Hendrik Hudson had eaten and paid for. Cypher had the power, in common with Napoleon III. and the goggle-eyed perch, of throwing a film over his eyes, rendering opaque the windows of his soul.	He sat at a worm eaten desk, covered with files of waiters' checks so old that I was sure the bottomest one was for clams that Hendrik Hudson had eaten and paid for. Cypher had the power, in common with Napoleon the third. and the goggle eyed perch, of throwing a film over his eyes, rendering opaque the windows of his soul.	true	78.32	96.79	20
7297_92812_000003_000007	Once when we left him unpaid, with egregious excuses, I looked back and saw him shaking with inaudible laughter behind his film.	Once when we left him unpaid, with egregious excuses, I looked back and saw him shaking with inaudible laughter behind his film.	true	96.92	104.71	19
7297_92812_000003_000008	Now and then we paid up back scores.	Now and then we paid up back scores.	true	104.75	107.14	26.648357
