288_131220_000000_000000	CHAPTER XXXIV.	CHAPTER thirty four.	true	25.29	27.1	25.110954
288_131220_000000_000001	IN THE COUNTRY	IN THE COUNTRY	true	27.62	28.63	22.989342
288_131220_000001_000000	BEFORE the end of the month, Ruby had got respectably thin, and Diamond respectably stout.	BEFORE the end of the month, Ruby had got respectably thin, and Diamond respectably stout.	true	29.6	36.19	22.579016
288_131220_000001_000001	They really began to look fit for double harness.	They really began to look fit for double harness.	true	36.59	39.43	22.262384
288_131220_000002_000000	Joseph and his wife got their affairs in order, and everything ready for migrating at the shortest notice; and they felt so peaceful and happy that they judged all the trouble they had gone through well worth enduring.	Joseph and his wife got their affairs in order, and everything ready for migrating at the shortest notice; and they felt so peaceful and happy that they judged all the trouble they had gone through well worth enduring.	true	40.43	52.3	22.17655
288_131220_000002_000001	As for Nanny, she had been so happy ever since she left the hospital, that she expected nothing better, and saw nothing attractive in the notion of the country.	As for Nanny, she had been so happy ever since she left the hospital, that she expected nothing better, and saw nothing attractive in the notion of the country.	false	53.21	62.32	21.538425
288_131220_000002_000002	At the same time, she had not the least idea of what the word country meant, for she had never seen anything about her but streets and gas-lamps.	At the same time, she had not the least idea of what the word country meant, for she had never seen anything about her but streets and gas lamps.	false	63.98	72.46	21.712357
288_131220_000002_000003	Besides, she was more attached to Jim than to Diamond: Jim was a reasonable being, Diamond in her eyes at best only an amiable, over-grown baby, whom no amount of expostulation would ever bring to talk sense, not to say think it.	Besides, she was more attached to Jim than to Diamond: Jim was a reasonable being, Diamond in her eyes at best only an amiable, over grown baby, whom no amount of expostulation would ever bring to talk sense, not to say think it.	true	72.53	88.36	20.932583
288_131220_000002_000004	Now that she could manage the baby as well as he, she judged herself altogether his superior.	Now that she could manage the baby as well as he, she judged herself altogether his superior.	true	88.67	94.09	21.018652
288_131220_000002_000005	Towards his father and mother, she was all they could wish.	Towards his father and mother, she was all they could wish.	true	94.28	97.06	19.700466
288_131220_000003_000000	Diamond had taken a great deal of pains and trouble to find Jim, and had at last succeeded through the help of the tall policeman, who was glad to renew his acquaintance with the strange child.	Diamond had taken a great deal of pains and trouble to find Jim, and had at last succeeded through the help of the tall policeman, who was glad to renew his acquaintance with the strange child.	false	97.91	108.4	21.804644
288_131220_000003_000001	Jim had moved his quarters, and had not heard of Nanny's illness till some time after she was taken to the hospital, where he was too shy to go and inquire about her.	Jim had moved his quarters, and had not heard of Nanny's illness till some time after she was taken to the hospital, where he was too shy to go and inquire about her.	false	108.83	117.61	22.005318
288_131220_000003_000002	But when at length she went to live with Diamond's family, Jim was willing enough to go and see her.	But when at length she went to live with Diamond's family, Jim was willing enough to go and see her.	true	118.76	123.67	20.967361
288_131220_000003_000003	It was after one of his visits, during which they had been talking of her new prospects, that Nanny expressed to Diamond her opinion of the country.	It was after one of his visits, during which they had been talking of her new prospects, that Nanny expressed to Diamond her opinion of the country.	true	123.86	132.58	21.199255
288_131220_000004_000000	"There ain't nothing in it but the sun and moon, Diamond."	"There ain't nothing in it but the sun and moon, Diamond."	true	132.77	135.76	19.947271
288_131220_000005_000000	"There's trees and flowers," said Diamond.	"There's trees and flowers," said Diamond.	false	136.49	139.18	21.535671
288_131220_000006_000000	"Well, they ain't no count," returned Nanny.	"Well, they ain't no count," returned Nanny.	false	139.91	142.63	21.208818
288_131220_000007_000000	"Ain't they?	"Ain't they?	true	143	143.92	22.477169
288_131220_000007_000001	They're so beautiful, they make you happy to look at them."	They're so beautiful, they make you happy to look at them."	true	144.23	147.88	21.484295
288_131220_000008_000000	"That's because you're such a silly."	"That's because you're such a silly."	true	148.1	149.98	19.752974
288_131220_000009_000000	Diamond smiled with a far-away look, as if he were gazing through clouds of green leaves and the vision contented him.	Diamond smiled with a far away look, as if he were gazing through clouds of green leaves and the vision contented him.	true	150.5	157.54	21.0222
288_131220_000009_000001	But he was thinking with himself what more he could do for Nanny; and that same evening he went to find Mr. Raymond, for he had heard that he had returned to town.	But he was thinking with himself what more he could do for Nanny; and that same evening he went to find mr Raymond, for he had heard that he had returned to town.	false	159.47	168.82	21.052883
288_131220_000010_000000	"Ah! how do you do, Diamond?" said Mr. Raymond; "I am glad to see you."	"Ah! how do you do, Diamond?" said mr Raymond; "I am glad to see you."	true	169.4	174.94	22.330046
288_131220_000011_000000	And he was indeed, for he had grown very fond of him.	And he was indeed, for he had grown very fond of him.	true	175.37	178.12	20.903133
288_131220_000011_000001	His opinion of him was very different from Nanny's.	His opinion of him was very different from Nanny's.	true	178.46	181.45	20.79831
288_131220_000012_000000	"What do you want now, my child?" he asked.	"What do you want now, my child?" he asked.	false	181.7	184.39	19.712772
288_131220_000013_000000	"I'm always wanting something, sir," answered Diamond.	"I'm always wanting something, sir," answered Diamond.	true	185.03	188.17	18.91288
288_131220_000014_000000	"Well, that's quite right, so long as what you want is right.	"Well, that's quite right, so long as what you want is right.	true	189.62	193.06	19.097889
288_131220_000014_000001	Everybody is always wanting something; only we don't mention it in the right place often enough.	Everybody is always wanting something; only we don't mention it in the right place often enough.	false	193.25	199.18	21.210451
288_131220_000014_000002	What is it now?"	What is it now?"	true	199.31	200.38	20.30653
288_131220_000015_000000	"There's a friend of Nanny's, a lame boy, called Jim."	"There's a friend of Nanny's, a lame boy, called Jim."	true	202.22	205.33	21.833055
288_131220_000016_000000	"I've heard of him," said Mr. Raymond.	"I've heard of him," said mr Raymond.	true	206.36	208.39	20.515182
288_131220_000016_000001	"Well?"	"Well?"	true	208.52	209.47	21.964565
288_131220_000017_000000	"Nanny doesn't care much about going to the country, sir."	"Nanny doesn't care much about going to the country, sir."	true	210.86	213.67	20.711132
288_131220_000018_000000	"Well, what has that to do with Jim?"	"Well, what has that to do with Jim?"	false	215.51	218.2	19.895365
288_131220_000019_000000	"You couldn't find a corner for Jim to work in--could you, sir?"	"You couldn't find a corner for Jim to work in-could you, sir?"	false	219.74	223.54	21.971663
288_131220_000020_000000	"I don't know that I couldn't.	"I don't know that I couldn't.	true	223.85	225.735	19.41568
288_131220_000020_000001	That is, if you can show good reason for it."	That is, if you can show good reason for it."	true	225.735	228.51	21.765184
288_131220_000021_000000	"He's a good boy, sir."	"He's a good boy, sir."	true	228.51	229.96	21.406221
288_131220_000022_000000	"Well, so much the better for him."	"Well, so much the better for him."	true	230.15	232.06	21.640682
288_131220_000023_000000	"I know he can shine boots, sir."	"I know he can shine boots, sir."	true	232.25	234.07	21.205652
288_131220_000024_000000	"So much the better for us."	"So much the better for us."	true	234.26	235.96	22.593534
288_131220_000025_000000	"You want your boots shined in the country--don't you, sir?"	"You want your boots shined in the country-don't you, sir?"	true	236.15	238.75	21.465471
288_131220_000026_000000	"Yes, to be sure."	"Yes, to be sure."	true	238.94	240.31	21.546537
