2393_144496_000000_000001	MARTHA	MARTHA
2393_144496_000001_000001	We had turned back to follow her, having encountered her coming towards us; and Westminster Abbey was the point at which she passed from the lights and noise of the leading streets.	We had turned back to follow her, having encountered her coming towards us; and Westminster Abbey was the point at which she passed from the lights and noise of the leading streets.
2393_144496_000001_000002	She proceeded so quickly, when she got free of the two currents of passengers setting towards and from the bridge, that, between this and the advance she had of us when she struck off, we were in the narrow water-side street by Millbank before we came up with her.	She proceeded so quickly, when she got free of the two currents of passengers setting towards and from the bridge, that, between this and the advance she had of us when she struck off, we were in the narrow water side street by Millbank before we came up with her.
2393_144496_000001_000003	At that moment she crossed the road, as if to avoid the footsteps that she heard so close behind; and, without looking back, passed on even more rapidly.	At that moment she crossed the road, as if to avoid the footsteps that she heard so close behind; and, without looking back, passed on even more rapidly.
2393_144496_000002_000000	A glimpse of the river through a dull gateway, where some waggons were housed for the night, seemed to arrest my feet.	A glimpse of the river through a dull gateway, where some waggons were housed for the night, seemed to arrest my feet.
2393_144496_000003_000000	There was, and is when I write, at the end of that low-lying street, a dilapidated little wooden building, probably an obsolete old ferry-house.	There was, and is when I write, at the end of that low lying street, a dilapidated little wooden building, probably an obsolete old ferry house.
2393_144496_000003_000002	As soon as she came here, and saw the water, she stopped as if she had come to her destination; and presently went slowly along by the brink of the river, looking intently at it.	As soon as she came here, and saw the water, she stopped as if she had come to her destination; and presently went slowly along by the brink of the river, looking intently at it.
2393_144496_000005_000000	The neighbourhood was a dreary one at that time; as oppressive, sad, and solitary by night, as any about London.	The neighbourhood was a dreary one at that time; as oppressive, sad, and solitary by night, as any about London.
2393_144496_000005_000001	There were neither wharves nor houses on the melancholy waste of road near the great blank Prison.	There were neither wharves nor houses on the melancholy waste of road near the great blank Prison.
2393_144496_000005_000002	A sluggish ditch deposited its mud at the prison walls.	A sluggish ditch deposited its mud at the prison walls.
2393_144496_000005_000003	Coarse grass and rank weeds straggled over all the marshy land in the vicinity.	Coarse grass and rank weeds straggled over all the marshy land in the vicinity.
2393_144496_000005_000004	In one part, carcases of houses, inauspiciously begun and never finished, rotted away.	In one part, carcases of houses, inauspiciously begun and never finished, rotted away.
2393_144496_000005_000006	Slimy gaps and causeways, winding among old wooden piles, with a sickly substance clinging to the latter, like green hair, and the rags of last year's handbills offering rewards for drowned men fluttering above high-water mark, led down through the ooze and slush to the ebb-tide.	Slimy gaps and causeways, winding among old wooden piles, with a sickly substance clinging to the latter, like green hair, and the rags of last year's handbills offering rewards for drowned men fluttering above high water mark, led down through the ooze and slush to the ebb tide.
2393_144496_000005_000008	Or else it looked as if it had gradually decomposed into that nightmare condition, out of the overflowings of the polluted stream.	Or else it looked as if it had gradually decomposed into that nightmare condition, out of the overflowings of the polluted stream.
2393_144496_000007_000000	There were some boats and barges astrand in the mud, and these enabled us to come within a few yards of her without being seen.	There were some boats and barges astrand in the mud, and these enabled us to come within a few yards of her without being seen.
2393_144496_000007_000001	I then signed to Mr. Peggotty to remain where he was, and emerged from their shade to speak to her.	I then signed to mr Peggotty to remain where he was, and emerged from their shade to speak to her.
2393_144496_000008_000000	I think she was talking to herself.	I think she was talking to herself.
2393_144496_000010_000000	She uttered a terrified scream, and struggled with me with such strength that I doubt if I could have held her alone.	She uttered a terrified scream, and struggled with me with such strength that I doubt if I could have held her alone.
2393_144496_000010_000002	In a little while she sat among the stones, holding her wretched head with both her hands.	In a little while she sat among the stones, holding her wretched head with both her hands.
2393_144496_000011_000000	'Oh, the river!' she cried passionately.	'Oh, the river!' she cried passionately.
2393_144496_000011_000001	'Oh, the river!'	'Oh, the river!'
2393_144496_000014_000000	'I know it's like me!' she exclaimed.	'I know it's like me!' she exclaimed.
2393_144496_000014_000001	'I know that I belong to it. I know that it's the natural company of such as I am!	'I know that I belong to it. I know that it's the natural company of such as I am!
2393_144496_000015_000000	'I can't keep away from it.	'I can't keep away from it.
2393_144496_000015_000001	I can't forget it.	I can't forget it.
2393_144496_000015_000002	It haunts me day and night.	It haunts me day and night.
2393_144496_000015_000003	It's the only thing in all the world that I am fit for, or that's fit for me.	It's the only thing in all the world that I am fit for, or that's fit for me.
2393_144496_000015_000004	Oh, the dreadful river!'	Oh, the dreadful river!'
2393_144496_000016_000002	He shook as if he would have fallen; and his hand--I touched it with my own, for his appearance alarmed me--was deadly cold.	He shook as if he would have fallen; and his hand-I touched it with my own, for his appearance alarmed me-was deadly cold.
2393_144496_000018_000001	He made some motion with his mouth, and seemed to think he had spoken; but he had only pointed to her with his outstretched hand.	He made some motion with his mouth, and seemed to think he had spoken; but he had only pointed to her with his outstretched hand.
