176_123269_000000_000000	CHAPTER XVI.	CHAPTER sixteen.
176_123269_000001_000000	BOLDLY DOWN THE CRATER	BOLDLY DOWN THE CRATER
176_123269_000002_000002	Yet I slept particularly well; it was one of the best nights I had ever had, and I did not even dream.	Yet I slept particularly well; it was one of the best nights I had ever had, and I did not even dream.
176_123269_000003_000000	Next morning we awoke half frozen by the sharp keen air, but with the light of a splendid sun.	Next morning we awoke half frozen by the sharp keen air, but with the light of a splendid sun
176_123269_000003_000001	I rose from my granite bed and went out to enjoy the magnificent spectacle that lay unrolled before me.	I rose from my granite bed and went out to enjoy the magnificent spectacle that lay unrolled before me.
176_123269_000004_000000	I stood on the very summit of the southernmost of Snaefell's peaks. The range of the eye extended over the whole island.	I stood on the very summit of the southernmost of Snaefell's peaks. The range of the eye extended over the whole island.
176_123269_000004_000002	It seemed as if one of Helbesmer's raised maps lay at my feet.	It seemed as if one of Helbesmer's raised maps lay at my feet.
176_123269_000004_000004	On my right were numberless glaciers and innumerable peaks, some plumed with feathery clouds of smoke.	On my right were numberless glaciers and innumerable peaks, some plumed with feathery clouds of smoke.
176_123269_000004_000005	The undulating surface of these endless mountains, crested with sheets of snow, reminded one of a stormy sea.	The undulating surface of these endless mountains, crested with sheets of snow, reminded one of a stormy sea.
176_123269_000004_000007	The eye could hardly tell where the snowy ridges ended and the foaming waves began.	The eye could hardly tell where the snowy ridges ended and the foaming waves began.
176_123269_000005_000003	I felt intoxicated with the sublime pleasure of lofty elevations without thinking of the profound abysses into which I was shortly to be plunged.	I felt intoxicated with the sublime pleasure of lofty elevations without thinking of the profound abysses into which I was shortly to be plunged.
176_123269_000005_000004	But I was brought back to the realities of things by the arrival of Hans and the Professor, who joined me on the summit.	But I was brought back to the realities of things by the arrival of Hans and the Professor, who joined me on the summit.
176_123269_000006_000000	My uncle pointed out to me in the far west a light steam or mist, a semblance of land, which bounded the distant horizon of waters.	My uncle pointed out to me in the far west a light steam or mist, a semblance of land, which bounded the distant horizon of waters.
176_123269_000007_000000	"Greenland!" said he.	"Greenland!" said he.
176_123269_000008_000000	"Greenland?" I cried.	"Greenland?" I cried.
176_123269_000009_000000	"Yes; we are only thirty-five leagues from it; and during thaws the white bears, borne by the ice fields from the north, are carried even into Iceland.	"Yes; we are only thirty five leagues from it; and during thaws the white bears, borne by the ice fields from the north, are carried even into Iceland.
176_123269_000009_000003	Hans will tell us the name of that on which we are now standing."	Hans will tell us the name of that on which we are now standing."
176_123269_000010_000000	The question being put, Hans replied:	The question being put, Hans replied:
176_123269_000011_000000	"Scartaris."	"Scartaris."
176_123269_000012_000000	My uncle shot a triumphant glance at me.	My uncle shot a triumphant glance at me.
176_123269_000013_000000	"Now for the crater!" he cried.	"Now for the crater!" he cried.
176_123269_000014_000000	The crater of Snaefell resembled an inverted cone, the opening of which might be half a league in diameter.	The crater of Snaefell resembled an inverted cone, the opening of which might be half a league in diameter.
176_123269_000014_000001	Its depth appeared to be about two thousand feet.	Its depth appeared to be about two thousand feet.
176_123269_000014_000002	Imagine the aspect of such a reservoir, brim full and running over with liquid fire amid the rolling thunder.	Imagine the aspect of such a reservoir, brim full and running over with liquid fire amid the rolling thunder.
176_123269_000014_000003	The bottom of the funnel was about 250 feet in circuit, so that the gentle slope allowed its lower brim to be reached without much difficulty.	The bottom of the funnel was about two hundred fifty feet in circuit, so that the gentle slope allowed its lower brim to be reached without much difficulty.
176_123269_000014_000004	Involuntarily I compared the whole crater to an enormous erected mortar, and the comparison put me in a terrible fright.	Involuntarily I compared the whole crater to an enormous erected mortar, and the comparison put me in a terrible fright.
176_123269_000015_000000	"What madness," I thought, "to go down into a mortar, perhaps a loaded mortar, to be shot up into the air at a moment's notice!"	"What madness," I thought, "to go down into a mortar, perhaps a loaded mortar, to be shot up into the air at a moment's notice!"
176_123269_000016_000000	But I did not try to back out of it.	But I did not try to back out of it.
176_123269_000016_000001	Hans with perfect coolness resumed the lead, and I followed him without a word.	Hans with perfect coolness resumed the lead, and I followed him without a word.
176_123269_000018_000000	In certain parts of the cone there were glaciers.	In certain parts of the cone there were glaciers.
176_123269_000018_000001	Here Hans advanced only with extreme precaution, sounding his way with his iron-pointed pole, to discover any crevasses in it.	Here Hans advanced only with extreme precaution, sounding his way with his iron pointed pole, to discover any crevasses in it.
176_123269_000019_000000	Yet, notwithstanding the difficulties of the descent, down steeps unknown to the guide, the journey was accomplished without accidents, except the loss of a coil of rope, which escaped from the hands of an Icelander, and took the shortest way to the bottom of the abyss.	Yet, notwithstanding the difficulties of the descent, down steeps unknown to the guide, the journey was accomplished without accidents, except the loss of a coil of rope, which escaped from the hands of an Icelander, and took the shortest way to the bottom of the abyss.
176_123269_000020_000002	Just upon the edge appeared the snowy peak of Saris, standing out sharp and clear against endless space.	Just upon the edge appeared the snowy peak of Saris, standing out sharp and clear against endless space.
176_123269_000021_000000	At the bottom of the crater were three chimneys, through which, in its eruptions, Snaefell had driven forth fire and lava from its central furnace.	At the bottom of the crater were three chimneys, through which, in its eruptions, Snaefell had driven forth fire and lava from its central furnace.
176_123269_000021_000001	Each of these chimneys was a hundred feet in diameter.	Each of these chimneys was a hundred feet in diameter.
176_123269_000021_000002	They gaped before us right in our path.	They gaped before us right in our path.
176_123269_000021_000003	I had not the courage to look down either of them.	I had not the courage to look down either of them.
176_123269_000021_000004	But Professor Liedenbrock had hastily surveyed all three; he was panting, running from one to the other, gesticulating, and uttering incoherent expressions.	But Professor Liedenbrock had hastily surveyed all three; he was panting, running from one to the other, gesticulating, and uttering incoherent expressions.
176_123269_000021_000005	Hans and his comrades, seated upon loose lava rocks, looked at him with as much wonder as they knew how to express, and perhaps taking him for an escaped lunatic.	Hans and his comrades, seated upon loose lava rocks, looked at him with as much wonder as they knew how to express, and perhaps taking him for an escaped lunatic.
176_123269_000022_000000	Suddenly my uncle uttered a cry.	Suddenly my uncle uttered a cry.
176_123269_000022_000001	I thought his foot must have slipped and that he had fallen down one of the holes.	I thought his foot must have slipped and that he had fallen down one of the holes.
176_123269_000022_000002	But, no; I saw him, with arms outstretched and legs straddling wide apart, erect before a granite rock that stood in the centre of the crater, just like a pedestal made ready to receive a statue of Pluto.	But, no; I saw him, with arms outstretched and legs straddling wide apart, erect before a granite rock that stood in the centre of the crater, just like a pedestal made ready to receive a statue of Pluto.
176_123269_000023_000000	"Axel, Axel," he cried.	"Axel, Axel," he cried.
176_123269_000023_000001	"Come, come!"	"Come, come!"
176_123269_000024_000000	I ran.	I ran.
176_123269_000025_000000	"Look!" cried the Professor.	"Look!" cried the Professor.
176_123269_000026_000000	And, sharing his astonishment, but I think not his joy, I read on the western face of the block, in Runic characters, half mouldered away with lapse of ages, this thrice-accursed name:	And, sharing his astonishment, but I think not his joy, I read on the western face of the block, in Runic characters, half mouldered away with lapse of ages, this thrice accursed name:
176_123269_000027_000000	[At this point a Runic text appears]	[At this point a Runic text appears]
176_123269_000028_000001	"Do you yet doubt?"	"Do you yet doubt?"
176_123269_000029_000000	I made no answer; and I returned in silence to my lava seat in a state of utter speechless consternation.	I made no answer; and I returned in silence to my lava seat in a state of utter speechless consternation.
176_123269_000029_000001	Here was crushing evidence.	Here was crushing evidence.
176_123269_000030_000000	How long I remained plunged in agonizing reflections I cannot tell; all that I know is, that on raising my head again, I saw only my uncle and Hans at the bottom of the crater.	How long I remained plunged in agonizing reflections I cannot tell; all that I know is, that on raising my head again, I saw only my uncle and Hans at the bottom of the crater.
176_123269_000030_000001	The Icelanders had been dismissed, and they were now descending the outer slopes of Snaefell to return to Stapi.	The Icelanders had been dismissed, and they were now descending the outer slopes of Snaefell to return to Stapi.
176_123269_000031_000000	Hans slept peaceably at the foot of a rock, in a lava bed, where he had found a suitable couch for himself; but my uncle was pacing around the bottom of the crater like a wild beast in a cage.	Hans slept peaceably at the foot of a rock, in a lava bed, where he had found a suitable couch for himself; but my uncle was pacing around the bottom of the crater like a wild beast in a cage.
176_123269_000032_000000	Thus the first night in the crater passed away.	Thus the first night in the crater passed away.
176_123269_000033_000000	The next morning, a grey, heavy, cloudy sky seemed to droop over the summit of the cone.	The next morning, a grey, heavy, cloudy sky seemed to droop over the summit of the cone.
176_123269_000033_000001	I did not know this first from the appearances of nature, but I found it out by my uncle's impetuous wrath.	I did not know this first from the appearances of nature, but I found it out by my uncle's impetuous wrath.
176_123269_000034_000000	I soon found out the cause, and hope dawned again in my heart.	I soon found out the cause, and hope dawned again in my heart.
176_123269_000034_000001	For this reason.	For this reason.
176_123269_000037_000000	Now, no sun no shadow, and therefore no guide.	Now, no sun no shadow, and therefore no guide.
176_123269_000037_000001	Here was June 25.	Here was june twenty fifth.
