272_130227_000006_000000	Wednesday	Wednesday
272_130227_000007_000000	I have had a variegated time.	I have had a variegated time.
272_130227_000007_000001	I escaped that night, and rode a horse all night as fast as he could go, hoping to get clear out of the Park and hide in some other country before the trouble should begin; but it was not to be.	I escaped that night, and rode a horse all night as fast as he could go, hoping to get clear out of the Park and hide in some other country before the trouble should begin; but it was not to be.
272_130227_000007_000003	I knew what it meant--Eve had eaten that fruit, and death was come into the world....	I knew what it meant-Eve had eaten that fruit, and death was come into the world....
272_130227_000007_000005	I found this place, outside the Park, and was fairly comfortable for a few days, but she has found me out.	I found this place, outside the Park, and was fairly comfortable for a few days, but she has found me out.
272_130227_000007_000006	Found me out, and has named the place Tonawanda--says it looks like that.	Found me out, and has named the place Tonawanda-says it looks like that.
272_130227_000007_000008	I was obliged to eat them, I was so hungry.	I was obliged to eat them, I was so hungry.
272_130227_000007_000015	She did it, and after this we crept down to where the wild-beast battle had been, and collected some skins, and I made her patch together a couple of suits proper for public occasions.	She did it, and after this we crept down to where the wild beast battle had been, and collected some skins, and I made her patch together a couple of suits proper for public occasions.
272_130227_000007_000016	They are uncomfortable, it is true, but stylish, and that is the main point about clothes. ...	They are uncomfortable, it is true, but stylish, and that is the main point about clothes. ...
272_130227_000007_000020	I will superintend.	I will superintend.
272_130227_000009_000000	She accuses me of being the cause of our disaster!	She accuses me of being the cause of our disaster!
272_130227_000009_000001	She says, with apparent sincerity and truth, that the Serpent assured her that the forbidden fruit was not apples, it was chestnuts.	She says, with apparent sincerity and truth, that the Serpent assured her that the forbidden fruit was not apples, it was chestnuts.
272_130227_000009_000002	I said I was innocent, then, for I had not eaten any chestnuts.	I said I was innocent, then, for I had not eaten any chestnuts.
272_130227_000009_000003	She said the Serpent informed her that "chestnut" was a figurative term meaning an aged and mouldy joke.	She said the Serpent informed her that "chestnut" was a figurative term meaning an aged and mouldy joke.
272_130227_000009_000004	I turned pale at that, for I have made many jokes to pass the weary time, and some of them could have been of that sort, though I had honestly supposed that they were new when I made them.	I turned pale at that, for I have made many jokes to pass the weary time, and some of them could have been of that sort, though I had honestly supposed that they were new when I made them.
272_130227_000009_000005	She asked me if I had made one just at the time of the catastrophe.	She asked me if I had made one just at the time of the catastrophe.
272_130227_000009_000007	It was this.	It was this.
272_130227_000010_000000	Next Year	Next Year
272_130227_000011_000000	We have named it Cain.	We have named it Cain.
272_130227_000011_000003	That is what she thinks, but this is an error, in my judgment.	That is what she thinks, but this is an error, in my judgment.
272_130227_000011_000005	I still think it is a fish, but she is indifferent about what it is, and will not let me have it to try.	I still think it is a fish, but she is indifferent about what it is, and will not let me have it to try.
272_130227_000011_000006	I do not understand this.	I do not understand this.
272_130227_000011_000009	Her mind is disordered--everything shows it.	Her mind is disordered-everything shows it.
272_130227_000011_000010	Sometimes she carries the fish in her arms half the night when it complains and wants to get to the water.	Sometimes she carries the fish in her arms half the night when it complains and wants to get to the water.
272_130227_000011_000011	At such times the water comes out of the places in her face that she looks out of, and she pats the fish on the back and makes soft sounds with her mouth to soothe it, and betrays sorrow and solicitude in a hundred ways.	At such times the water comes out of the places in her face that she looks out of, and she pats the fish on the back and makes soft sounds with her mouth to soothe it, and betrays sorrow and solicitude in a hundred ways.
272_130227_000011_000013	She used to carry the young tigers around so, and play with them, before we lost our property; but it was only play; she never took on about them like this when their dinner disagreed with them.	She used to carry the young tigers around so, and play with them, before we lost our property; but it was only play; she never took on about them like this when their dinner disagreed with them.
